Date,Open,High,Low,Close,Volume
31-Dec-14,136.75,138.19,135.16,136.41,94367
30-Dec-14,137.91,138.46,135.90,136.10,26958
29-Dec-14,138.62,140.39,137.37,138.65,31812
26-Dec-14,139.22,140.73,137.38,139.22,34678
24-Dec-14,139.06,139.80,137.56,138.10,75012
23-Dec-14,137.01,140.70,137.01,139.07,76633
22-Dec-14,137.42,138.30,135.07,137.73,71204
19-Dec-14,137.99,138.14,135.05,137.50,215824
18-Dec-14,138.15,139.21,135.52,138.19,71448
17-Dec-14,135.21,137.60,134.97,136.70,71387
16-Dec-14,137.66,139.22,135.69,135.98,47956
15-Dec-14,142.27,143.94,135.75,138.54,91405
12-Dec-14,142.55,144.58,142.55,143.17,39392
11-Dec-14,143.44,146.26,143.34,144.60,26468
10-Dec-14,145.73,147.64,143.60,143.60,27550
9-Dec-14,143.45,146.70,142.50,145.88,47689
8-Dec-14,147.25,150.62,143.89,144.23,49461
5-Dec-14,147.70,149.10,146.09,147.23,46206
4-Dec-14,153.92,153.92,146.58,147.92,25591
3-Dec-14,150.95,152.54,150.08,150.42,27562
2-Dec-14,148.28,150.98,147.76,150.34,25819
1-Dec-14,150.04,151.35,147.24,147.75,30935
28-Nov-14,150.74,152.48,149.50,149.75,30569
26-Nov-14,150.40,151.95,149.03,150.24,25029
25-Nov-14,151.35,152.77,149.91,150.84,32947
24-Nov-14,148.00,151.95,145.17,151.65,31623
21-Nov-14,150.87,153.56,147.29,148.01,64894
20-Nov-14,153.47,153.86,146.86,149.29,112752
19-Nov-14,156.82,157.19,152.72,155.81,60533
18-Nov-14,158.31,158.86,157.21,157.59,34314
17-Nov-14,160.25,160.28,158.04,158.33,42428
14-Nov-14,160.83,162.43,160.44,160.56,39044
13-Nov-14,162.62,163.77,160.11,161.04,51813
12-Nov-14,161.60,164.05,161.05,162.02,93406
11-Nov-14,158.00,161.99,157.21,161.50,50113
10-Nov-14,154.99,161.22,154.77,158.51,78740
7-Nov-14,153.44,155.00,152.01,154.40,60529
6-Nov-14,149.54,153.40,147.43,152.94,45343
5-Nov-14,148.82,150.47,145.81,148.97,60475
4-Nov-14,144.94,148.96,144.30,148.10,48679
3-Nov-14,147.28,148.35,144.50,145.60,61964
31-Oct-14,147.35,150.49,142.91,147.56,117995
30-Oct-14,137.32,145.50,136.34,144.91,75217
29-Oct-14,137.00,137.78,135.35,137.01,36683
28-Oct-14,134.23,136.99,134.23,136.27,63356
