Date,Open,High,Low,Close,Volume
31-Dec-14,16.18,16.45,16.07,16.33,395156
30-Dec-14,16.17,16.24,15.85,16.10,161667
29-Dec-14,16.12,16.29,15.91,16.26,159833
26-Dec-14,15.92,16.19,15.82,16.15,105083
24-Dec-14,15.91,16.21,14.55,15.88,170088
23-Dec-14,16.37,16.47,15.76,15.80,272307
22-Dec-14,15.91,16.29,15.87,16.26,320922
19-Dec-14,15.50,16.00,15.43,15.89,688380
18-Dec-14,15.44,15.65,15.25,15.53,312592
17-Dec-14,14.76,15.30,14.76,15.24,325741
16-Dec-14,14.69,15.08,14.58,14.76,243707
15-Dec-14,15.25,15.47,14.70,14.76,407811
12-Dec-14,15.21,15.49,15.15,15.16,239640
11-Dec-14,15.67,16.05,15.32,15.44,242709
10-Dec-14,15.86,16.10,14.63,15.36,245052
9-Dec-14,15.31,15.99,15.21,15.94,305694
8-Dec-14,16.15,16.33,15.44,15.52,361886
5-Dec-14,16.02,16.30,15.94,16.20,291091
4-Dec-14,15.95,16.23,15.91,16.00,234968
3-Dec-14,15.86,16.10,15.82,15.92,297054
2-Dec-14,15.62,15.95,15.55,15.87,411536
1-Dec-14,15.88,15.98,15.35,15.65,447728
28-Nov-14,16.21,16.34,15.51,15.97,140185
26-Nov-14,15.99,16.23,15.67,16.23,313562
25-Nov-14,16.35,16.51,15.92,15.96,402013
24-Nov-14,16.34,16.51,16.10,16.39,415454
21-Nov-14,16.45,16.76,16.28,16.35,901089
20-Nov-14,15.83,16.29,15.71,16.16,423942
19-Nov-14,16.22,16.22,15.59,15.93,384034
18-Nov-14,15.54,16.35,15.54,16.21,608663
17-Nov-14,15.98,16.25,15.53,15.53,357427
14-Nov-14,15.64,16.20,15.64,16.06,423161
13-Nov-14,15.72,15.86,15.44,15.63,296723
12-Nov-14,15.80,15.99,15.63,15.64,354503
11-Nov-14,15.85,16.00,15.63,15.93,343510
10-Nov-14,15.70,15.91,15.58,15.87,339292
7-Nov-14,15.79,15.88,15.54,15.65,449576
6-Nov-14,15.31,15.92,15.00,15.88,723530
5-Nov-14,16.20,17.31,14.88,15.31,2380103
