Date,Open,High,Low,Close,Volume
31-Dec-14,1.65,1.65,1.42,1.49,20620
30-Dec-14,1.32,1.64,1.32,1.50,21996
29-Dec-14,1.33,1.72,1.33,1.72,4800
24-Dec-14,1.65,1.70,1.53,1.68,1250
23-Dec-14,1.39,1.60,1.38,1.58,8268
22-Dec-14,1.68,1.71,1.60,1.65,1738
19-Dec-14,1.67,1.88,1.67,1.67,9190
18-Dec-14,1.57,2.18,1.55,1.66,36184
17-Dec-14,2.05,2.05,1.60,1.66,31638
16-Dec-14,2.30,2.30,2.10,2.10,10405
15-Dec-14,2.50,2.51,2.31,2.31,3927
12-Dec-14,2.59,2.82,2.42,2.50,5407
11-Dec-14,1.85,2.86,1.85,2.70,3726
9-Dec-14,2.70,2.70,2.70,2.70,575
8-Dec-14,3.04,3.04,2.66,2.66,2357
5-Dec-14,3.14,3.14,2.50,2.71,7846
4-Dec-14,2.77,2.99,2.60,2.60,4356
3-Dec-14,2.80,2.80,2.41,2.52,10999
2-Dec-14,3.20,3.27,2.75,2.90,12383
1-Dec-14,3.17,3.45,3.17,3.38,9183
28-Nov-14,3.16,3.40,3.16,3.33,5300
26-Nov-14,3.90,3.90,3.31,3.31,11318
25-Nov-14,3.60,3.91,3.51,3.71,12629
24-Nov-14,3.91,3.91,3.60,3.60,10852
21-Nov-14,3.60,3.92,3.60,3.91,22020
20-Nov-14,3.82,3.89,3.67,3.80,12220
19-Nov-14,3.88,3.99,3.60,3.90,26114
18-Nov-14,4.03,4.03,3.90,4.00,23305
17-Nov-14,3.89,4.04,3.73,4.04,42145
14-Nov-14,3.84,4.01,3.40,4.01,70749
13-Nov-14,5.10,5.16,3.15,3.88,627463
