Date,Open,High,Low,Close,Volume
31-Dec-14,53.48,54.91,52.79,53.25,22467
30-Dec-14,53.05,54.20,50.33,53.50,19784
29-Dec-14,53.38,54.01,52.85,53.65,33719
26-Dec-14,52.35,53.48,52.16,53.24,25598
24-Dec-14,51.67,52.18,51.00,52.00,8072
23-Dec-14,49.94,51.86,49.94,51.65,19192
22-Dec-14,49.71,50.15,49.30,49.78,28227
19-Dec-14,49.04,49.54,48.21,49.40,80217
18-Dec-14,49.88,49.95,48.30,49.30,27340
17-Dec-14,47.11,49.50,46.90,49.45,31396
16-Dec-14,46.99,47.71,46.99,47.13,41567
15-Dec-14,47.81,47.93,46.80,47.08,59588
12-Dec-14,47.17,48.08,47.17,47.58,27306
11-Dec-14,47.03,48.12,46.69,47.72,44556
10-Dec-14,47.55,47.74,47.00,47.00,36763
9-Dec-14,46.70,48.64,46.60,48.03,47443
8-Dec-14,49.22,49.49,47.51,47.52,13208
5-Dec-14,48.81,49.75,48.39,49.44,22680
4-Dec-14,48.82,49.48,48.51,48.88,42031
3-Dec-14,46.04,49.40,46.03,49.02,53989
2-Dec-14,46.03,46.66,45.92,46.51,10515
1-Dec-14,45.72,45.98,45.38,45.47,23310
28-Nov-14,46.87,46.99,45.50,45.53,8764
26-Nov-14,47.40,47.43,46.04,46.61,9048
25-Nov-14,47.43,47.64,46.22,47.43,9214
24-Nov-14,46.36,47.07,45.85,47.07,16322
21-Nov-14,46.64,46.89,45.58,46.17,19276
20-Nov-14,45.79,46.69,45.71,46.17,9600
19-Nov-14,47.06,47.06,45.76,46.20,16738
18-Nov-14,48.12,48.47,47.14,47.55,14599
17-Nov-14,47.98,49.46,47.69,47.69,13675
14-Nov-14,48.87,49.44,47.59,48.21,15344
13-Nov-14,49.99,49.99,48.18,49.03,14820
12-Nov-14,48.65,49.50,48.33,49.43,19891
11-Nov-14,49.42,49.70,48.58,49.01,26264
10-Nov-14,48.92,49.50,48.19,49.41,24567
7-Nov-14,48.59,49.02,48.16,48.90,23563
6-Nov-14,48.18,48.99,47.23,48.73,18183
5-Nov-14,47.34,48.38,46.76,48.13,27865
4-Nov-14,45.56,47.01,45.20,46.86,15512
3-Nov-14,47.89,47.89,45.48,45.91,29057
31-Oct-14,47.93,49.20,47.07,47.54,44312
30-Oct-14,45.91,47.54,45.30,46.85,34626
29-Oct-14,46.84,47.20,45.64,46.29,19227
28-Oct-14,44.30,47.00,44.13,46.95,38936
27-Oct-14,43.35,44.63,42.72,44.42,18655
24-Oct-14,43.73,44.60,43.00,43.34,15805
23-Oct-14,41.96,45.00,41.06,43.95,42406
22-Oct-14,41.84,42.70,41.22,41.24,18016
21-Oct-14,42.46,42.77,39.00,42.25,86808
20-Oct-14,42.20,43.17,41.33,42.41,30140
17-Oct-14,44.93,44.93,42.13,42.29,27728
16-Oct-14,44.85,45.13,43.47,44.20,43340
15-Oct-14,43.99,45.94,42.81,45.59,28950
14-Oct-14,43.26,44.32,42.84,44.02,32701
13-Oct-14,40.77,43.50,39.49,42.99,37892
10-Oct-14,39.73,41.69,39.71,40.57,24073
9-Oct-14,40.73,40.95,40.00,40.01,36198
8-Oct-14,40.85,41.96,40.20,41.75,22223
7-Oct-14,41.72,41.97,40.77,40.96,11998
6-Oct-14,42.51,42.51,42.03,42.03,19838
3-Oct-14,42.82,43.00,42.07,42.30,28862
2-Oct-14,41.09,43.00,40.17,42.42,14821
1-Oct-14,41.55,41.55,40.82,41.20,41143
30-Sep-14,42.07,42.22,41.19,41.40,54092
29-Sep-14,42.02,42.13,41.39,41.97,26852
26-Sep-14,42.26,42.54,41.61,42.48,18038
25-Sep-14,42.35,44.64,41.69,42.25,44472
