Date,Open,High,Low,Close,Volume
31-Dec-14,7.66,7.88,7.66,7.88,1857
30-Dec-14,7.60,7.76,7.53,7.65,6249
29-Dec-14,7.63,7.63,7.63,7.63,161
26-Dec-14,7.57,7.57,7.57,7.57,100
24-Dec-14,7.41,7.50,7.35,7.42,8913
23-Dec-14,7.41,7.41,7.41,7.41,238
22-Dec-14,7.61,7.61,7.36,7.36,898
19-Dec-14,7.67,7.67,7.38,7.40,639
17-Dec-14,7.45,7.50,7.45,7.50,899
16-Dec-14,7.50,7.52,7.50,7.52,1126
15-Dec-14,7.61,7.61,7.25,7.28,2601
12-Dec-14,7.57,7.70,7.49,7.49,5316
11-Dec-14,7.50,7.70,7.49,7.70,5425
9-Dec-14,7.70,7.70,7.60,7.62,5461
8-Dec-14,7.68,7.70,7.68,7.70,1266
5-Dec-14,7.83,7.83,7.49,7.49,563
4-Dec-14,7.20,7.53,7.20,7.33,6206
3-Dec-14,7.30,7.31,7.20,7.29,1115
2-Dec-14,7.27,7.53,7.27,7.53,679
1-Dec-14,7.25,7.85,7.20,7.25,3538
28-Nov-14,7.83,7.83,7.54,7.54,325
26-Nov-14,7.96,7.96,7.25,7.50,2605
25-Nov-14,7.20,8.00,7.20,7.28,14935
24-Nov-14,7.19,7.30,7.18,7.25,11278
21-Nov-14,7.03,7.10,7.03,7.10,3321
20-Nov-14,7.08,7.08,7.08,7.08,879
18-Nov-14,7.03,7.03,7.03,7.03,452
17-Nov-14,6.99,7.10,6.99,7.03,9732
14-Nov-14,6.75,6.98,6.75,6.90,5797
13-Nov-14,7.06,7.06,6.78,6.78,428
12-Nov-14,6.75,6.92,6.59,6.80,3200
11-Nov-14,6.90,6.92,6.65,6.65,6174
7-Nov-14,6.90,6.90,6.90,6.90,1113
6-Nov-14,6.61,6.91,6.61,6.90,428
5-Nov-14,7.07,7.10,7.07,7.10,928
4-Nov-14,7.00,7.10,6.99,7.10,2925
3-Nov-14,7.00,7.00,6.95,6.95,469
31-Oct-14,6.80,6.90,6.80,6.90,7514
30-Oct-14,6.80,6.90,6.80,6.81,1838
29-Oct-14,6.90,6.90,6.80,6.86,2350
28-Oct-14,6.80,7.16,6.80,6.98,10859
27-Oct-14,6.93,6.93,6.80,6.80,684
24-Oct-14,6.81,6.81,6.81,6.81,153
23-Oct-14,6.81,6.81,6.81,6.81,306
22-Oct-14,6.64,6.64,6.64,6.64,166
21-Oct-14,6.68,6.75,6.62,6.62,540
20-Oct-14,6.40,6.74,6.40,6.72,488
17-Oct-14,6.40,6.73,6.40,6.71,1004
16-Oct-14,6.60,6.73,6.60,6.60,1798
15-Oct-14,6.40,6.73,6.40,6.73,1882
14-Oct-14,6.51,6.58,6.51,6.55,2029
13-Oct-14,6.58,6.74,6.58,6.59,1248
8-Oct-14,6.54,6.99,6.54,6.91,1144
7-Oct-14,6.70,7.10,6.70,6.97,1857
6-Oct-14,6.70,6.75,6.70,6.70,1014
3-Oct-14,7.07,7.07,7.07,7.07,100
2-Oct-14,6.35,7.10,6.30,6.70,27396
1-Oct-14,6.70,7.10,6.70,7.10,19721
29-Sep-14,6.70,6.70,6.70,6.70,1400
24-Sep-14,6.56,6.70,6.51,6.70,7132
23-Sep-14,6.29,6.66,6.27,6.66,1048
22-Sep-14,6.69,6.69,6.31,6.66,924
19-Sep-14,6.65,6.65,6.65,6.65,199
18-Sep-14,6.50,6.52,6.50,6.50,1112
16-Sep-14,6.74,6.74,6.74,6.74,183
15-Sep-14,6.60,6.60,6.60,6.60,115
11-Sep-14,6.50,6.62,6.50,6.57,2650
9-Sep-14,6.52,6.54,6.52,6.54,1295
8-Sep-14,6.26,6.50,6.26,6.50,3108
5-Sep-14,6.63,6.63,6.63,6.63,368
4-Sep-14,6.70,6.70,6.35,6.58,21339
2-Sep-14,6.50,6.56,6.50,6.56,4144
29-Aug-14,6.50,6.50,6.50,6.50,1536
28-Aug-14,6.50,6.50,6.50,6.50,124
22-Aug-14,6.49,6.62,6.48,6.56,1385
21-Aug-14,6.69,6.69,6.69,6.69,362
20-Aug-14,6.43,6.69,6.43,6.69,400
18-Aug-14,6.67,6.67,6.51,6.51,249
15-Aug-14,6.44,6.50,6.43,6.50,4100
14-Aug-14,6.52,6.57,6.43,6.43,1200
13-Aug-14,6.40,6.50,6.40,6.43,3781
11-Aug-14,6.47,6.58,6.45,6.56,3163
8-Aug-14,6.69,6.73,6.45,6.73,766
7-Aug-14,6.38,6.55,6.35,6.37,5215
6-Aug-14,6.50,6.50,6.36,6.37,6378
5-Aug-14,6.36,6.60,6.36,6.50,4754
4-Aug-14,6.35,6.73,6.35,6.55,24382
1-Aug-14,6.80,6.80,6.31,6.74,3288
31-Jul-14,6.97,6.97,6.34,6.89,2281
30-Jul-14,6.61,6.61,6.61,6.61,107
29-Jul-14,6.69,6.97,6.33,6.45,2627
28-Jul-14,6.97,6.97,6.97,6.97,185
25-Jul-14,6.34,6.75,6.30,6.44,1403
24-Jul-14,6.82,6.82,6.47,6.47,814
23-Jul-14,6.33,6.64,6.33,6.61,739
22-Jul-14,6.79,6.88,6.66,6.70,8621
21-Jul-14,6.69,7.00,6.65,6.65,6519
18-Jul-14,7.03,7.03,6.64,6.69,3542
17-Jul-14,6.43,7.13,6.43,6.96,33846
16-Jul-14,6.31,6.36,6.25,6.26,6600
15-Jul-14,6.32,6.32,6.25,6.25,2491
14-Jul-14,6.25,6.39,6.25,6.25,7489
11-Jul-14,6.27,6.45,6.25,6.28,4200
10-Jul-14,6.35,6.40,6.27,6.27,2530
9-Jul-14,6.27,6.45,6.25,6.27,3115
8-Jul-14,6.35,6.41,6.25,6.25,7250
7-Jul-14,6.38,6.38,6.38,6.38,364
3-Jul-14,6.14,6.45,6.10,6.42,10628
2-Jul-14,6.07,6.45,6.07,6.26,11880
1-Jul-14,6.27,6.27,6.00,6.06,7346
30-Jun-14,6.18,6.31,6.00,6.31,7644
27-Jun-14,6.18,6.30,6.12,6.30,8727
26-Jun-14,6.06,6.30,6.00,6.06,16719
25-Jun-14,6.14,6.19,6.03,6.06,3311
24-Jun-14,6.12,6.20,6.00,6.13,10694
23-Jun-14,6.17,6.17,6.02,6.02,4387
20-Jun-14,6.11,6.22,6.00,6.20,11065
19-Jun-14,6.29,6.30,6.01,6.10,3610
18-Jun-14,6.15,6.28,6.10,6.28,3200
16-Jun-14,6.06,6.15,6.00,6.14,1325
13-Jun-14,6.09,6.28,6.08,6.15,8028
12-Jun-14,6.00,6.09,6.00,6.09,1344
11-Jun-14,6.09,6.09,6.09,6.09,110
9-Jun-14,6.06,6.06,6.06,6.06,2080
6-Jun-14,6.18,6.25,6.08,6.08,9091
5-Jun-14,6.07,6.07,6.07,6.07,100
4-Jun-14,6.02,6.02,6.02,6.02,135
2-Jun-14,6.00,6.10,6.00,6.10,5484
28-May-14,6.00,6.12,6.00,6.02,4768
27-May-14,6.04,6.23,6.02,6.23,2540
23-May-14,6.04,6.04,6.01,6.01,2726
22-May-14,6.00,6.10,6.00,6.02,1491
21-May-14,6.00,6.00,6.00,6.00,1287
20-May-14,6.10,6.10,6.05,6.10,2868
19-May-14,5.85,6.10,5.85,6.07,5154
16-May-14,6.05,6.10,5.70,5.70,16213
15-May-14,6.05,6.07,5.99,6.04,3792
14-May-14,6.02,6.06,5.91,6.05,42511
13-May-14,6.04,6.07,6.04,6.07,1617
12-May-14,5.94,6.05,5.91,6.03,8971
9-May-14,6.00,6.00,5.90,6.00,2672
8-May-14,6.05,6.05,5.90,6.03,6101
7-May-14,5.99,6.02,5.45,5.89,12826
5-May-14,5.95,6.05,5.63,6.02,10512
1-May-14,6.01,6.19,5.83,5.96,7307
25-Apr-14,6.03,6.03,6.03,6.03,750
24-Apr-14,6.05,6.13,6.03,6.11,4478
22-Apr-14,6.10,6.19,6.01,6.10,2500
17-Apr-14,6.19,6.19,6.19,6.19,107
16-Apr-14,6.04,6.10,6.01,6.10,2248
15-Apr-14,6.20,6.20,6.18,6.19,1601
14-Apr-14,6.00,6.10,6.00,6.00,3162
