Date,Open,High,Low,Close,Volume
31-Dec-14,1.41,1.41,1.28,1.29,137637
30-Dec-14,1.24,1.58,1.20,1.40,384119
29-Dec-14,1.25,1.27,1.23,1.27,76247
26-Dec-14,1.20,1.27,1.20,1.23,110541
24-Dec-14,1.17,1.22,1.17,1.20,14115
23-Dec-14,1.17,1.22,1.17,1.18,27598
22-Dec-14,1.18,1.20,1.17,1.18,59289
19-Dec-14,1.22,1.27,1.17,1.17,64908
18-Dec-14,1.23,1.27,1.21,1.23,55060
17-Dec-14,1.15,1.25,1.15,1.23,70457
16-Dec-14,1.17,1.23,1.17,1.17,35659
15-Dec-14,1.25,1.27,1.18,1.20,15472
12-Dec-14,1.27,1.28,1.24,1.27,4538
11-Dec-14,1.28,1.29,1.20,1.27,22001
10-Dec-14,1.25,1.30,1.12,1.28,121340
9-Dec-14,1.24,1.30,1.24,1.29,46851
8-Dec-14,1.30,1.34,1.25,1.28,47921
5-Dec-14,1.32,1.33,1.28,1.31,22216
4-Dec-14,1.30,1.33,1.29,1.32,18829
3-Dec-14,1.27,1.32,1.25,1.31,119121
2-Dec-14,1.33,1.33,1.25,1.25,50187
1-Dec-14,1.30,1.40,1.25,1.27,84073
28-Nov-14,1.40,1.42,1.29,1.30,80743
26-Nov-14,1.40,1.46,1.38,1.41,50598
25-Nov-14,1.47,1.54,1.36,1.41,105773
24-Nov-14,1.55,1.55,1.45,1.47,91507
21-Nov-14,1.49,1.62,1.48,1.50,111802
20-Nov-14,1.47,1.54,1.47,1.51,50918
19-Nov-14,1.51,1.57,1.48,1.50,107047
18-Nov-14,1.45,1.68,1.45,1.49,371356
17-Nov-14,1.41,1.45,1.39,1.43,23336
14-Nov-14,1.38,1.44,1.37,1.43,31416
13-Nov-14,1.40,1.42,1.37,1.37,19303
12-Nov-14,1.35,1.44,1.35,1.44,33377
11-Nov-14,1.41,1.41,1.34,1.37,14276
10-Nov-14,1.41,1.45,1.38,1.42,43893
7-Nov-14,1.37,1.45,1.30,1.40,91923
6-Nov-14,1.36,1.43,1.34,1.39,56356
5-Nov-14,1.40,1.44,1.32,1.35,107023
4-Nov-14,1.54,1.54,1.39,1.49,63377
3-Nov-14,1.45,1.58,1.38,1.41,132979
31-Oct-14,1.38,1.45,1.36,1.44,81748
30-Oct-14,1.37,1.49,1.34,1.35,106963
29-Oct-14,1.46,1.46,1.34,1.35,58925
28-Oct-14,1.41,1.46,1.35,1.44,78586
27-Oct-14,1.48,1.49,1.42,1.44,44823
24-Oct-14,1.53,1.54,1.47,1.49,37815
23-Oct-14,1.44,1.62,1.41,1.52,117410
22-Oct-14,1.59,1.60,1.43,1.46,56704
21-Oct-14,1.43,1.62,1.38,1.48,126214
20-Oct-14,1.37,1.45,1.36,1.42,68623
17-Oct-14,1.45,1.55,1.41,1.41,120224
16-Oct-14,1.29,1.74,1.29,1.48,1233371
15-Oct-14,1.20,1.35,1.20,1.33,182845
14-Oct-14,1.21,1.28,1.11,1.16,119667
13-Oct-14,1.24,1.32,1.13,1.22,199005
10-Oct-14,1.25,1.25,1.21,1.23,53501
9-Oct-14,1.30,1.33,1.22,1.26,53693
8-Oct-14,1.18,1.37,1.18,1.29,276961
7-Oct-14,1.11,1.35,1.10,1.20,356547
6-Oct-14,1.17,1.19,1.09,1.09,128130
3-Oct-14,1.24,1.24,1.17,1.17,47999
2-Oct-14,1.16,1.23,1.15,1.22,42761
1-Oct-14,1.23,1.24,1.18,1.19,69662
30-Sep-14,1.23,1.30,1.22,1.25,27316
29-Sep-14,1.20,1.27,1.20,1.22,64008
26-Sep-14,1.24,1.29,1.21,1.22,104796
25-Sep-14,1.31,1.39,1.22,1.23,165598
24-Sep-14,1.15,1.49,1.15,1.29,623725
23-Sep-14,1.23,1.27,1.15,1.18,180870
22-Sep-14,1.36,1.40,1.23,1.23,173170
19-Sep-14,1.54,1.54,1.40,1.40,97164
18-Sep-14,1.48,1.49,1.36,1.47,111297
17-Sep-14,1.46,1.54,1.45,1.47,40402
16-Sep-14,1.48,1.52,1.42,1.46,264825
15-Sep-14,1.53,1.59,1.40,1.46,289712
12-Sep-14,1.60,1.60,1.50,1.51,147874
11-Sep-14,1.66,1.69,1.55,1.59,139878
