Date,Open,High,Low,Close,Volume
31-Dec-14,9.29,9.41,9.20,9.41,6821
30-Dec-14,9.30,9.35,9.20,9.28,10669
29-Dec-14,9.25,9.31,9.21,9.31,11965
26-Dec-14,9.39,9.39,9.25,9.27,1447
24-Dec-14,9.29,9.29,9.25,9.25,464
23-Dec-14,9.40,9.40,9.15,9.26,7811
22-Dec-14,9.38,9.38,9.17,9.17,4079
19-Dec-14,9.30,9.44,9.29,9.40,14479
18-Dec-14,9.27,9.37,9.12,9.37,22486
17-Dec-14,9.23,9.27,9.14,9.18,16549
16-Dec-14,9.20,9.38,9.13,9.16,10503
15-Dec-14,9.22,9.22,9.10,9.20,9533
12-Dec-14,9.36,9.36,9.15,9.15,7550
11-Dec-14,9.40,9.40,9.18,9.36,15202
10-Dec-14,9.50,9.50,9.34,9.35,13937
9-Dec-14,9.19,9.40,9.11,9.37,24979
8-Dec-14,9.27,9.43,9.15,9.33,11377
5-Dec-14,9.19,9.39,9.19,9.22,16316
4-Dec-14,9.16,9.27,9.05,9.27,19168
3-Dec-14,9.07,9.18,9.04,9.04,12309
2-Dec-14,9.17,9.19,9.02,9.05,15591
1-Dec-14,9.35,9.35,9.15,9.15,12969
28-Nov-14,9.33,9.33,9.20,9.31,5131
26-Nov-14,9.11,9.45,9.08,9.37,34145
25-Nov-14,9.13,9.15,9.07,9.10,19383
24-Nov-14,9.20,9.20,9.12,9.13,22841
21-Nov-14,9.20,9.21,9.12,9.12,10431
20-Nov-14,9.40,9.40,9.20,9.22,18821
19-Nov-14,9.25,9.59,9.25,9.36,23861
18-Nov-14,9.28,9.30,9.22,9.30,20502
17-Nov-14,9.35,9.35,9.18,9.22,11689
14-Nov-14,9.38,9.39,9.19,9.23,5078
13-Nov-14,9.16,9.49,9.15,9.34,18278
12-Nov-14,9.15,9.50,9.12,9.33,15593
11-Nov-14,9.21,9.21,9.03,9.17,5698
10-Nov-14,9.20,9.20,9.13,9.15,9991
7-Nov-14,9.05,9.27,9.05,9.10,5456
6-Nov-14,9.03,9.09,9.00,9.01,10835
5-Nov-14,8.99,9.03,8.95,9.02,12577
4-Nov-14,8.94,9.18,8.91,8.91,19155
3-Nov-14,8.92,8.99,8.90,8.90,64441
31-Oct-14,8.97,9.02,8.85,8.91,86572
30-Oct-14,8.92,8.92,8.82,8.90,9516
29-Oct-14,8.90,9.00,8.87,8.93,46582
28-Oct-14,8.98,9.00,8.92,8.95,101628
27-Oct-14,8.98,9.15,8.89,9.11,6253
24-Oct-14,9.24,9.24,9.01,9.05,9102
23-Oct-14,9.28,9.38,9.15,9.20,7770
22-Oct-14,9.29,9.29,9.23,9.24,3273
21-Oct-14,9.27,9.27,9.17,9.20,15830
20-Oct-14,9.19,9.20,9.01,9.20,21928
17-Oct-14,9.20,9.20,9.10,9.13,6399
16-Oct-14,9.10,9.21,9.01,9.14,4571
15-Oct-14,9.23,9.27,9.09,9.10,14027
14-Oct-14,9.20,9.24,9.11,9.13,40792
13-Oct-14,9.27,9.30,9.17,9.17,9317
10-Oct-14,9.30,9.35,9.17,9.32,13768
9-Oct-14,9.24,9.38,9.16,9.30,12297
8-Oct-14,9.21,9.34,9.21,9.25,7999
7-Oct-14,9.24,9.28,9.16,9.25,15607
6-Oct-14,9.42,9.42,9.21,9.24,12844
3-Oct-14,9.52,9.52,9.27,9.39,12059
2-Oct-14,9.32,9.45,9.25,9.32,7995
1-Oct-14,9.47,9.47,9.28,9.29,8199
30-Sep-14,9.43,9.60,9.40,9.43,57586
29-Sep-14,9.47,9.47,9.35,9.43,17765
26-Sep-14,9.42,9.48,9.40,9.40,25189
25-Sep-14,9.48,9.49,9.40,9.42,9355
24-Sep-14,9.50,9.50,9.44,9.48,13691
23-Sep-14,9.48,9.54,9.45,9.48,6151
22-Sep-14,9.47,9.52,9.43,9.51,4242
19-Sep-14,9.44,9.50,9.41,9.45,31934
18-Sep-14,9.48,9.60,9.31,9.37,56081
17-Sep-14,9.45,9.55,9.26,9.38,36047
16-Sep-14,9.48,9.57,9.45,9.48,18467
15-Sep-14,9.41,9.48,9.30,9.48,35843
12-Sep-14,9.42,9.45,9.28,9.36,50629
11-Sep-14,10.37,10.37,9.41,9.48,213660
10-Sep-14,10.05,10.10,9.93,10.06,7106
9-Sep-14,10.20,10.20,10.04,10.06,6666
8-Sep-14,10.05,10.18,10.05,10.13,5188
5-Sep-14,10.12,10.19,10.11,10.14,2448
4-Sep-14,10.24,10.24,10.03,10.14,7239
3-Sep-14,10.29,10.29,10.17,10.23,1314
2-Sep-14,10.27,10.27,10.18,10.23,48224
29-Aug-14,10.30,10.39,10.25,10.26,11988
28-Aug-14,10.30,10.30,10.28,10.30,1416
27-Aug-14,10.25,10.33,10.25,10.28,3866
26-Aug-14,10.25,10.25,10.24,10.24,1024
25-Aug-14,10.23,10.27,10.17,10.24,16905
22-Aug-14,10.25,10.29,10.25,10.28,2383
21-Aug-14,10.22,10.30,10.17,10.24,7370
20-Aug-14,10.30,10.30,10.21,10.26,14651
19-Aug-14,10.32,10.39,10.25,10.30,15779
18-Aug-14,10.25,10.35,10.23,10.32,8395
15-Aug-14,10.23,10.24,10.10,10.23,13208
14-Aug-14,10.16,10.23,10.14,10.17,2709
13-Aug-14,10.41,10.56,10.08,10.29,123846
12-Aug-14,10.05,10.80,10.05,10.37,38594
11-Aug-14,10.28,10.31,10.28,10.31,5186
8-Aug-14,10.19,10.20,10.12,10.16,1071
7-Aug-14,10.25,10.27,9.96,10.09,6810
6-Aug-14,10.03,10.23,10.03,10.14,6761
5-Aug-14,10.15,10.20,10.08,10.13,56218
4-Aug-14,10.19,10.25,10.14,10.18,21649
1-Aug-14,10.30,10.30,10.05,10.13,16666
31-Jul-14,10.26,10.38,10.26,10.30,1436
30-Jul-14,10.27,10.39,10.16,10.30,5928
29-Jul-14,10.21,10.39,10.11,10.25,14431
28-Jul-14,10.19,10.44,10.19,10.28,8013
25-Jul-14,10.25,10.45,10.19,10.42,8204
24-Jul-14,10.38,10.48,10.21,10.25,3342
23-Jul-14,10.18,10.49,10.18,10.25,14378
22-Jul-14,10.49,10.60,10.17,10.50,9986
21-Jul-14,10.31,10.51,10.16,10.42,11928
18-Jul-14,10.50,10.60,10.26,10.34,19239
17-Jul-14,10.58,10.60,10.55,10.58,3111
16-Jul-14,10.54,10.60,10.54,10.55,7287
15-Jul-14,10.59,10.59,10.52,10.54,1114
14-Jul-14,10.77,10.77,10.50,10.54,5756
11-Jul-14,10.56,10.73,10.56,10.73,3286
10-Jul-14,10.29,10.75,10.29,10.62,5340
9-Jul-14,10.27,10.69,10.27,10.46,7443
8-Jul-14,10.28,10.44,10.28,10.30,4971
7-Jul-14,10.54,10.65,10.38,10.44,7910
3-Jul-14,10.58,10.73,10.56,10.73,3610
2-Jul-14,10.54,10.60,10.54,10.60,833
1-Jul-14,10.85,10.85,10.65,10.66,4663
30-Jun-14,10.79,10.84,10.54,10.73,4053
27-Jun-14,10.45,10.87,10.45,10.87,9944
26-Jun-14,10.55,10.55,10.44,10.45,1816
25-Jun-14,10.44,10.67,10.44,10.50,2033
24-Jun-14,10.55,10.62,10.29,10.45,10877
23-Jun-14,10.60,10.63,10.52,10.54,2039
20-Jun-14,10.53,10.69,10.50,10.64,13989
19-Jun-14,10.54,10.83,10.50,10.58,3303
18-Jun-14,10.56,10.70,10.37,10.70,9591
17-Jun-14,10.32,10.45,10.25,10.34,13801
16-Jun-14,10.49,10.61,10.26,10.46,3604
13-Jun-14,10.61,10.61,10.43,10.49,3647
12-Jun-14,10.62,10.70,10.50,10.55,19021
11-Jun-14,10.77,10.89,10.69,10.69,4619
10-Jun-14,10.89,10.98,10.80,10.87,5337
9-Jun-14,10.99,11.23,10.94,10.94,10098
6-Jun-14,10.82,10.98,10.72,10.89,2848
5-Jun-14,10.95,10.99,10.60,10.87,4535
4-Jun-14,10.70,10.99,10.62,10.97,7792
3-Jun-14,10.67,10.75,10.66,10.74,25608
2-Jun-14,10.53,10.80,10.53,10.73,4129
30-May-14,10.73,10.74,10.65,10.73,22158
29-May-14,10.50,10.64,10.43,10.55,43270
28-May-14,10.68,10.68,10.47,10.50,16442
27-May-14,10.50,10.73,10.42,10.65,60060
23-May-14,10.40,10.58,10.39,10.41,3400
22-May-14,10.40,10.50,10.36,10.40,16104
21-May-14,10.45,10.45,10.29,10.30,18450
20-May-14,10.25,10.30,10.20,10.30,10597
19-May-14,10.26,10.30,10.21,10.22,121032
16-May-14,10.29,10.50,10.24,10.26,35368
15-May-14,10.33,10.48,10.29,10.42,8831
14-May-14,10.37,10.39,10.25,10.33,6488
13-May-14,10.32,10.50,10.26,10.42,9970
12-May-14,10.35,10.35,10.21,10.26,9106
9-May-14,10.34,10.36,10.23,10.35,15479
8-May-14,10.46,10.46,10.33,10.38,1238
7-May-14,10.35,10.46,10.35,10.46,1943
6-May-14,10.55,10.55,10.35,10.35,10946
5-May-14,10.53,10.55,10.48,10.54,3920
2-May-14,10.60,10.60,10.55,10.55,5386
1-May-14,10.60,10.65,10.41,10.60,29585
30-Apr-14,10.63,10.65,10.48,10.65,1882
29-Apr-14,10.67,10.67,10.52,10.60,5784
28-Apr-14,10.43,10.78,10.43,10.67,23858
25-Apr-14,10.65,10.70,10.53,10.69,2283
24-Apr-14,10.72,10.72,10.62,10.63,2296
23-Apr-14,10.47,10.73,10.40,10.73,3014
22-Apr-14,10.55,10.73,10.50,10.73,5751
21-Apr-14,10.74,10.74,10.50,10.69,64663
17-Apr-14,10.63,10.67,10.40,10.48,11225
16-Apr-14,10.71,10.75,10.54,10.66,8100
15-Apr-14,10.89,10.89,10.58,10.72,5596
14-Apr-14,10.93,10.93,10.78,10.91,724
11-Apr-14,11.00,11.00,10.90,10.90,1660
10-Apr-14,11.00,11.00,10.79,10.94,2374
9-Apr-14,11.04,11.07,10.98,10.98,2516
8-Apr-14,10.98,11.10,10.98,11.07,969
7-Apr-14,10.85,10.95,10.75,10.76,12637
4-Apr-14,11.01,11.09,10.80,10.87,4469
3-Apr-14,10.85,11.10,10.85,11.06,10546
2-Apr-14,10.95,11.10,10.82,11.07,9699
1-Apr-14,11.00,11.00,10.92,10.97,7503
31-Mar-14,10.95,11.00,10.80,11.00,16341
28-Mar-14,11.06,11.09,10.80,10.97,7218
27-Mar-14,10.97,11.04,10.81,10.96,9422
26-Mar-14,11.05,11.10,11.01,11.08,1245
25-Mar-14,11.10,11.10,10.90,11.10,5285
24-Mar-14,11.23,11.23,10.82,11.13,7188
21-Mar-14,10.85,11.26,10.82,11.12,39373
20-Mar-14,10.75,10.85,10.75,10.85,49865
19-Mar-14,10.80,10.85,10.74,10.84,78125
18-Mar-14,10.85,10.85,10.81,10.81,3031
17-Mar-14,10.75,10.89,10.75,10.81,12374
14-Mar-14,10.99,10.99,10.75,10.75,8480
13-Mar-14,10.69,10.99,10.66,10.92,28979
12-Mar-14,10.63,10.70,10.41,10.66,6106
11-Mar-14,10.70,10.70,10.59,10.59,1812
10-Mar-14,10.43,10.70,10.43,10.62,7135
7-Mar-14,10.54,10.63,10.43,10.53,1864
6-Mar-14,10.51,10.58,10.51,10.58,1279
5-Mar-14,10.42,10.60,10.41,10.59,10946
4-Mar-14,10.58,10.70,10.58,10.70,5506
3-Mar-14,10.62,10.66,10.41,10.60,12879
28-Feb-14,10.50,10.63,10.50,10.63,5643
27-Feb-14,10.30,10.50,10.21,10.50,40475
26-Feb-14,10.31,10.46,10.20,10.38,9111
25-Feb-14,10.52,10.52,10.32,10.40,12455
24-Feb-14,10.46,10.55,10.21,10.52,5873
21-Feb-14,10.46,10.46,10.46,10.46,340
20-Feb-14,10.73,10.73,10.67,10.68,6234
19-Feb-14,10.80,10.80,10.60,10.73,21856
18-Feb-14,10.73,11.09,10.73,10.94,7627
14-Feb-14,10.60,10.60,10.49,10.58,2574
13-Feb-14,10.45,10.57,10.45,10.57,36257
12-Feb-14,10.45,10.48,10.40,10.45,9772
11-Feb-14,10.40,10.45,10.40,10.44,3814
10-Feb-14,10.33,10.46,10.33,10.40,6113
7-Feb-14,10.32,10.32,10.20,10.27,3756
6-Feb-14,10.16,10.29,10.10,10.22,140026
5-Feb-14,10.21,10.29,10.16,10.24,4093
4-Feb-14,10.32,10.32,10.10,10.18,9586
3-Feb-14,10.17,10.38,10.01,10.36,9922
31-Jan-14,10.18,10.49,10.10,10.17,14802
30-Jan-14,10.17,10.25,9.92,10.21,5548
29-Jan-14,10.17,10.25,10.01,10.25,3546
28-Jan-14,10.15,10.26,10.12,10.12,6314
27-Jan-14,10.23,10.23,10.11,10.12,1606
24-Jan-14,10.28,10.28,10.10,10.19,4819
23-Jan-14,10.31,10.34,10.23,10.26,3748
22-Jan-14,10.31,10.41,10.25,10.25,20388
21-Jan-14,10.49,10.49,10.40,10.40,18047
17-Jan-14,10.43,10.49,10.43,10.49,14059
16-Jan-14,10.40,10.44,10.39,10.42,8562
15-Jan-14,10.38,10.45,10.36,10.37,6598
14-Jan-14,10.30,10.36,10.29,10.36,9377
13-Jan-14,10.35,10.38,10.30,10.30,19291
10-Jan-14,10.36,10.36,10.26,10.30,7654
9-Jan-14,10.28,10.33,10.23,10.26,8714
8-Jan-14,10.30,10.30,10.25,10.25,2234
7-Jan-14,10.25,10.32,10.25,10.30,9366
6-Jan-14,10.20,10.29,10.20,10.27,5257
3-Jan-14,10.20,10.25,10.10,10.15,10362
2-Jan-14,10.20,10.28,9.99,10.24,26387
31-Dec-13,10.23,10.30,10.10,10.16,5294
30-Dec-13,10.17,10.33,10.11,10.30,21159
27-Dec-13,10.16,10.17,10.15,10.17,10814
26-Dec-13,10.20,10.20,10.11,10.17,10903
24-Dec-13,10.14,10.15,10.06,10.11,2830
23-Dec-13,10.13,10.20,10.13,10.14,8485
20-Dec-13,9.95,10.15,9.95,10.14,40304
19-Dec-13,9.90,10.01,9.88,9.99,16916
18-Dec-13,9.72,9.97,9.72,9.92,3036
17-Dec-13,9.93,10.00,9.91,9.95,8390
16-Dec-13,10.04,10.10,9.86,9.90,30094
13-Dec-13,10.08,10.15,10.02,10.14,11427
12-Dec-13,10.02,10.10,10.01,10.02,3634
11-Dec-13,10.06,10.10,10.00,10.04,10669
10-Dec-13,10.05,10.14,10.01,10.01,15197
9-Dec-13,10.12,10.15,10.02,10.11,3838
6-Dec-13,10.15,10.15,10.06,10.12,8300
5-Dec-13,10.08,10.15,10.08,10.15,39977
4-Dec-13,10.02,10.09,9.91,10.08,6960
3-Dec-13,10.00,10.03,9.92,9.98,41767
2-Dec-13,9.93,10.07,9.92,9.97,11127
29-Nov-13,9.99,10.09,9.99,10.09,37255
27-Nov-13,9.94,10.00,9.88,10.00,23343
26-Nov-13,9.96,9.99,9.89,9.93,10763
25-Nov-13,9.91,10.00,9.79,9.95,10206
22-Nov-13,9.85,9.95,9.84,9.85,24543
21-Nov-13,9.84,9.85,9.74,9.80,16356
20-Nov-13,9.79,9.85,9.72,9.79,4788
19-Nov-13,9.62,9.80,9.60,9.73,6068
18-Nov-13,9.81,9.83,9.61,9.74,8522
15-Nov-13,9.65,9.82,9.65,9.75,26239
14-Nov-13,9.63,9.65,9.61,9.63,5216
13-Nov-13,9.62,9.65,9.61,9.63,11864
12-Nov-13,9.61,9.64,9.60,9.61,5611
11-Nov-13,9.63,9.65,9.55,9.61,4616
8-Nov-13,9.53,9.70,9.53,9.63,4867
7-Nov-13,9.53,9.68,9.40,9.61,4561
6-Nov-13,9.43,9.67,9.40,9.60,6370
5-Nov-13,9.53,9.69,9.51,9.56,4818
4-Nov-13,9.47,9.60,9.29,9.53,28105
1-Nov-13,9.29,9.49,9.25,9.41,83299
31-Oct-13,9.27,9.33,9.21,9.21,8138
30-Oct-13,9.35,9.35,9.25,9.34,17869
29-Oct-13,9.34,9.35,9.20,9.35,21599
28-Oct-13,9.21,9.34,9.21,9.33,23619
25-Oct-13,9.27,9.28,9.18,9.26,13935
24-Oct-13,9.16,9.27,9.08,9.25,10630
23-Oct-13,9.15,9.24,9.15,9.22,11722
22-Oct-13,9.20,9.20,9.10,9.20,19474
21-Oct-13,9.07,9.24,9.07,9.17,12629
18-Oct-13,9.15,9.15,9.06,9.12,11497
17-Oct-13,9.07,9.18,9.03,9.18,7474
16-Oct-13,9.19,9.25,9.02,9.13,30973
15-Oct-13,9.11,9.15,9.05,9.15,9081
14-Oct-13,9.12,9.15,9.05,9.13,161603
11-Oct-13,9.16,9.19,9.11,9.14,6465
10-Oct-13,9.15,9.19,9.10,9.10,1698
9-Oct-13,9.07,9.13,9.05,9.05,4293
8-Oct-13,9.11,9.11,9.06,9.09,8585
7-Oct-13,9.16,9.20,9.04,9.12,13359
