Date,Open,High,Low,Close,Volume
31-Dec-14,0.78,0.82,0.78,0.81,52457
30-Dec-14,0.82,0.82,0.77,0.82,40795
29-Dec-14,0.84,0.87,0.80,0.82,47693
26-Dec-14,0.80,0.85,0.77,0.84,81774
24-Dec-14,0.85,0.85,0.80,0.80,11457
23-Dec-14,0.80,0.84,0.80,0.80,130314
22-Dec-14,0.83,0.85,0.80,0.85,32240
19-Dec-14,0.85,0.89,0.82,0.89,56672
18-Dec-14,0.85,0.89,0.79,0.88,63113
17-Dec-14,0.86,0.88,0.82,0.87,14410
16-Dec-14,0.84,0.89,0.84,0.84,10910
15-Dec-14,0.85,0.88,0.83,0.88,38912
12-Dec-14,0.88,0.90,0.80,0.88,65200
11-Dec-14,0.89,0.89,0.87,0.87,22050
10-Dec-14,0.90,0.90,0.85,0.87,32006
9-Dec-14,0.90,0.90,0.85,0.90,44498
8-Dec-14,0.92,0.95,0.88,0.90,20550
5-Dec-14,0.95,0.95,0.92,0.95,7025
4-Dec-14,0.86,0.95,0.84,0.95,60742
3-Dec-14,0.90,0.92,0.84,0.90,19779
2-Dec-14,0.84,0.89,0.82,0.87,37731
1-Dec-14,0.80,0.84,0.80,0.84,56070
28-Nov-14,0.80,0.83,0.80,0.81,29350
26-Nov-14,0.82,0.85,0.80,0.83,30850
25-Nov-14,0.86,0.86,0.84,0.84,18216
24-Nov-14,0.85,0.88,0.83,0.86,10189
21-Nov-14,0.87,0.88,0.83,0.83,37600
20-Nov-14,0.83,0.88,0.82,0.88,17600
19-Nov-14,0.84,0.87,0.82,0.85,74918
18-Nov-14,0.87,0.89,0.84,0.85,43050
17-Nov-14,0.86,0.92,0.82,0.85,14614
14-Nov-14,0.86,0.90,0.85,0.90,104263
13-Nov-14,0.95,0.99,0.82,0.88,148213
12-Nov-14,0.94,0.95,0.83,0.83,17884
11-Nov-14,0.88,0.96,0.81,0.82,89789
10-Nov-14,0.87,0.89,0.83,0.86,30156
7-Nov-14,0.81,0.89,0.81,0.84,143991
6-Nov-14,0.84,0.89,0.80,0.80,13574
5-Nov-14,0.91,0.91,0.80,0.80,26678
4-Nov-14,0.99,0.99,0.92,0.92,8887
3-Nov-14,1.00,1.00,0.93,0.95,11058
31-Oct-14,0.93,1.00,0.93,1.00,27510
30-Oct-14,0.91,1.02,0.90,1.00,99740
29-Oct-14,0.92,0.93,0.87,0.91,99036
28-Oct-14,0.89,0.94,0.75,0.86,140605
27-Oct-14,0.82,0.90,0.79,0.82,18729
24-Oct-14,0.80,0.92,0.78,0.86,92008
23-Oct-14,0.81,0.82,0.80,0.80,13239
22-Oct-14,0.84,0.84,0.79,0.80,13775
21-Oct-14,0.74,0.89,0.74,0.81,63298
20-Oct-14,0.75,0.76,0.73,0.74,20708
17-Oct-14,0.73,0.75,0.73,0.74,19340
16-Oct-14,0.73,0.75,0.73,0.74,52345
15-Oct-14,0.75,0.75,0.74,0.74,7145
14-Oct-14,0.80,0.80,0.71,0.74,102974
13-Oct-14,0.78,0.80,0.76,0.79,23638
10-Oct-14,0.83,0.84,0.78,0.78,49870
9-Oct-14,0.83,0.84,0.76,0.82,93193
8-Oct-14,0.86,0.87,0.82,0.82,61635
7-Oct-14,0.86,0.90,0.86,0.87,28984
6-Oct-14,0.91,0.94,0.87,0.88,67248
3-Oct-14,0.91,0.95,0.91,0.91,40469
2-Oct-14,0.93,0.97,0.91,0.93,60190
1-Oct-14,1.00,1.01,0.81,0.98,125814
30-Sep-14,1.00,1.02,0.97,1.00,73663
29-Sep-14,1.00,1.03,0.98,0.98,33155
26-Sep-14,1.05,1.06,1.00,1.02,32307
25-Sep-14,1.05,1.08,1.01,1.01,49315
24-Sep-14,1.03,1.08,1.03,1.08,12308
23-Sep-14,1.05,1.09,1.03,1.07,23351
22-Sep-14,1.11,1.13,1.02,1.05,69102
19-Sep-14,1.13,1.13,1.06,1.10,15555
18-Sep-14,1.14,1.14,1.08,1.10,20720
17-Sep-14,1.15,1.15,1.07,1.14,33781
16-Sep-14,1.15,1.15,1.11,1.15,3571
15-Sep-14,1.12,1.15,1.10,1.15,11454
12-Sep-14,1.13,1.21,1.10,1.16,86440
11-Sep-14,1.08,1.13,1.04,1.12,105729
10-Sep-14,1.07,1.09,1.04,1.09,20482
9-Sep-14,1.02,1.06,1.02,1.06,18056
8-Sep-14,1.05,1.09,0.99,1.06,39007
5-Sep-14,1.05,1.09,1.05,1.07,39666
4-Sep-14,1.06,1.09,1.05,1.08,30126
3-Sep-14,1.08,1.11,1.07,1.09,47484
2-Sep-14,1.15,1.18,1.01,1.12,69606
29-Aug-14,1.15,1.23,1.12,1.15,31606
28-Aug-14,1.10,1.24,1.08,1.13,93552
27-Aug-14,1.15,1.19,1.11,1.13,112781
26-Aug-14,1.12,1.22,1.06,1.15,231606
25-Aug-14,1.03,1.18,1.03,1.10,355120
22-Aug-14,0.98,1.09,0.98,1.02,373630
21-Aug-14,1.02,1.09,0.98,1.01,175032
20-Aug-14,1.08,1.08,1.01,1.04,105001
19-Aug-14,1.08,1.11,1.03,1.07,202837
18-Aug-14,1.13,1.15,1.08,1.10,166835
15-Aug-14,1.13,1.15,1.08,1.15,147065
14-Aug-14,1.13,1.24,1.11,1.15,150247
13-Aug-14,0.98,1.38,0.98,1.15,496869
12-Aug-14,1.00,1.00,0.96,0.98,151091
11-Aug-14,1.00,1.05,0.90,1.01,178093
8-Aug-14,0.95,1.05,0.95,0.99,171006
7-Aug-14,0.81,1.20,0.76,1.04,950253
30-Apr-14,1.40,1.41,1.30,1.35,119516
29-Apr-14,1.45,1.47,1.36,1.37,94176
28-Apr-14,1.50,1.51,1.46,1.46,29215
25-Apr-14,1.54,1.55,1.43,1.48,55802
24-Apr-14,1.58,1.58,1.52,1.56,53741
23-Apr-14,1.60,1.62,1.56,1.56,44170
22-Apr-14,1.59,1.63,1.58,1.62,85650
21-Apr-14,1.62,1.62,1.55,1.56,51327
17-Apr-14,1.51,1.61,1.51,1.60,46445
16-Apr-14,1.45,1.50,1.45,1.49,83917
15-Apr-14,1.62,1.62,1.41,1.47,230815
14-Apr-14,1.63,1.64,1.60,1.62,71080
11-Apr-14,1.64,1.65,1.60,1.61,77426
10-Apr-14,1.64,1.65,1.63,1.63,41749
9-Apr-14,1.63,1.66,1.60,1.63,81863
8-Apr-14,1.60,1.67,1.60,1.64,50275
7-Apr-14,1.60,1.64,1.60,1.62,41209
4-Apr-14,1.62,1.64,1.60,1.62,55183
3-Apr-14,1.62,1.66,1.62,1.62,29578
2-Apr-14,1.69,1.70,1.62,1.64,62547
1-Apr-14,1.68,1.72,1.62,1.69,58365
31-Mar-14,1.65,1.77,1.60,1.65,78111
28-Mar-14,1.65,1.69,1.60,1.62,205982
27-Mar-14,1.67,1.80,1.66,1.67,54845
26-Mar-14,1.69,1.83,1.69,1.78,154174
25-Mar-14,1.65,1.73,1.65,1.66,108344
24-Mar-14,1.66,1.68,1.64,1.65,61628
21-Mar-14,1.69,1.73,1.62,1.62,434247
20-Mar-14,1.70,1.70,1.65,1.66,32385
19-Mar-14,1.65,1.71,1.65,1.65,41573
18-Mar-14,1.66,1.72,1.66,1.66,61426
17-Mar-14,1.66,1.75,1.65,1.65,58602
14-Mar-14,1.63,1.74,1.62,1.66,95551
13-Mar-14,1.73,1.79,1.65,1.67,167023
12-Mar-14,1.79,1.79,1.72,1.74,107068
11-Mar-14,1.83,1.86,1.77,1.78,74020
10-Mar-14,1.85,1.88,1.80,1.80,98499
7-Mar-14,1.92,1.95,1.84,1.88,107491
6-Mar-14,1.85,2.00,1.82,1.89,285657
5-Mar-14,1.79,1.84,1.79,1.82,76508
4-Mar-14,1.83,1.87,1.76,1.79,132270
3-Mar-14,1.84,1.86,1.79,1.82,119756
28-Feb-14,1.78,1.83,1.76,1.83,135395
27-Feb-14,1.81,1.83,1.73,1.78,126979
26-Feb-14,1.90,1.90,1.72,1.73,429681
25-Feb-14,2.09,2.16,1.75,1.77,896502
24-Feb-14,2.25,2.25,2.11,2.14,67625
21-Feb-14,2.19,2.19,2.15,2.17,22791
20-Feb-14,2.21,2.24,2.13,2.16,51390
19-Feb-14,2.26,2.26,2.18,2.24,12316
18-Feb-14,2.25,2.26,2.16,2.21,11830
14-Feb-14,2.25,2.34,2.21,2.25,47442
13-Feb-14,2.22,2.23,2.16,2.23,76312
12-Feb-14,2.16,2.23,2.16,2.20,21348
11-Feb-14,2.18,2.19,2.12,2.17,48139
10-Feb-14,2.18,2.19,2.13,2.19,19968
7-Feb-14,2.20,2.20,2.12,2.16,40126
6-Feb-14,2.15,2.20,2.14,2.15,11344
5-Feb-14,2.16,2.21,2.14,2.15,14384
4-Feb-14,2.34,2.34,2.15,2.16,14739
3-Feb-14,2.30,2.30,2.17,2.21,26992
31-Jan-14,2.30,2.36,2.23,2.29,25061
30-Jan-14,2.19,2.26,2.19,2.26,32909
29-Jan-14,2.20,2.25,2.17,2.18,32463
28-Jan-14,2.16,2.25,2.16,2.22,87561
27-Jan-14,2.25,2.25,2.13,2.14,97805
24-Jan-14,2.35,2.35,2.23,2.25,96792
23-Jan-14,2.51,2.53,2.39,2.40,108239
22-Jan-14,2.59,2.64,2.49,2.56,57095
21-Jan-14,2.56,2.59,2.47,2.55,45419
17-Jan-14,2.44,2.63,2.41,2.53,264262
16-Jan-14,2.46,2.46,2.40,2.42,28427
15-Jan-14,2.43,2.47,2.43,2.44,34772
14-Jan-14,2.45,2.47,2.42,2.46,28731
13-Jan-14,2.46,2.47,2.40,2.41,46823
10-Jan-14,2.47,2.50,2.42,2.45,81254
9-Jan-14,2.43,2.49,2.42,2.45,41075
8-Jan-14,2.39,2.48,2.37,2.45,64598
7-Jan-14,2.41,2.41,2.35,2.35,50300
6-Jan-14,2.45,2.45,2.39,2.40,48395
3-Jan-14,2.39,2.43,2.37,2.41,23635
2-Jan-14,2.45,2.45,2.37,2.39,45562
31-Dec-13,2.44,2.60,2.37,2.44,76978
30-Dec-13,2.23,2.53,2.23,2.40,169929
27-Dec-13,2.21,2.28,2.17,2.25,93304
26-Dec-13,2.16,2.22,2.12,2.15,37022
24-Dec-13,2.21,2.21,2.16,2.18,12199
23-Dec-13,2.10,2.26,2.06,2.19,109537
20-Dec-13,2.20,2.20,2.08,2.08,93082
19-Dec-13,2.15,2.21,2.10,2.14,154169
18-Dec-13,2.20,2.27,2.15,2.17,100254
17-Dec-13,2.29,2.29,2.22,2.24,51991
16-Dec-13,2.25,2.33,2.22,2.27,104153
13-Dec-13,2.33,2.33,2.25,2.27,56473
12-Dec-13,2.43,2.43,2.31,2.34,42773
11-Dec-13,2.37,2.49,2.37,2.41,33846
10-Dec-13,2.52,2.52,2.42,2.50,147577
9-Dec-13,2.53,2.54,2.49,2.50,44024
6-Dec-13,2.51,2.56,2.48,2.49,35685
5-Dec-13,2.52,2.58,2.42,2.51,85816
4-Dec-13,2.50,2.53,2.45,2.46,41112
3-Dec-13,1.95,2.58,1.93,2.51,173392
2-Dec-13,2.85,2.94,2.68,2.70,112210
29-Nov-13,2.79,2.94,2.79,2.88,12859
27-Nov-13,2.93,2.97,2.81,2.81,25357
26-Nov-13,2.83,2.92,2.83,2.89,18410
25-Nov-13,3.02,3.08,2.80,2.86,57976
22-Nov-13,3.07,3.07,2.93,3.01,18179
21-Nov-13,2.95,3.10,2.95,3.08,11922
20-Nov-13,3.00,3.03,2.85,2.99,41798
19-Nov-13,3.03,3.09,2.96,3.04,21963
18-Nov-13,3.10,3.10,2.92,3.07,51447
15-Nov-13,3.05,3.15,3.05,3.10,21853
14-Nov-13,3.05,3.21,3.01,3.05,74259
13-Nov-13,3.29,3.29,2.48,3.15,194005
12-Nov-13,3.53,3.54,3.49,3.52,30774
11-Nov-13,3.42,3.55,3.42,3.50,34107
8-Nov-13,3.42,3.50,3.40,3.46,25646
7-Nov-13,3.55,3.55,3.40,3.40,15304
6-Nov-13,3.45,3.54,3.45,3.51,16585
5-Nov-13,3.41,3.51,3.41,3.46,27614
4-Nov-13,3.44,3.50,3.41,3.46,12683
1-Nov-13,3.51,3.54,3.43,3.46,12672
31-Oct-13,3.47,3.58,3.47,3.50,19966
30-Oct-13,3.60,3.60,3.42,3.51,32003
29-Oct-13,3.56,3.60,3.35,3.58,57036
28-Oct-13,3.48,3.60,3.26,3.60,76605
25-Oct-13,3.79,3.80,3.40,3.53,91997
24-Oct-13,3.82,3.86,3.52,3.79,82981
23-Oct-13,3.96,3.96,3.71,3.77,90913
22-Oct-13,3.99,4.14,3.97,4.04,58487
21-Oct-13,3.95,4.19,3.95,4.06,126038
18-Oct-13,3.87,4.25,3.79,3.95,127599
17-Oct-13,3.85,3.86,3.70,3.77,49282
16-Oct-13,3.50,3.88,3.50,3.81,95505
15-Oct-13,3.60,3.63,3.48,3.50,66035
14-Oct-13,3.63,3.63,3.44,3.62,32035
11-Oct-13,3.66,3.73,3.50,3.63,26519
10-Oct-13,3.41,3.61,3.02,3.61,79661
9-Oct-13,3.54,3.68,3.29,3.42,148938
8-Oct-13,3.78,3.78,3.40,3.57,138707
7-Oct-13,3.78,3.78,3.70,3.75,93574
4-Oct-13,3.59,3.75,3.57,3.73,37632
3-Oct-13,3.70,3.91,3.47,3.59,236697
2-Oct-13,3.49,3.70,3.47,3.66,70910
1-Oct-13,3.35,3.53,3.34,3.47,121852
30-Sep-13,3.17,3.35,3.13,3.34,129086
27-Sep-13,3.15,3.18,3.12,3.16,30930
26-Sep-13,3.05,3.15,3.05,3.14,66785
25-Sep-13,3.02,3.10,3.01,3.09,38438
24-Sep-13,3.05,3.06,3.00,3.05,36190
23-Sep-13,2.90,3.05,2.88,3.05,49821
20-Sep-13,3.00,3.01,2.87,2.88,79839
19-Sep-13,3.00,3.04,2.95,2.99,33974
18-Sep-13,2.90,3.00,2.89,2.99,59911
17-Sep-13,2.82,2.95,2.82,2.90,43431
16-Sep-13,2.80,2.90,2.80,2.84,26765
13-Sep-13,2.74,2.80,2.55,2.74,79089
12-Sep-13,2.74,2.74,2.71,2.74,33996
11-Sep-13,2.70,2.73,2.70,2.73,13905
10-Sep-13,2.68,2.70,2.68,2.70,14605
9-Sep-13,2.65,2.70,2.62,2.68,19215
6-Sep-13,2.65,2.68,2.65,2.68,8269
5-Sep-13,2.65,2.66,2.60,2.63,22331
4-Sep-13,2.60,2.65,2.60,2.64,8717
3-Sep-13,2.59,2.65,2.55,2.63,38246
30-Aug-13,2.49,2.60,2.49,2.54,5548
29-Aug-13,2.52,2.54,2.48,2.48,16718
28-Aug-13,2.56,2.57,2.48,2.55,37111
27-Aug-13,2.63,2.63,2.53,2.58,33112
26-Aug-13,2.61,2.63,2.60,2.62,23031
23-Aug-13,2.64,2.65,2.60,2.63,34585
22-Aug-13,2.54,2.69,2.48,2.59,47746
21-Aug-13,2.53,2.56,2.46,2.53,10020
20-Aug-13,2.48,2.52,2.48,2.52,8505
19-Aug-13,2.54,2.54,2.45,2.50,7783
16-Aug-13,2.49,2.58,2.46,2.54,55713
15-Aug-13,2.52,2.52,2.41,2.46,49785
14-Aug-13,2.55,2.58,2.48,2.51,16336
13-Aug-13,2.47,2.55,2.39,2.55,95723
12-Aug-13,2.57,2.59,2.40,2.50,122838
9-Aug-13,2.34,2.49,2.33,2.49,109334
8-Aug-13,2.39,2.39,2.19,2.32,21168
7-Aug-13,2.29,2.35,2.25,2.35,22592
6-Aug-13,2.20,2.26,2.20,2.25,76029
5-Aug-13,2.20,2.20,2.16,2.20,20896
2-Aug-13,2.18,2.20,2.15,2.16,32259
1-Aug-13,2.19,2.19,2.13,2.16,17430
31-Jul-13,2.20,2.20,2.15,2.15,8961
30-Jul-13,2.17,2.20,2.12,2.18,23083
29-Jul-13,2.18,2.18,2.07,2.16,15802
26-Jul-13,2.14,2.19,2.14,2.16,14489
25-Jul-13,2.06,2.15,2.05,2.12,28993
24-Jul-13,2.09,2.12,2.06,2.06,43983
23-Jul-13,2.10,2.10,2.07,2.10,24452
22-Jul-13,2.06,2.09,2.05,2.05,6150
19-Jul-13,2.07,2.10,2.01,2.06,17525
18-Jul-13,2.09,2.10,2.06,2.10,10943
17-Jul-13,2.04,2.10,2.02,2.06,17408
16-Jul-13,2.05,2.05,2.03,2.05,38939
15-Jul-13,2.02,2.04,1.99,2.04,20748
12-Jul-13,2.02,2.02,1.95,2.01,13280
11-Jul-13,1.99,2.02,1.99,2.02,8665
10-Jul-13,2.00,2.05,1.93,1.98,26615
9-Jul-13,2.07,2.07,2.01,2.05,1010
8-Jul-13,2.05,2.05,1.97,2.00,21705
5-Jul-13,2.02,2.05,2.00,2.05,24238
3-Jul-13,2.03,2.10,2.02,2.03,7506
2-Jul-13,2.05,2.09,2.03,2.05,8023
1-Jul-13,2.12,2.12,2.05,2.08,20685
28-Jun-13,2.10,2.10,2.02,2.08,19287
27-Jun-13,2.01,2.10,2.01,2.08,6096
26-Jun-13,2.03,2.03,1.99,2.01,5891
25-Jun-13,2.04,2.04,1.94,1.99,8761
24-Jun-13,1.93,2.04,1.90,1.99,87169
21-Jun-13,1.94,2.08,1.93,2.02,24540
20-Jun-13,2.09,2.09,1.96,1.98,25502
19-Jun-13,2.10,2.10,2.00,2.08,14474
18-Jun-13,2.05,2.09,1.90,2.09,172990
17-Jun-13,2.10,2.12,2.00,2.03,84155
14-Jun-13,2.12,2.12,2.05,2.12,38599
13-Jun-13,2.10,2.20,2.10,2.10,36481
12-Jun-13,2.18,2.20,2.02,2.13,28501
11-Jun-13,2.20,2.20,2.05,2.18,27530
10-Jun-13,2.22,2.26,2.20,2.22,52623
7-Jun-13,2.21,2.24,2.18,2.24,36030
6-Jun-13,2.12,2.21,2.12,2.21,65691
5-Jun-13,2.25,2.25,2.07,2.10,76393
4-Jun-13,2.25,2.26,2.19,2.22,47469
3-Jun-13,2.20,2.26,2.19,2.25,65228
31-May-13,2.23,2.25,2.13,2.25,46291
30-May-13,2.21,2.23,2.19,2.22,64957
29-May-13,2.13,2.20,2.13,2.18,17311
28-May-13,2.20,2.23,2.14,2.15,54076
24-May-13,2.12,2.19,2.12,2.17,42200
23-May-13,2.16,2.19,2.11,2.12,20517
22-May-13,2.20,2.20,2.14,2.14,34164
21-May-13,2.24,2.24,2.16,2.20,19302
20-May-13,2.15,2.26,2.11,2.19,93287
17-May-13,2.10,2.12,2.10,2.12,18292
16-May-13,2.04,2.09,2.04,2.09,22075
15-May-13,2.01,2.09,2.01,2.08,69168
14-May-13,2.00,2.16,1.98,2.09,367274
13-May-13,2.28,2.31,2.12,2.30,65638
10-May-13,2.21,2.24,2.18,2.23,37419
9-May-13,2.25,2.31,2.20,2.20,38517
8-May-13,2.25,2.31,2.18,2.22,38601
7-May-13,2.18,2.29,2.16,2.26,43696
6-May-13,2.18,2.18,2.13,2.16,24297
3-May-13,2.11,2.18,2.10,2.17,38210
2-May-13,2.14,2.14,2.06,2.10,11515
1-May-13,2.12,2.14,2.10,2.11,23590
30-Apr-13,2.14,2.18,2.12,2.14,30773
29-Apr-13,2.19,2.19,2.13,2.14,8363
26-Apr-13,2.01,2.24,1.98,2.10,73760
25-Apr-13,2.00,2.06,1.95,2.01,100241
24-Apr-13,2.29,2.29,1.90,2.06,484833
23-Apr-13,2.42,2.42,2.33,2.36,78337
22-Apr-13,2.27,2.38,2.22,2.35,87312
19-Apr-13,2.24,2.25,2.17,2.18,74028
18-Apr-13,2.12,2.28,2.12,2.20,34014
17-Apr-13,2.25,2.25,2.10,2.13,99247
16-Apr-13,2.34,2.34,2.22,2.28,55186
15-Apr-13,2.39,2.39,2.25,2.25,177405
12-Apr-13,2.45,2.48,2.38,2.41,23483
11-Apr-13,2.40,2.55,2.36,2.38,55627
10-Apr-13,2.43,2.54,2.39,2.53,66229
9-Apr-13,2.41,2.45,2.37,2.40,74366
8-Apr-13,2.24,2.38,2.24,2.36,69260
5-Apr-13,2.25,2.30,2.21,2.24,17627
4-Apr-13,2.30,2.30,2.24,2.28,36061
3-Apr-13,2.22,2.30,2.20,2.20,196870
2-Apr-13,2.08,2.26,2.08,2.23,148948
1-Apr-13,2.10,2.21,2.07,2.08,79078
28-Mar-13,2.12,2.24,2.05,2.15,115359
27-Mar-13,2.05,2.13,2.05,2.08,35052
26-Mar-13,2.19,2.19,2.05,2.08,90529
25-Mar-13,2.07,2.18,2.07,2.14,69185
22-Mar-13,2.20,2.21,2.10,2.13,61028
21-Mar-13,2.26,2.38,2.15,2.18,139099
20-Mar-13,2.32,2.37,2.19,2.26,119473
19-Mar-13,2.43,2.46,2.21,2.28,168637
18-Mar-13,2.64,2.66,2.40,2.43,71890
15-Mar-13,2.50,2.75,2.35,2.58,311233
14-Mar-13,2.62,2.70,2.45,2.50,222429
