Date,Open,High,Low,Close,Volume
31-Dec-14,6.97,7.10,6.97,7.09,23557
30-Dec-14,7.07,7.22,6.87,7.02,23023
29-Dec-14,7.03,7.12,6.98,7.05,46189
26-Dec-14,7.04,7.26,7.03,7.10,36788
24-Dec-14,7.03,7.13,6.95,6.98,31449
23-Dec-14,6.90,7.08,6.87,6.98,33532
22-Dec-14,6.95,7.00,6.82,6.97,40254
19-Dec-14,6.98,7.00,6.87,6.87,44807
18-Dec-14,6.92,7.04,6.85,6.92,30202
17-Dec-14,6.81,6.99,6.77,6.92,34443
16-Dec-14,6.84,6.84,6.69,6.76,44455
15-Dec-14,6.97,6.97,6.80,6.84,18193
12-Dec-14,6.78,6.95,6.78,6.91,8812
11-Dec-14,6.83,6.96,6.69,6.92,41031
10-Dec-14,6.81,6.82,6.66,6.77,14303
9-Dec-14,6.58,6.86,6.57,6.79,34830
8-Dec-14,6.93,6.93,6.62,6.67,42301
5-Dec-14,6.87,6.91,6.74,6.87,48045
4-Dec-14,6.75,6.99,6.58,6.98,76405
3-Dec-14,6.82,6.89,6.68,6.81,61911
2-Dec-14,6.91,7.06,6.75,6.90,39967
1-Dec-14,7.06,7.13,6.68,6.86,69884
28-Nov-14,7.20,7.25,7.11,7.11,15246
26-Nov-14,7.04,7.24,7.03,7.17,38987
25-Nov-14,6.95,7.04,6.93,7.02,18380
24-Nov-14,6.94,7.20,6.80,6.92,80002
21-Nov-14,6.76,6.93,6.65,6.85,26718
20-Nov-14,6.61,6.86,6.61,6.82,17051
19-Nov-14,6.90,6.92,6.58,6.68,30889
18-Nov-14,7.00,7.00,6.86,6.89,51366
17-Nov-14,7.08,7.08,6.96,6.97,15296
14-Nov-14,7.00,7.10,6.95,7.05,32941
13-Nov-14,7.00,7.09,6.94,6.99,58508
12-Nov-14,7.00,7.04,6.90,7.02,63714
11-Nov-14,7.03,7.07,6.93,7.07,15497
10-Nov-14,6.98,7.08,6.90,7.05,37519
7-Nov-14,7.01,7.14,6.96,6.98,39930
