Date,Open,High,Low,Close,Volume
31-Dec-14,24.42,25.06,24.28,24.40,937694
30-Dec-14,24.46,25.09,24.19,24.42,737123
29-Dec-14,25.16,25.38,24.52,24.61,579177
26-Dec-14,25.17,25.57,24.90,25.02,429976
24-Dec-14,24.68,25.13,24.16,25.00,329985
23-Dec-14,24.88,25.30,24.62,24.65,2374799
22-Dec-14,24.78,25.22,24.28,24.94,914109
19-Dec-14,24.51,25.10,24.06,24.73,1823603
18-Dec-14,24.70,25.03,23.79,24.49,1073829
17-Dec-14,22.19,24.31,22.16,24.11,1618771
16-Dec-14,21.71,22.98,21.65,22.22,1403381
15-Dec-14,22.62,22.62,21.91,22.12,1153302
12-Dec-14,22.46,23.33,22.13,22.18,1383120
11-Dec-14,24.89,25.10,22.89,22.99,1834181
10-Dec-14,25.48,25.54,24.70,24.85,991566
9-Dec-14,24.57,25.87,24.14,25.49,1501002
8-Dec-14,26.07,26.25,24.87,25.07,1594555
5-Dec-14,26.58,27.34,26.25,26.31,881670
4-Dec-14,27.10,27.51,26.58,26.71,1041704
3-Dec-14,27.48,28.34,26.97,27.16,1304130
2-Dec-14,27.47,28.20,27.09,27.48,1244755
1-Dec-14,27.60,27.71,25.84,27.64,2007596
28-Nov-14,31.68,31.75,27.51,27.65,2034364
26-Nov-14,29.68,31.20,29.19,31.10,2063818
25-Nov-14,28.06,30.41,28.06,29.46,2432670
24-Nov-14,28.11,28.62,27.75,27.80,966870
21-Nov-14,27.90,29.06,27.61,27.84,1427291
20-Nov-14,26.49,27.38,26.28,27.27,819901
19-Nov-14,27.77,28.07,26.33,26.69,1126073
18-Nov-14,27.49,29.18,27.03,27.90,1863689
17-Nov-14,27.46,27.82,26.77,27.09,944461
14-Nov-14,27.43,27.82,26.68,27.53,804093
13-Nov-14,27.75,28.00,27.17,27.56,833634
12-Nov-14,27.35,27.84,26.83,27.76,700175
11-Nov-14,27.14,27.52,26.88,27.44,853290
10-Nov-14,28.30,28.51,26.86,27.32,1084180
7-Nov-14,27.94,28.58,27.77,28.14,1144076
6-Nov-14,27.07,27.93,26.70,27.86,1003860
5-Nov-14,28.23,28.27,26.89,27.11,1253663
4-Nov-14,29.20,29.24,27.30,28.00,1566887
3-Nov-14,29.11,29.44,28.51,29.41,1256008
31-Oct-14,28.51,29.60,27.80,29.28,1782057
30-Oct-14,26.11,28.21,24.68,28.13,1872669
29-Oct-14,27.41,27.57,26.90,27.15,1161500
28-Oct-14,27.32,27.66,26.95,27.21,1539836
27-Oct-14,27.85,27.85,26.62,26.90,1212286
24-Oct-14,26.60,28.17,26.32,28.10,1559320
23-Oct-14,26.42,26.92,25.78,26.46,2560995
22-Oct-14,26.13,26.68,25.52,25.83,1010715
21-Oct-14,24.83,27.05,24.72,26.11,1996278
20-Oct-14,24.25,24.84,24.10,24.60,915626
17-Oct-14,23.95,25.13,23.87,24.30,1168022
16-Oct-14,21.94,23.58,21.71,23.38,1027158
15-Oct-14,21.69,23.10,20.79,22.76,1666063
14-Oct-14,22.02,22.83,21.55,22.13,1087247
13-Oct-14,22.64,23.44,21.60,21.71,1492796
10-Oct-14,23.38,23.69,22.02,22.55,1269106
9-Oct-14,24.40,24.50,23.08,23.46,1729637
8-Oct-14,23.60,24.18,22.85,24.15,996750
7-Oct-14,24.32,24.43,23.69,23.79,982310
6-Oct-14,24.42,25.50,24.04,24.57,1235583
3-Oct-14,23.60,24.52,23.52,24.19,1624425
2-Oct-14,24.26,24.54,22.57,23.44,1986862
1-Oct-14,26.11,26.34,24.02,24.23,1801423
30-Sep-14,24.85,26.49,24.76,25.97,2432763
29-Sep-14,24.21,24.64,23.65,23.86,1330395
26-Sep-14,24.54,25.09,24.41,24.57,992235
25-Sep-14,25.72,26.06,24.28,24.39,1662165
24-Sep-14,25.26,26.06,24.52,25.92,1379821
23-Sep-14,25.01,25.81,24.97,25.14,852685
22-Sep-14,26.26,26.26,24.80,25.14,1793233
19-Sep-14,27.12,27.31,26.10,26.51,1279068
18-Sep-14,27.32,27.55,26.85,26.94,1078574
17-Sep-14,27.25,27.63,27.00,27.17,844589
16-Sep-14,26.01,27.19,25.66,26.96,1398506
15-Sep-14,27.53,27.60,25.80,26.29,1642833
12-Sep-14,27.60,28.06,27.38,27.60,1203614
11-Sep-14,27.03,27.74,27.01,27.65,1549313
10-Sep-14,28.79,28.83,26.39,27.26,2791530
9-Sep-14,28.50,28.80,27.66,28.71,1663985
8-Sep-14,29.30,29.30,28.26,28.47,2487305
5-Sep-14,28.10,29.54,28.10,29.28,2889809
4-Sep-14,27.55,28.62,27.25,28.08,2575875
3-Sep-14,27.40,27.81,27.08,27.44,2247725
2-Sep-14,25.65,27.38,25.62,26.97,2992145
29-Aug-14,24.65,24.99,24.58,24.98,1001594
28-Aug-14,24.40,24.90,23.75,24.60,2001634
27-Aug-14,24.16,24.66,23.69,24.64,2588960
26-Aug-14,23.42,24.16,23.29,23.98,1469893
25-Aug-14,22.88,23.39,22.40,23.29,1254989
22-Aug-14,22.25,22.71,21.98,22.58,677364
21-Aug-14,22.58,22.71,22.01,22.22,987133
20-Aug-14,21.55,22.69,21.50,22.53,1458171
19-Aug-14,21.72,21.72,21.34,21.56,753999
18-Aug-14,21.34,21.68,21.08,21.60,673715
15-Aug-14,21.36,21.51,21.06,21.14,598717
14-Aug-14,21.58,21.63,21.01,21.13,1013744
13-Aug-14,21.62,22.11,21.45,21.53,826991
12-Aug-14,21.23,21.58,20.82,21.50,973469
11-Aug-14,20.94,21.38,20.68,21.26,1016689
8-Aug-14,20.47,20.96,20.35,20.63,597308
7-Aug-14,20.88,21.02,20.42,20.56,832493
6-Aug-14,20.42,21.04,20.42,20.90,1115017
5-Aug-14,20.90,21.08,20.31,20.50,1615733
4-Aug-14,20.00,21.06,19.78,20.97,2091403
1-Aug-14,18.71,19.94,18.69,19.88,2037095
31-Jul-14,18.80,19.79,18.31,18.80,1643984
30-Jul-14,18.75,18.79,18.25,18.48,876357
29-Jul-14,18.44,18.75,18.39,18.55,590575
28-Jul-14,18.17,18.44,17.52,18.39,953608
25-Jul-14,18.36,18.36,18.06,18.13,640126
24-Jul-14,18.67,18.82,18.30,18.37,584570
23-Jul-14,18.80,18.92,18.41,18.59,935769
22-Jul-14,18.21,18.94,18.15,18.76,897685
21-Jul-14,17.83,18.10,17.78,18.05,707758
18-Jul-14,17.65,17.93,17.59,17.89,628476
17-Jul-14,17.74,18.04,17.57,17.62,852842
16-Jul-14,17.77,18.01,17.61,17.92,1006830
15-Jul-14,17.51,17.70,17.25,17.58,946290
14-Jul-14,17.49,17.50,17.14,17.47,643799
11-Jul-14,16.66,17.35,16.59,17.22,683100
10-Jul-14,16.48,17.17,16.37,16.80,844915
9-Jul-14,16.61,17.17,16.61,16.89,1165235
8-Jul-14,16.40,16.64,16.30,16.50,596402
7-Jul-14,16.80,16.80,16.34,16.44,568945
3-Jul-14,16.28,16.62,16.28,16.48,314553
2-Jul-14,16.01,16.38,16.01,16.24,396841
1-Jul-14,15.78,16.29,15.77,16.01,670032
30-Jun-14,15.67,15.70,15.30,15.68,401589
27-Jun-14,15.43,15.81,15.43,15.72,562291
26-Jun-14,15.50,15.72,15.24,15.58,448216
25-Jun-14,15.30,15.53,15.15,15.41,301166
24-Jun-14,15.65,15.94,15.20,15.35,574578
23-Jun-14,15.69,15.82,15.64,15.75,381342
20-Jun-14,15.67,15.80,15.48,15.59,651263
19-Jun-14,15.69,15.81,15.39,15.57,402711
18-Jun-14,15.53,15.66,15.16,15.57,555139
17-Jun-14,14.86,15.58,14.86,15.56,587788
16-Jun-14,15.41,15.43,14.91,15.00,539166
13-Jun-14,14.73,15.50,14.69,15.45,649235
12-Jun-14,14.63,14.83,14.55,14.68,415245
11-Jun-14,14.83,14.96,14.65,14.73,503233
10-Jun-14,15.11,15.28,14.80,14.91,490183
9-Jun-14,14.95,15.47,14.86,15.17,763121
6-Jun-14,14.68,14.93,14.51,14.92,485917
5-Jun-14,14.34,14.74,14.07,14.60,609648
4-Jun-14,13.91,14.40,13.79,14.30,716792
3-Jun-14,13.91,14.05,13.77,13.97,425497
2-Jun-14,14.09,14.43,13.85,13.93,1039497
30-May-14,13.75,13.85,13.55,13.65,421888
29-May-14,13.56,13.94,13.46,13.78,490837
28-May-14,13.79,13.80,13.44,13.55,356595
27-May-14,13.89,14.12,13.73,13.85,454632
23-May-14,13.29,13.96,13.29,13.84,460658
22-May-14,13.49,13.57,13.33,13.35,284482
21-May-14,13.47,13.55,13.21,13.41,377786
20-May-14,13.86,13.89,13.26,13.33,748986
19-May-14,13.88,14.13,13.84,13.94,358224
16-May-14,13.69,14.01,13.39,14.00,667482
15-May-14,13.89,13.96,13.38,13.72,572123
14-May-14,14.30,14.33,13.93,13.94,399023
13-May-14,14.52,14.59,14.18,14.27,589253
12-May-14,13.93,14.80,13.93,14.51,730140
9-May-14,13.76,13.82,13.56,13.80,534306
8-May-14,14.00,14.28,13.67,13.80,530340
7-May-14,14.02,14.14,13.67,14.13,524090
6-May-14,14.23,14.27,13.80,13.82,501230
5-May-14,14.22,14.32,13.72,14.24,530797
2-May-14,14.19,14.64,14.10,14.29,598097
1-May-14,13.71,14.23,13.66,14.13,667646
30-Apr-14,13.93,14.07,13.66,13.75,736019
29-Apr-14,13.75,14.00,13.58,13.95,634419
28-Apr-14,13.76,13.86,13.38,13.64,606055
25-Apr-14,13.27,13.96,13.10,13.75,1006979
24-Apr-14,13.91,14.00,13.61,13.80,658332
23-Apr-14,13.93,13.98,13.56,13.80,767289
22-Apr-14,13.75,14.24,13.52,14.00,860222
21-Apr-14,14.04,14.12,13.39,13.76,789751
17-Apr-14,13.87,14.18,13.77,14.08,611317
16-Apr-14,13.52,13.88,13.37,13.85,728974
15-Apr-14,13.25,13.44,12.77,13.39,807546
14-Apr-14,13.16,13.57,12.95,13.32,574302
11-Apr-14,13.02,13.31,12.93,13.08,520784
10-Apr-14,13.83,13.85,12.98,13.14,658318
9-Apr-14,13.22,13.86,13.10,13.82,711237
8-Apr-14,12.88,13.25,12.88,13.01,566393
7-Apr-14,13.08,13.76,12.63,12.86,1336101
4-Apr-14,13.46,13.61,13.06,13.08,494092
3-Apr-14,13.43,13.48,13.23,13.35,500311
2-Apr-14,13.35,13.55,12.88,13.45,728630
1-Apr-14,13.22,13.60,13.14,13.38,593458
31-Mar-14,13.07,13.26,12.84,13.21,1146574
28-Mar-14,12.76,13.36,12.76,12.91,907812
27-Mar-14,12.17,12.72,11.96,12.66,929843
26-Mar-14,12.84,12.84,11.94,11.95,842959
25-Mar-14,12.56,12.80,12.46,12.73,605614
