Date,Open,High,Low,Close,Volume
31-Dec-14,3.02,3.23,2.99,3.21,1086541
30-Dec-14,3.00,3.04,3.00,3.01,137070
29-Dec-14,3.11,3.11,2.98,3.03,246692
26-Dec-14,3.07,3.13,3.03,3.07,263950
24-Dec-14,2.90,3.08,2.90,3.04,140043
23-Dec-14,2.92,2.98,2.87,2.92,359246
22-Dec-14,2.92,3.08,2.92,2.93,357712
19-Dec-14,2.86,2.96,2.83,2.93,1134501
18-Dec-14,2.89,2.89,2.84,2.87,164295
17-Dec-14,2.80,2.89,2.78,2.87,643682
16-Dec-14,2.73,2.85,2.72,2.81,210572
15-Dec-14,2.72,2.79,2.72,2.74,175171
12-Dec-14,2.66,2.77,2.61,2.70,230729
11-Dec-14,2.72,2.80,2.70,2.71,538484
10-Dec-14,2.80,2.82,2.69,2.70,246152
9-Dec-14,2.72,2.83,2.71,2.82,183501
8-Dec-14,2.81,2.83,2.74,2.74,237358
5-Dec-14,2.80,2.86,2.80,2.83,257431
4-Dec-14,2.85,2.85,2.78,2.82,235768
3-Dec-14,2.85,2.89,2.82,2.84,237803
2-Dec-14,2.84,2.91,2.78,2.84,159259
1-Dec-14,2.83,2.88,2.76,2.81,305027
28-Nov-14,2.93,2.93,2.78,2.83,536176
26-Nov-14,2.77,3.05,2.77,2.94,790904
25-Nov-14,2.67,2.80,2.67,2.75,455952
24-Nov-14,2.64,2.69,2.61,2.66,321430
21-Nov-14,2.68,2.69,2.57,2.63,423704
20-Nov-14,2.61,2.68,2.61,2.65,240322
19-Nov-14,2.61,2.69,2.59,2.64,299092
18-Nov-14,2.57,2.65,2.53,2.61,376302
17-Nov-14,2.59,2.68,2.54,2.59,289758
14-Nov-14,2.36,2.62,2.34,2.58,786458
13-Nov-14,2.39,2.43,2.34,2.35,163720
12-Nov-14,2.35,2.40,2.34,2.38,111671
11-Nov-14,2.40,2.40,2.28,2.36,172852
10-Nov-14,2.42,2.44,2.38,2.40,130041
7-Nov-14,2.41,2.42,2.38,2.41,118286
6-Nov-14,2.41,2.44,2.35,2.41,158203
5-Nov-14,2.35,2.41,2.32,2.39,176401
4-Nov-14,2.39,2.39,2.33,2.36,75249
3-Nov-14,2.40,2.47,2.36,2.39,176786
31-Oct-14,2.50,2.50,2.40,2.43,269242
30-Oct-14,2.39,2.55,2.34,2.46,788922
29-Oct-14,2.35,2.39,2.34,2.39,243572
28-Oct-14,2.34,2.38,2.32,2.34,294069
27-Oct-14,2.27,2.34,2.25,2.32,365154
24-Oct-14,2.32,2.34,2.26,2.29,170736
23-Oct-14,2.31,2.36,2.22,2.31,344157
22-Oct-14,2.33,2.38,2.25,2.25,435178
21-Oct-14,2.38,2.39,2.28,2.35,448351
20-Oct-14,2.34,2.38,2.32,2.35,226446
17-Oct-14,2.43,2.43,2.35,2.36,153460
16-Oct-14,2.30,2.41,2.29,2.38,370301
15-Oct-14,2.24,2.38,2.18,2.35,438435
14-Oct-14,2.20,2.30,2.20,2.29,237191
13-Oct-14,2.16,2.25,2.12,2.22,306184
10-Oct-14,2.14,2.23,2.12,2.15,264685
9-Oct-14,2.23,2.23,2.12,2.16,164054
8-Oct-14,2.16,2.26,2.14,2.24,228415
7-Oct-14,2.22,2.28,2.16,2.17,143792
6-Oct-14,2.26,2.28,2.19,2.25,161020
3-Oct-14,2.28,2.28,2.21,2.26,134546
2-Oct-14,2.20,2.28,2.15,2.25,208358
1-Oct-14,2.26,2.27,2.16,2.19,276556
30-Sep-14,2.30,2.32,2.24,2.25,389863
29-Sep-14,2.31,2.33,2.26,2.29,170389
26-Sep-14,2.29,2.36,2.25,2.35,302043
25-Sep-14,2.35,2.36,2.26,2.29,340651
24-Sep-14,2.38,2.39,2.32,2.36,222102
23-Sep-14,2.39,2.54,2.32,2.36,338767
22-Sep-14,2.50,2.50,2.38,2.41,242092
19-Sep-14,2.52,2.53,2.41,2.50,496252
18-Sep-14,2.45,2.64,2.42,2.52,383307
17-Sep-14,2.36,2.46,2.36,2.44,298318
16-Sep-14,2.35,2.38,2.32,2.37,156053
15-Sep-14,2.38,2.38,2.32,2.36,127856
12-Sep-14,2.39,2.41,2.38,2.39,118120
