Date,Open,High,Low,Close,Volume
31-Dec-14,18.07,18.48,17.98,18.14,63529
30-Dec-14,17.90,18.13,17.86,18.04,34524
29-Dec-14,18.38,18.40,17.79,17.94,59087
26-Dec-14,18.37,18.60,18.33,18.44,51124
24-Dec-14,18.11,18.39,17.70,18.37,63300
23-Dec-14,18.16,18.38,17.54,17.81,102352
22-Dec-14,17.56,18.17,17.31,18.09,94114
19-Dec-14,17.98,17.99,17.21,17.61,347545
18-Dec-14,18.19,18.33,17.72,18.01,145144
17-Dec-14,17.23,18.03,16.77,18.03,206529
16-Dec-14,17.63,18.03,17.12,17.23,150174
15-Dec-14,17.28,17.85,17.00,17.68,112391
12-Dec-14,17.23,17.43,17.01,17.24,106513
11-Dec-14,17.60,18.00,17.26,17.47,84442
10-Dec-14,18.00,18.15,17.32,17.52,104752
9-Dec-14,17.32,18.15,17.21,18.11,123018
8-Dec-14,17.82,18.31,17.51,17.59,70804
5-Dec-14,17.21,17.95,17.19,17.84,89135
4-Dec-14,17.19,17.52,17.11,17.22,100398
3-Dec-14,17.57,18.09,17.18,17.24,126873
2-Dec-14,17.39,17.82,17.10,17.62,118406
1-Dec-14,17.09,17.33,16.46,17.25,125337
28-Nov-14,17.60,17.68,17.05,17.21,69032
26-Nov-14,17.23,17.90,17.14,17.49,135348
25-Nov-14,16.96,17.25,16.58,17.22,120276
24-Nov-14,16.21,16.85,16.21,16.85,77412
21-Nov-14,16.64,16.64,16.12,16.31,72132
20-Nov-14,16.06,16.46,15.56,16.42,70737
19-Nov-14,16.19,16.24,15.52,16.16,84834
18-Nov-14,16.40,16.61,16.11,16.19,81746
17-Nov-14,16.47,16.60,16.17,16.43,95731
14-Nov-14,16.20,17.25,16.19,16.48,169074
13-Nov-14,16.07,16.27,15.78,15.88,65193
12-Nov-14,15.68,16.12,15.65,16.02,60350
11-Nov-14,15.82,15.88,15.66,15.79,56375
10-Nov-14,15.83,16.00,15.68,15.82,55818
7-Nov-14,15.82,15.89,15.49,15.80,123099
6-Nov-14,15.97,16.00,15.71,15.82,90669
5-Nov-14,15.60,15.97,15.50,15.95,147308
4-Nov-14,15.88,16.12,15.43,15.50,136011
3-Nov-14,16.27,16.64,15.69,15.95,279541
31-Oct-14,15.01,16.95,14.74,16.30,538949
30-Oct-14,14.72,14.72,14.06,14.18,302119
29-Oct-14,13.91,14.37,13.87,14.34,87755
28-Oct-14,13.36,14.05,13.36,14.04,67315
27-Oct-14,13.39,13.47,13.14,13.33,46912
24-Oct-14,13.66,13.66,13.26,13.39,65085
23-Oct-14,13.39,13.90,13.24,13.62,57199
22-Oct-14,13.77,13.77,13.16,13.21,61738
21-Oct-14,13.98,14.04,13.60,13.68,72738
20-Oct-14,13.63,13.97,13.63,13.93,60030
17-Oct-14,14.55,14.70,13.69,13.75,73727
16-Oct-14,13.89,14.58,13.83,14.39,61422
15-Oct-14,13.30,14.18,13.30,14.13,83985
14-Oct-14,13.72,14.05,13.44,13.52,76189
13-Oct-14,13.20,13.98,13.14,13.54,97785
10-Oct-14,13.45,13.65,13.14,13.14,110569
9-Oct-14,13.91,14.12,13.44,13.52,102246
8-Oct-14,12.68,14.01,12.56,13.99,126290
7-Oct-14,12.86,12.91,12.57,12.67,142517
6-Oct-14,13.24,13.34,12.88,12.91,67148
3-Oct-14,13.38,13.47,13.16,13.22,61314
2-Oct-14,13.21,13.50,13.07,13.21,101479
1-Oct-14,13.47,13.60,13.25,13.25,105728
30-Sep-14,13.99,14.00,13.40,13.44,140923
29-Sep-14,13.91,14.21,13.90,13.96,77842
26-Sep-14,14.06,14.20,14.00,14.12,66955
25-Sep-14,14.22,14.22,13.62,13.98,94089
24-Sep-14,14.11,14.60,14.05,14.32,65210
