Date,Open,High,Low,Close,Volume
31-Dec-14,38.80,39.74,38.51,39.74,8064
30-Dec-14,38.74,39.55,38.74,39.10,3408
29-Dec-14,38.92,39.75,38.60,39.75,6639
26-Dec-14,38.52,39.48,38.51,38.92,1399
24-Dec-14,38.81,39.48,38.81,38.88,1287
23-Dec-14,38.87,39.10,38.44,39.10,7184
22-Dec-14,38.68,39.19,38.58,38.84,7528
19-Dec-14,39.48,39.48,38.93,39.00,15096
18-Dec-14,38.75,39.75,38.41,39.33,11385
17-Dec-14,38.38,38.85,38.30,38.71,10698
16-Dec-14,38.72,38.97,38.42,38.74,8884
15-Dec-14,39.07,39.09,38.75,38.75,12205
12-Dec-14,39.00,39.22,38.31,39.22,19855
11-Dec-14,38.84,39.15,38.63,39.10,13653
10-Dec-14,39.30,39.58,38.88,38.88,3821
9-Dec-14,39.22,39.36,38.76,39.02,8901
8-Dec-14,39.25,39.97,38.91,39.65,22407
5-Dec-14,38.85,39.50,38.85,39.48,9945
4-Dec-14,38.50,39.50,38.45,39.50,56921
3-Dec-14,38.83,39.38,38.60,38.81,8318
2-Dec-14,39.20,39.40,38.79,39.22,9030
1-Dec-14,39.45,39.45,38.82,39.07,40677
28-Nov-14,39.09,39.43,38.81,39.43,21682
26-Nov-14,39.39,39.40,38.87,39.34,29431
25-Nov-14,39.17,39.49,38.54,39.24,34030
24-Nov-14,38.25,39.50,38.10,39.17,38165
21-Nov-14,38.25,38.25,37.95,37.95,2480
20-Nov-14,37.40,38.20,37.40,37.90,23405
19-Nov-14,37.75,38.00,37.44,37.59,9029
18-Nov-14,37.37,37.84,37.30,37.79,8703
17-Nov-14,37.16,37.97,36.36,37.56,122061
14-Nov-14,37.03,37.67,37.00,37.32,11743
13-Nov-14,37.25,37.45,37.00,37.00,50698
12-Nov-14,37.31,37.57,37.31,37.33,911
11-Nov-14,37.31,37.73,35.71,37.30,23467
10-Nov-14,36.45,37.09,36.40,36.95,10775
7-Nov-14,35.85,36.35,35.00,36.30,21043
6-Nov-14,35.54,35.94,35.13,35.41,12050
5-Nov-14,36.07,36.07,35.44,35.50,18881
4-Nov-14,35.54,36.12,35.54,36.00,9203
3-Nov-14,34.74,35.72,34.74,35.67,34427
31-Oct-14,35.11,35.32,34.34,34.34,5908
30-Oct-14,34.44,34.78,34.16,34.78,8967
29-Oct-14,34.58,34.75,33.66,34.42,16616
28-Oct-14,34.00,34.80,33.82,34.80,7577
27-Oct-14,33.94,34.60,33.70,34.35,8835
24-Oct-14,33.21,34.23,33.06,34.23,9592
23-Oct-14,33.60,33.60,33.30,33.32,6063
22-Oct-14,33.30,33.47,33.30,33.32,1685
21-Oct-14,33.43,34.24,33.21,33.34,16447
20-Oct-14,33.18,33.59,32.87,33.51,11185
17-Oct-14,34.23,34.23,33.10,33.37,8828
16-Oct-14,33.20,33.46,32.40,33.38,30619
15-Oct-14,33.23,33.59,33.23,33.56,9792
14-Oct-14,33.60,34.40,33.23,33.40,31724
13-Oct-14,33.56,33.93,33.33,33.48,9734
10-Oct-14,33.38,33.89,33.38,33.86,8369
9-Oct-14,33.30,33.55,33.30,33.40,3367
8-Oct-14,33.41,33.56,33.01,33.56,3436
7-Oct-14,33.03,33.82,32.99,33.24,11170
6-Oct-14,33.45,33.66,33.17,33.36,9185
3-Oct-14,33.42,33.68,33.09,33.17,4453
2-Oct-14,32.96,33.52,32.96,33.07,5260
1-Oct-14,33.38,33.72,32.99,33.01,10279
30-Sep-14,33.42,33.64,33.27,33.27,7076
29-Sep-14,33.36,33.75,33.36,33.62,8863
26-Sep-14,34.15,34.35,33.80,33.84,10634
25-Sep-14,33.83,34.52,33.76,33.98,11725
24-Sep-14,34.30,34.45,33.89,34.12,5055
23-Sep-14,34.30,34.58,34.25,34.26,7136
22-Sep-14,34.88,34.89,34.12,34.22,18562
19-Sep-14,33.85,35.00,33.77,35.00,21377
18-Sep-14,33.70,34.79,33.51,34.52,7191
17-Sep-14,33.72,34.10,33.60,34.05,19102
16-Sep-14,33.92,34.20,33.71,33.98,17191
15-Sep-14,33.99,34.50,33.70,33.80,13241
12-Sep-14,34.51,35.15,33.87,34.35,15139
11-Sep-14,34.39,34.75,34.20,34.72,12537
10-Sep-14,34.55,34.91,34.50,34.54,7454
9-Sep-14,34.82,35.03,34.51,34.69,4919
8-Sep-14,34.81,35.20,33.87,35.08,11089
5-Sep-14,34.92,35.44,34.48,35.09,9737
4-Sep-14,34.94,35.49,34.66,34.79,12885
3-Sep-14,35.49,35.49,34.41,34.75,3608
2-Sep-14,34.79,35.31,34.19,34.82,7766
29-Aug-14,33.92,35.08,33.60,34.45,17633
28-Aug-14,33.61,33.86,33.52,33.72,5365
27-Aug-14,33.63,33.92,33.57,33.57,9617
26-Aug-14,33.65,33.92,33.56,33.91,8112
25-Aug-14,33.50,33.92,33.38,33.91,10435
22-Aug-14,33.67,33.94,33.43,33.94,9429
21-Aug-14,33.08,33.69,33.01,33.45,12170
20-Aug-14,33.26,33.55,33.13,33.13,5687
19-Aug-14,33.25,33.95,33.25,33.25,9556
18-Aug-14,33.35,33.75,33.35,33.35,4714
15-Aug-14,33.80,33.94,33.35,33.35,4049
14-Aug-14,33.73,35.12,33.65,33.98,8654
13-Aug-14,33.57,34.81,33.18,33.76,14105
12-Aug-14,33.79,33.79,33.18,33.69,18144
11-Aug-14,33.34,33.65,33.08,33.26,7603
8-Aug-14,33.21,33.75,33.08,33.47,11624
7-Aug-14,33.25,33.98,32.82,33.44,10547
6-Aug-14,33.55,34.75,32.61,33.09,28845
5-Aug-14,33.60,34.78,33.51,33.80,18851
4-Aug-14,34.56,34.56,33.65,33.65,4237
1-Aug-14,34.18,35.08,33.51,34.01,11095
31-Jul-14,34.50,34.50,34.00,34.27,16885
30-Jul-14,34.85,34.98,34.30,34.50,3823
29-Jul-14,34.50,35.42,34.50,35.10,2244
28-Jul-14,34.65,34.90,33.99,34.60,6341
25-Jul-14,34.83,35.50,33.98,34.40,41692
24-Jul-14,34.75,35.20,34.48,34.50,4852
23-Jul-14,34.29,34.86,33.00,34.26,12443
22-Jul-14,35.54,35.74,34.18,34.29,12470
21-Jul-14,35.40,35.95,35.01,35.04,4449
18-Jul-14,35.32,35.80,35.32,35.53,1668
17-Jul-14,35.81,36.49,35.04,35.37,18247
16-Jul-14,35.50,36.73,35.36,35.75,16512
15-Jul-14,35.76,35.96,35.11,35.33,4010
14-Jul-14,35.17,36.00,35.01,35.67,16140
11-Jul-14,35.21,35.21,34.64,34.97,2868
10-Jul-14,34.84,35.52,34.43,35.05,14420
9-Jul-14,35.39,36.06,35.05,35.29,6287
8-Jul-14,36.23,36.23,34.79,34.99,12920
7-Jul-14,35.80,36.60,35.47,36.48,19070
3-Jul-14,36.07,36.58,35.34,36.10,11985
2-Jul-14,36.45,36.45,35.54,35.94,7543
1-Jul-14,36.08,36.99,35.42,36.32,28110
30-Jun-14,33.81,35.99,33.81,35.99,18658
27-Jun-14,33.20,34.42,33.12,34.10,463726
26-Jun-14,34.21,34.49,33.00,33.39,17141
25-Jun-14,34.97,34.97,33.96,34.15,20819
24-Jun-14,35.55,35.55,34.59,34.79,36443
23-Jun-14,35.65,35.70,35.01,35.10,27554
20-Jun-14,35.08,35.90,34.40,35.42,75405
19-Jun-14,35.38,35.44,34.05,34.85,20845
18-Jun-14,35.75,36.08,35.07,35.20,15207
17-Jun-14,35.52,36.13,35.40,35.65,13499
16-Jun-14,36.30,36.30,35.40,35.63,16033
13-Jun-14,36.15,36.94,35.68,36.02,17246
12-Jun-14,36.43,37.04,35.25,35.88,28911
11-Jun-14,35.40,36.83,35.06,36.33,25527
10-Jun-14,35.90,36.44,35.55,35.99,8657
9-Jun-14,35.03,36.65,34.43,35.89,21762
