Date,Open,High,Low,Close,Volume
31-Dec-14,20.15,20.19,19.79,19.83,86729
30-Dec-14,19.98,20.16,19.90,20.04,68937
29-Dec-14,19.69,20.12,19.69,19.98,63252
26-Dec-14,19.59,19.75,19.49,19.68,72056
24-Dec-14,19.55,19.69,19.16,19.49,41242
23-Dec-14,19.52,19.76,19.40,19.57,63767
22-Dec-14,19.36,19.48,19.21,19.42,74435
19-Dec-14,19.51,19.51,18.94,19.39,375990
18-Dec-14,19.38,19.45,19.14,19.42,78813
17-Dec-14,18.69,19.18,18.41,19.10,102491
16-Dec-14,18.69,18.84,18.42,18.59,103181
15-Dec-14,18.99,18.99,18.53,18.62,52184
12-Dec-14,18.55,19.00,18.55,18.81,73941
11-Dec-14,18.79,19.21,18.79,18.81,54119
10-Dec-14,19.04,19.29,18.65,18.66,91961
9-Dec-14,18.80,19.22,18.71,19.17,137629
8-Dec-14,19.01,19.49,18.91,19.04,77643
5-Dec-14,18.84,19.32,18.84,19.11,154747
4-Dec-14,18.74,18.99,18.59,18.87,69221
3-Dec-14,18.43,19.60,18.41,18.80,71390
2-Dec-14,18.22,18.72,18.22,18.44,128185
1-Dec-14,18.29,18.58,18.08,18.14,158897
28-Nov-14,18.84,18.84,18.24,18.27,47944
26-Nov-14,18.78,18.83,18.60,18.74,55097
25-Nov-14,18.76,18.81,18.61,18.72,38956
24-Nov-14,18.43,18.71,18.43,18.68,75170
21-Nov-14,18.97,18.97,18.27,18.33,71905
20-Nov-14,18.33,18.64,18.25,18.62,43176
19-Nov-14,18.72,18.73,18.30,18.42,58590
18-Nov-14,18.78,18.90,18.74,18.83,46450
17-Nov-14,18.97,19.00,18.64,18.67,51574
14-Nov-14,19.00,19.09,18.86,18.99,75072
13-Nov-14,19.18,19.19,18.97,19.03,58874
12-Nov-14,18.79,19.23,18.79,19.18,59467
11-Nov-14,18.92,18.93,18.70,18.91,69431
10-Nov-14,18.78,19.00,18.58,18.87,105389
7-Nov-14,18.85,18.87,18.63,18.87,55999
6-Nov-14,18.75,18.92,18.61,18.90,86601
5-Nov-14,18.83,18.98,18.66,18.73,74766
4-Nov-14,18.79,18.89,17.94,18.81,122725
3-Nov-14,19.26,19.26,18.89,18.98,114187
31-Oct-14,19.20,19.31,19.14,19.20,142112
30-Oct-14,18.72,19.04,18.65,18.99,125248
29-Oct-14,18.59,18.91,18.31,18.77,107078
28-Oct-14,17.98,18.54,17.77,18.51,158021
27-Oct-14,17.73,17.93,17.72,17.84,58279
24-Oct-14,17.89,17.97,17.62,17.78,52896
23-Oct-14,17.82,17.97,17.49,17.83,95027
22-Oct-14,17.93,17.93,17.54,17.57,91991
21-Oct-14,17.62,17.89,17.54,17.85,72185
20-Oct-14,17.64,17.80,17.33,17.54,106162
17-Oct-14,17.84,17.90,17.58,17.76,255072
16-Oct-14,16.87,17.68,16.87,17.58,229003
15-Oct-14,16.94,17.18,16.46,17.14,168069
14-Oct-14,17.26,17.47,17.09,17.23,135011
13-Oct-14,16.64,17.06,16.46,16.99,123784
10-Oct-14,16.61,16.97,16.32,16.64,140862
9-Oct-14,17.17,17.31,16.64,16.69,102766
8-Oct-14,16.82,17.24,16.81,17.23,131504
7-Oct-14,16.96,17.11,16.85,16.86,133326
6-Oct-14,17.33,17.33,17.02,17.03,135365
3-Oct-14,17.45,17.56,17.27,17.29,103694
2-Oct-14,17.08,17.40,16.91,17.25,141241
1-Oct-14,17.11,17.26,16.85,17.12,245036
30-Sep-14,17.15,17.37,17.02,17.07,204920
29-Sep-14,17.03,17.37,17.02,17.14,130339
26-Sep-14,17.22,17.27,17.07,17.21,61599
25-Sep-14,17.40,17.44,17.12,17.20,89985
24-Sep-14,17.33,17.50,17.33,17.46,97214
23-Sep-14,17.60,17.73,17.30,17.33,81086
22-Sep-14,17.68,17.83,17.51,17.60,114737
19-Sep-14,18.06,18.24,17.71,17.74,1002797
18-Sep-14,17.91,18.25,17.91,18.03,117700
17-Sep-14,17.75,18.09,17.72,17.83,94709
16-Sep-14,17.80,17.97,17.66,17.79,130647
15-Sep-14,18.15,18.23,17.77,17.80,209670
12-Sep-14,18.00,18.25,17.96,18.17,150967
11-Sep-14,17.71,18.05,17.71,17.97,78363
10-Sep-14,17.65,17.89,17.65,17.85,45095
9-Sep-14,18.03,18.04,17.63,17.67,64289
8-Sep-14,18.00,18.17,17.84,18.11,52260
5-Sep-14,17.83,18.05,17.68,17.96,64155
4-Sep-14,18.21,18.27,17.89,17.93,44597
3-Sep-14,18.25,18.28,17.39,18.05,62107
2-Sep-14,17.99,18.46,17.84,18.17,97777
29-Aug-14,17.71,17.95,17.59,17.87,59440
28-Aug-14,17.97,17.97,17.70,17.74,81676
27-Aug-14,18.17,18.18,17.97,18.00,46558
26-Aug-14,17.88,18.23,17.88,18.12,58624
25-Aug-14,17.84,17.93,17.71,17.89,48488
22-Aug-14,17.81,17.99,17.63,17.76,75955
21-Aug-14,17.53,17.88,17.33,17.79,59296
20-Aug-14,17.75,17.75,17.42,17.59,78012
19-Aug-14,17.91,17.97,17.74,17.85,47493
18-Aug-14,17.72,17.96,17.65,17.92,80838
15-Aug-14,17.94,18.05,17.32,17.51,110096
14-Aug-14,17.94,18.05,17.69,17.73,54016
13-Aug-14,17.79,18.07,17.69,17.93,49892
12-Aug-14,17.81,17.87,17.59,17.77,48707
11-Aug-14,17.84,18.00,17.38,17.86,81702
8-Aug-14,17.65,17.86,17.60,17.77,63537
7-Aug-14,17.81,17.88,17.51,17.62,33092
6-Aug-14,17.52,17.84,17.52,17.78,117386
5-Aug-14,17.34,17.69,17.34,17.60,80628
4-Aug-14,17.50,17.58,17.20,17.47,58365
1-Aug-14,17.70,17.75,17.26,17.42,79312
31-Jul-14,17.82,17.99,17.66,17.66,72634
30-Jul-14,17.95,18.16,17.71,18.04,71426
29-Jul-14,17.53,17.97,17.42,17.81,122620
28-Jul-14,17.68,17.68,17.44,17.54,71715
25-Jul-14,17.76,17.92,17.69,17.72,61679
24-Jul-14,17.91,18.40,17.78,17.92,45088
23-Jul-14,17.90,17.97,17.69,17.89,54550
22-Jul-14,18.14,18.26,17.89,17.92,45427
21-Jul-14,18.05,18.11,17.81,18.10,75711
18-Jul-14,17.90,18.32,17.90,18.14,121718
17-Jul-14,18.25,18.39,17.88,17.96,139732
16-Jul-14,18.48,18.56,18.23,18.29,87450
15-Jul-14,18.30,18.40,18.20,18.34,81094
14-Jul-14,18.41,18.52,18.22,18.25,61116
11-Jul-14,18.14,18.36,18.00,18.24,110245
10-Jul-14,18.13,18.48,18.00,18.21,62967
9-Jul-14,18.38,18.62,18.18,18.48,72108
8-Jul-14,18.65,18.65,18.27,18.29,131198
7-Jul-14,18.84,18.84,18.60,18.67,77292
3-Jul-14,18.64,19.14,18.64,18.91,40977
2-Jul-14,18.76,18.92,18.50,18.58,116112
1-Jul-14,18.51,19.08,18.49,18.74,132160
30-Jun-14,18.35,18.54,18.19,18.46,85106
27-Jun-14,18.15,18.54,18.15,18.43,294703
26-Jun-14,18.29,18.32,18.07,18.31,35502
25-Jun-14,18.02,18.32,17.76,18.30,67501
24-Jun-14,18.24,18.67,18.14,18.14,84345
23-Jun-14,18.49,18.57,18.30,18.33,51116
20-Jun-14,18.47,18.58,18.35,18.52,228110
19-Jun-14,18.50,18.50,18.20,18.36,78245
18-Jun-14,18.33,18.62,18.24,18.49,125650
17-Jun-14,18.08,18.49,17.97,18.36,117861
16-Jun-14,18.28,18.41,18.02,18.12,319106
13-Jun-14,18.24,18.50,18.23,18.26,164309
12-Jun-14,18.08,18.28,17.82,18.16,67998
11-Jun-14,18.15,18.18,17.88,18.09,191264
10-Jun-14,18.31,18.39,18.17,18.30,48956
9-Jun-14,18.00,18.43,17.97,18.39,70720
6-Jun-14,18.01,18.12,17.85,18.04,93639
5-Jun-14,17.30,17.98,17.20,17.89,151985
4-Jun-14,17.35,17.59,17.26,17.27,65462
3-Jun-14,17.39,17.74,17.20,17.41,131355
2-Jun-14,17.36,17.63,17.08,17.41,106498
30-May-14,17.47,17.71,17.33,17.37,134969
29-May-14,17.59,17.76,17.38,17.43,75372
28-May-14,17.80,17.80,17.56,17.58,126274
27-May-14,17.50,17.95,17.36,17.90,547946
23-May-14,17.33,17.48,17.14,17.37,115522
22-May-14,17.05,17.28,17.01,17.26,154490
21-May-14,16.78,17.00,16.78,17.00,216974
20-May-14,16.49,16.75,16.09,16.73,284429
19-May-14,16.14,16.56,16.14,16.56,107925
16-May-14,16.29,16.37,16.00,16.15,146446
15-May-14,16.34,16.38,15.93,16.34,186937
14-May-14,16.91,16.94,16.42,16.46,187107
13-May-14,17.25,17.26,16.92,16.94,185139
12-May-14,16.86,17.35,16.86,17.25,204110
9-May-14,16.33,16.86,16.27,16.83,213767
8-May-14,16.36,16.56,15.99,16.42,321467
7-May-14,16.22,16.34,16.04,16.31,200856
6-May-14,16.45,16.58,16.16,16.18,224710
5-May-14,16.62,16.71,16.44,16.57,140667
2-May-14,16.71,17.10,16.49,16.75,172098
1-May-14,16.86,17.03,16.53,16.70,245336
30-Apr-14,16.58,16.90,16.45,16.80,153044
29-Apr-14,16.88,16.94,16.56,16.64,150721
28-Apr-14,17.13,17.19,16.69,16.73,343230
25-Apr-14,17.27,17.27,17.01,17.01,188120
24-Apr-14,17.77,17.77,17.26,17.34,221750
23-Apr-14,17.88,18.03,17.60,17.63,145439
22-Apr-14,17.83,18.05,17.76,17.88,70853
21-Apr-14,17.79,18.07,17.58,17.87,85361
17-Apr-14,17.62,17.87,17.52,17.83,111990
16-Apr-14,17.54,17.68,17.31,17.63,117863
15-Apr-14,17.50,17.78,17.22,17.46,114404
14-Apr-14,17.48,17.71,17.27,17.47,105597
11-Apr-14,17.37,17.56,17.08,17.37,146347
10-Apr-14,17.99,17.99,17.35,17.52,150496
9-Apr-14,18.37,18.37,17.91,18.02,116888
8-Apr-14,18.19,18.59,18.14,18.29,238815
7-Apr-14,18.18,18.20,17.78,18.11,212492
4-Apr-14,18.76,18.76,18.02,18.18,205961
3-Apr-14,18.66,18.77,18.31,18.69,179813
2-Apr-14,18.62,18.80,18.50,18.57,203403
1-Apr-14,17.92,18.54,17.88,18.51,272146
31-Mar-14,17.59,17.97,17.59,17.83,181216
28-Mar-14,17.77,17.93,17.45,17.55,351357
27-Mar-14,17.80,17.99,17.71,17.74,206618
26-Mar-14,18.22,18.32,17.83,17.84,265890
25-Mar-14,18.21,18.39,18.08,18.12,236901
24-Mar-14,18.15,18.39,18.05,18.17,186065
21-Mar-14,18.70,18.86,18.14,18.15,550534
20-Mar-14,18.69,18.96,18.38,18.70,205769
19-Mar-14,18.17,18.69,17.74,18.54,234446
18-Mar-14,18.44,18.44,18.06,18.20,197655
17-Mar-14,18.50,18.59,18.25,18.41,154630
14-Mar-14,18.25,18.61,18.11,18.44,97984
13-Mar-14,18.43,18.43,18.08,18.35,122407
12-Mar-14,18.32,18.37,17.89,18.36,115677
11-Mar-14,18.32,18.42,18.10,18.37,116665
10-Mar-14,18.17,18.36,18.04,18.36,139788
7-Mar-14,18.11,18.30,17.88,18.22,133962
6-Mar-14,17.74,17.97,17.46,17.96,147321
5-Mar-14,17.66,17.83,17.51,17.75,113258
4-Mar-14,17.21,17.95,17.14,17.66,246047
3-Mar-14,17.08,17.09,16.89,17.04,62878
28-Feb-14,17.17,17.63,17.08,17.24,188371
27-Feb-14,17.06,17.17,16.87,17.12,122688
26-Feb-14,17.08,17.31,16.93,17.12,73861
25-Feb-14,17.14,17.16,16.91,16.99,91818
24-Feb-14,16.82,17.27,16.62,17.09,118331
21-Feb-14,16.61,16.78,16.24,16.77,243436
20-Feb-14,16.51,16.91,16.30,16.51,199565
19-Feb-14,17.13,17.27,16.48,16.54,269309
18-Feb-14,17.08,17.34,16.96,17.13,62083
14-Feb-14,17.03,17.14,16.81,17.06,71961
13-Feb-14,16.81,17.19,16.68,17.03,97860
12-Feb-14,17.12,17.48,16.88,16.93,99449
11-Feb-14,16.83,17.32,16.81,17.16,98448
10-Feb-14,16.66,16.97,16.50,16.85,116461
7-Feb-14,16.79,17.71,16.51,16.82,123001
6-Feb-14,16.66,16.83,16.52,16.76,101738
5-Feb-14,16.74,16.99,16.54,16.62,104901
4-Feb-14,16.55,16.85,16.41,16.78,232575
3-Feb-14,17.08,17.25,16.47,16.59,226912
31-Jan-14,17.52,17.63,17.01,17.05,354843
30-Jan-14,17.70,18.05,17.59,17.79,202679
29-Jan-14,17.29,17.74,17.29,17.63,390753
28-Jan-14,17.36,17.48,17.11,17.41,210940
27-Jan-14,17.31,17.59,17.16,17.21,247501
24-Jan-14,17.25,17.43,16.98,17.20,355321
23-Jan-14,17.81,18.46,17.00,17.35,584331
22-Jan-14,18.84,19.02,17.76,17.81,400110
21-Jan-14,18.45,18.91,18.31,18.83,120619
17-Jan-14,18.11,18.33,18.09,18.32,82066
16-Jan-14,18.20,18.32,17.94,18.11,181077
15-Jan-14,18.21,18.39,18.13,18.31,107731
14-Jan-14,18.19,18.72,17.91,18.19,73762
13-Jan-14,18.03,18.63,17.80,18.07,114718
10-Jan-14,18.38,18.38,18.01,18.11,127699
9-Jan-14,18.30,18.44,18.06,18.34,109829
8-Jan-14,18.08,18.28,17.92,18.19,199477
7-Jan-14,17.79,18.10,17.66,18.08,148109
6-Jan-14,17.83,18.16,17.52,17.68,103997
3-Jan-14,17.56,17.83,17.56,17.80,82187
2-Jan-14,17.90,17.97,17.58,17.58,143284
31-Dec-13,18.08,18.21,17.96,17.99,96650
30-Dec-13,18.16,18.27,17.97,18.01,49838
27-Dec-13,18.43,18.47,17.91,18.22,72154
26-Dec-13,18.38,18.51,16.85,18.36,74003
24-Dec-13,18.34,18.52,18.33,18.35,41676
23-Dec-13,17.84,18.37,17.83,18.34,183238
20-Dec-13,17.15,17.92,17.14,17.82,877387
19-Dec-13,16.90,17.21,16.84,17.10,357336
18-Dec-13,16.92,17.03,16.80,16.92,174594
17-Dec-13,16.97,17.00,16.78,16.86,146878
16-Dec-13,16.89,17.07,16.85,17.02,135466
13-Dec-13,16.95,16.95,16.76,16.87,120523
12-Dec-13,16.77,16.94,16.77,16.89,134363
11-Dec-13,16.87,16.87,16.66,16.80,140269
10-Dec-13,16.98,17.00,16.80,16.80,143762
9-Dec-13,16.90,17.15,16.85,17.00,198272
6-Dec-13,16.73,17.03,16.66,16.92,220205
5-Dec-13,16.63,16.80,16.57,16.65,123047
4-Dec-13,16.88,16.97,16.57,16.68,81318
3-Dec-13,17.03,17.20,16.73,16.93,106519
2-Dec-13,17.69,17.73,17.06,17.10,80255
29-Nov-13,17.71,17.77,17.55,17.73,88522
27-Nov-13,17.46,17.71,17.44,17.65,97170
26-Nov-13,17.37,17.48,17.25,17.44,120847
25-Nov-13,17.31,17.54,17.30,17.40,140412
22-Nov-13,17.23,17.30,17.12,17.30,129282
21-Nov-13,17.06,17.30,16.90,17.17,272127
20-Nov-13,17.21,17.21,16.85,17.01,113461
19-Nov-13,17.10,17.20,16.93,17.14,162278
18-Nov-13,17.22,17.30,17.01,17.14,136413
15-Nov-13,17.23,17.28,17.07,17.24,190279
14-Nov-13,17.27,17.30,17.09,17.26,142892
13-Nov-13,17.10,17.37,16.99,17.29,349384
12-Nov-13,17.35,17.35,17.00,17.16,98534
11-Nov-13,17.53,17.54,17.24,17.37,131420
8-Nov-13,16.81,17.61,16.80,17.59,147054
7-Nov-13,16.88,16.94,16.71,16.81,107404
6-Nov-13,16.75,16.92,16.61,16.86,92331
5-Nov-13,16.54,16.93,16.44,16.67,141966
4-Nov-13,16.49,16.71,16.45,16.66,193731
1-Nov-13,16.46,16.69,16.38,16.46,239488
31-Oct-13,16.88,16.93,16.49,16.50,124251
30-Oct-13,17.00,17.11,16.73,16.90,137593
29-Oct-13,16.95,17.08,16.65,16.95,128908
28-Oct-13,16.49,16.90,16.33,16.89,148330
25-Oct-13,16.97,17.01,16.31,16.53,314344
24-Oct-13,16.99,17.28,16.90,16.92,164720
23-Oct-13,17.10,17.44,16.81,16.97,267567
22-Oct-13,17.24,17.34,17.11,17.23,111493
21-Oct-13,17.11,17.28,16.99,17.22,129316
18-Oct-13,17.14,17.17,16.91,17.14,160526
17-Oct-13,16.77,17.05,16.73,17.00,159031
16-Oct-13,16.99,17.13,16.77,16.88,165727
15-Oct-13,16.79,17.00,16.59,16.85,245436
14-Oct-13,16.83,16.96,16.67,16.81,73718
11-Oct-13,16.42,16.95,16.36,16.87,154010
10-Oct-13,16.28,16.58,16.14,16.51,95632
9-Oct-13,16.28,16.37,16.08,16.13,148459
8-Oct-13,16.31,16.42,16.12,16.19,165431
7-Oct-13,16.29,16.43,16.15,16.34,88134
4-Oct-13,16.36,16.55,16.32,16.37,78396
3-Oct-13,16.50,16.64,16.25,16.40,112417
2-Oct-13,16.44,16.70,16.34,16.55,169217
1-Oct-13,16.53,16.58,16.30,16.57,176007
30-Sep-13,16.29,16.53,16.13,16.53,196919
27-Sep-13,16.37,16.57,16.18,16.48,399902
26-Sep-13,16.34,16.50,16.03,16.50,202020
25-Sep-13,16.20,16.49,16.06,16.34,232961
24-Sep-13,16.11,16.45,15.99,16.21,217502
23-Sep-13,16.67,16.67,16.00,16.20,539771
20-Sep-13,16.73,17.00,16.32,16.76,2140740
19-Sep-13,17.83,17.85,17.25,17.71,147838
18-Sep-13,17.66,18.03,17.61,17.82,172117
17-Sep-13,17.70,18.19,17.70,18.18,149349
16-Sep-13,17.83,17.94,17.65,17.71,157149
13-Sep-13,17.49,17.70,17.16,17.69,176350
12-Sep-13,17.45,17.63,17.14,17.42,392232
11-Sep-13,16.61,16.61,16.41,16.51,154691
10-Sep-13,16.63,16.76,16.42,16.63,291592
9-Sep-13,16.58,16.71,16.50,16.57,180164
6-Sep-13,16.82,16.82,16.38,16.55,165459
5-Sep-13,16.69,16.85,16.66,16.75,72968
4-Sep-13,16.70,16.83,16.61,16.67,82678
3-Sep-13,16.65,16.78,16.47,16.72,171000
30-Aug-13,16.57,16.65,16.37,16.44,202457
29-Aug-13,16.42,16.74,16.42,16.62,69249
28-Aug-13,16.46,16.54,16.36,16.46,111587
27-Aug-13,16.40,16.60,16.40,16.47,253901
26-Aug-13,16.61,16.71,16.52,16.58,83015
23-Aug-13,16.70,16.70,16.49,16.56,152435
22-Aug-13,16.62,16.78,16.49,16.67,73862
21-Aug-13,16.63,16.73,16.50,16.60,100076
20-Aug-13,16.73,16.93,16.54,16.69,116492
19-Aug-13,17.19,17.31,16.73,16.73,155054
16-Aug-13,17.09,17.40,17.00,17.15,238526
15-Aug-13,17.19,17.26,17.04,17.18,217321
14-Aug-13,17.30,17.52,17.00,17.41,198130
13-Aug-13,16.93,17.38,16.75,17.35,226480
12-Aug-13,17.00,17.10,16.73,16.94,307537
9-Aug-13,17.30,17.30,17.01,17.16,3962243
8-Aug-13,17.48,17.55,17.11,17.33,589903
7-Aug-13,16.48,16.53,16.37,16.44,53659
6-Aug-13,16.44,16.57,16.35,16.49,59100
5-Aug-13,16.35,16.55,16.30,16.52,53203
2-Aug-13,16.35,16.44,16.16,16.39,28456
1-Aug-13,16.54,16.54,16.22,16.39,79450
31-Jul-13,16.62,16.76,16.35,16.36,79579
30-Jul-13,16.55,16.60,16.45,16.48,82826
29-Jul-13,16.68,16.73,16.27,16.50,79633
26-Jul-13,17.10,17.22,16.72,16.75,54376
25-Jul-13,16.40,17.42,16.38,17.23,138058
24-Jul-13,16.09,16.41,15.94,16.38,276788
23-Jul-13,16.11,16.11,15.97,15.98,70846
22-Jul-13,16.07,16.15,15.98,16.09,67361
19-Jul-13,16.04,16.20,15.96,16.11,72745
18-Jul-13,16.08,16.13,15.93,16.08,112847
17-Jul-13,15.91,16.28,15.91,15.99,87409
16-Jul-13,15.93,16.07,15.84,15.97,140667
15-Jul-13,15.64,15.98,15.54,15.91,218391
12-Jul-13,15.93,15.99,15.63,15.65,218667
11-Jul-13,16.26,16.37,15.93,15.94,96404
10-Jul-13,16.17,16.29,15.97,16.15,69695
9-Jul-13,16.16,16.36,16.02,16.23,111795
8-Jul-13,15.91,16.10,15.79,16.05,159512
5-Jul-13,15.47,15.89,15.44,15.89,91773
3-Jul-13,15.13,15.31,15.08,15.25,65080
2-Jul-13,15.02,15.27,15.00,15.27,76823
1-Jul-13,14.65,15.10,14.65,15.02,183467
28-Jun-13,14.97,15.04,14.62,14.64,301640
27-Jun-13,14.77,15.10,14.77,15.01,183922
26-Jun-13,14.78,14.84,14.66,14.72,112921
25-Jun-13,14.60,14.72,14.50,14.65,142552
24-Jun-13,14.70,14.77,14.53,14.54,187142
21-Jun-13,14.96,14.96,14.71,14.83,242425
20-Jun-13,14.78,15.10,14.78,14.90,82855
19-Jun-13,15.24,15.27,14.96,14.97,60572
18-Jun-13,14.90,15.33,14.85,15.20,103728
17-Jun-13,14.96,15.07,14.82,14.93,62678
14-Jun-13,15.10,15.10,14.81,14.82,71911
13-Jun-13,15.02,15.12,14.80,15.08,112877
12-Jun-13,15.16,15.33,15.01,15.01,112576
11-Jun-13,15.45,15.47,15.11,15.20,108489
10-Jun-13,15.40,15.68,15.23,15.62,79426
7-Jun-13,15.49,15.49,15.28,15.38,61861
6-Jun-13,15.26,15.46,15.14,15.39,122194
5-Jun-13,15.02,15.32,15.02,15.17,78977
4-Jun-13,15.38,15.41,14.75,15.08,375607
3-Jun-13,15.13,15.52,14.90,15.37,169402
31-May-13,15.40,15.52,15.14,15.14,84009
30-May-13,15.60,15.65,15.43,15.51,69705
29-May-13,15.43,15.65,15.36,15.60,94357
28-May-13,15.38,15.72,15.26,15.48,78663
24-May-13,15.09,15.19,14.96,15.19,173595
23-May-13,15.21,15.33,15.13,15.20,121576
22-May-13,15.68,15.77,15.26,15.30,211937
21-May-13,15.71,15.79,15.55,15.71,126090
20-May-13,15.59,15.79,15.52,15.74,119460
17-May-13,15.78,15.78,15.64,15.67,134960
16-May-13,15.53,15.71,15.45,15.67,71383
15-May-13,15.58,15.77,15.51,15.61,96109
14-May-13,15.59,15.75,15.50,15.66,108745
13-May-13,15.76,15.78,15.57,15.60,54434
10-May-13,15.47,15.79,15.46,15.79,114999
9-May-13,15.44,15.52,15.33,15.46,99351
8-May-13,15.51,15.61,15.36,15.52,108403
7-May-13,15.34,15.51,15.27,15.50,156418
6-May-13,15.22,15.48,15.21,15.35,88177
3-May-13,15.11,15.44,15.06,15.26,145466
2-May-13,14.71,15.22,14.71,15.07,211714
1-May-13,15.27,15.31,14.77,14.78,291343
30-Apr-13,15.12,15.28,15.08,15.25,175313
29-Apr-13,15.28,15.40,15.21,15.24,118429
26-Apr-13,15.19,15.34,15.09,15.27,181967
25-Apr-13,15.34,15.65,15.24,15.29,281623
24-Apr-13,15.00,15.39,14.95,15.35,243629
23-Apr-13,14.65,15.02,14.56,15.01,541439
22-Apr-13,14.91,14.91,14.40,14.63,682186
19-Apr-13,15.57,15.60,14.76,15.02,746501
18-Apr-13,16.36,16.40,15.37,15.68,511949
17-Apr-13,16.37,16.59,16.15,16.37,179816
16-Apr-13,16.40,16.58,16.32,16.53,226956
15-Apr-13,17.17,17.23,16.09,16.45,446550
12-Apr-13,17.39,17.41,17.20,17.24,169799
11-Apr-13,17.48,17.49,17.27,17.42,171376
10-Apr-13,17.25,17.44,17.24,17.44,155165
9-Apr-13,17.26,17.38,17.18,17.24,114018
8-Apr-13,17.15,17.30,17.08,17.28,106163
5-Apr-13,17.18,17.20,17.02,17.17,156252
4-Apr-13,17.31,17.46,17.15,17.44,143472
3-Apr-13,17.58,17.60,17.19,17.35,191676
2-Apr-13,17.79,17.84,17.51,17.58,304600
1-Apr-13,18.32,18.33,17.53,17.70,282537
28-Mar-13,18.40,18.40,18.12,18.18,123470
27-Mar-13,18.22,18.39,18.07,18.37,204648
26-Mar-13,18.32,18.38,18.15,18.23,140275
25-Mar-13,18.08,18.40,18.03,18.20,239940
22-Mar-13,17.87,18.17,17.87,17.99,187531
21-Mar-13,17.70,17.90,17.51,17.82,158874
20-Mar-13,17.77,17.89,17.69,17.74,172587
19-Mar-13,17.76,17.78,17.62,17.73,177402
18-Mar-13,17.72,17.79,17.67,17.77,247463
15-Mar-13,17.89,17.94,17.71,17.79,325212
14-Mar-13,17.80,17.95,17.72,17.85,159333
13-Mar-13,17.76,17.81,17.70,17.75,238712
12-Mar-13,17.85,17.95,17.66,17.75,276603
11-Mar-13,17.91,18.10,17.67,17.80,383388
8-Mar-13,17.50,18.19,17.46,18.00,461705
7-Mar-13,17.00,17.42,16.96,17.31,518707
6-Mar-13,16.66,16.96,16.56,16.96,224460
5-Mar-13,16.55,16.65,16.50,16.58,122119
4-Mar-13,16.52,16.59,16.29,16.54,242581
1-Mar-13,15.77,16.54,15.77,16.45,156642
28-Feb-13,15.78,16.09,15.75,15.93,193785
27-Feb-13,15.80,15.86,15.74,15.75,183440
26-Feb-13,15.80,15.97,15.74,15.82,216803
25-Feb-13,16.09,16.25,15.73,15.77,251193
22-Feb-13,16.06,16.10,15.99,16.06,87796
21-Feb-13,16.32,16.56,16.02,16.02,137601
20-Feb-13,16.52,16.58,16.30,16.33,161153
19-Feb-13,16.63,16.63,16.43,16.56,359542
15-Feb-13,16.54,16.77,16.47,16.54,149866
14-Feb-13,16.51,16.55,16.36,16.45,83370
13-Feb-13,16.62,16.66,16.42,16.58,126632
12-Feb-13,16.13,16.64,16.13,16.57,428752
11-Feb-13,16.13,16.13,16.00,16.09,83900
8-Feb-13,16.22,16.38,16.12,16.15,110193
7-Feb-13,16.30,16.35,16.05,16.16,61285
6-Feb-13,16.33,16.33,16.15,16.30,118041
5-Feb-13,16.13,16.50,16.11,16.42,140440
4-Feb-13,16.37,16.43,16.02,16.07,157317
1-Feb-13,16.44,16.49,16.30,16.40,138288
31-Jan-13,16.39,16.55,16.18,16.34,195829
30-Jan-13,16.48,16.51,16.34,16.34,138293
29-Jan-13,16.36,16.55,16.30,16.47,160062
