Date,Open,High,Low,Close,Volume
31-Dec-14,25.35,25.60,25.35,25.42,207283
30-Dec-14,25.50,25.50,25.37,25.44,69436
29-Dec-14,25.45,25.50,25.36,25.44,56010
26-Dec-14,25.40,25.58,25.36,25.36,98268
24-Dec-14,25.37,25.47,25.35,25.37,34352
23-Dec-14,25.45,25.55,25.36,25.37,171184
22-Dec-14,25.22,25.53,25.22,25.47,101772
19-Dec-14,25.27,25.40,25.18,25.32,183403
18-Dec-14,25.09,25.26,25.07,25.20,119244
17-Dec-14,24.99,25.09,24.91,25.09,64396
16-Dec-14,24.94,25.08,24.80,24.97,257201
15-Dec-14,25.17,25.17,24.94,24.94,134757
12-Dec-14,25.50,25.50,25.42,25.45,27703
11-Dec-14,25.60,25.62,25.44,25.49,179659
10-Dec-14,25.65,25.65,25.42,25.58,75414
9-Dec-14,25.40,25.70,25.40,25.55,102444
8-Dec-14,25.62,25.71,25.43,25.58,156300
5-Dec-14,25.48,25.48,25.41,25.47,55998
4-Dec-14,25.50,25.51,25.35,25.38,110798
3-Dec-14,25.66,25.66,25.50,25.54,106685
2-Dec-14,25.59,25.65,25.50,25.60,380304
1-Dec-14,25.63,25.68,25.42,25.45,103888
28-Nov-14,25.60,25.62,25.50,25.60,11573
26-Nov-14,25.54,25.63,25.46,25.62,38706
25-Nov-14,25.59,25.63,25.43,25.44,79345
24-Nov-14,25.54,25.54,25.42,25.51,43078
21-Nov-14,25.59,25.59,25.39,25.50,54274
20-Nov-14,25.65,25.65,25.45,25.50,164699
19-Nov-14,25.58,25.59,25.36,25.49,87888
18-Nov-14,25.65,25.65,25.52,25.60,39316
17-Nov-14,25.52,25.65,25.52,25.59,23868
14-Nov-14,25.57,25.60,25.57,25.60,19196
13-Nov-14,25.52,25.65,25.52,25.60,70871
12-Nov-14,25.50,25.68,25.50,25.64,84192
11-Nov-14,25.58,25.72,25.51,25.54,33500
10-Nov-14,25.64,25.74,25.48,25.69,52503
7-Nov-14,25.38,25.67,25.38,25.65,37981
6-Nov-14,25.41,25.50,25.40,25.49,47429
5-Nov-14,25.43,25.50,25.36,25.45,81712
4-Nov-14,25.26,25.53,25.26,25.43,122446
3-Nov-14,25.22,25.32,25.17,25.30,68287
31-Oct-14,25.02,25.23,25.02,25.18,170839
30-Oct-14,25.24,25.25,24.80,25.03,411559
29-Oct-14,25.30,25.34,25.16,25.17,214777
28-Oct-14,25.26,25.33,25.20,25.30,67526
27-Oct-14,25.15,25.27,25.11,25.23,150303
24-Oct-14,25.28,25.28,25.17,25.24,177650
23-Oct-14,25.25,25.29,25.18,25.24,163287
22-Oct-14,25.23,25.27,25.18,25.20,205742
21-Oct-14,25.12,25.23,25.12,25.18,188204
20-Oct-14,25.18,25.19,24.93,25.09,460934
17-Oct-14,25.44,25.54,25.03,25.05,2806167
16-Oct-14,25.22,25.40,25.22,25.36,136008
15-Oct-14,25.35,25.55,25.20,25.30,87735
14-Oct-14,25.60,25.73,25.43,25.59,222595
13-Oct-14,25.40,25.74,25.40,25.64,71118
10-Oct-14,25.51,25.51,25.10,25.34,134636
9-Oct-14,25.62,25.67,25.45,25.49,285229
8-Oct-14,25.59,25.63,25.50,25.62,197049
7-Oct-14,25.53,25.64,25.53,25.57,68094
6-Oct-14,25.65,25.69,25.56,25.61,228766
3-Oct-14,25.60,25.63,25.52,25.63,130991
2-Oct-14,25.59,25.59,25.43,25.51,46230
1-Oct-14,25.49,25.70,25.38,25.50,81414
30-Sep-14,25.37,25.49,25.30,25.49,247144
29-Sep-14,25.34,25.40,25.30,25.36,188978
26-Sep-14,25.39,25.39,25.18,25.34,229901
25-Sep-14,25.38,25.47,25.28,25.35,198459
24-Sep-14,25.38,25.39,25.30,25.38,78851
23-Sep-14,25.35,25.40,25.26,25.37,195507
22-Sep-14,25.49,25.50,25.34,25.37,154055
19-Sep-14,25.40,25.50,25.40,25.47,100343
18-Sep-14,25.30,25.48,25.26,25.40,1217184
17-Sep-14,25.26,25.35,25.18,25.30,268528
16-Sep-14,25.05,25.81,25.04,25.20,321154
15-Sep-14,25.12,25.15,24.10,25.10,744556
12-Sep-14,25.00,25.15,24.90,25.07,507541
11-Sep-14,24.95,25.16,24.82,25.12,584259
10-Sep-14,24.92,24.98,24.82,24.95,965209
