Date,Open,High,Low,Close,Volume
31-Dec-14,31.42,31.42,31.11,31.16,17556
30-Dec-14,30.73,31.02,30.63,31.01,7665
29-Dec-14,31.27,31.27,30.62,31.02,14402
26-Dec-14,31.02,31.13,30.89,31.13,3090
24-Dec-14,30.83,30.99,30.73,30.85,4853
23-Dec-14,31.05,31.19,30.61,31.19,8291
22-Dec-14,31.07,31.10,30.89,31.04,3511
19-Dec-14,30.82,31.19,30.78,31.19,4399
18-Dec-14,31.20,31.20,30.76,30.96,7751
17-Dec-14,31.20,31.20,30.81,31.17,3084
16-Dec-14,30.61,31.18,30.61,30.82,3025
15-Dec-14,31.30,31.49,30.75,30.79,16330
12-Dec-14,31.42,31.47,31.25,31.43,3337
11-Dec-14,31.36,31.47,31.20,31.36,3335
10-Dec-14,31.25,31.75,31.05,31.28,14143
9-Dec-14,31.21,31.50,31.02,31.42,6255
8-Dec-14,31.52,31.68,31.02,31.02,13407
5-Dec-14,31.32,31.74,31.09,31.19,1746
4-Dec-14,31.79,31.79,31.07,31.16,15693
3-Dec-14,31.51,31.65,31.35,31.41,5648
2-Dec-14,31.04,31.51,31.03,31.51,7795
1-Dec-14,31.33,31.37,31.28,31.34,6722
28-Nov-14,31.35,31.63,31.17,31.32,4342
26-Nov-14,30.99,31.48,30.67,31.36,14802
25-Nov-14,31.20,31.20,30.86,31.10,7032
24-Nov-14,30.91,31.20,30.73,31.19,7046
21-Nov-14,31.03,31.13,30.90,31.08,6566
20-Nov-14,30.89,31.11,30.24,31.09,19626
19-Nov-14,30.55,30.74,30.48,30.69,15211
18-Nov-14,30.45,30.60,30.34,30.50,10039
17-Nov-14,30.18,30.40,30.18,30.38,12559
14-Nov-14,30.34,30.41,30.12,30.25,12446
13-Nov-14,30.21,30.32,30.15,30.20,8143
12-Nov-14,30.46,30.57,30.20,30.33,6624
11-Nov-14,30.17,30.40,30.17,30.32,12304
10-Nov-14,30.35,30.39,30.26,30.26,9551
7-Nov-14,30.23,30.38,30.21,30.25,13169
6-Nov-14,30.40,30.43,30.27,30.39,5959
5-Nov-14,30.45,30.46,30.24,30.38,3635
4-Nov-14,30.60,30.60,30.03,30.28,9129
3-Nov-14,30.39,30.60,30.19,30.52,8834
31-Oct-14,30.00,30.41,29.84,30.11,17834
30-Oct-14,30.11,30.44,30.11,30.15,4527
29-Oct-14,30.08,30.29,30.06,30.29,1630
28-Oct-14,30.06,30.30,30.06,30.16,11549
27-Oct-14,30.00,30.15,30.00,30.13,6300
24-Oct-14,30.02,30.22,29.90,30.08,23349
23-Oct-14,30.00,30.00,29.79,29.97,13548
22-Oct-14,30.00,30.00,29.73,29.96,7829
21-Oct-14,29.80,30.10,29.74,29.97,17367
20-Oct-14,29.74,29.98,29.66,29.71,29065
17-Oct-14,30.27,30.45,29.78,29.78,25488
16-Oct-14,29.87,30.44,29.80,30.44,18354
15-Oct-14,30.08,30.25,29.80,30.05,18182
14-Oct-14,30.05,30.45,30.03,30.03,9056
13-Oct-14,30.01,30.49,30.00,30.08,8206
10-Oct-14,30.24,30.79,30.00,30.10,5738
9-Oct-14,30.41,30.90,30.25,30.25,6511
8-Oct-14,30.68,30.76,30.07,30.75,18549
7-Oct-14,30.70,30.71,30.46,30.70,4099
6-Oct-14,30.71,31.14,30.71,30.77,12803
3-Oct-14,30.73,30.89,30.32,30.85,8183
2-Oct-14,30.46,30.77,30.46,30.65,8386
1-Oct-14,30.13,30.68,30.13,30.58,12461
30-Sep-14,30.40,30.72,30.07,30.11,33726
29-Sep-14,30.14,30.44,30.14,30.15,6598
26-Sep-14,30.30,30.45,29.93,30.15,6285
25-Sep-14,30.15,30.23,29.91,30.18,7574
24-Sep-14,30.10,30.10,29.76,29.91,8847
23-Sep-14,30.41,30.41,29.80,30.02,9718
22-Sep-14,30.30,30.72,30.08,30.15,6224
19-Sep-14,30.50,30.68,30.15,30.50,14533
18-Sep-14,30.17,30.50,30.17,30.47,8643
17-Sep-14,30.67,30.67,30.25,30.30,19195
16-Sep-14,30.52,30.99,30.52,30.52,18857
15-Sep-14,30.34,30.63,30.34,30.45,8995
12-Sep-14,30.84,30.84,30.21,30.28,14856
11-Sep-14,30.98,31.19,30.15,31.10,18490
10-Sep-14,30.20,31.24,30.20,30.64,17253
9-Sep-14,30.40,30.65,30.05,30.32,25724
8-Sep-14,30.17,30.48,30.11,30.22,6415
5-Sep-14,30.25,30.69,30.15,30.30,12388
4-Sep-14,30.75,31.12,29.97,29.97,23277
3-Sep-14,31.04,31.69,30.57,30.62,24772
2-Sep-14,31.64,31.77,30.71,30.80,18436
29-Aug-14,31.70,31.70,31.44,31.55,11312
28-Aug-14,31.54,31.70,31.16,31.69,7618
27-Aug-14,31.73,31.73,31.66,31.73,3526
26-Aug-14,31.49,31.74,31.49,31.74,9566
25-Aug-14,31.47,31.68,30.78,31.65,7248
22-Aug-14,31.69,31.69,31.05,31.30,2526
21-Aug-14,30.77,31.72,30.53,31.58,6042
20-Aug-14,31.72,31.72,31.47,31.47,9310
