Date,Open,High,Low,Close,Volume
31-Dec-14,26.71,26.79,26.10,26.27,372732
30-Dec-14,26.81,26.89,26.05,26.59,233703
29-Dec-14,26.46,26.88,26.16,26.82,386580
26-Dec-14,26.26,26.56,26.10,26.51,172997
24-Dec-14,25.98,26.90,25.87,26.09,86539
23-Dec-14,26.04,26.44,25.91,25.99,319036
22-Dec-14,25.56,26.00,25.32,25.99,163248
19-Dec-14,25.49,25.74,25.36,25.58,509676
18-Dec-14,25.98,26.57,25.44,25.50,438923
17-Dec-14,24.87,25.86,24.83,25.70,527258
16-Dec-14,25.62,26.52,24.89,24.91,299014
15-Dec-14,26.62,26.89,25.33,25.50,354509
12-Dec-14,26.25,26.72,26.25,26.46,152734
11-Dec-14,26.79,27.28,26.06,26.55,562732
10-Dec-14,27.27,27.41,26.66,26.73,193334
9-Dec-14,26.60,27.52,26.25,27.34,173478
8-Dec-14,27.69,27.81,26.81,26.96,370494
5-Dec-14,27.97,28.12,27.74,27.90,407288
4-Dec-14,28.39,28.52,27.62,28.02,302241
3-Dec-14,28.47,28.66,28.22,28.50,200695
2-Dec-14,28.99,29.16,28.34,28.54,285432
1-Dec-14,29.47,29.50,28.53,28.94,170423
28-Nov-14,29.72,30.12,29.59,29.64,76475
26-Nov-14,30.04,30.34,29.56,29.75,145189
25-Nov-14,29.03,30.16,29.03,30.02,177080
24-Nov-14,28.46,29.11,28.31,29.07,119146
21-Nov-14,28.99,28.99,28.31,28.49,148159
20-Nov-14,28.98,29.14,28.55,28.66,99826
19-Nov-14,29.33,29.33,28.54,29.11,167091
18-Nov-14,28.89,29.48,28.89,29.30,216341
17-Nov-14,28.49,28.92,28.22,28.82,200204
14-Nov-14,28.58,28.72,28.42,28.47,298407
13-Nov-14,28.33,28.74,28.14,28.48,288392
12-Nov-14,28.09,28.55,27.98,28.40,232666
11-Nov-14,28.29,28.40,28.01,28.30,128167
10-Nov-14,27.85,28.37,27.75,28.35,180165
7-Nov-14,27.98,28.28,27.65,27.90,296347
6-Nov-14,27.78,28.17,27.45,28.07,275766
5-Nov-14,27.03,29.02,27.03,27.90,781897
4-Nov-14,28.45,29.32,28.02,28.36,1007652
3-Nov-14,32.13,32.36,27.55,28.44,1799366
31-Oct-14,32.34,32.51,31.89,32.05,143112
30-Oct-14,31.91,32.39,31.42,31.78,91840
29-Oct-14,31.32,32.46,31.19,32.09,177666
28-Oct-14,31.43,31.86,30.64,31.27,316212
27-Oct-14,30.91,31.85,30.60,31.54,177978
24-Oct-14,30.79,31.22,30.29,31.02,91712
23-Oct-14,30.62,31.17,30.25,30.71,95535
22-Oct-14,30.69,30.98,30.21,30.38,89931
21-Oct-14,30.10,30.94,30.07,30.72,147791
20-Oct-14,29.84,30.97,29.84,30.10,211104
17-Oct-14,30.00,30.28,29.69,29.92,180247
16-Oct-14,28.14,29.87,28.14,29.60,269262
15-Oct-14,28.47,28.83,26.58,28.53,471248
14-Oct-14,29.14,29.47,28.74,28.95,254846
13-Oct-14,29.84,29.98,28.78,28.89,201694
10-Oct-14,28.96,30.61,28.96,29.85,204012
9-Oct-14,29.40,29.97,28.98,29.12,164602
8-Oct-14,29.05,29.56,28.58,29.50,324210
7-Oct-14,29.47,30.00,29.07,29.08,246766
6-Oct-14,30.60,30.62,29.55,29.68,194282
3-Oct-14,30.91,31.23,30.30,30.54,187966
2-Oct-14,30.06,30.89,29.66,30.61,183771
1-Oct-14,30.87,31.00,29.76,29.96,217719
30-Sep-14,31.56,31.56,30.96,30.98,161177
29-Sep-14,31.19,31.95,30.92,31.60,101780
26-Sep-14,31.81,31.84,31.31,31.61,111342
25-Sep-14,32.40,32.50,31.58,31.80,226486
24-Sep-14,31.71,32.48,31.25,32.45,134058
23-Sep-14,31.86,32.11,31.72,31.73,129938
22-Sep-14,32.03,32.42,31.42,32.02,156806
19-Sep-14,32.39,32.55,31.75,32.21,158282
18-Sep-14,32.08,32.36,31.99,32.34,111386
17-Sep-14,32.15,32.66,31.83,31.95,362081
16-Sep-14,32.68,32.96,32.02,32.05,218305
15-Sep-14,33.63,33.76,32.68,32.77,99235
12-Sep-14,33.14,33.72,32.82,33.57,137090
11-Sep-14,32.11,33.19,31.98,33.07,129021
10-Sep-14,32.05,32.39,31.89,32.30,201264
9-Sep-14,32.98,32.98,31.87,32.10,363022
8-Sep-14,33.42,33.76,32.88,33.11,156298
5-Sep-14,34.18,34.18,33.57,33.70,67414
4-Sep-14,33.93,34.37,33.71,34.32,119874
