Date,Open,High,Low,Close,Volume
31-Dec-14,19.88,20.50,19.51,19.53,233321
30-Dec-14,20.66,20.69,19.45,19.64,112580
29-Dec-14,19.21,20.85,19.20,20.56,225556
26-Dec-14,18.69,19.29,18.10,19.12,101850
24-Dec-14,17.87,18.76,17.66,18.54,64299
23-Dec-14,18.09,18.22,16.74,17.69,657271
22-Dec-14,18.36,19.25,18.04,18.14,143683
19-Dec-14,18.34,18.80,17.82,18.61,803637
18-Dec-14,19.17,19.48,18.42,18.55,395142
17-Dec-14,17.77,19.14,17.50,18.75,189475
16-Dec-14,17.70,18.17,16.24,17.76,112528
15-Dec-14,17.38,18.58,17.31,17.73,279676
12-Dec-14,16.19,17.30,16.19,17.25,349886
11-Dec-14,18.05,19.03,15.76,16.50,829507
10-Dec-14,15.80,18.22,15.44,18.05,1003275
9-Dec-14,13.65,16.49,13.50,15.81,900876
8-Dec-14,13.03,13.80,12.77,13.78,117909
5-Dec-14,12.43,13.19,12.32,13.05,142699
4-Dec-14,12.86,12.86,12.42,12.46,44446
3-Dec-14,12.57,12.99,12.41,12.86,66128
2-Dec-14,12.00,12.60,11.87,12.51,96140
1-Dec-14,12.29,12.46,11.77,11.95,74300
28-Nov-14,12.48,12.50,12.28,12.28,19870
26-Nov-14,12.21,12.63,12.21,12.49,75023
25-Nov-14,11.78,12.39,11.78,12.20,40972
24-Nov-14,11.74,11.97,11.72,11.75,44929
21-Nov-14,11.77,11.85,11.63,11.75,105171
20-Nov-14,11.68,11.95,11.64,11.75,50224
19-Nov-14,11.50,11.77,11.50,11.75,38428
18-Nov-14,11.63,11.65,11.53,11.55,27928
17-Nov-14,11.60,11.74,11.52,11.64,27937
14-Nov-14,12.05,12.05,11.50,11.63,65590
13-Nov-14,12.03,12.48,12.03,12.19,53349
12-Nov-14,13.00,13.00,11.61,12.07,98489
11-Nov-14,11.54,12.43,11.54,12.43,109991
10-Nov-14,11.59,11.61,11.33,11.60,46444
7-Nov-14,11.51,11.58,11.31,11.50,39739
6-Nov-14,11.51,11.70,11.37,11.60,42667
5-Nov-14,11.65,11.93,11.36,11.57,95104
4-Nov-14,11.87,12.00,11.27,11.53,438825
3-Nov-14,11.00,11.94,10.93,11.80,174847
31-Oct-14,10.92,11.14,10.76,11.05,113340
30-Oct-14,10.75,10.85,10.70,10.75,43613
29-Oct-14,10.39,10.77,10.38,10.75,57064
28-Oct-14,10.50,10.50,10.26,10.37,78768
27-Oct-14,10.33,10.46,10.23,10.42,28270
24-Oct-14,10.17,10.41,10.17,10.35,24581
23-Oct-14,10.34,10.77,10.06,10.20,62877
22-Oct-14,10.37,10.38,10.13,10.25,33435
21-Oct-14,9.82,10.40,9.79,10.31,56175
20-Oct-14,9.81,9.90,9.65,9.82,38061
17-Oct-14,9.98,10.20,9.63,9.76,34015
16-Oct-14,9.21,10.20,9.21,9.83,17876
15-Oct-14,9.28,9.44,9.20,9.44,33176
14-Oct-14,9.88,9.88,9.40,9.40,36783
13-Oct-14,9.68,10.42,9.63,9.75,84461
10-Oct-14,9.54,9.83,9.40,9.47,57055
9-Oct-14,9.50,9.76,9.40,9.54,56514
8-Oct-14,9.47,9.82,9.31,9.82,39230
7-Oct-14,10.02,10.06,9.37,9.58,113625
6-Oct-14,10.49,10.49,10.00,10.03,26438
3-Oct-14,10.34,10.57,10.31,10.40,31717
2-Oct-14,9.90,10.49,9.76,10.27,30959
1-Oct-14,10.36,10.41,9.86,9.91,47837
30-Sep-14,9.95,11.22,9.83,10.46,135353
29-Sep-14,9.83,9.99,9.75,9.90,30050
26-Sep-14,9.97,10.05,9.80,9.87,42989
25-Sep-14,9.97,9.98,9.71,9.88,32154
24-Sep-14,10.10,10.22,9.87,10.08,41014
23-Sep-14,10.13,10.39,10.04,10.19,79687
22-Sep-14,10.02,10.10,9.80,10.08,92440
19-Sep-14,10.28,10.28,10.01,10.17,41693
18-Sep-14,10.45,10.45,10.15,10.20,35189
17-Sep-14,10.21,10.69,10.21,10.40,72624
16-Sep-14,10.17,10.50,10.07,10.27,71431
15-Sep-14,10.04,10.39,9.88,10.28,66170
12-Sep-14,10.40,10.49,10.14,10.19,43040
11-Sep-14,10.49,10.68,10.39,10.48,28414
10-Sep-14,10.46,10.75,10.20,10.68,48480
9-Sep-14,10.56,10.75,10.33,10.54,61454
8-Sep-14,10.61,10.78,10.51,10.61,49528
5-Sep-14,10.00,11.00,10.00,10.72,114563
4-Sep-14,10.86,11.16,10.01,10.02,99296
3-Sep-14,11.35,11.35,10.40,10.77,67895
2-Sep-14,11.72,11.83,10.68,11.36,208132
29-Aug-14,11.69,11.91,11.28,11.53,77887
28-Aug-14,11.95,12.10,11.62,11.74,57643
27-Aug-14,11.53,12.22,11.36,11.88,142078
26-Aug-14,11.37,11.59,11.22,11.44,51672
25-Aug-14,11.51,11.60,11.42,11.47,44296
22-Aug-14,11.41,11.66,11.15,11.43,186860
21-Aug-14,11.74,11.86,11.23,11.29,67843
20-Aug-14,11.55,11.84,11.46,11.56,75118
19-Aug-14,11.80,11.80,11.18,11.66,161366
18-Aug-14,10.60,11.86,10.46,11.72,415788
15-Aug-14,10.74,10.82,10.01,10.53,195272
14-Aug-14,9.84,10.75,9.63,10.63,452694
13-Aug-14,9.31,10.35,9.20,9.85,2453917
12-Aug-14,10.29,10.50,9.58,9.65,284549
11-Aug-14,10.91,11.00,10.25,10.29,130651
8-Aug-14,11.42,11.42,10.52,10.90,58432
7-Aug-14,10.44,11.80,9.66,11.50,204883
6-Aug-14,11.21,11.37,10.41,10.54,151905
5-Aug-14,11.63,12.10,10.82,11.19,83300
4-Aug-14,12.81,12.81,11.35,11.72,202743
1-Aug-14,12.51,12.80,12.01,12.64,120716
31-Jul-14,12.83,13.15,12.04,12.35,63831
30-Jul-14,13.39,13.39,12.30,12.96,85234
29-Jul-14,12.75,13.84,12.45,13.23,69724
28-Jul-14,12.51,13.00,12.37,12.54,87922
25-Jul-14,13.05,13.23,12.36,12.58,102072
24-Jul-14,12.99,13.59,12.55,13.30,66234
23-Jul-14,14.43,14.75,12.98,13.00,171774
22-Jul-14,14.11,14.68,14.08,14.47,64066
21-Jul-14,13.01,14.35,12.70,14.09,118066
18-Jul-14,11.35,13.31,11.18,13.14,169823
17-Jul-14,11.18,11.22,10.30,11.16,134052
16-Jul-14,12.10,12.10,10.99,11.17,63259
15-Jul-14,12.31,12.40,11.70,11.79,53330
14-Jul-14,12.85,12.85,12.06,12.14,82772
11-Jul-14,14.33,14.33,12.77,12.77,115549
10-Jul-14,15.00,15.11,14.15,14.45,221830
9-Jul-14,15.45,15.58,15.00,15.23,82909
8-Jul-14,14.61,16.27,14.32,15.37,115024
7-Jul-14,16.24,16.28,14.54,14.72,168054
3-Jul-14,16.30,16.72,16.28,16.32,79661
2-Jul-14,16.15,16.66,15.86,16.28,71730
1-Jul-14,16.27,16.28,15.83,16.04,157631
30-Jun-14,15.01,16.47,14.81,16.02,195491
27-Jun-14,14.21,15.14,14.00,15.00,804335
26-Jun-14,14.26,14.46,14.10,14.24,79787
25-Jun-14,14.24,14.46,14.01,14.18,74243
24-Jun-14,14.23,14.53,14.21,14.28,120026
23-Jun-14,14.01,14.50,13.78,14.18,75049
20-Jun-14,14.22,14.62,13.95,14.03,161315
19-Jun-14,14.29,14.49,13.62,14.40,102437
18-Jun-14,14.56,15.00,13.58,14.19,262937
17-Jun-14,13.00,14.49,12.80,14.47,237817
16-Jun-14,11.71,13.10,11.06,13.00,214718
13-Jun-14,10.95,11.28,10.64,11.23,90955
12-Jun-14,10.56,11.18,10.56,10.85,122660
11-Jun-14,9.13,10.87,9.11,10.63,159516
10-Jun-14,9.04,9.35,9.04,9.15,72820
9-Jun-14,9.14,9.38,9.05,9.12,86493
6-Jun-14,9.38,9.41,9.04,9.04,56910
5-Jun-14,9.35,9.78,9.21,9.25,75871
4-Jun-14,8.76,9.93,8.50,9.35,248641
3-Jun-14,8.21,8.43,7.82,7.90,58715
2-Jun-14,8.99,8.99,8.14,8.24,68561
30-May-14,9.06,9.06,8.78,8.93,42864
29-May-14,9.38,9.38,8.95,9.03,24305
28-May-14,9.22,9.33,8.88,9.26,27537
27-May-14,9.20,9.32,9.01,9.18,28598
23-May-14,8.67,9.15,8.67,9.06,44741
22-May-14,8.92,9.39,8.65,8.73,85734
21-May-14,9.60,9.72,8.68,8.93,108938
20-May-14,9.70,10.04,9.47,9.58,52992
19-May-14,9.48,10.10,9.48,9.76,89039
16-May-14,9.60,9.65,9.45,9.55,36718
15-May-14,9.95,10.35,9.60,9.62,90951
14-May-14,9.80,10.72,9.79,10.06,85144
13-May-14,11.77,11.77,10.50,10.57,110088
12-May-14,10.42,11.56,10.32,11.36,115554
