Date,Open,High,Low,Close,Volume
31-Dec-14,18.18,18.76,18.13,18.25,987285
30-Dec-14,18.43,18.84,18.12,18.18,897393
29-Dec-14,18.19,18.70,18.06,18.50,1090439
26-Dec-14,17.22,18.27,17.22,18.24,1219642
24-Dec-14,17.45,17.66,16.96,17.08,1088094
23-Dec-14,18.52,18.52,17.13,17.26,1530997
22-Dec-14,18.64,18.90,17.83,18.46,1375719
19-Dec-14,18.78,19.45,18.57,18.92,2888098
18-Dec-14,18.45,18.95,18.16,18.82,1942169
17-Dec-14,16.60,18.14,16.60,18.10,1737375
16-Dec-14,16.85,17.50,16.20,16.84,1708723
15-Dec-14,18.17,18.49,16.82,16.88,2015220
12-Dec-14,17.96,18.85,17.75,18.03,1510746
11-Dec-14,18.25,18.97,18.08,18.19,1517021
10-Dec-14,18.34,19.35,17.91,18.02,2431018
9-Dec-14,17.97,18.58,17.52,18.40,2856015
8-Dec-14,18.35,18.94,18.32,18.44,2229595
5-Dec-14,18.72,19.23,17.89,18.27,2781745
4-Dec-14,19.43,19.62,18.14,18.26,2996804
3-Dec-14,20.00,20.30,19.44,19.50,1819980
2-Dec-14,19.47,20.26,19.47,20.00,1887448
1-Dec-14,20.10,20.32,19.33,19.37,1765445
28-Nov-14,20.54,20.99,20.08,20.28,1163834
26-Nov-14,20.38,20.67,20.11,20.54,1477296
25-Nov-14,20.83,21.08,19.78,20.38,3156994
24-Nov-14,20.95,21.70,20.22,20.93,4045730
21-Nov-14,20.71,21.28,20.11,20.83,5722366
20-Nov-14,18.72,21.39,18.66,20.46,10996661
19-Nov-14,17.72,19.40,17.41,18.73,7741529
18-Nov-14,18.23,18.39,16.80,17.72,8703829
17-Nov-14,16.62,19.48,16.30,18.25,22405518
14-Nov-14,14.19,15.25,13.57,14.16,6037208
13-Nov-14,14.87,15.27,14.22,14.26,1738402
12-Nov-14,14.31,14.87,14.27,14.81,1219966
11-Nov-14,14.76,14.90,14.23,14.46,1834780
10-Nov-14,13.46,14.83,13.13,14.81,2943665
7-Nov-14,13.41,13.69,12.90,13.42,2173054
6-Nov-14,12.89,14.16,12.80,13.48,3192800
5-Nov-14,16.64,16.71,12.92,13.10,6365532
4-Nov-14,16.58,16.94,16.41,16.58,968106
3-Nov-14,16.75,17.23,16.32,16.69,1518459
31-Oct-14,17.51,17.75,16.63,16.75,1815915
30-Oct-14,16.73,17.39,16.35,17.02,1625773
29-Oct-14,16.94,16.98,16.36,16.85,1916038
28-Oct-14,15.54,17.08,15.42,17.06,3005466
27-Oct-14,15.38,15.55,14.80,15.42,1166654
24-Oct-14,15.40,15.99,15.20,15.50,1837459
23-Oct-14,14.73,15.63,14.71,15.41,1823456
22-Oct-14,14.72,14.94,14.42,14.51,1271257
21-Oct-14,15.32,15.40,14.41,14.74,1570268
20-Oct-14,14.76,15.60,14.76,15.15,1690021
17-Oct-14,15.62,15.67,14.67,14.87,1976857
16-Oct-14,14.53,15.49,14.27,15.30,3145201
15-Oct-14,13.78,14.97,13.50,14.83,3306581
14-Oct-14,13.06,14.21,12.93,13.82,2808543
13-Oct-14,12.85,13.34,12.22,12.87,1686878
10-Oct-14,12.90,13.40,12.54,12.55,1530312
9-Oct-14,13.48,13.48,12.79,12.98,1621440
8-Oct-14,13.12,13.69,12.80,13.66,1757106
7-Oct-14,12.89,13.49,12.70,13.18,1829914
6-Oct-14,13.82,13.91,12.73,13.15,2368157
3-Oct-14,13.31,13.85,13.02,13.79,2063684
2-Oct-14,12.40,13.10,12.11,13.06,2015822
1-Oct-14,12.88,12.99,12.15,12.37,2717250
30-Sep-14,13.70,13.88,12.92,12.96,2543141
29-Sep-14,14.16,14.24,13.45,13.69,2609069
26-Sep-14,14.68,14.71,14.16,14.35,1598524
25-Sep-14,14.49,14.64,13.75,14.16,1873512
24-Sep-14,13.48,14.11,13.37,13.90,1402897
23-Sep-14,13.56,14.05,13.42,13.42,1201506
22-Sep-14,13.92,14.05,13.16,13.70,1876580
19-Sep-14,14.12,14.53,13.80,14.05,1874648
18-Sep-14,14.49,14.63,13.86,14.09,1257806
17-Sep-14,14.22,14.74,14.21,14.42,1287076
16-Sep-14,14.12,14.38,13.90,14.19,1298969
15-Sep-14,15.04,15.04,14.04,14.23,1720647
12-Sep-14,15.50,15.66,14.88,15.14,1411577
11-Sep-14,15.40,15.68,15.10,15.51,1368724
10-Sep-14,15.10,15.65,15.06,15.60,1267232
9-Sep-14,15.43,15.62,15.00,15.08,1061459
8-Sep-14,15.26,15.63,15.04,15.50,1092893
5-Sep-14,15.80,16.07,14.96,15.20,2576144
4-Sep-14,15.80,16.51,15.80,15.87,2353046
3-Sep-14,15.94,16.58,15.75,15.78,1603965
2-Sep-14,16.21,16.35,15.45,15.82,1147614
29-Aug-14,15.87,16.23,15.78,15.91,1308004
28-Aug-14,16.00,16.64,15.65,15.74,1624828
27-Aug-14,16.37,16.89,16.00,16.15,2192732
26-Aug-14,15.11,17.00,15.07,16.42,4545114
25-Aug-14,14.76,15.33,14.76,15.05,1546033
22-Aug-14,14.30,14.74,13.81,14.55,1978857
21-Aug-14,15.20,15.23,14.08,14.31,3683871
20-Aug-14,15.34,15.77,14.97,15.11,1963764
19-Aug-14,15.36,15.88,15.13,15.47,1899644
18-Aug-14,15.24,15.47,15.08,15.30,1790095
15-Aug-14,15.28,15.54,14.73,15.04,1500343
14-Aug-14,15.14,15.40,14.78,15.14,1095754
13-Aug-14,14.71,15.30,14.56,15.14,1571488
12-Aug-14,15.08,15.17,14.57,14.66,1454883
11-Aug-14,14.66,15.41,14.50,15.14,2314193
8-Aug-14,13.95,14.60,13.93,14.41,2009114
7-Aug-14,13.34,13.99,12.93,13.90,2747186
6-Aug-14,13.26,13.66,13.17,13.30,1090949
5-Aug-14,13.12,13.77,13.01,13.37,1439400
4-Aug-14,13.11,13.42,12.85,13.34,1742758
1-Aug-14,13.03,13.42,12.55,12.96,1819761
31-Jul-14,13.50,13.68,13.00,13.09,1661773
30-Jul-14,13.89,14.25,13.47,13.70,1479371
29-Jul-14,13.14,13.80,12.92,13.65,1723661
28-Jul-14,13.60,13.80,12.91,13.09,1474099
25-Jul-14,14.07,14.12,13.46,13.57,1840858
24-Jul-14,14.32,14.37,13.40,14.07,3588190
23-Jul-14,13.19,14.20,13.08,14.16,2876474
22-Jul-14,13.12,13.36,12.60,12.75,1408054
21-Jul-14,12.70,13.19,12.46,13.00,1468100
18-Jul-14,12.05,12.89,12.05,12.85,2327467
17-Jul-14,12.97,13.06,11.93,12.05,3147245
16-Jul-14,13.68,13.75,12.78,13.17,2155020
15-Jul-14,14.42,14.66,13.30,13.42,2208255
14-Jul-14,14.95,15.09,14.34,14.40,1231620
11-Jul-14,14.20,15.14,13.90,14.71,1961895
10-Jul-14,13.75,14.68,13.40,14.12,2095582
9-Jul-14,14.70,14.71,14.06,14.31,1957946
8-Jul-14,15.71,15.90,14.18,14.57,3774297
7-Jul-14,17.18,17.24,15.72,15.76,2402339
3-Jul-14,17.65,17.86,17.06,17.24,912077
2-Jul-14,17.39,18.30,17.25,17.57,2631073
1-Jul-14,16.45,17.53,16.37,17.32,2321406
30-Jun-14,16.54,16.94,16.24,16.32,1325491
27-Jun-14,16.66,16.88,16.31,16.62,1679557
26-Jun-14,17.33,17.37,16.51,16.75,1103253
25-Jun-14,16.79,17.36,16.61,17.18,1413958
24-Jun-14,16.60,17.23,16.52,16.92,2106680
23-Jun-14,16.86,17.45,16.47,16.57,1629660
20-Jun-14,17.00,17.00,16.57,16.79,1934005
19-Jun-14,17.49,17.82,16.31,16.85,3004415
18-Jun-14,17.62,17.88,17.06,17.44,1828671
17-Jun-14,17.67,18.00,17.30,17.64,1892018
16-Jun-14,17.03,18.10,17.03,17.60,2263130
13-Jun-14,17.35,17.62,16.72,17.15,1799947
12-Jun-14,17.35,17.85,16.58,17.29,2931233
11-Jun-14,16.95,18.12,16.87,17.45,4012977
10-Jun-14,16.31,17.45,16.02,17.26,3786298
9-Jun-14,15.14,16.99,15.04,16.26,4374379
6-Jun-14,15.13,15.20,14.52,15.14,1773489
5-Jun-14,13.58,15.93,13.57,15.15,5799578
4-Jun-14,13.02,13.48,12.97,13.45,1337469
3-Jun-14,13.63,13.76,12.91,13.22,1939214
2-Jun-14,14.64,14.94,13.30,13.69,2454633
30-May-14,14.70,14.89,14.11,14.61,2669033
29-May-14,14.56,15.13,14.13,14.30,1540471
28-May-14,14.91,15.05,14.34,14.42,2055654
27-May-14,13.41,14.90,13.40,14.89,2383906
23-May-14,13.33,13.70,13.13,13.30,1329157
22-May-14,12.70,13.45,12.68,13.32,2051866
21-May-14,12.65,13.03,12.56,12.77,1595125
20-May-14,13.55,13.68,12.36,12.59,3069196
19-May-14,13.24,13.82,13.13,13.69,1692975
16-May-14,14.02,14.20,13.24,13.33,2372434
15-May-14,15.20,15.33,13.56,14.02,5300242
14-May-14,13.44,15.97,12.85,15.74,9265928
13-May-14,12.94,13.37,12.37,12.40,2051363
12-May-14,13.22,13.69,12.76,12.91,3214443
9-May-14,11.00,12.89,10.76,12.79,3727885
8-May-14,12.53,12.96,11.02,11.09,4262661
7-May-14,13.03,13.24,12.28,12.65,2152203
6-May-14,13.93,14.01,12.87,13.10,2833120
5-May-14,14.26,14.40,13.93,14.02,2008566
2-May-14,14.76,15.00,14.13,14.51,1541364
1-May-14,15.00,15.10,14.21,14.64,3064407
30-Apr-14,14.91,15.03,14.20,15.00,2688602
29-Apr-14,13.92,14.88,13.57,14.78,2030440
28-Apr-14,14.09,14.38,13.15,13.83,1878827
25-Apr-14,14.49,14.64,13.84,14.04,2089057
24-Apr-14,14.94,14.95,13.81,14.68,1971393
23-Apr-14,15.93,15.99,14.59,14.71,2593632
22-Apr-14,14.92,16.16,14.92,16.01,3016910
21-Apr-14,14.46,14.88,14.25,14.83,2022455
17-Apr-14,14.62,14.93,14.11,14.24,2536066
16-Apr-14,13.89,14.82,13.66,14.69,3467189
15-Apr-14,13.74,14.16,12.50,13.73,4194003
14-Apr-14,14.39,14.67,13.41,13.72,2630432
11-Apr-14,15.34,15.54,13.93,14.02,4571825
10-Apr-14,17.08,17.20,15.51,15.62,2561638
9-Apr-14,15.73,17.07,15.66,17.00,2926971
8-Apr-14,16.02,16.34,15.35,15.57,2057059
7-Apr-14,15.81,16.38,15.25,15.90,2432969
4-Apr-14,16.43,16.75,15.61,15.97,2470934
3-Apr-14,17.88,18.00,15.82,16.39,3773768
2-Apr-14,18.19,18.52,17.53,17.79,2170390
1-Apr-14,17.89,18.40,17.51,17.94,2850008
31-Mar-14,17.09,17.70,16.58,17.67,3857056
28-Mar-14,18.62,18.97,16.86,16.95,3909149
27-Mar-14,17.57,18.61,17.15,18.61,3514870
26-Mar-14,19.04,19.17,17.79,17.82,2653216
25-Mar-14,20.27,20.48,18.35,18.85,2996192
24-Mar-14,21.78,21.98,18.52,19.84,5317443
21-Mar-14,23.90,23.90,21.32,21.52,3842663
