Date,Open,High,Low,Close,Volume
31-Dec-14,13.48,13.57,13.31,13.32,39286
30-Dec-14,13.42,13.52,13.31,13.41,46334
29-Dec-14,13.47,13.65,13.46,13.51,37024
26-Dec-14,13.50,13.70,13.42,13.52,56719
24-Dec-14,13.48,13.50,13.33,13.48,28214
23-Dec-14,13.24,13.51,12.98,13.44,112929
22-Dec-14,13.03,13.16,12.93,13.07,86399
19-Dec-14,12.91,13.10,12.81,12.98,274324
18-Dec-14,12.92,13.09,12.69,12.91,66919
17-Dec-14,12.25,12.89,12.25,12.75,127356
16-Dec-14,12.21,12.68,12.11,12.22,133463
15-Dec-14,12.36,12.41,12.11,12.28,160114
12-Dec-14,12.71,12.84,12.40,12.41,92516
11-Dec-14,12.89,13.19,12.82,12.91,62385
10-Dec-14,13.44,13.44,12.78,12.78,118177
9-Dec-14,12.86,13.35,12.75,13.34,118964
8-Dec-14,13.35,13.46,13.02,13.04,75197
5-Dec-14,13.31,13.57,13.31,13.48,48114
4-Dec-14,13.30,13.57,13.08,13.32,127841
3-Dec-14,13.22,13.45,13.14,13.27,64112
2-Dec-14,13.14,13.47,13.14,13.25,99869
1-Dec-14,13.39,13.44,13.10,13.16,119233
28-Nov-14,13.72,13.73,13.42,13.49,60402
26-Nov-14,13.69,13.88,13.67,13.75,92568
25-Nov-14,13.74,13.87,13.54,13.64,73141
24-Nov-14,13.62,13.77,13.53,13.65,80427
21-Nov-14,13.80,13.98,13.46,13.67,92332
20-Nov-14,13.50,13.83,13.36,13.67,62678
19-Nov-14,13.87,13.87,13.40,13.61,69998
18-Nov-14,13.91,14.08,13.65,13.85,82431
17-Nov-14,14.10,14.20,13.84,13.88,75755
14-Nov-14,14.10,14.20,14.04,14.10,81665
13-Nov-14,14.05,14.07,13.78,14.01,83047
12-Nov-14,13.61,14.05,13.57,14.05,99213
11-Nov-14,13.80,13.82,13.52,13.70,55108
10-Nov-14,13.62,13.89,13.48,13.78,117924
7-Nov-14,13.63,13.75,13.43,13.67,82720
6-Nov-14,13.64,13.71,13.34,13.65,58844
5-Nov-14,13.82,13.91,13.53,13.60,39981
4-Nov-14,13.59,13.83,13.39,13.70,98193
3-Nov-14,14.22,14.44,13.75,13.77,256111
31-Oct-14,13.85,14.09,13.62,13.70,218502
30-Oct-14,13.38,13.65,13.18,13.65,142505
29-Oct-14,13.54,13.54,13.28,13.38,88590
28-Oct-14,13.38,13.56,13.21,13.54,122713
27-Oct-14,12.93,13.38,12.59,13.35,240475
24-Oct-14,12.40,12.91,11.86,12.85,294748
23-Oct-14,11.99,12.07,11.81,11.86,107935
22-Oct-14,12.10,12.17,11.74,11.77,82247
21-Oct-14,11.72,12.15,11.66,12.15,115558
20-Oct-14,11.24,11.67,11.24,11.60,95454
17-Oct-14,12.11,12.11,11.15,11.32,195248
16-Oct-14,11.79,12.07,11.59,11.87,120222
15-Oct-14,11.73,11.96,11.38,11.89,167090
14-Oct-14,11.67,12.22,11.53,12.01,165589
13-Oct-14,11.70,12.09,11.52,11.67,184033
10-Oct-14,11.80,12.13,11.71,11.73,96063
9-Oct-14,12.19,12.19,11.80,11.84,123907
8-Oct-14,11.88,12.19,11.61,12.14,173050
7-Oct-14,11.53,11.69,11.40,11.62,144407
6-Oct-14,11.81,11.81,11.55,11.64,46536
3-Oct-14,11.85,11.92,11.71,11.74,84295
