Date,Open,High,Low,Close,Volume
31-Dec-14,2.28,2.35,2.26,2.33,182120
30-Dec-14,2.32,2.34,2.27,2.29,167746
29-Dec-14,2.33,2.39,2.33,2.35,131285
26-Dec-14,2.37,2.42,2.33,2.33,156160
24-Dec-14,2.36,2.41,2.34,2.39,55579
23-Dec-14,2.35,2.39,2.33,2.33,108087
22-Dec-14,2.40,2.42,2.32,2.35,89563
19-Dec-14,2.40,2.45,2.31,2.42,95583
18-Dec-14,2.40,2.41,2.31,2.36,69988
17-Dec-14,2.38,2.40,2.30,2.37,66415
16-Dec-14,2.33,2.40,2.33,2.38,45555
15-Dec-14,2.42,2.50,2.35,2.36,76028
12-Dec-14,2.38,2.53,2.37,2.42,64699
11-Dec-14,2.43,2.51,2.41,2.42,54515
10-Dec-14,2.39,2.58,2.34,2.47,161992
9-Dec-14,2.40,2.42,2.33,2.39,249602
8-Dec-14,2.49,2.56,2.40,2.41,68212
5-Dec-14,2.40,2.62,2.37,2.49,67794
4-Dec-14,2.45,2.47,2.36,2.41,92160
3-Dec-14,2.49,2.49,2.40,2.46,92236
2-Dec-14,2.46,2.51,2.43,2.47,40068
1-Dec-14,2.63,2.63,2.44,2.49,74124
28-Nov-14,2.70,2.70,2.57,2.67,17620
26-Nov-14,2.65,2.71,2.56,2.68,29452
25-Nov-14,2.69,2.76,2.65,2.67,63521
24-Nov-14,2.70,2.78,2.60,2.68,211837
21-Nov-14,2.45,2.62,2.45,2.58,78786
20-Nov-14,2.42,2.52,2.41,2.45,54259
19-Nov-14,2.48,2.49,2.41,2.47,23030
18-Nov-14,2.51,2.51,2.38,2.51,78960
17-Nov-14,2.50,2.53,2.46,2.47,29231
14-Nov-14,2.49,2.54,2.45,2.53,36611
13-Nov-14,2.50,2.63,2.44,2.47,43982
12-Nov-14,2.42,2.57,2.41,2.50,37051
11-Nov-14,2.42,2.47,2.40,2.45,49533
10-Nov-14,2.54,2.57,2.44,2.45,70622
7-Nov-14,2.52,2.55,2.50,2.52,26051
6-Nov-14,2.51,2.57,2.45,2.55,49719
5-Nov-14,2.57,2.65,2.43,2.54,71509
4-Nov-14,2.63,2.65,2.48,2.52,148401
3-Nov-14,2.75,2.78,2.63,2.67,36435
31-Oct-14,2.88,2.88,2.71,2.74,71336
30-Oct-14,2.62,2.83,2.60,2.75,327676
29-Oct-14,2.57,2.64,2.55,2.56,58012
28-Oct-14,2.56,2.58,2.48,2.53,101115
27-Oct-14,2.56,2.58,2.54,2.58,20882
24-Oct-14,2.53,2.60,2.46,2.59,36456
23-Oct-14,2.52,2.58,2.43,2.54,99520
22-Oct-14,2.60,2.70,2.52,2.54,34992
21-Oct-14,2.63,2.64,2.60,2.62,17288
20-Oct-14,2.56,2.63,2.45,2.60,49494
17-Oct-14,2.60,2.68,2.51,2.55,91898
16-Oct-14,2.50,2.65,2.50,2.61,55761
15-Oct-14,2.48,2.60,2.38,2.55,94605
14-Oct-14,2.55,2.60,2.49,2.53,42926
13-Oct-14,2.61,2.66,2.48,2.55,76316
10-Oct-14,2.60,2.74,2.54,2.59,183984
9-Oct-14,2.77,2.83,2.60,2.63,100659
8-Oct-14,2.80,2.83,2.66,2.80,56493
7-Oct-14,2.81,2.89,2.71,2.76,115629
6-Oct-14,2.89,2.96,2.75,2.82,70763
3-Oct-14,2.92,2.99,2.83,2.91,47560
2-Oct-14,2.85,2.99,2.82,2.92,86543
1-Oct-14,2.92,2.98,2.77,2.83,122821
30-Sep-14,3.01,3.01,2.92,2.96,37754
29-Sep-14,2.97,3.01,2.93,2.98,42054
26-Sep-14,2.99,3.00,2.93,2.97,54155
25-Sep-14,2.95,3.00,2.91,3.00,52616
24-Sep-14,2.93,3.02,2.90,2.93,49113
23-Sep-14,2.92,2.95,2.91,2.93,80027
22-Sep-14,3.00,3.05,2.93,2.95,98784
19-Sep-14,3.07,3.09,3.00,3.03,63267
18-Sep-14,3.05,3.10,3.05,3.08,77102
17-Sep-14,3.01,3.14,3.00,3.08,48091
16-Sep-14,3.07,3.10,3.02,3.03,61882
15-Sep-14,3.22,3.22,3.06,3.06,157120
12-Sep-14,3.29,3.30,3.20,3.20,50664
11-Sep-14,3.22,3.27,3.22,3.23,44341
10-Sep-14,3.24,3.30,3.19,3.21,29830
9-Sep-14,3.29,3.30,3.20,3.26,47722
8-Sep-14,3.27,3.34,3.26,3.28,33342
5-Sep-14,3.31,3.32,3.23,3.25,45059
4-Sep-14,3.32,3.40,3.28,3.31,123481
3-Sep-14,3.25,3.35,3.20,3.30,87673
2-Sep-14,3.25,3.30,3.23,3.25,36312
29-Aug-14,3.23,3.28,3.20,3.25,27780
28-Aug-14,3.23,3.30,3.16,3.23,78111
27-Aug-14,3.16,3.25,3.16,3.24,66397
26-Aug-14,3.16,3.19,3.12,3.17,66579
25-Aug-14,3.18,3.21,3.17,3.18,54420
22-Aug-14,3.19,3.19,3.09,3.16,44003
21-Aug-14,3.14,3.16,3.10,3.14,62084
20-Aug-14,3.20,3.25,3.11,3.12,63937
19-Aug-14,3.12,3.23,3.12,3.20,59469
18-Aug-14,3.12,3.15,3.05,3.13,123685
15-Aug-14,3.20,3.20,3.02,3.12,263020
14-Aug-14,3.24,3.24,3.16,3.20,66704
13-Aug-14,3.24,3.29,3.17,3.20,39719
12-Aug-14,3.27,3.28,3.20,3.21,39852
11-Aug-14,3.23,3.28,3.18,3.26,36742
8-Aug-14,3.17,3.30,3.13,3.21,71135
7-Aug-14,3.20,3.35,3.20,3.20,94141
