Date,Open,High,Low,Close,Volume
31-Dec-14,75.95,76.64,74.73,74.84,146132
30-Dec-14,75.82,76.68,75.25,75.55,108176
29-Dec-14,76.09,76.50,75.35,75.98,138917
26-Dec-14,75.87,76.41,75.28,75.92,128598
24-Dec-14,76.21,76.57,75.51,75.76,69243
23-Dec-14,75.98,76.29,75.41,75.71,227856
22-Dec-14,75.49,76.23,74.53,75.31,239957
19-Dec-14,75.26,76.28,74.20,75.22,500843
18-Dec-14,76.38,76.40,74.68,75.45,362985
17-Dec-14,71.58,75.71,71.03,75.48,271268
16-Dec-14,71.62,72.96,71.01,71.58,271514
15-Dec-14,71.99,73.03,71.54,72.13,212668
12-Dec-14,70.60,72.11,70.45,71.40,134852
11-Dec-14,69.43,73.95,69.40,71.70,251082
10-Dec-14,71.73,73.22,71.00,71.36,157371
9-Dec-14,70.82,72.21,69.51,72.05,262496
8-Dec-14,71.30,72.68,71.14,71.35,184806
5-Dec-14,70.08,72.29,69.76,71.93,177016
4-Dec-14,69.69,71.16,69.44,70.19,214527
3-Dec-14,69.50,70.00,69.16,69.75,141976
2-Dec-14,66.82,69.74,66.82,69.39,263018
1-Dec-14,68.18,68.99,65.83,66.51,221395
28-Nov-14,67.47,68.99,66.13,67.09,128040
26-Nov-14,66.98,67.74,66.05,67.55,131818
25-Nov-14,64.94,67.64,64.94,66.83,203228
24-Nov-14,64.07,68.13,63.46,65.03,311806
21-Nov-14,65.35,65.67,63.34,63.72,148193
20-Nov-14,64.82,66.00,64.26,64.60,163577
19-Nov-14,65.24,68.59,64.75,64.80,247900
18-Nov-14,67.01,67.69,63.44,67.03,353200
17-Nov-14,66.99,68.82,62.26,67.00,331970
14-Nov-14,66.80,68.40,66.39,67.60,325341
13-Nov-14,68.61,68.99,66.71,66.96,301569
12-Nov-14,66.85,68.80,66.84,68.38,453439
11-Nov-14,68.50,69.00,66.34,67.00,620840
10-Nov-14,65.40,68.85,64.50,68.82,441970
7-Nov-14,66.26,67.60,66.06,67.41,367285
6-Nov-14,65.68,66.76,65.23,66.49,271566
5-Nov-14,65.62,66.83,65.30,65.78,269811
4-Nov-14,64.30,65.72,63.63,65.34,535471
3-Nov-14,66.82,68.12,63.65,64.34,942913
31-Oct-14,65.34,67.20,65.34,66.86,1752990
30-Oct-14,56.05,65.61,55.24,64.24,2904468
29-Oct-14,55.35,55.39,54.68,55.06,695808
28-Oct-14,55.19,55.68,54.90,55.63,610858
27-Oct-14,55.57,55.95,54.90,54.93,250860
24-Oct-14,55.37,56.16,55.05,55.91,223717
23-Oct-14,55.32,56.62,55.03,55.25,305114
22-Oct-14,57.00,57.00,54.71,54.93,489509
21-Oct-14,55.84,57.11,55.69,56.90,394004
20-Oct-14,55.26,56.04,55.11,55.73,134829
17-Oct-14,56.97,57.88,54.95,55.36,720976
16-Oct-14,54.65,56.64,54.65,56.19,418434
15-Oct-14,52.66,55.52,52.13,55.16,855892
14-Oct-14,53.01,54.13,52.62,53.00,536978
13-Oct-14,54.00,54.84,52.45,52.63,767832
10-Oct-14,54.07,55.06,53.42,54.00,623370
9-Oct-14,55.23,55.51,54.16,54.44,842958
