Date,Open,High,Low,Close,Volume
31-Dec-14,1.16,1.22,1.15,1.15,205226
30-Dec-14,1.24,1.25,1.16,1.17,248496
29-Dec-14,1.30,1.32,1.21,1.23,242390
26-Dec-14,1.31,1.37,1.23,1.34,246145
24-Dec-14,1.37,1.39,1.25,1.28,292102
23-Dec-14,1.51,1.62,1.30,1.39,1880203
22-Dec-14,1.16,1.73,1.10,1.47,5929503
19-Dec-14,1.15,1.15,1.00,1.05,286143
18-Dec-14,1.19,1.19,1.04,1.09,242419
17-Dec-14,1.07,1.14,1.07,1.13,142887
16-Dec-14,1.15,1.18,1.05,1.05,139908
15-Dec-14,1.12,1.23,1.11,1.15,179605
12-Dec-14,1.23,1.28,1.10,1.12,470480
11-Dec-14,1.34,1.37,1.22,1.28,282931
10-Dec-14,1.35,1.43,1.32,1.32,95091
9-Dec-14,1.45,1.47,1.30,1.37,245886
8-Dec-14,1.46,1.55,1.44,1.47,287358
5-Dec-14,1.51,1.51,1.40,1.44,368701
4-Dec-14,1.54,1.55,1.48,1.54,249604
3-Dec-14,1.57,1.65,1.49,1.55,317028
2-Dec-14,1.77,1.78,1.56,1.57,264797
1-Dec-14,1.81,1.81,1.66,1.74,294177
28-Nov-14,1.75,1.81,1.71,1.73,104035
26-Nov-14,1.81,1.81,1.76,1.79,177963
25-Nov-14,1.83,1.85,1.76,1.78,254303
24-Nov-14,1.81,1.85,1.76,1.78,272542
21-Nov-14,1.92,2.03,1.82,1.82,875934
20-Nov-14,1.80,1.89,1.76,1.81,398604
19-Nov-14,1.89,1.89,1.80,1.82,174474
18-Nov-14,1.85,1.91,1.83,1.86,217804
17-Nov-14,1.96,1.96,1.80,1.81,620085
14-Nov-14,2.05,2.10,1.91,1.96,802456
13-Nov-14,2.18,2.18,2.05,2.06,820996
12-Nov-14,2.13,2.25,2.12,2.15,401781
11-Nov-14,2.16,2.26,2.10,2.21,921996
10-Nov-14,2.12,2.19,2.02,2.15,846359
7-Nov-14,2.25,2.48,2.10,2.11,5254542
6-Nov-14,2.09,2.15,2.02,2.10,613955
5-Nov-14,2.17,2.24,2.07,2.09,1100143
4-Nov-14,2.05,2.13,1.96,2.07,752960
3-Nov-14,2.08,2.22,2.05,2.08,949212
31-Oct-14,2.08,2.30,2.08,2.10,1871256
30-Oct-14,1.96,2.15,1.96,2.11,1466862
29-Oct-14,1.97,2.07,1.96,2.02,424016
28-Oct-14,2.05,2.10,1.95,2.04,549722
27-Oct-14,1.91,2.14,1.86,2.03,711315
24-Oct-14,2.02,2.06,1.92,2.01,639045
23-Oct-14,2.16,2.27,2.02,2.08,1113637
22-Oct-14,2.10,2.33,2.00,2.11,2803742
21-Oct-14,1.80,2.38,1.80,2.05,5454571
20-Oct-14,1.75,2.03,1.71,1.83,2117992
17-Oct-14,1.83,2.03,1.80,1.82,2375571
16-Oct-14,1.77,1.89,1.65,1.80,1607501
15-Oct-14,1.80,2.08,1.80,1.92,2064131
14-Oct-14,1.55,2.25,1.53,2.14,8035972
13-Oct-14,1.59,1.65,1.30,1.36,1436686
10-Oct-14,1.88,1.90,1.64,1.66,2135454
9-Oct-14,2.21,2.44,1.80,1.98,2088638
8-Oct-14,2.33,2.45,2.20,2.27,1447134
7-Oct-14,2.48,2.58,2.31,2.39,1803939
6-Oct-14,2.76,2.92,2.43,2.62,2367368
3-Oct-14,3.15,3.20,2.85,2.88,2165991
2-Oct-14,3.07,3.25,2.75,3.14,3744684
1-Oct-14,3.26,3.40,3.00,3.17,3481161
30-Sep-14,3.90,4.05,3.13,3.35,12372163
29-Sep-14,3.12,4.06,2.98,3.20,13511701
26-Sep-14,2.65,3.62,2.54,3.48,23080779
25-Sep-14,2.20,3.19,2.18,2.69,10501201
24-Sep-14,2.60,2.83,2.10,2.12,3547755
23-Sep-14,3.52,3.76,2.61,2.72,9826022
22-Sep-14,2.52,3.98,2.41,3.19,37555578
19-Sep-14,1.07,2.70,1.07,1.96,22385893
18-Sep-14,1.12,1.12,0.98,1.02,237151
17-Sep-14,1.01,1.19,0.96,1.12,555696
16-Sep-14,0.91,1.15,0.88,1.07,653495
15-Sep-14,0.88,0.90,0.88,0.90,26475
12-Sep-14,0.91,0.91,0.88,0.88,32642
11-Sep-14,0.88,0.91,0.88,0.88,89011
10-Sep-14,0.93,0.93,0.88,0.88,56043
9-Sep-14,0.89,0.92,0.88,0.90,72869
8-Sep-14,0.94,0.97,0.83,0.87,130273
5-Sep-14,0.95,1.00,0.88,0.90,211176
4-Sep-14,0.95,1.00,0.93,0.95,114977
3-Sep-14,1.05,1.06,0.93,0.95,173575
2-Sep-14,0.84,1.05,0.83,1.01,270682
29-Aug-14,0.88,0.92,0.83,0.84,129561
28-Aug-14,0.89,0.93,0.86,0.88,130064
27-Aug-14,1.00,1.01,0.86,0.92,216719
26-Aug-14,1.01,1.06,0.99,1.00,113664
25-Aug-14,1.07,1.11,1.00,1.00,153572
22-Aug-14,1.08,1.13,1.05,1.09,130375
21-Aug-14,1.10,1.15,1.03,1.08,313569
20-Aug-14,1.09,1.25,1.03,1.10,389697
19-Aug-14,1.07,1.10,1.00,1.10,172673
18-Aug-14,1.12,1.15,1.02,1.06,153420
15-Aug-14,1.19,1.26,0.98,0.99,322831
14-Aug-14,0.90,1.19,0.85,1.17,1011536
13-Aug-14,1.02,1.07,0.80,0.85,736011
12-Aug-14,0.99,1.44,0.97,0.99,2977243
11-Aug-14,0.67,0.67,0.64,0.65,24757
8-Aug-14,0.64,0.64,0.64,0.64,2205
7-Aug-14,0.67,0.68,0.66,0.68,22426
6-Aug-14,0.63,0.66,0.62,0.64,6728
5-Aug-14,0.66,0.66,0.63,0.66,36096
4-Aug-14,0.69,0.69,0.65,0.67,31732
1-Aug-14,0.66,0.67,0.62,0.67,8555
31-Jul-14,0.69,0.69,0.62,0.66,40159
30-Jul-14,0.71,0.72,0.65,0.72,50738
29-Jul-14,0.73,0.74,0.73,0.74,7834
28-Jul-14,0.70,0.73,0.70,0.73,10671
25-Jul-14,0.74,0.74,0.70,0.72,4285
24-Jul-14,0.69,0.75,0.67,0.75,12921
23-Jul-14,0.68,0.75,0.68,0.72,74395
22-Jul-14,0.68,0.75,0.66,0.72,16303
21-Jul-14,0.70,0.70,0.64,0.66,52927
18-Jul-14,0.75,0.79,0.61,0.75,36015
17-Jul-14,0.78,0.78,0.75,0.77,2252
16-Jul-14,0.77,0.77,0.77,0.77,475
15-Jul-14,0.79,0.80,0.75,0.77,10575
14-Jul-14,0.77,0.78,0.72,0.75,112827
11-Jul-14,0.78,0.81,0.76,0.78,25525
10-Jul-14,0.81,0.81,0.79,0.79,6400
9-Jul-14,0.80,0.82,0.80,0.81,16531
8-Jul-14,0.84,0.84,0.78,0.80,12438
7-Jul-14,0.88,0.88,0.81,0.84,5764
3-Jul-14,0.85,0.87,0.82,0.84,7400
2-Jul-14,0.87,0.87,0.80,0.80,51278
1-Jul-14,0.86,0.94,0.82,0.84,76121
30-Jun-14,0.82,0.84,0.82,0.82,13050
27-Jun-14,0.80,0.85,0.80,0.84,16189
26-Jun-14,0.81,0.84,0.81,0.81,9472
25-Jun-14,0.87,0.88,0.82,0.84,4925
24-Jun-14,0.88,0.89,0.83,0.86,7274
23-Jun-14,0.79,0.88,0.79,0.88,36928
20-Jun-14,0.81,0.81,0.81,0.81,3809
19-Jun-14,0.79,0.84,0.75,0.84,40307
18-Jun-14,0.80,0.83,0.80,0.82,11879
17-Jun-14,0.83,0.88,0.79,0.82,29274
16-Jun-14,0.83,0.88,0.83,0.86,17913
13-Jun-14,0.80,0.86,0.80,0.86,20516
12-Jun-14,0.78,0.86,0.78,0.83,19133
11-Jun-14,0.84,0.84,0.80,0.80,7824
10-Jun-14,0.79,0.88,0.79,0.82,24293
9-Jun-14,0.86,0.88,0.75,0.82,77186
6-Jun-14,0.91,0.91,0.88,0.88,20601
5-Jun-14,0.88,0.90,0.87,0.88,18569
4-Jun-14,0.89,0.91,0.87,0.90,57146
3-Jun-14,0.87,1.00,0.87,0.90,36255
2-Jun-14,1.00,1.02,0.87,0.89,57918
30-May-14,0.95,0.99,0.93,0.93,15423
29-May-14,1.03,1.06,0.93,0.95,68702
28-May-14,0.92,1.03,0.91,0.95,95182
27-May-14,0.87,0.94,0.87,0.91,38397
23-May-14,0.98,1.00,0.87,0.90,33532
22-May-14,0.92,1.07,0.92,0.95,72832
21-May-14,0.79,0.93,0.79,0.92,126735
20-May-14,0.75,0.79,0.75,0.76,21318
19-May-14,0.80,0.81,0.76,0.77,21693
16-May-14,0.84,0.85,0.80,0.80,12672
15-May-14,0.85,0.88,0.85,0.86,24783
14-May-14,0.84,0.85,0.82,0.85,5839
13-May-14,0.87,0.87,0.78,0.83,36802
12-May-14,0.78,0.86,0.78,0.85,23900
9-May-14,0.76,0.83,0.76,0.78,18166
8-May-14,0.78,0.84,0.74,0.77,118705
7-May-14,0.83,0.85,0.77,0.77,17806
6-May-14,0.85,0.85,0.83,0.83,6733
5-May-14,0.82,0.92,0.76,0.88,41007
2-May-14,0.85,0.93,0.85,0.85,17365
1-May-14,0.87,0.87,0.83,0.85,65341
30-Apr-14,0.93,0.93,0.84,0.87,107182
29-Apr-14,1.02,1.02,0.91,0.95,105329
28-Apr-14,1.07,1.07,1.01,1.02,26082
25-Apr-14,1.05,1.07,1.02,1.07,26733
24-Apr-14,1.07,1.08,1.00,1.06,128975
23-Apr-14,1.20,1.20,1.07,1.07,136650
22-Apr-14,1.23,1.33,1.20,1.20,62659
21-Apr-14,1.30,1.34,1.20,1.27,54685
17-Apr-14,1.20,1.32,1.18,1.28,58828
16-Apr-14,1.38,1.38,1.15,1.26,70989
15-Apr-14,1.58,1.58,1.21,1.33,284062
14-Apr-14,1.67,1.68,1.53,1.60,40446
11-Apr-14,1.69,1.69,1.65,1.65,22900
