Date,Open,High,Low,Close,Volume
31-Dec-14,1.12,1.14,1.12,1.12,90102
30-Dec-14,1.12,1.16,1.12,1.12,58718
29-Dec-14,1.19,1.24,1.06,1.12,246801
26-Dec-14,1.20,1.24,1.13,1.20,55053
24-Dec-14,1.16,1.25,1.15,1.17,187168
23-Dec-14,1.10,1.14,1.10,1.10,54196
22-Dec-14,1.10,1.15,1.10,1.10,89187
19-Dec-14,1.14,1.19,1.08,1.11,202039
18-Dec-14,1.13,1.19,1.11,1.16,39641
17-Dec-14,1.11,1.16,1.10,1.15,113632
16-Dec-14,1.16,1.20,1.08,1.12,104931
15-Dec-14,1.24,1.26,1.17,1.19,131273
12-Dec-14,1.25,1.27,1.20,1.21,44985
11-Dec-14,1.25,1.29,1.25,1.25,27504
10-Dec-14,1.30,1.30,1.26,1.27,47116
9-Dec-14,1.30,1.35,1.29,1.31,56888
8-Dec-14,1.32,1.40,1.28,1.33,107909
5-Dec-14,1.29,1.41,1.29,1.37,454714
4-Dec-14,1.27,1.30,1.27,1.29,56343
3-Dec-14,1.30,1.30,1.28,1.30,42832
2-Dec-14,1.30,1.30,1.26,1.28,38118
1-Dec-14,1.29,1.34,1.27,1.29,18941
28-Nov-14,1.33,1.33,1.24,1.27,60096
26-Nov-14,1.28,1.30,1.27,1.27,13821
25-Nov-14,1.28,1.35,1.26,1.27,129589
24-Nov-14,1.36,1.38,1.35,1.35,78857
21-Nov-14,1.40,1.41,1.36,1.38,95540
20-Nov-14,1.35,1.43,1.35,1.41,92347
19-Nov-14,1.31,1.35,1.31,1.35,5865
18-Nov-14,1.35,1.38,1.29,1.35,71255
17-Nov-14,1.34,1.38,1.32,1.37,59630
14-Nov-14,1.32,1.39,1.32,1.35,75313
13-Nov-14,1.32,1.37,1.30,1.33,63953
12-Nov-14,1.38,1.39,1.31,1.35,106858
11-Nov-14,1.35,1.39,1.31,1.36,51912
10-Nov-14,1.39,1.39,1.30,1.30,42433
7-Nov-14,1.36,1.45,1.29,1.40,108172
6-Nov-14,1.41,1.44,1.33,1.39,178337
5-Nov-14,1.25,1.43,1.25,1.37,806179
4-Nov-14,1.26,1.27,1.19,1.25,93443
3-Nov-14,1.21,1.27,1.20,1.21,21955
31-Oct-14,1.20,1.24,1.17,1.22,139978
30-Oct-14,1.23,1.28,1.20,1.20,25395
29-Oct-14,1.21,1.25,1.20,1.25,20500
28-Oct-14,1.22,1.25,1.19,1.24,48781
27-Oct-14,1.21,1.25,1.21,1.24,24285
24-Oct-14,1.21,1.25,1.21,1.21,135291
23-Oct-14,1.23,1.27,1.21,1.21,38140
22-Oct-14,1.30,1.30,1.22,1.24,14370
21-Oct-14,1.20,1.29,1.20,1.28,11689
20-Oct-14,1.24,1.29,1.20,1.21,34108
17-Oct-14,1.24,1.29,1.24,1.26,11986
16-Oct-14,1.29,1.29,1.19,1.26,7823
15-Oct-14,1.19,1.26,1.18,1.25,152563
14-Oct-14,1.18,1.34,1.17,1.24,117618
13-Oct-14,1.30,1.30,1.17,1.25,76741
10-Oct-14,1.29,1.30,1.15,1.29,236874
9-Oct-14,1.37,1.37,1.27,1.28,20539
8-Oct-14,1.28,1.38,1.26,1.34,77720
7-Oct-14,1.30,1.32,1.26,1.28,39104
6-Oct-14,1.31,1.31,1.28,1.30,32389
3-Oct-14,1.29,1.33,1.28,1.31,35451
2-Oct-14,1.31,1.36,1.29,1.30,16822
1-Oct-14,1.31,1.33,1.28,1.30,75448
30-Sep-14,1.34,1.38,1.28,1.34,148346
29-Sep-14,1.31,1.35,1.30,1.33,47384
26-Sep-14,1.28,1.32,1.25,1.32,45791
25-Sep-14,1.29,1.32,1.26,1.31,22338
24-Sep-14,1.27,1.30,1.26,1.29,58522
23-Sep-14,1.28,1.30,1.25,1.27,45671
22-Sep-14,1.30,1.33,1.25,1.26,112533
19-Sep-14,1.34,1.37,1.30,1.30,109301
18-Sep-14,1.33,1.39,1.33,1.36,24620
17-Sep-14,1.41,1.42,1.33,1.35,87146
16-Sep-14,1.40,1.50,1.33,1.39,268386
15-Sep-14,1.37,1.41,1.36,1.37,50440
12-Sep-14,1.43,1.44,1.41,1.41,19957
11-Sep-14,1.38,1.46,1.38,1.42,79034
10-Sep-14,1.46,1.46,1.38,1.39,195622
9-Sep-14,1.39,1.58,1.37,1.48,724035
8-Sep-14,1.39,1.41,1.33,1.38,86127
5-Sep-14,1.37,1.39,1.33,1.39,56998
4-Sep-14,1.39,1.39,1.32,1.34,44315
3-Sep-14,1.35,1.38,1.32,1.35,48863
2-Sep-14,1.31,1.37,1.31,1.35,56865
29-Aug-14,1.37,1.40,1.31,1.33,58515
28-Aug-14,1.40,1.43,1.38,1.38,43668
27-Aug-14,1.40,1.47,1.40,1.40,6497
26-Aug-14,1.42,1.44,1.41,1.41,37565
25-Aug-14,1.46,1.47,1.42,1.44,28357
22-Aug-14,1.43,1.46,1.42,1.43,67380
21-Aug-14,1.45,1.54,1.41,1.42,207705
20-Aug-14,1.34,1.47,1.34,1.46,277766
19-Aug-14,1.43,1.43,1.34,1.34,54333
18-Aug-14,1.36,1.45,1.34,1.40,136382
15-Aug-14,1.35,1.36,1.35,1.35,33546
14-Aug-14,1.34,1.39,1.34,1.36,9749
13-Aug-14,1.41,1.41,1.33,1.37,17202
12-Aug-14,1.32,1.39,1.32,1.39,15541
11-Aug-14,1.36,1.37,1.30,1.37,58285
8-Aug-14,1.38,1.43,1.34,1.36,35821
7-Aug-14,1.38,1.43,1.38,1.38,26134
6-Aug-14,1.41,1.46,1.38,1.39,31349
5-Aug-14,1.40,1.43,1.40,1.40,46871
4-Aug-14,1.40,1.49,1.40,1.41,68239
1-Aug-14,1.42,1.48,1.39,1.42,28859
31-Jul-14,1.50,1.51,1.43,1.43,47935
30-Jul-14,1.51,1.52,1.47,1.51,16020
29-Jul-14,1.48,1.57,1.47,1.50,77460
28-Jul-14,1.52,1.52,1.45,1.46,29847
25-Jul-14,1.51,1.53,1.49,1.49,21825
24-Jul-14,1.46,1.52,1.46,1.51,71295
23-Jul-14,1.50,1.52,1.46,1.47,21906
22-Jul-14,1.42,1.58,1.42,1.50,304790
21-Jul-14,1.36,1.44,1.36,1.44,28337
18-Jul-14,1.32,1.45,1.32,1.38,75419
17-Jul-14,1.36,1.37,1.31,1.33,24695
16-Jul-14,1.36,1.40,1.34,1.36,20097
15-Jul-14,1.35,1.38,1.32,1.36,25000
14-Jul-14,1.40,1.43,1.33,1.35,45850
11-Jul-14,1.36,1.40,1.30,1.40,36150
10-Jul-14,1.35,1.36,1.33,1.36,22574
9-Jul-14,1.35,1.38,1.35,1.36,8907
8-Jul-14,1.37,1.40,1.35,1.35,79102
7-Jul-14,1.45,1.48,1.39,1.39,116913
3-Jul-14,1.42,1.45,1.40,1.45,42950
2-Jul-14,1.35,1.40,1.33,1.37,33740
1-Jul-14,1.30,1.35,1.28,1.33,32575
30-Jun-14,1.24,1.32,1.24,1.29,33274
27-Jun-14,1.33,1.38,1.21,1.29,95196
26-Jun-14,1.35,1.39,1.33,1.36,39191
25-Jun-14,1.33,1.37,1.30,1.35,31565
24-Jun-14,1.40,1.40,1.30,1.33,118520
23-Jun-14,1.45,1.45,1.38,1.39,67026
20-Jun-14,1.44,1.44,1.40,1.40,59771
19-Jun-14,1.43,1.47,1.43,1.43,44836
18-Jun-14,1.43,1.48,1.43,1.45,52502
17-Jun-14,1.46,1.46,1.44,1.45,34539
16-Jun-14,1.41,1.48,1.41,1.43,107769
13-Jun-14,1.36,1.45,1.36,1.44,114089
12-Jun-14,1.36,1.38,1.34,1.38,18510
11-Jun-14,1.41,1.44,1.36,1.38,92613
10-Jun-14,1.35,1.45,1.35,1.40,130924
9-Jun-14,1.35,1.37,1.30,1.34,34907
6-Jun-14,1.35,1.37,1.32,1.36,196357
5-Jun-14,1.30,1.37,1.25,1.37,142460
4-Jun-14,1.31,1.31,1.18,1.27,86466
3-Jun-14,1.25,1.30,1.18,1.30,174797
2-Jun-14,1.28,1.31,1.25,1.28,168349
30-May-14,1.31,1.35,1.26,1.29,337858
29-May-14,1.33,1.37,1.30,1.33,177490
28-May-14,1.29,1.37,1.25,1.33,224504
27-May-14,1.40,1.44,1.26,1.29,603251
23-May-14,1.33,1.47,1.31,1.46,69502
22-May-14,1.30,1.39,1.21,1.35,674486
21-May-14,1.56,1.56,1.30,1.34,659068
20-May-14,1.49,1.58,1.45,1.57,546279
19-May-14,1.61,1.71,1.61,1.70,81296
16-May-14,1.60,1.64,1.60,1.62,33867
15-May-14,1.64,1.66,1.60,1.64,62801
14-May-14,1.75,1.75,1.65,1.65,83400
13-May-14,1.69,1.75,1.69,1.73,27657
12-May-14,1.64,1.71,1.63,1.69,40140
9-May-14,1.59,1.66,1.58,1.63,48049
8-May-14,1.59,1.68,1.57,1.59,66799
7-May-14,1.66,1.70,1.52,1.59,254482
6-May-14,1.71,1.74,1.69,1.69,59504
5-May-14,1.73,1.75,1.66,1.70,88208
2-May-14,1.75,1.79,1.71,1.76,54982
1-May-14,1.79,1.83,1.72,1.77,64541
30-Apr-14,1.79,1.79,1.70,1.76,200426
29-Apr-14,1.79,1.84,1.77,1.79,113252
28-Apr-14,1.85,1.86,1.77,1.79,67412
25-Apr-14,1.91,1.93,1.85,1.87,173597
24-Apr-14,1.71,1.91,1.71,1.91,283211
23-Apr-14,1.75,1.77,1.72,1.74,40436
22-Apr-14,1.76,1.79,1.75,1.75,32801
21-Apr-14,1.78,1.78,1.74,1.78,29990
17-Apr-14,1.66,1.80,1.66,1.75,118280
16-Apr-14,1.68,1.70,1.61,1.66,157130
