Date,Open,High,Low,Close,Volume
31-Dec-14,9.04,9.24,8.93,9.01,38098
30-Dec-14,8.89,9.10,8.89,9.05,20502
29-Dec-14,9.15,9.25,8.88,9.10,106664
26-Dec-14,8.84,9.15,8.84,8.97,52089
24-Dec-14,8.65,8.90,8.65,8.90,14844
23-Dec-14,9.00,9.00,8.10,8.75,62981
22-Dec-14,9.20,9.20,8.75,9.06,117883
19-Dec-14,8.90,9.12,8.90,9.12,155302
18-Dec-14,8.78,9.14,8.75,9.09,130870
17-Dec-14,8.72,9.00,8.50,8.88,79162
16-Dec-14,8.63,9.20,8.50,8.86,129435
15-Dec-14,8.78,9.15,8.67,9.00,279202
12-Dec-14,9.25,9.42,8.50,8.80,3331332
