Date,Open,High,Low,Close,Volume
31-Dec-14,11.56,11.74,11.45,11.45,22993
30-Dec-14,11.27,11.56,11.22,11.45,4665
29-Dec-14,11.34,11.50,11.25,11.48,11237
26-Dec-14,11.54,11.54,11.13,11.42,3129
24-Dec-14,11.16,11.47,11.16,11.47,4033
23-Dec-14,11.09,11.25,11.02,11.10,4378
22-Dec-14,11.30,11.42,11.21,11.25,15606
19-Dec-14,11.45,11.50,11.20,11.36,35696
18-Dec-14,11.35,11.66,11.16,11.51,12778
17-Dec-14,10.22,11.33,10.22,11.13,16700
16-Dec-14,9.72,10.37,9.72,10.25,9443
15-Dec-14,9.85,9.92,9.74,9.86,10103
12-Dec-14,10.06,10.90,9.79,9.94,9042
11-Dec-14,9.93,10.32,9.72,10.25,26932
10-Dec-14,10.23,10.40,9.95,10.00,13234
9-Dec-14,10.01,10.50,10.01,10.30,8674
8-Dec-14,10.29,10.56,10.19,10.22,8766
5-Dec-14,10.21,10.50,10.21,10.36,7291
4-Dec-14,10.32,10.56,10.22,10.24,3784
3-Dec-14,11.40,11.40,10.30,10.51,4802
2-Dec-14,10.40,10.43,10.28,10.37,9556
1-Dec-14,10.07,11.10,10.07,10.25,14429
28-Nov-14,10.29,11.69,10.25,10.42,9973
26-Nov-14,10.60,10.60,10.00,10.38,10640
25-Nov-14,10.82,11.55,10.36,10.66,21253
24-Nov-14,10.57,11.00,10.57,10.86,7234
21-Nov-14,11.52,11.52,11.10,11.26,10462
20-Nov-14,10.61,11.82,10.61,11.41,4991
19-Nov-14,10.53,11.08,10.50,10.71,10767
18-Nov-14,10.58,10.84,10.50,10.83,7488
17-Nov-14,10.63,10.63,10.51,10.55,2999
14-Nov-14,10.94,10.99,10.70,10.70,12577
13-Nov-14,10.95,11.00,10.95,10.98,5694
12-Nov-14,10.93,11.16,10.75,10.97,7178
11-Nov-14,11.37,11.37,10.93,11.06,22319
10-Nov-14,11.02,11.49,11.02,11.45,24655
7-Nov-14,11.52,11.52,10.80,11.01,3707
6-Nov-14,10.89,11.50,9.80,11.48,14097
5-Nov-14,11.16,11.35,10.85,10.88,15548
4-Nov-14,10.56,11.13,10.26,11.10,13572
3-Nov-14,10.70,10.70,9.14,10.67,15892
31-Oct-14,10.38,11.41,9.84,10.64,26754
30-Oct-14,9.64,10.00,9.64,10.00,23257
29-Oct-14,9.62,9.77,9.51,9.62,5613
28-Oct-14,8.96,9.65,8.95,9.63,18453
27-Oct-14,9.06,9.06,8.99,8.99,3706
24-Oct-14,9.10,9.10,9.00,9.05,5756
23-Oct-14,9.22,9.25,8.96,9.07,14839
22-Oct-14,9.18,9.25,8.96,9.04,5013
21-Oct-14,8.96,9.21,8.94,9.14,4003
20-Oct-14,8.88,9.04,8.87,9.02,7792
17-Oct-14,9.55,9.55,8.94,8.97,15136
16-Oct-14,8.86,9.42,8.86,9.42,15764
15-Oct-14,8.90,9.24,8.90,9.00,22611
14-Oct-14,9.17,9.24,8.97,9.02,25909
13-Oct-14,8.79,9.33,8.79,9.12,20481
10-Oct-14,9.00,9.11,8.75,8.76,15045
9-Oct-14,8.92,9.39,8.92,9.07,11976
8-Oct-14,8.87,9.60,8.87,9.39,12379
7-Oct-14,8.90,9.17,8.89,8.91,11783
6-Oct-14,8.92,9.37,8.91,8.99,4883
3-Oct-14,9.24,9.24,8.86,8.92,24049
2-Oct-14,9.41,9.41,8.76,9.13,6705
1-Oct-14,8.75,9.13,8.75,8.76,10529
30-Sep-14,8.85,8.90,8.77,8.82,18877
29-Sep-14,8.80,9.14,8.80,8.90,5246
26-Sep-14,8.87,8.92,8.81,8.92,5592
25-Sep-14,9.17,9.17,8.79,8.87,13946
24-Sep-14,8.62,9.13,8.62,9.12,9254
23-Sep-14,8.90,8.94,8.73,8.74,19668
22-Sep-14,9.09,9.16,8.90,8.91,17710
19-Sep-14,9.23,9.58,9.09,9.10,38949
18-Sep-14,9.18,9.58,9.18,9.19,7633
17-Sep-14,9.74,9.74,9.11,9.13,8818
16-Sep-14,9.96,9.96,9.43,9.48,7724
15-Sep-14,9.64,9.98,9.41,9.50,10319
12-Sep-14,9.75,9.85,9.63,9.63,9371
11-Sep-14,9.88,9.90,9.56,9.73,10175
10-Sep-14,9.80,9.97,9.79,9.97,8629
9-Sep-14,9.70,9.93,9.54,9.82,8291
8-Sep-14,9.67,9.68,9.44,9.68,7688
5-Sep-14,9.53,9.69,9.42,9.68,8440
4-Sep-14,9.41,9.67,9.41,9.58,5015
3-Sep-14,9.69,9.69,9.52,9.57,7827
2-Sep-14,9.58,9.91,9.52,9.75,4819
29-Aug-14,9.33,9.55,9.28,9.50,6099
28-Aug-14,9.97,9.97,9.33,9.33,6231
27-Aug-14,9.88,9.88,9.50,9.64,1189
26-Aug-14,9.31,9.65,9.31,9.60,12054
25-Aug-14,9.25,9.42,9.25,9.39,2483
22-Aug-14,9.35,9.47,9.14,9.47,7979
21-Aug-14,9.18,9.36,9.18,9.35,2986
20-Aug-14,9.55,9.55,9.18,9.21,6562
19-Aug-14,9.60,9.71,9.60,9.60,7651
18-Aug-14,9.72,9.72,9.55,9.67,5826
15-Aug-14,9.92,9.92,9.55,9.56,13218
14-Aug-14,9.66,9.81,9.58,9.78,7875
13-Aug-14,9.25,9.72,9.24,9.62,10148
12-Aug-14,9.28,9.28,9.15,9.23,5611
11-Aug-14,9.23,9.48,9.14,9.36,12567
8-Aug-14,9.02,9.19,8.99,9.14,5688
7-Aug-14,9.26,9.26,9.02,9.06,3109
6-Aug-14,8.90,9.36,8.90,9.23,5553
5-Aug-14,9.16,9.16,8.90,8.95,9356
4-Aug-14,9.15,9.49,9.05,9.23,10930
1-Aug-14,9.28,9.28,9.02,9.09,10216
31-Jul-14,8.93,9.25,8.93,9.21,17071
30-Jul-14,9.05,9.13,8.95,9.02,13528
29-Jul-14,8.97,9.12,8.97,9.00,3789
28-Jul-14,8.88,9.03,8.77,8.90,13270
25-Jul-14,9.01,9.01,8.76,8.84,22628
24-Jul-14,9.55,9.62,9.01,9.09,6975
23-Jul-14,9.37,9.59,9.37,9.59,3304
22-Jul-14,9.26,9.46,9.26,9.42,6667
21-Jul-14,9.09,9.44,9.02,9.26,6191
18-Jul-14,8.75,9.25,8.75,9.21,18562
17-Jul-14,9.30,9.30,8.75,8.80,26371
16-Jul-14,9.38,9.68,9.30,9.31,7279
15-Jul-14,9.45,9.49,9.30,9.31,14010
14-Jul-14,9.61,9.70,9.45,9.47,10497
11-Jul-14,9.46,9.68,9.46,9.50,4043
10-Jul-14,9.50,9.73,9.45,9.45,11351
9-Jul-14,10.04,10.09,9.62,9.70,10374
8-Jul-14,10.01,10.33,10.01,10.07,9151
7-Jul-14,10.23,10.23,10.01,10.04,8705
3-Jul-14,10.13,10.37,10.13,10.33,5012
2-Jul-14,10.15,10.39,10.12,10.23,6120
1-Jul-14,9.98,10.30,9.76,10.21,28565
30-Jun-14,10.28,10.39,9.58,9.70,17291
27-Jun-14,10.97,11.26,10.18,10.18,137036
26-Jun-14,11.25,11.25,11.02,11.06,4421
25-Jun-14,11.07,11.23,10.86,11.22,9717
24-Jun-14,11.20,11.25,11.14,11.15,10607
23-Jun-14,11.14,11.36,11.06,11.12,5643
20-Jun-14,11.08,11.22,10.96,11.13,44204
19-Jun-14,11.43,11.43,10.92,10.98,14236
18-Jun-14,11.28,11.49,11.28,11.36,13837
17-Jun-14,11.20,11.20,10.68,11.14,9901
