Date,Open,High,Low,Close,Volume
31-Dec-14,88.99,90.25,88.00,88.03,21148
30-Dec-14,87.60,90.04,87.51,88.31,16338
29-Dec-14,88.67,89.21,87.20,87.94,12564
26-Dec-14,88.75,89.20,87.75,88.55,7871
24-Dec-14,87.75,88.40,86.90,88.19,4829
23-Dec-14,87.47,88.57,86.24,87.74,19996
22-Dec-14,87.28,87.93,86.25,87.64,17320
19-Dec-14,88.39,88.72,86.29,86.74,37044
18-Dec-14,88.00,88.82,86.57,88.72,17820
17-Dec-14,84.52,87.20,84.52,87.20,16847
16-Dec-14,82.72,85.04,82.72,83.81,19957
15-Dec-14,84.80,84.95,82.32,82.66,29629
12-Dec-14,87.44,89.73,84.44,84.57,17891
11-Dec-14,84.97,88.86,84.97,88.42,30338
10-Dec-14,86.31,87.56,84.81,85.13,25778
9-Dec-14,85.00,86.70,83.09,86.48,22648
8-Dec-14,88.88,89.34,85.32,86.03,32029
5-Dec-14,87.93,89.92,87.40,89.34,22715
4-Dec-14,86.87,89.89,85.43,88.16,23820
3-Dec-14,88.93,89.36,86.71,87.29,35760
2-Dec-14,86.04,89.49,84.31,88.22,407804
1-Dec-14,93.06,93.56,86.28,86.35,80597
28-Nov-14,93.73,95.65,93.73,94.56,11607
26-Nov-14,92.88,93.72,92.05,93.37,6825
25-Nov-14,93.52,94.13,92.18,92.39,9448
24-Nov-14,91.79,93.54,91.73,93.43,10053
21-Nov-14,93.27,93.98,92.19,92.49,13195
20-Nov-14,91.91,92.84,90.23,92.46,25016
19-Nov-14,91.70,93.42,90.40,91.68,25182
18-Nov-14,91.29,92.39,90.70,91.49,12752
17-Nov-14,91.53,91.90,90.20,90.62,18062
14-Nov-14,90.16,91.98,90.01,91.68,17789
13-Nov-14,90.59,92.00,89.79,90.08,13017
12-Nov-14,89.95,91.44,89.60,91.19,19137
11-Nov-14,88.61,90.43,87.78,90.27,10663
10-Nov-14,90.38,90.38,87.54,88.96,24589
7-Nov-14,90.10,92.12,89.00,90.00,16319
6-Nov-14,90.38,91.05,89.00,90.82,14316
5-Nov-14,91.86,92.81,89.35,90.65,14059
4-Nov-14,90.42,92.44,89.84,91.41,21032
3-Nov-14,89.78,91.33,89.37,91.31,25056
31-Oct-14,89.50,91.29,89.37,90.44,33799
30-Oct-14,87.23,89.29,86.96,89.29,16606
29-Oct-14,86.90,87.97,85.06,86.96,24277
28-Oct-14,83.69,87.33,82.70,87.05,33908
27-Oct-14,82.68,83.47,81.57,83.08,12234
24-Oct-14,81.98,82.61,81.52,82.61,10493
23-Oct-14,81.90,82.79,79.57,81.98,27860
22-Oct-14,81.02,81.69,80.22,81.63,20706
21-Oct-14,81.20,81.29,79.77,81.28,39416
20-Oct-14,80.61,81.61,78.72,81.32,14470
17-Oct-14,83.38,83.38,81.18,81.51,19763
16-Oct-14,81.33,83.15,81.21,82.03,26076
15-Oct-14,82.28,83.47,80.27,82.84,39172
14-Oct-14,80.67,83.42,80.46,82.55,53033
13-Oct-14,78.94,81.02,78.64,80.55,28250
10-Oct-14,76.82,79.52,76.27,78.59,28293
9-Oct-14,78.25,78.70,76.80,77.02,13545
8-Oct-14,75.37,78.91,75.07,78.69,38715
7-Oct-14,75.58,76.47,75.44,75.75,20310
6-Oct-14,76.59,76.84,75.63,76.06,10046
3-Oct-14,74.53,76.66,74.37,76.06,16637
2-Oct-14,73.96,74.75,73.04,73.87,7295
1-Oct-14,74.26,74.70,73.50,74.13,16867
30-Sep-14,75.05,75.22,74.41,74.63,20462
29-Sep-14,74.98,75.48,74.56,74.97,13470
26-Sep-14,75.38,77.31,75.00,75.74,11436
25-Sep-14,76.92,77.45,74.50,75.51,23105
24-Sep-14,77.02,77.47,76.40,76.85,8388
23-Sep-14,77.00,77.75,75.90,77.02,20038
22-Sep-14,76.92,77.77,76.75,77.12,14110
19-Sep-14,76.25,77.84,75.40,77.41,69846
18-Sep-14,76.39,76.41,75.23,75.39,11087
17-Sep-14,76.54,76.82,76.00,76.18,15499
16-Sep-14,76.47,77.00,76.19,76.85,11957
15-Sep-14,76.47,76.47,75.84,76.26,12024
12-Sep-14,76.25,76.45,75.44,76.45,22069
11-Sep-14,75.09,76.46,75.09,76.04,7883
10-Sep-14,75.86,76.21,75.25,75.62,11569
9-Sep-14,75.32,75.50,74.51,75.01,19712
8-Sep-14,74.75,75.53,74.01,75.33,23921
5-Sep-14,75.92,77.07,74.56,74.61,10392
4-Sep-14,75.53,76.96,75.51,75.91,25930
3-Sep-14,76.51,76.85,74.54,75.59,38595
2-Sep-14,74.84,76.83,74.82,76.51,24847
29-Aug-14,73.44,74.41,73.26,74.36,12122
28-Aug-14,73.18,73.89,72.86,73.25,13346
27-Aug-14,73.83,73.83,72.72,73.39,10956
26-Aug-14,74.03,74.70,73.55,73.74,12162
25-Aug-14,75.22,75.41,74.01,74.10,9199
22-Aug-14,75.15,75.31,74.54,74.60,12820
21-Aug-14,75.28,75.28,74.50,75.17,15828
20-Aug-14,75.49,76.27,75.06,75.24,15138
