Date,Open,High,Low,Close,Volume
31-Dec-14,41.31,41.47,41.30,41.30,7944
30-Dec-14,42.80,42.80,41.79,41.80,2058
29-Dec-14,42.42,42.42,41.76,41.88,4909
26-Dec-14,42.59,42.59,42.19,42.37,5610
24-Dec-14,45.79,45.79,42.15,42.30,80575
23-Dec-14,42.61,43.10,42.61,43.01,1474
22-Dec-14,42.71,42.71,42.55,42.55,776
16-Dec-14,45.24,45.24,41.85,41.85,882
15-Dec-14,43.00,43.00,42.03,42.03,3299
12-Dec-14,43.55,43.55,43.00,43.00,857
10-Dec-14,44.10,44.10,44.05,44.05,981
9-Dec-14,44.75,44.75,44.75,44.75,244
8-Dec-14,46.30,46.30,44.70,44.91,2095
5-Dec-14,46.06,46.06,45.90,45.90,648
4-Dec-14,46.29,46.29,46.09,46.10,1175
3-Dec-14,46.56,46.59,46.36,46.59,1378
2-Dec-14,46.70,46.70,46.39,46.39,1255
1-Dec-14,45.83,46.63,45.83,46.63,1680
28-Nov-14,47.46,47.52,46.47,46.47,6345
26-Nov-14,49.25,49.25,49.25,49.25,500
25-Nov-14,49.84,49.92,49.43,49.43,1860
24-Nov-14,49.84,49.84,49.72,49.72,215
21-Nov-14,50.21,50.21,49.90,49.90,665
20-Nov-14,49.59,49.59,49.59,49.59,409
19-Nov-14,49.59,49.59,49.26,49.26,535
18-Nov-14,49.47,49.47,49.31,49.36,1270
17-Nov-14,49.35,49.56,49.23,49.56,2516
14-Nov-14,49.38,49.45,49.38,49.45,2930
13-Nov-14,49.50,49.50,48.84,48.85,4197
12-Nov-14,50.20,50.20,49.73,49.81,6482
11-Nov-14,49.90,50.03,49.80,50.03,2073
10-Nov-14,50.70,50.70,49.91,49.93,4671
7-Nov-14,50.42,50.56,50.32,50.35,4311
6-Nov-14,49.80,50.00,49.60,49.99,4793
5-Nov-14,49.55,49.92,49.55,49.92,386
4-Nov-14,49.88,49.88,49.53,49.55,1573
3-Nov-14,50.84,50.84,50.19,50.19,1217
31-Oct-14,50.42,50.73,50.21,50.71,2810
30-Oct-14,50.52,50.88,50.52,50.85,3500
29-Oct-14,51.33,51.33,51.25,51.25,1366
28-Oct-14,50.53,50.97,50.49,50.97,2350
27-Oct-14,50.11,50.11,49.95,49.95,1110
24-Oct-14,50.61,50.73,50.61,50.73,912
23-Oct-14,50.56,50.98,50.56,50.96,4524
21-Oct-14,50.84,51.03,50.84,51.03,296
20-Oct-14,50.55,50.55,50.41,50.55,2051
17-Oct-14,50.68,50.77,50.68,50.77,9031
16-Oct-14,49.93,50.41,49.93,50.41,201
