Date,Open,High,Low,Close,Volume
31-Dec-14,62.72,63.08,61.90,61.93,100558
30-Dec-14,62.83,63.60,62.31,62.69,69148
29-Dec-14,64.17,64.26,62.68,63.11,86827
26-Dec-14,63.33,64.17,62.84,64.01,51774
24-Dec-14,63.12,63.54,62.60,63.02,29315
23-Dec-14,62.83,63.83,62.40,63.13,102384
22-Dec-14,61.90,62.84,61.71,62.83,112331
19-Dec-14,62.51,62.53,61.48,61.68,229948
18-Dec-14,63.30,64.00,61.79,62.66,153074
17-Dec-14,61.29,62.63,60.84,62.62,122829
16-Dec-14,61.46,62.82,60.92,61.37,106417
15-Dec-14,62.13,62.28,60.54,61.51,121080
12-Dec-14,61.61,62.35,61.00,62.02,139148
11-Dec-14,61.83,62.64,61.35,62.33,166385
10-Dec-14,61.56,62.24,60.96,61.66,224448
9-Dec-14,60.23,61.67,60.00,61.67,175807
8-Dec-14,61.83,62.38,60.71,60.93,93827
5-Dec-14,61.96,62.74,61.65,61.87,121125
4-Dec-14,61.06,62.70,61.06,61.94,144757
3-Dec-14,60.56,61.73,60.56,61.24,145863
2-Dec-14,58.63,60.65,58.51,60.23,663825
1-Dec-14,59.08,59.96,58.55,58.64,143354
28-Nov-14,59.88,61.36,59.88,60.11,64244
26-Nov-14,59.09,59.76,58.77,59.62,78309
25-Nov-14,58.95,59.39,58.60,58.92,91714
24-Nov-14,57.05,59.23,57.05,59.07,110709
21-Nov-14,58.72,58.72,57.01,57.05,103010
20-Nov-14,57.42,58.28,57.15,58.00,111222
19-Nov-14,58.50,58.50,56.96,57.43,77420
18-Nov-14,58.24,59.51,58.14,58.36,177314
17-Nov-14,58.36,59.15,57.94,58.02,111453
14-Nov-14,60.07,60.40,58.62,58.80,139260
13-Nov-14,61.91,62.02,60.14,60.22,100324
12-Nov-14,59.64,62.09,59.25,61.65,236489
11-Nov-14,58.72,59.74,58.38,59.65,135439
10-Nov-14,58.22,58.91,58.11,58.90,147531
7-Nov-14,56.59,58.46,56.31,58.04,155027
6-Nov-14,57.00,57.31,55.91,56.45,255240
5-Nov-14,57.17,57.49,56.17,56.52,175625
4-Nov-14,57.05,57.44,56.45,56.90,161918
3-Nov-14,58.27,58.66,57.02,57.05,106989
31-Oct-14,58.61,59.24,57.89,58.03,121573
30-Oct-14,56.67,57.54,56.49,57.42,110886
29-Oct-14,57.28,57.82,56.26,57.03,102668
28-Oct-14,55.31,57.33,55.05,56.98,230232
27-Oct-14,55.08,55.16,54.70,55.07,112503
24-Oct-14,55.64,56.90,54.87,55.24,102528
23-Oct-14,56.38,56.96,55.16,55.44,116027
22-Oct-14,54.84,56.06,54.64,55.67,120017
21-Oct-14,53.86,54.84,53.86,54.61,88402
20-Oct-14,53.85,54.49,53.48,53.74,139917
17-Oct-14,54.86,54.89,53.22,53.96,262323
16-Oct-14,52.88,54.86,52.88,54.13,133688
15-Oct-14,52.15,53.86,51.92,53.61,163448
