Date,Open,High,Low,Close,Volume
31-Dec-14,2.99,3.07,2.95,3.00,112745
30-Dec-14,3.04,3.08,2.92,2.96,106601
29-Dec-14,3.01,3.08,2.90,3.06,124574
26-Dec-14,2.97,3.04,2.92,3.04,69404
24-Dec-14,2.90,2.97,2.81,2.94,71416
23-Dec-14,3.16,3.16,2.78,2.88,492640
22-Dec-14,3.15,3.16,3.05,3.08,116587
19-Dec-14,3.17,3.25,3.13,3.16,368207
18-Dec-14,3.29,3.34,3.15,3.20,180941
17-Dec-14,3.12,3.41,3.09,3.20,264806
16-Dec-14,2.91,3.20,2.91,3.09,149464
15-Dec-14,3.40,3.47,2.92,2.97,228031
12-Dec-14,3.32,3.56,3.32,3.43,163813
11-Dec-14,3.30,3.46,3.30,3.40,162546
10-Dec-14,3.32,3.50,3.24,3.28,150689
9-Dec-14,3.18,3.35,3.08,3.32,144119
8-Dec-14,3.24,3.42,3.23,3.24,119380
5-Dec-14,3.11,3.29,3.07,3.24,233171
4-Dec-14,3.11,3.16,3.03,3.11,97806
3-Dec-14,3.03,3.16,3.03,3.10,180757
2-Dec-14,2.97,3.06,2.97,3.04,146744
1-Dec-14,3.04,3.04,2.94,2.95,114713
28-Nov-14,3.17,3.17,3.00,3.03,63641
26-Nov-14,3.09,3.18,3.08,3.15,102271
25-Nov-14,3.05,3.15,2.98,3.10,218106
24-Nov-14,3.04,3.05,2.94,3.05,238690
21-Nov-14,3.06,3.12,2.98,2.99,167552
20-Nov-14,2.96,3.12,2.87,3.03,171184
19-Nov-14,3.03,3.05,2.91,2.98,204028
18-Nov-14,3.12,3.13,3.02,3.05,78836
17-Nov-14,3.01,3.14,3.01,3.12,100082
14-Nov-14,3.07,3.07,2.93,3.02,101495
13-Nov-14,3.04,3.10,2.97,3.05,157695
12-Nov-14,3.04,3.11,2.96,3.06,99964
11-Nov-14,3.12,3.13,3.01,3.07,105924
10-Nov-14,3.02,3.12,2.90,3.11,102792
7-Nov-14,3.08,3.08,2.93,3.01,117626
6-Nov-14,2.90,3.13,2.88,3.09,251140
5-Nov-14,3.25,3.25,2.88,2.91,382817
4-Nov-14,3.31,3.38,3.21,3.21,170216
3-Nov-14,3.29,3.37,3.16,3.28,209803
31-Oct-14,3.50,3.50,3.17,3.25,290157
30-Oct-14,3.15,3.47,3.15,3.46,334576
29-Oct-14,3.21,3.24,3.09,3.19,210061
28-Oct-14,3.08,3.19,3.05,3.18,190655
27-Oct-14,2.99,3.17,2.96,3.12,98902
24-Oct-14,3.04,3.11,2.99,3.03,128263
23-Oct-14,2.99,3.15,2.92,3.02,146544
22-Oct-14,3.01,3.08,2.92,2.96,193114
21-Oct-14,3.00,3.07,2.96,3.01,182609
20-Oct-14,2.88,3.08,2.88,3.00,183706
17-Oct-14,3.24,3.33,2.92,2.92,860745
16-Oct-14,2.97,3.25,2.88,3.19,309263
15-Oct-14,2.96,3.09,2.84,3.00,384261
14-Oct-14,2.88,3.25,2.88,3.00,676899
13-Oct-14,2.78,2.91,2.70,2.82,177989
10-Oct-14,2.74,2.90,2.72,2.80,143227
9-Oct-14,2.83,2.89,2.77,2.78,179716
8-Oct-14,2.68,2.88,2.62,2.84,167290
7-Oct-14,2.73,2.79,2.64,2.67,111360
6-Oct-14,2.79,2.88,2.73,2.73,117056
3-Oct-14,2.76,2.84,2.73,2.81,209753
2-Oct-14,2.63,2.76,2.59,2.71,136532
1-Oct-14,2.69,2.73,2.62,2.62,151356
30-Sep-14,2.76,2.80,2.67,2.68,210272
29-Sep-14,2.72,2.78,2.71,2.77,89536
26-Sep-14,2.72,2.78,2.62,2.76,89336
25-Sep-14,2.78,2.80,2.68,2.72,133600
24-Sep-14,2.73,2.86,2.71,2.80,107961
23-Sep-14,2.73,2.81,2.66,2.71,141530
22-Sep-14,2.79,2.81,2.68,2.75,119642
19-Sep-14,2.71,2.89,2.71,2.83,404945
18-Sep-14,2.78,2.83,2.67,2.70,112360
17-Sep-14,2.71,2.82,2.69,2.78,62577
16-Sep-14,2.74,2.75,2.69,2.71,45492
15-Sep-14,2.75,2.78,2.62,2.74,167033
12-Sep-14,2.81,2.83,2.74,2.74,72604
11-Sep-14,2.77,2.83,2.75,2.81,105746
10-Sep-14,2.73,2.81,2.69,2.80,81843
9-Sep-14,2.79,2.79,2.65,2.72,178286
8-Sep-14,2.70,2.79,2.68,2.79,116288
5-Sep-14,2.63,2.74,2.59,2.69,104645
4-Sep-14,2.77,2.79,2.64,2.65,118319
3-Sep-14,2.81,2.93,2.72,2.76,219951
2-Sep-14,2.76,2.84,2.72,2.80,160804
29-Aug-14,2.77,2.84,2.75,2.76,113272
28-Aug-14,2.84,2.85,2.74,2.77,203472
27-Aug-14,2.81,2.90,2.78,2.86,114026
26-Aug-14,2.81,2.87,2.76,2.80,228206
25-Aug-14,2.70,2.88,2.68,2.81,196003
22-Aug-14,2.72,2.78,2.65,2.70,142709
21-Aug-14,2.93,2.93,2.64,2.74,313269
20-Aug-14,2.81,2.99,2.80,2.95,238046
19-Aug-14,2.79,2.83,2.78,2.83,92654
18-Aug-14,2.78,2.92,2.77,2.80,280136
15-Aug-14,2.76,2.78,2.61,2.76,336641
14-Aug-14,2.78,2.84,2.63,2.71,194558
13-Aug-14,2.55,2.82,2.55,2.77,288507
12-Aug-14,2.72,2.78,2.50,2.53,252262
11-Aug-14,2.59,2.92,2.56,2.74,301191
8-Aug-14,2.60,2.67,2.51,2.54,171779
7-Aug-14,2.69,2.78,2.56,2.61,324976
6-Aug-14,2.36,3.02,2.36,2.74,1076749
5-Aug-14,2.36,2.42,2.32,2.33,197810
4-Aug-14,2.44,2.45,2.35,2.40,189501
1-Aug-14,2.41,2.43,2.36,2.41,113491
31-Jul-14,2.42,2.51,2.38,2.39,207325
30-Jul-14,2.48,2.53,2.46,2.47,107924
29-Jul-14,2.40,2.51,2.39,2.44,77350
28-Jul-14,2.40,2.43,2.28,2.39,381213
25-Jul-14,2.39,2.47,2.29,2.41,157294
24-Jul-14,2.49,2.66,2.42,2.44,174063
23-Jul-14,2.46,2.49,2.40,2.46,103692
22-Jul-14,2.37,2.45,2.35,2.44,167346
21-Jul-14,2.38,2.45,2.32,2.35,295121
18-Jul-14,2.30,2.50,2.27,2.41,215715
17-Jul-14,2.35,2.39,2.30,2.33,210547
16-Jul-14,2.41,2.44,2.30,2.38,277415
15-Jul-14,2.54,2.58,2.36,2.39,188016
14-Jul-14,2.53,2.57,2.41,2.56,71581
11-Jul-14,2.42,2.63,2.42,2.49,99587
10-Jul-14,2.41,2.50,2.32,2.44,100617
9-Jul-14,2.50,2.53,2.40,2.50,129915
8-Jul-14,2.70,2.70,2.44,2.50,524892
7-Jul-14,2.91,2.94,2.65,2.70,383523
3-Jul-14,2.93,2.94,2.85,2.93,70520
2-Jul-14,2.81,2.94,2.81,2.90,120282
1-Jul-14,2.83,2.94,2.80,2.83,208128
30-Jun-14,2.73,2.83,2.66,2.80,261974
27-Jun-14,2.70,2.77,2.55,2.75,501806
26-Jun-14,2.88,2.93,2.70,2.73,215730
25-Jun-14,2.75,2.88,2.71,2.87,175070
24-Jun-14,2.86,2.97,2.73,2.78,481916
23-Jun-14,2.56,2.94,2.50,2.91,591418
20-Jun-14,2.53,2.59,2.44,2.56,592328
19-Jun-14,2.50,2.54,2.42,2.50,203187
18-Jun-14,2.50,2.52,2.30,2.48,392008
17-Jun-14,2.34,2.51,2.25,2.49,365331
16-Jun-14,2.44,2.45,2.23,2.28,449841
13-Jun-14,2.57,2.70,2.38,2.45,392568
12-Jun-14,2.29,2.68,2.25,2.58,647131
11-Jun-14,2.30,2.33,2.22,2.29,263355
10-Jun-14,2.33,2.34,2.27,2.32,165432
9-Jun-14,2.27,2.37,2.26,2.33,165856
6-Jun-14,2.37,2.39,2.25,2.28,308143
5-Jun-14,2.22,2.38,2.17,2.34,784507
4-Jun-14,2.19,2.23,2.15,2.20,257365
3-Jun-14,2.12,2.23,2.08,2.21,503048
2-Jun-14,2.24,2.25,2.10,2.14,382808
30-May-14,2.26,2.30,2.18,2.26,554501
29-May-14,2.24,2.26,2.10,2.25,742652
28-May-14,1.97,2.27,1.92,2.23,1346711
27-May-14,1.88,1.99,1.87,1.96,545991
23-May-14,1.89,1.92,1.84,1.88,510377
22-May-14,1.93,2.02,1.88,1.90,723533
21-May-14,1.95,1.97,1.92,1.94,365203
20-May-14,1.92,2.00,1.87,1.94,716913
19-May-14,1.99,2.00,1.91,1.94,467654
16-May-14,1.91,2.00,1.91,2.00,868880
15-May-14,1.93,1.95,1.84,1.92,349382
14-May-14,1.85,1.97,1.84,1.94,473346
13-May-14,2.00,2.05,1.82,1.85,1055594
12-May-14,1.85,1.91,1.75,1.85,597227
9-May-14,1.72,1.93,1.69,1.84,1581665
8-May-14,1.97,2.00,1.73,1.74,1940574
7-May-14,2.00,2.16,1.91,1.99,4665297
6-May-14,4.14,4.15,3.98,4.02,655601
5-May-14,3.93,4.15,3.80,4.15,335709
2-May-14,4.04,4.13,3.95,3.95,719695
1-May-14,4.36,4.36,4.06,4.10,692030
30-Apr-14,4.09,4.45,3.96,4.42,546334
29-Apr-14,3.98,4.19,3.92,4.12,311107
28-Apr-14,3.87,4.04,3.79,3.94,471756
25-Apr-14,4.07,4.07,3.83,3.84,461177
24-Apr-14,4.06,4.12,3.82,4.11,531636
23-Apr-14,4.27,4.27,3.99,4.02,532231
22-Apr-14,3.84,4.40,3.84,4.28,984136
21-Apr-14,3.85,3.86,3.67,3.82,351253
17-Apr-14,3.62,3.87,3.55,3.83,421704
16-Apr-14,3.44,3.64,3.36,3.62,351319
15-Apr-14,3.68,3.75,3.36,3.40,1271251
14-Apr-14,3.70,3.79,3.51,3.65,412086
11-Apr-14,3.79,3.91,3.60,3.63,500946
10-Apr-14,4.24,4.26,3.84,3.85,709973
9-Apr-14,4.17,4.33,4.11,4.26,355282
8-Apr-14,4.05,4.24,3.91,4.18,410078
7-Apr-14,4.03,4.19,3.90,4.06,670225
4-Apr-14,4.34,4.40,4.00,4.07,612405
3-Apr-14,4.43,4.49,4.14,4.25,770356
2-Apr-14,4.21,4.45,4.21,4.44,699652
1-Apr-14,4.41,4.48,4.15,4.20,1270824
