Date,Open,High,Low,Close,Volume
31-Dec-14,4.74,4.81,4.66,4.80,870107
30-Dec-14,4.69,4.75,4.66,4.72,169192
29-Dec-14,4.75,4.77,4.71,4.72,187757
26-Dec-14,4.75,4.79,4.66,4.73,331837
24-Dec-14,4.70,4.75,4.69,4.72,369153
23-Dec-14,4.71,4.75,4.68,4.70,617806
22-Dec-14,4.68,4.75,4.68,4.69,474387
19-Dec-14,4.65,4.74,4.63,4.70,1136110
18-Dec-14,4.70,4.71,4.54,4.65,1373031
17-Dec-14,4.51,4.66,4.51,4.66,443867
16-Dec-14,4.53,4.61,4.48,4.52,672807
15-Dec-14,4.59,4.64,4.50,4.53,740645
12-Dec-14,4.51,4.64,4.50,4.55,1370413
11-Dec-14,4.55,4.66,4.55,4.58,1318210
10-Dec-14,4.63,4.66,4.54,4.57,881560
9-Dec-14,4.44,4.66,4.44,4.66,710130
8-Dec-14,4.50,4.65,4.49,4.50,1094951
5-Dec-14,4.37,4.62,4.37,4.53,885169
4-Dec-14,4.36,4.40,4.30,4.38,535758
3-Dec-14,4.32,4.39,4.30,4.36,713123
2-Dec-14,4.30,4.38,4.24,4.30,603626
1-Dec-14,4.23,4.33,4.17,4.30,698285
28-Nov-14,4.24,4.30,4.22,4.24,334998
26-Nov-14,4.20,4.26,4.18,4.24,430622
25-Nov-14,4.11,4.32,4.09,4.23,639894
24-Nov-14,4.08,4.17,4.08,4.11,660681
21-Nov-14,4.12,4.12,4.06,4.09,378661
20-Nov-14,4.02,4.08,4.01,4.07,429991
19-Nov-14,4.02,4.07,3.94,4.05,1511128
18-Nov-14,4.01,4.07,3.99,4.04,165009
17-Nov-14,4.10,4.12,3.97,3.99,305487
14-Nov-14,4.14,4.17,4.09,4.12,247822
13-Nov-14,4.28,4.28,4.12,4.16,808649
12-Nov-14,4.13,4.22,4.13,4.22,250562
11-Nov-14,4.12,4.18,4.07,4.16,291074
10-Nov-14,4.08,4.15,4.03,4.15,376021
7-Nov-14,4.07,4.10,3.97,4.07,376912
6-Nov-14,3.95,4.10,3.91,4.10,867964
5-Nov-14,4.03,4.03,3.86,3.92,570294
4-Nov-14,3.98,4.02,3.94,3.99,1008259
3-Nov-14,4.03,4.07,3.99,4.01,450227
31-Oct-14,4.00,4.05,3.76,4.04,729463
30-Oct-14,3.96,4.03,3.88,3.92,457428
29-Oct-14,4.03,4.08,3.96,3.99,367360
28-Oct-14,3.83,4.04,3.83,4.00,862822
27-Oct-14,3.82,3.83,3.73,3.80,673792
24-Oct-14,3.80,3.84,3.76,3.83,353033
23-Oct-14,3.83,3.92,3.78,3.82,288761
22-Oct-14,3.88,3.93,3.77,3.81,346028
21-Oct-14,3.82,3.92,3.82,3.87,393530
20-Oct-14,3.68,3.88,3.68,3.81,610063
17-Oct-14,3.84,3.84,3.70,3.71,524892
16-Oct-14,3.75,3.84,3.69,3.77,450796
15-Oct-14,3.66,3.82,3.55,3.81,972432
14-Oct-14,3.71,3.76,3.65,3.73,429294
13-Oct-14,3.73,3.78,3.66,3.68,313803
10-Oct-14,3.66,3.83,3.58,3.74,663648
9-Oct-14,3.80,3.82,3.68,3.69,1105830
8-Oct-14,3.73,3.83,3.67,3.82,327645
7-Oct-14,3.74,3.80,3.70,3.73,582171
6-Oct-14,3.80,3.81,3.72,3.75,272430
3-Oct-14,3.86,3.86,3.79,3.80,365099
2-Oct-14,3.62,3.83,3.61,3.80,539163
1-Oct-14,3.76,3.76,3.52,3.62,1063298
30-Sep-14,3.83,3.86,3.74,3.75,688263
29-Sep-14,3.82,3.85,3.78,3.82,724345
26-Sep-14,3.81,3.88,3.76,3.88,438230
25-Sep-14,3.79,3.84,3.73,3.81,581729
24-Sep-14,3.89,3.89,3.68,3.81,441088
23-Sep-14,3.90,3.94,3.86,3.87,400275
22-Sep-14,3.87,3.93,3.84,3.91,933561
19-Sep-14,3.98,3.99,3.84,3.90,1302644
18-Sep-14,3.97,4.01,3.95,3.98,354128
17-Sep-14,4.01,4.02,3.95,3.96,230964
16-Sep-14,4.00,4.04,3.96,4.02,521745
15-Sep-14,4.09,4.10,4.00,4.03,630720
12-Sep-14,4.15,4.16,4.07,4.11,425675
11-Sep-14,4.08,4.16,4.06,4.14,350853
10-Sep-14,4.12,4.16,4.09,4.11,410906
9-Sep-14,4.10,4.12,4.04,4.09,1262144
8-Sep-14,4.05,4.13,4.05,4.10,271332
5-Sep-14,4.06,4.10,4.02,4.05,456785
4-Sep-14,4.13,4.17,4.07,4.08,593752
3-Sep-14,4.21,4.21,4.07,4.14,750019
2-Sep-14,4.13,4.20,4.08,4.18,513064
29-Aug-14,4.04,4.10,4.00,4.09,329335
28-Aug-14,4.01,4.05,3.99,4.03,177173
27-Aug-14,4.10,4.10,4.02,4.04,288770
26-Aug-14,4.11,4.15,4.10,4.11,339317
25-Aug-14,4.09,4.15,4.07,4.12,321136
22-Aug-14,4.08,4.09,4.03,4.07,279185
21-Aug-14,4.04,4.11,3.99,4.07,337425
20-Aug-14,4.08,4.15,4.02,4.05,423876
19-Aug-14,4.10,4.12,4.08,4.10,398569
18-Aug-14,4.08,4.12,4.01,4.10,526584
15-Aug-14,4.08,4.08,3.92,4.02,661345
14-Aug-14,4.15,4.16,4.02,4.02,661120
13-Aug-14,4.10,4.13,4.07,4.10,228568
12-Aug-14,4.07,4.08,4.05,4.07,603478
11-Aug-14,4.05,4.12,4.01,4.08,511405
8-Aug-14,3.99,4.04,3.94,4.03,398684
7-Aug-14,4.05,4.14,3.94,4.00,617831
6-Aug-14,3.96,4.07,3.91,4.02,529307
5-Aug-14,4.00,4.00,3.92,3.95,354519
4-Aug-14,4.02,4.04,3.91,3.99,315395
1-Aug-14,4.00,4.04,3.96,4.01,625507
31-Jul-14,4.09,4.16,3.96,4.00,2876195
30-Jul-14,4.20,4.21,4.10,4.16,222860
29-Jul-14,4.15,4.20,4.10,4.15,213209
28-Jul-14,4.20,4.20,4.09,4.12,1256388
25-Jul-14,4.22,4.27,4.17,4.18,621786
24-Jul-14,4.31,4.32,4.21,4.27,477657
23-Jul-14,4.30,4.33,4.25,4.28,370366
22-Jul-14,4.32,4.32,4.24,4.31,813534
21-Jul-14,4.28,4.31,4.24,4.30,243293
18-Jul-14,4.14,4.35,4.11,4.33,489432
17-Jul-14,4.32,4.35,4.17,4.24,1253239
16-Jul-14,4.46,4.46,4.33,4.37,403361
15-Jul-14,4.35,4.44,4.26,4.41,925365
14-Jul-14,4.27,4.36,4.25,4.34,558834
11-Jul-14,4.13,4.24,4.12,4.20,529357
10-Jul-14,4.05,4.16,4.04,4.15,1074929
9-Jul-14,4.12,4.15,4.06,4.10,870701
8-Jul-14,4.22,4.29,4.04,4.12,829752
7-Jul-14,4.33,4.33,4.21,4.22,280101
3-Jul-14,4.32,4.37,4.29,4.33,184904
2-Jul-14,4.28,4.36,4.26,4.31,393013
1-Jul-14,4.24,4.33,4.21,4.29,591199
30-Jun-14,4.28,4.33,4.21,4.22,506992
27-Jun-14,4.20,4.34,4.20,4.29,2362742
26-Jun-14,4.29,4.29,4.18,4.24,589019
25-Jun-14,4.26,4.30,4.25,4.28,360927
24-Jun-14,4.37,4.43,4.27,4.29,465429
23-Jun-14,4.41,4.45,4.35,4.38,716495
20-Jun-14,4.39,4.45,4.32,4.42,2313240
19-Jun-14,4.32,4.37,4.29,4.35,446789
18-Jun-14,4.32,4.35,4.25,4.32,333003
17-Jun-14,4.21,4.32,4.19,4.30,856571
