Date,Open,High,Low,Close,Volume
31-Dec-14,0.42,0.42,0.39,0.42,72121
30-Dec-14,0.42,0.42,0.40,0.40,1400
29-Dec-14,0.43,0.43,0.39,0.41,23129
26-Dec-14,0.42,0.44,0.40,0.44,63300
24-Dec-14,0.42,0.42,0.42,0.42,5885
23-Dec-14,0.43,0.43,0.39,0.40,76050
22-Dec-14,0.38,0.44,0.36,0.43,276962
19-Dec-14,0.37,0.37,0.36,0.37,15849
18-Dec-14,0.38,0.38,0.36,0.38,17900
17-Dec-14,0.38,0.38,0.35,0.38,28500
15-Dec-14,0.39,0.39,0.39,0.39,6700
12-Dec-14,0.39,0.39,0.39,0.39,1016
11-Dec-14,0.37,0.37,0.36,0.36,21000
10-Dec-14,0.38,0.39,0.35,0.37,47033
9-Dec-14,0.38,0.38,0.35,0.35,11647
8-Dec-14,0.35,0.40,0.35,0.40,5468
5-Dec-14,0.40,0.40,0.35,0.40,75718
4-Dec-14,0.39,0.39,0.36,0.39,21188
3-Dec-14,0.40,0.40,0.39,0.39,28722
2-Dec-14,0.35,0.39,0.35,0.39,5708
1-Dec-14,0.40,0.40,0.38,0.38,3855
28-Nov-14,0.34,0.40,0.34,0.40,18401
26-Nov-14,0.41,0.41,0.41,0.41,281
25-Nov-14,0.42,0.42,0.41,0.41,17173
24-Nov-14,0.40,0.41,0.38,0.41,17473
21-Nov-14,0.40,0.40,0.37,0.38,37000
20-Nov-14,0.40,0.41,0.39,0.39,98880
19-Nov-14,0.38,0.43,0.38,0.40,42804
18-Nov-14,0.37,0.37,0.37,0.37,8050
17-Nov-14,0.42,0.42,0.29,0.37,303385
14-Nov-14,0.41,0.43,0.41,0.43,16104
13-Nov-14,0.43,0.43,0.41,0.41,11968
12-Nov-14,0.43,0.43,0.43,0.43,3704
11-Nov-14,0.40,0.43,0.40,0.43,2310
10-Nov-14,0.40,0.44,0.40,0.40,38469
7-Nov-14,0.41,0.41,0.41,0.41,1240
6-Nov-14,0.40,0.40,0.40,0.40,17039
5-Nov-14,0.41,0.41,0.40,0.40,7640
4-Nov-14,0.39,0.41,0.39,0.40,50664
3-Nov-14,0.39,0.41,0.39,0.40,86318
31-Oct-14,0.45,0.45,0.40,0.41,32472
30-Oct-14,0.45,0.45,0.40,0.45,4696
29-Oct-14,0.45,0.45,0.40,0.43,10938
28-Oct-14,0.45,0.45,0.38,0.38,21184
27-Oct-14,0.41,0.45,0.41,0.43,48759
24-Oct-14,0.41,0.42,0.41,0.41,32057
23-Oct-14,0.40,0.43,0.40,0.40,12771
22-Oct-14,0.40,0.40,0.38,0.38,79250
21-Oct-14,0.41,0.50,0.40,0.40,34230
20-Oct-14,0.44,0.44,0.40,0.40,16927
17-Oct-14,0.43,0.43,0.42,0.42,28827
16-Oct-14,0.40,0.41,0.40,0.41,11882
15-Oct-14,0.40,0.43,0.40,0.40,125645
14-Oct-14,0.40,0.42,0.40,0.40,47586
13-Oct-14,0.42,0.43,0.39,0.40,267966
10-Oct-14,0.42,0.44,0.42,0.43,111498
9-Oct-14,0.44,0.44,0.42,0.44,26870
8-Oct-14,0.44,0.46,0.42,0.42,31013
7-Oct-14,0.43,0.44,0.42,0.44,32800
6-Oct-14,0.45,0.45,0.41,0.42,60393
3-Oct-14,0.42,0.44,0.42,0.44,9400
2-Oct-14,0.46,0.46,0.43,0.44,30810
1-Oct-14,0.42,0.45,0.42,0.45,129573
30-Sep-14,0.42,0.45,0.42,0.45,94911
29-Sep-14,0.47,0.47,0.40,0.43,529904
26-Sep-14,0.47,0.48,0.44,0.46,72336
25-Sep-14,0.47,0.48,0.47,0.48,56636
24-Sep-14,0.48,0.50,0.45,0.47,116471
23-Sep-14,0.48,0.48,0.44,0.46,64243
22-Sep-14,0.46,0.48,0.46,0.46,178378
19-Sep-14,0.45,0.46,0.44,0.46,52628
18-Sep-14,0.45,0.45,0.44,0.45,50983
17-Sep-14,0.44,0.46,0.44,0.46,51655
16-Sep-14,0.48,0.48,0.43,0.44,55727
15-Sep-14,0.50,0.50,0.44,0.44,61787
12-Sep-14,0.41,0.50,0.41,0.46,158604
