Date,Open,High,Low,Close,Volume
31-Dec-14,9.40,9.40,9.28,9.32,1774
30-Dec-14,9.50,9.50,9.28,9.28,8083
29-Dec-14,9.40,9.47,9.40,9.47,302
26-Dec-14,9.50,9.50,9.28,9.28,2300
24-Dec-14,9.47,9.47,9.47,9.47,100
23-Dec-14,9.48,9.48,9.48,9.48,214
22-Dec-14,9.28,9.49,9.28,9.28,10150
19-Dec-14,9.50,9.50,9.10,9.17,907
18-Dec-14,9.10,9.38,9.10,9.38,654
17-Dec-14,9.15,9.15,9.00,9.04,4370
16-Dec-14,9.15,9.18,9.08,9.10,5012
15-Dec-14,9.06,9.30,9.06,9.30,269
12-Dec-14,9.30,9.36,9.29,9.36,749
11-Dec-14,9.15,9.31,9.15,9.31,214
10-Dec-14,9.51,9.51,9.24,9.24,5372
9-Dec-14,9.75,9.75,9.51,9.75,1047
5-Dec-14,9.50,10.10,9.50,9.76,400
4-Dec-14,9.45,9.45,9.45,9.45,100
3-Dec-14,9.40,9.56,9.37,9.45,3427
2-Dec-14,9.34,9.65,9.34,9.65,3573
1-Dec-14,9.51,9.86,9.51,9.85,3000
28-Nov-14,9.52,9.52,9.50,9.50,300
26-Nov-14,9.75,9.80,9.70,9.74,4210
25-Nov-14,9.25,10.00,9.25,9.75,4050
24-Nov-14,9.43,9.50,9.43,9.50,301
21-Nov-14,9.63,9.63,9.45,9.50,2729
20-Nov-14,9.62,9.62,9.62,9.62,100
19-Nov-14,9.60,9.60,9.60,9.60,500
18-Nov-14,9.63,9.70,9.63,9.70,1200
17-Nov-14,9.80,10.00,9.62,9.62,3953
14-Nov-14,9.94,9.99,9.22,9.63,2350
13-Nov-14,9.84,9.84,9.84,9.84,258
12-Nov-14,9.37,9.98,9.35,9.80,2150
11-Nov-14,9.33,9.78,9.33,9.69,5079
10-Nov-14,9.32,9.79,9.32,9.79,1646
7-Nov-14,9.23,9.84,9.22,9.84,6364
6-Nov-14,9.46,9.50,9.46,9.50,1720
5-Nov-14,9.44,9.45,9.20,9.45,5244
4-Nov-14,9.13,9.53,9.09,9.24,1649
3-Nov-14,8.91,9.58,8.91,9.58,1311
31-Oct-14,9.30,9.50,9.20,9.30,2585
30-Oct-14,9.15,9.69,8.96,9.25,6479
29-Oct-14,9.10,9.13,8.92,8.92,4842
28-Oct-14,9.68,9.68,9.15,9.28,6258
27-Oct-14,9.11,9.50,9.05,9.34,8814
24-Oct-14,9.24,9.43,9.23,9.29,2502
23-Oct-14,9.60,9.60,9.05,9.46,2091
22-Oct-14,9.82,9.83,9.60,9.60,7061
21-Oct-14,9.71,9.82,9.65,9.70,23756
20-Oct-14,9.78,9.85,9.65,9.70,3058
17-Oct-14,9.70,9.84,9.70,9.71,3648
16-Oct-14,9.81,9.81,9.65,9.72,1734
15-Oct-14,9.64,9.86,9.61,9.70,1566
14-Oct-14,10.05,10.05,9.66,9.94,2215
13-Oct-14,9.60,9.80,9.60,9.80,506
10-Oct-14,10.03,10.03,9.90,9.98,1240
9-Oct-14,9.85,10.30,9.75,9.80,3891
8-Oct-14,10.21,10.35,9.15,9.60,15422
7-Oct-14,10.15,10.25,10.00,10.19,1339
6-Oct-14,10.29,10.61,10.23,10.61,3719
3-Oct-14,10.20,10.45,10.10,10.19,5422
2-Oct-14,10.20,10.20,10.20,10.20,404
1-Oct-14,10.49,10.50,10.20,10.22,3033
30-Sep-14,10.25,10.41,10.20,10.21,3011
26-Sep-14,10.54,10.62,10.34,10.49,3414
24-Sep-14,10.40,10.63,10.31,10.38,18226
23-Sep-14,10.30,10.52,10.07,10.07,12424
22-Sep-14,10.15,10.60,10.03,10.45,8517
19-Sep-14,10.35,10.80,10.02,10.08,18541
18-Sep-14,10.20,10.71,10.20,10.64,20921
17-Sep-14,10.59,10.77,10.05,10.13,7551
16-Sep-14,10.40,10.99,9.65,10.46,7364
15-Sep-14,10.50,10.50,10.01,10.46,2959
12-Sep-14,10.37,10.77,10.15,10.57,2804
11-Sep-14,11.30,11.30,10.10,10.36,9700
10-Sep-14,10.25,11.90,10.00,11.50,8435
9-Sep-14,9.65,10.14,9.65,10.14,5672
8-Sep-14,9.99,10.14,9.99,10.14,2226
5-Sep-14,10.14,10.19,9.96,10.05,5353
4-Sep-14,10.22,10.22,10.22,10.22,991
