Date,Open,High,Low,Close,Volume
31-Dec-14,14.32,14.94,14.16,14.16,9324
30-Dec-14,15.01,15.13,15.00,15.05,3007
29-Dec-14,16.25,16.25,14.71,15.00,1429
26-Dec-14,14.50,16.25,14.50,16.25,1031
24-Dec-14,15.90,15.95,15.90,15.95,3604
23-Dec-14,16.18,16.26,16.17,16.17,1901
22-Dec-14,16.07,16.33,16.00,16.33,717
19-Dec-14,18.00,18.00,14.71,16.07,10106
18-Dec-14,14.80,15.50,14.80,15.50,9207
17-Dec-14,14.31,14.31,13.33,14.25,8136
16-Dec-14,13.55,14.25,13.45,14.25,4608
15-Dec-14,13.41,13.84,13.11,13.11,4900
12-Dec-14,13.35,14.25,13.32,13.32,3240
11-Dec-14,14.09,14.09,14.05,14.05,500
10-Dec-14,14.20,14.20,13.63,14.03,4408
9-Dec-14,14.15,14.16,13.94,14.00,3141
8-Dec-14,14.62,14.62,14.10,14.20,4006
5-Dec-14,14.60,14.85,14.30,14.65,7778
4-Dec-14,15.62,15.62,14.50,14.80,2125
3-Dec-14,13.80,15.13,13.80,14.86,14139
2-Dec-14,13.75,13.80,13.56,13.65,1850
1-Dec-14,13.76,13.97,13.20,13.51,1963
28-Nov-14,13.76,14.14,13.20,13.25,1640
26-Nov-14,15.99,15.99,13.20,13.74,1200
25-Nov-14,14.00,15.50,13.89,14.00,10115
21-Nov-14,13.82,13.82,13.74,13.75,2500
20-Nov-14,13.71,13.71,13.44,13.44,240
19-Nov-14,13.52,13.52,13.52,13.52,900
18-Nov-14,14.12,14.12,14.07,14.07,1015
17-Nov-14,13.30,13.30,13.20,13.20,2000
13-Nov-14,13.20,13.20,12.93,12.93,2800
11-Nov-14,13.46,13.54,13.41,13.51,6000
10-Nov-14,13.14,13.14,12.95,12.95,1190
7-Nov-14,13.80,13.80,13.70,13.70,1500
6-Nov-14,13.70,13.90,13.70,13.84,3400
5-Nov-14,13.25,13.25,13.25,13.25,1000
4-Nov-14,13.13,13.13,13.13,13.13,133
3-Nov-14,12.90,12.90,12.90,12.90,200
31-Oct-14,13.12,13.71,13.12,13.36,4450
30-Oct-14,12.17,12.94,12.16,12.94,10950
29-Oct-14,11.46,12.11,11.46,12.11,23803
28-Oct-14,11.09,11.09,10.98,11.05,195451
27-Oct-14,10.66,11.01,10.59,11.01,24600
15-Oct-14,9.07,9.07,9.06,9.06,250
7-Oct-14,10.25,10.25,10.22,10.22,3020
24-Sep-14,9.66,9.77,9.66,9.77,10250
8-Sep-14,11.19,11.19,11.18,11.18,400
5-Sep-14,10.82,11.20,10.78,11.20,4850
3-Sep-14,10.84,11.00,10.84,10.95,1750
2-Sep-14,9.87,10.05,9.87,10.05,1600
28-Aug-14,9.58,9.58,9.58,9.58,500
27-Aug-14,9.95,10.11,9.95,10.11,600
26-Aug-14,10.00,10.00,10.00,10.00,100
22-Aug-14,9.26,9.43,9.25,9.43,3200
18-Aug-14,9.21,9.26,9.21,9.26,8200
12-Aug-14,9.42,9.42,9.26,9.28,10405
11-Aug-14,8.43,9.16,8.43,9.16,400
29-Jul-14,8.30,8.30,8.17,8.17,1000
28-Jul-14,8.35,8.35,8.35,8.35,500
15-Jul-14,8.29,8.29,8.19,8.19,1530
11-Jul-14,8.29,8.29,8.29,8.29,300
10-Jul-14,8.39,8.39,8.39,8.39,750
2-Jul-14,8.30,8.36,8.30,8.36,2110
25-Jun-14,8.24,8.24,8.24,8.24,1000
23-Jun-14,8.53,8.53,8.53,8.53,500
18-Jun-14,8.07,8.08,8.07,8.08,3526
16-Jun-14,7.83,7.83,7.78,7.78,4000
10-Jun-14,7.54,7.54,7.52,7.52,2500
9-Jun-14,7.36,7.36,7.36,7.36,2575
6-Jun-14,7.08,7.09,7.08,7.08,7050
5-Jun-14,7.16,7.16,7.12,7.12,3000
4-Jun-14,7.08,7.08,7.08,7.08,200
3-Jun-14,7.10,7.10,7.08,7.08,700
30-May-14,7.22,7.22,7.19,7.19,1000
28-May-14,7.36,7.36,7.36,7.36,500
27-May-14,7.31,7.31,7.26,7.26,5000
23-May-14,7.07,7.13,7.05,7.13,3850
15-May-14,7.07,7.07,6.92,6.92,1319
13-May-14,7.17,7.17,7.15,7.15,4100
12-May-14,7.09,7.09,6.93,6.93,4000
9-May-14,6.89,6.89,6.89,6.89,400
7-May-14,7.16,7.16,7.16,7.16,385
6-May-14,7.25,7.25,7.25,7.25,400
5-May-14,7.67,7.71,7.67,7.70,1070
2-May-14,7.76,7.81,7.76,7.80,8555
1-May-14,7.74,7.74,7.74,7.74,5067
30-Apr-14,7.55,7.71,7.55,7.71,8540
29-Apr-14,7.62,7.64,7.55,7.58,8200
28-Apr-14,7.64,7.64,7.64,7.64,100
25-Apr-14,7.67,7.67,7.65,7.65,1600
24-Apr-14,7.67,7.67,7.67,7.67,1000
22-Apr-14,7.51,7.81,7.51,7.79,9340
21-Apr-14,6.93,7.26,6.93,7.26,10200
15-Apr-14,6.80,6.80,6.80,6.80,900
14-Apr-14,6.93,6.93,6.91,6.91,2415
9-Apr-14,7.10,7.12,7.10,7.12,200
8-Apr-14,7.10,7.10,7.10,7.10,1000
3-Apr-14,7.05,7.05,7.04,7.04,400
31-Mar-14,6.88,6.90,6.88,6.90,1000
28-Mar-14,6.80,6.82,6.78,6.78,1700
27-Mar-14,6.70,6.70,6.70,6.70,1500
25-Mar-14,6.76,6.78,6.76,6.78,1000
24-Mar-14,6.60,6.60,6.58,6.58,5695
21-Mar-14,6.69,6.75,6.69,6.75,866
20-Mar-14,6.58,6.59,6.57,6.59,1890
19-Mar-14,6.73,6.73,6.56,6.56,1150
18-Mar-14,6.65,6.69,6.59,6.59,7750
17-Mar-14,6.80,6.80,6.80,6.80,318
14-Mar-14,6.75,6.79,6.73,6.73,3813
13-Mar-14,6.92,6.92,6.92,6.92,2000
12-Mar-14,6.84,6.90,6.84,6.85,1600
11-Mar-14,7.03,7.03,6.85,6.85,5595
10-Mar-14,7.21,7.21,7.10,7.11,1900
7-Mar-14,7.18,7.18,7.18,7.18,1300
6-Mar-14,7.30,7.30,7.23,7.23,4200
5-Mar-14,7.27,7.27,7.27,7.27,300
4-Mar-14,7.29,7.30,7.05,7.24,14700
3-Mar-14,7.42,7.42,7.18,7.18,22646
28-Feb-14,7.23,7.41,7.23,7.34,20772
27-Feb-14,7.26,7.40,7.26,7.33,9600
26-Feb-14,7.65,7.89,7.59,7.59,7897
25-Feb-14,7.41,7.42,7.40,7.41,26950
24-Feb-14,7.21,7.23,7.18,7.22,14600
21-Feb-14,7.11,7.11,7.10,7.10,500
20-Feb-14,7.00,7.00,7.00,7.00,100
11-Feb-14,6.29,6.29,6.29,6.29,1000
10-Feb-14,6.32,6.34,6.32,6.34,5000
7-Feb-14,6.39,6.42,6.34,6.34,3600
6-Feb-14,6.58,6.61,6.58,6.58,6000
4-Feb-14,6.87,6.87,6.85,6.85,2000
27-Jan-14,6.69,6.69,6.56,6.58,27700
24-Jan-14,7.02,7.02,6.86,6.86,13600
21-Jan-14,7.18,7.18,7.09,7.11,2900
17-Jan-14,7.40,7.42,7.37,7.39,5000
16-Jan-14,7.22,7.22,7.22,7.22,100
15-Jan-14,7.18,7.18,7.16,7.16,1200
14-Jan-14,6.95,6.95,6.83,6.90,34331
10-Jan-14,6.75,6.75,6.75,6.75,600
7-Jan-14,6.62,6.62,6.61,6.62,700
27-Dec-13,7.42,7.42,7.35,7.35,1750
20-Dec-13,7.40,7.40,7.30,7.30,1147
18-Dec-13,7.52,7.61,7.42,7.44,46850
16-Dec-13,7.37,7.37,7.37,7.37,100
13-Dec-13,6.74,6.74,6.74,6.74,134
11-Dec-13,6.99,6.99,6.99,6.99,500
10-Dec-13,7.28,7.28,7.28,7.28,210
9-Dec-13,7.24,7.29,7.22,7.29,12930
6-Dec-13,7.32,7.33,7.28,7.28,1100
5-Dec-13,7.44,7.44,7.42,7.42,900
4-Dec-13,7.74,7.75,7.43,7.43,1200
3-Dec-13,7.96,7.96,7.96,7.96,300
2-Dec-13,8.34,8.34,8.34,8.34,500
25-Nov-13,8.32,8.32,8.32,8.32,400
20-Nov-13,8.30,8.30,8.12,8.12,10600
19-Nov-13,8.60,8.60,8.60,8.60,300
18-Nov-13,8.48,8.62,8.48,8.61,1800
15-Nov-13,8.78,8.78,8.14,8.14,5600
14-Nov-13,8.78,8.78,8.78,8.78,1700
13-Nov-13,8.41,8.69,8.37,8.69,17900
12-Nov-13,8.36,8.37,8.35,8.37,10000
11-Nov-13,8.25,8.40,8.25,8.36,35700
8-Nov-13,8.18,8.18,8.18,8.18,2500
7-Nov-13,8.01,8.01,8.00,8.00,5000
6-Nov-13,7.78,7.82,7.77,7.82,18500
5-Nov-13,7.50,7.64,7.50,7.64,10900
4-Nov-13,7.47,7.50,7.47,7.49,2400
1-Nov-13,7.57,7.57,7.46,7.47,1900
30-Oct-13,7.55,7.55,7.44,7.45,8700
21-Oct-13,7.70,7.70,7.32,7.32,50576
18-Oct-13,7.46,7.46,7.46,7.46,200
17-Oct-13,7.14,7.14,7.14,7.14,3000
15-Oct-13,6.85,6.85,6.85,6.85,1000
11-Oct-13,7.03,7.03,7.02,7.02,25000
10-Oct-13,6.78,6.79,6.78,6.79,1000
9-Oct-13,6.82,6.82,6.77,6.77,900
8-Oct-13,6.91,6.91,6.71,6.71,1800
4-Oct-13,6.46,6.46,6.41,6.42,6000
2-Oct-13,6.18,6.18,6.17,6.17,1000
1-Oct-13,6.07,6.10,6.07,6.10,5000
30-Sep-13,6.13,6.14,6.07,6.07,4000
27-Sep-13,6.09,6.42,6.09,6.37,2000
26-Sep-13,6.27,6.27,5.96,6.00,1300
25-Sep-13,6.50,6.71,6.34,6.46,60100
24-Sep-13,7.13,7.13,7.00,7.00,13700
23-Sep-13,7.48,7.65,7.41,7.41,33038
20-Sep-13,5.98,7.33,5.90,7.33,70100
19-Sep-13,6.86,6.95,6.12,6.38,131988
18-Sep-13,9.04,9.04,9.00,9.00,300
16-Sep-13,8.95,9.09,8.95,9.08,1600
12-Sep-13,9.09,9.17,9.05,9.17,5900
11-Sep-13,8.86,9.04,8.86,9.04,5800
10-Sep-13,8.86,8.86,8.70,8.86,16300
9-Sep-13,8.85,8.86,8.76,8.76,26200
6-Sep-13,8.80,8.80,8.71,8.71,600
5-Sep-13,8.75,8.75,8.74,8.75,2400
4-Sep-13,8.71,8.78,8.71,8.75,5920
3-Sep-13,8.86,8.86,8.70,8.71,10600
30-Aug-13,9.01,9.01,8.85,8.86,2900
29-Aug-13,8.57,8.82,8.56,8.75,52188
28-Aug-13,8.40,8.40,8.33,8.33,22727
27-Aug-13,8.73,8.73,8.48,8.48,1700
26-Aug-13,8.25,8.78,8.25,8.73,44800
23-Aug-13,7.88,8.02,7.88,8.02,3900
22-Aug-13,7.17,7.17,7.15,7.15,4288
21-Aug-13,7.47,7.47,7.22,7.23,19712
20-Aug-13,8.14,8.14,7.40,7.59,9600
19-Aug-13,8.26,8.26,8.14,8.14,20900
16-Aug-13,8.03,8.16,8.00,8.16,26700
15-Aug-13,7.81,7.92,7.81,7.90,15000
13-Aug-13,7.65,7.78,7.65,7.76,16800
12-Aug-13,7.54,7.61,7.54,7.57,7600
9-Aug-13,7.35,7.35,7.34,7.34,1100
8-Aug-13,7.29,7.37,7.26,7.36,9976
6-Aug-13,7.00,7.29,7.00,7.29,6200
2-Aug-13,7.28,7.29,7.27,7.28,1500
1-Aug-13,7.34,7.52,7.12,7.41,14100
31-Jul-13,6.75,6.90,6.57,6.86,82324
30-Jul-13,5.75,5.80,5.56,5.80,3300
29-Jul-13,6.55,6.55,6.54,6.54,13700
26-Jul-13,6.51,6.53,6.50,6.52,20100
25-Jul-13,6.52,6.53,6.50,6.50,3800
24-Jul-13,6.50,6.50,6.34,6.47,1700
23-Jul-13,6.52,6.53,6.50,6.50,18200
22-Jul-13,6.09,6.09,5.98,6.06,16600
