Date,Open,High,Low,Close,Volume
31-Dec-14,7.77,8.03,7.60,8.00,1022237
30-Dec-14,7.69,7.87,7.69,7.82,591521
29-Dec-14,7.78,7.87,7.67,7.80,630398
26-Dec-14,7.81,7.89,7.71,7.81,293193
24-Dec-14,7.83,7.88,7.70,7.81,306074
23-Dec-14,7.86,7.89,7.66,7.86,427725
22-Dec-14,7.83,7.89,7.62,7.82,476779
19-Dec-14,7.75,7.85,7.53,7.83,3232644
18-Dec-14,7.87,8.08,7.50,7.67,1080034
17-Dec-14,7.10,7.72,7.08,7.69,803996
16-Dec-14,7.01,7.39,6.90,7.12,890303
15-Dec-14,7.43,7.57,7.09,7.10,984150
12-Dec-14,7.03,7.34,6.98,7.31,952097
11-Dec-14,6.80,7.23,6.80,7.15,992224
10-Dec-14,6.99,7.00,6.69,6.78,1156140
9-Dec-14,6.68,7.17,6.54,7.04,767509
8-Dec-14,7.55,7.64,6.87,6.90,1298224
5-Dec-14,7.85,7.90,7.60,7.64,689419
4-Dec-14,8.01,8.14,7.80,7.84,487222
3-Dec-14,7.89,8.16,7.85,7.93,774134
2-Dec-14,7.71,7.99,7.62,7.95,633560
1-Dec-14,7.75,7.95,7.64,7.73,1134993
28-Nov-14,7.91,7.97,7.67,7.82,364945
26-Nov-14,8.16,8.25,8.05,8.14,372684
25-Nov-14,8.10,8.25,8.08,8.22,384924
24-Nov-14,8.00,8.10,7.86,8.10,572854
21-Nov-14,8.15,8.26,7.98,7.99,586847
20-Nov-14,8.04,8.16,7.90,8.11,530567
19-Nov-14,7.95,8.18,7.84,8.15,528427
18-Nov-14,8.16,8.40,8.15,8.21,439124
17-Nov-14,8.27,8.36,8.11,8.22,346436
14-Nov-14,8.19,8.35,8.01,8.22,674766
13-Nov-14,8.66,8.70,8.20,8.27,625069
12-Nov-14,8.65,8.80,8.55,8.70,406934
11-Nov-14,8.83,9.04,8.70,8.74,680295
10-Nov-14,9.00,9.18,8.86,8.94,387062
7-Nov-14,8.80,9.05,8.70,9.01,486295
6-Nov-14,8.73,8.98,8.69,8.78,402642
5-Nov-14,8.99,9.03,8.66,8.78,672853
4-Nov-14,9.18,9.50,9.15,9.18,631460
3-Nov-14,9.22,9.26,9.12,9.19,677228
31-Oct-14,9.31,9.37,9.15,9.23,540601
30-Oct-14,9.47,9.54,9.23,9.29,447059
29-Oct-14,9.50,9.83,9.38,9.55,364760
28-Oct-14,9.20,9.47,9.12,9.47,383003
27-Oct-14,9.32,9.40,9.10,9.17,444648
24-Oct-14,9.18,9.47,9.16,9.42,351198
23-Oct-14,9.27,9.46,9.09,9.22,403751
22-Oct-14,9.29,9.56,9.01,9.15,683151
21-Oct-14,9.00,9.47,8.99,9.38,892933
20-Oct-14,9.04,9.07,8.70,9.01,828264
17-Oct-14,8.46,9.09,8.40,8.97,1169758
16-Oct-14,7.59,8.38,7.50,8.34,754688
15-Oct-14,7.65,7.94,7.31,7.82,1050520
14-Oct-14,7.89,7.97,7.40,7.70,1018078
13-Oct-14,8.33,8.44,7.68,7.72,635192
10-Oct-14,8.30,8.43,7.47,8.33,1586244
9-Oct-14,8.73,8.89,8.16,8.46,1230608
8-Oct-14,9.40,9.44,8.47,8.93,1323149
7-Oct-14,9.68,9.78,9.32,9.42,943719
6-Oct-14,10.02,10.02,9.63,9.82,428446
3-Oct-14,9.73,9.88,9.61,9.83,521510
2-Oct-14,9.90,9.95,9.15,9.79,1782704
1-Oct-14,9.97,10.05,9.88,9.90,398329
30-Sep-14,9.94,10.14,9.79,9.98,423779
29-Sep-14,9.91,10.04,9.85,9.92,188297
26-Sep-14,9.89,10.02,9.77,10.01,220044
25-Sep-14,9.78,9.95,9.67,9.80,527405
24-Sep-14,9.80,9.92,9.62,9.90,555694
23-Sep-14,9.75,10.00,9.70,9.82,512481
22-Sep-14,10.05,10.05,9.71,9.79,560295
19-Sep-14,10.36,10.43,10.00,10.05,636655
18-Sep-14,10.45,10.47,10.25,10.34,538082
17-Sep-14,10.21,10.47,10.14,10.41,714181
16-Sep-14,10.02,10.34,9.97,10.28,710917
15-Sep-14,10.04,10.09,9.61,10.05,894987
12-Sep-14,10.24,10.35,9.69,9.94,1260576
11-Sep-14,10.25,10.34,10.11,10.31,478314
10-Sep-14,10.46,10.47,10.25,10.28,536123
9-Sep-14,10.40,10.48,10.31,10.44,584794
8-Sep-14,10.36,10.48,10.27,10.45,725686
5-Sep-14,10.28,10.45,10.20,10.36,683711
4-Sep-14,10.35,10.50,10.25,10.32,1533461
3-Sep-14,10.31,10.43,10.05,10.40,13289447
2-Sep-14,10.94,10.99,10.87,10.96,224102
29-Aug-14,10.95,10.97,10.90,10.94,112681
28-Aug-14,10.94,11.00,10.91,10.96,199860
27-Aug-14,10.95,11.00,10.95,10.99,101409
26-Aug-14,10.96,11.01,10.91,10.96,187990
25-Aug-14,11.00,11.01,10.92,10.97,162039
22-Aug-14,10.95,11.01,10.92,10.97,104540
21-Aug-14,10.99,11.00,10.90,11.00,103953
20-Aug-14,10.96,11.00,10.89,10.98,169280
19-Aug-14,11.04,11.04,10.92,11.00,220744
18-Aug-14,11.02,11.03,10.95,10.99,228374
15-Aug-14,11.08,11.08,10.88,11.02,257814
14-Aug-14,11.00,11.06,10.98,11.01,192380
13-Aug-14,10.95,11.03,10.89,11.03,169199
12-Aug-14,11.03,11.03,10.81,10.90,126121
11-Aug-14,10.89,11.16,10.89,11.03,298091
8-Aug-14,10.70,10.93,10.68,10.91,158132
7-Aug-14,10.93,10.93,10.69,10.73,152185
6-Aug-14,10.93,11.00,10.80,10.88,169105
5-Aug-14,10.81,11.02,10.66,11.00,394412
4-Aug-14,11.05,11.15,10.96,11.08,152758
1-Aug-14,11.09,11.22,10.92,11.08,239692
31-Jul-14,11.20,11.23,11.00,11.09,205934
30-Jul-14,11.25,11.34,11.02,11.21,304092
29-Jul-14,11.25,11.38,11.10,11.25,316117
28-Jul-14,11.35,11.37,11.08,11.21,282246
25-Jul-14,11.56,11.56,11.05,11.13,231409
24-Jul-14,11.34,11.52,11.24,11.51,170754
23-Jul-14,11.22,11.28,11.10,11.26,99025
22-Jul-14,11.28,11.30,11.16,11.19,173918
21-Jul-14,11.06,11.26,11.04,11.17,226165
18-Jul-14,10.98,11.13,10.90,11.04,146318
17-Jul-14,11.20,11.20,10.95,11.00,140075
16-Jul-14,11.05,11.28,10.93,11.21,239398
15-Jul-14,10.77,11.15,10.77,11.00,142496
14-Jul-14,11.16,11.26,10.99,11.00,328638
11-Jul-14,10.75,11.16,10.75,11.08,318888
10-Jul-14,11.40,11.40,10.70,10.75,648914
9-Jul-14,11.23,11.52,11.23,11.43,311329
8-Jul-14,11.20,11.24,11.00,11.13,300490
7-Jul-14,11.50,11.52,11.12,11.16,165076
3-Jul-14,11.41,11.59,11.40,11.56,157642
2-Jul-14,11.38,11.52,11.32,11.41,130094
1-Jul-14,11.45,11.53,11.35,11.40,173893
30-Jun-14,11.50,11.54,11.27,11.42,209903
27-Jun-14,11.16,11.63,11.00,11.56,855490
26-Jun-14,11.15,11.21,10.96,11.19,518586
25-Jun-14,10.95,11.24,10.93,11.18,449286
24-Jun-14,11.00,11.02,10.90,10.93,221150
23-Jun-14,11.00,11.00,10.91,10.99,195580
20-Jun-14,10.95,11.00,10.85,11.00,221474
19-Jun-14,10.97,10.97,10.84,10.91,261745
18-Jun-14,10.95,10.95,10.80,10.93,189311
17-Jun-14,10.80,10.91,10.76,10.89,247500
16-Jun-14,10.78,10.81,10.69,10.81,129588
13-Jun-14,10.69,10.80,10.65,10.73,77279
12-Jun-14,10.80,10.80,10.68,10.75,159553
11-Jun-14,10.80,10.81,10.69,10.79,85266
10-Jun-14,10.75,10.85,10.64,10.84,199271
9-Jun-14,10.57,10.82,10.51,10.75,273489
6-Jun-14,10.74,10.77,10.55,10.66,156010
5-Jun-14,10.87,10.99,10.55,10.69,202074
4-Jun-14,10.63,10.72,10.58,10.67,133582
3-Jun-14,10.68,10.77,10.57,10.65,172895
2-Jun-14,10.78,10.79,10.62,10.75,126197
30-May-14,10.77,10.79,10.68,10.72,138071
29-May-14,10.70,10.80,10.69,10.77,115811
28-May-14,10.80,10.80,10.69,10.72,210246
27-May-14,10.81,10.81,10.72,10.79,134969
23-May-14,10.64,10.84,10.64,10.84,245185
22-May-14,10.71,10.75,10.66,10.70,162233
21-May-14,10.75,10.77,10.51,10.68,352474
20-May-14,10.76,10.79,10.67,10.74,105591
19-May-14,10.80,10.84,10.69,10.73,133318
16-May-14,10.79,10.80,10.68,10.75,132334
15-May-14,10.73,10.80,10.60,10.74,299169
14-May-14,10.79,10.84,10.68,10.73,124671
13-May-14,10.80,10.86,10.68,10.75,218441
12-May-14,10.77,10.88,10.67,10.78,167683
9-May-14,10.74,10.88,10.67,10.78,209795
8-May-14,10.70,10.86,10.70,10.83,147384
7-May-14,10.73,11.00,10.60,10.77,192974
6-May-14,10.59,10.87,10.53,10.78,173181
5-May-14,10.75,10.83,10.43,10.53,184752
2-May-14,10.89,11.09,10.89,10.89,393511
1-May-14,11.00,11.09,10.75,10.89,189615
30-Apr-14,10.90,11.07,10.80,11.00,192211
29-Apr-14,10.85,11.10,10.76,10.90,244130
28-Apr-14,10.68,10.88,10.56,10.76,254972
25-Apr-14,10.76,10.83,10.58,10.60,236050
24-Apr-14,10.96,11.00,10.74,10.80,162901
23-Apr-14,10.97,11.04,10.76,10.88,161596
22-Apr-14,11.02,11.18,10.86,10.90,168843
21-Apr-14,10.72,11.00,10.71,10.98,207348
17-Apr-14,10.73,10.79,10.58,10.71,265771
16-Apr-14,10.84,10.88,10.64,10.67,251697
15-Apr-14,10.76,10.85,10.60,10.80,132325
14-Apr-14,10.57,10.86,10.56,10.70,135171
11-Apr-14,10.76,10.97,10.56,10.56,177274
10-Apr-14,10.96,11.07,10.73,10.78,118803
9-Apr-14,10.97,10.98,10.77,10.96,77813
8-Apr-14,10.82,10.97,10.74,10.92,133263
7-Apr-14,11.00,11.04,10.78,10.83,132805
4-Apr-14,10.96,11.06,10.81,10.98,327648
3-Apr-14,10.97,11.00,10.81,10.85,166398
2-Apr-14,11.24,11.30,10.84,10.92,255658
1-Apr-14,10.97,11.30,10.86,11.19,298652
31-Mar-14,10.74,10.95,10.65,10.95,209755
