Date,Open,High,Low,Close,Volume
31-Dec-14,1.85,2.02,1.78,1.96,217303
30-Dec-14,1.80,1.90,1.65,1.77,135593
29-Dec-14,1.71,1.80,1.68,1.79,56284
26-Dec-14,1.76,1.79,1.71,1.75,20206
24-Dec-14,1.77,1.78,1.69,1.75,39909
23-Dec-14,1.75,1.80,1.75,1.75,66452
22-Dec-14,1.67,1.84,1.67,1.76,101424
19-Dec-14,1.88,1.88,1.79,1.79,67728
18-Dec-14,1.68,1.82,1.68,1.80,90825
17-Dec-14,1.83,1.83,1.70,1.78,32379
16-Dec-14,1.78,1.83,1.78,1.80,34169
15-Dec-14,1.95,1.95,1.76,1.80,65702
12-Dec-14,3.13,3.13,1.89,1.95,126068
11-Dec-14,1.93,1.97,1.89,1.95,11939
10-Dec-14,1.93,2.00,1.93,1.93,13123
9-Dec-14,1.93,1.97,1.90,1.93,162634
8-Dec-14,1.93,1.94,1.87,1.87,6675
5-Dec-14,1.95,1.96,1.87,1.91,16904
4-Dec-14,1.84,1.97,1.76,1.97,90998
3-Dec-14,1.95,1.95,1.75,1.92,63175
2-Dec-14,1.74,2.00,1.72,1.95,170603
1-Dec-14,1.77,1.84,1.67,1.77,57598
28-Nov-14,1.80,1.89,1.58,1.70,211601
26-Nov-14,1.83,1.91,1.80,1.82,28540
25-Nov-14,2.14,2.14,1.80,1.85,90219
24-Nov-14,1.94,1.94,1.84,1.86,50662
21-Nov-14,1.92,1.94,1.86,1.86,104999
20-Nov-14,2.00,2.01,1.92,1.94,85490
19-Nov-14,2.06,2.10,1.95,2.00,65246
18-Nov-14,2.20,2.20,2.01,2.08,295850
17-Nov-14,2.05,2.24,2.05,2.14,99334
14-Nov-14,2.15,2.15,2.07,2.09,30020
13-Nov-14,2.00,2.15,2.00,2.10,92365
12-Nov-14,2.00,2.13,1.95,2.02,48697
11-Nov-14,2.16,2.23,1.75,2.00,127625
10-Nov-14,2.18,2.22,2.17,2.22,34972
7-Nov-14,2.15,2.25,2.15,2.19,60172
6-Nov-14,2.15,2.18,2.15,2.16,59540
5-Nov-14,2.19,2.22,2.16,2.17,113888
4-Nov-14,2.14,2.26,2.14,2.19,50461
3-Nov-14,2.17,2.20,2.09,2.13,95940
31-Oct-14,2.19,2.26,2.09,2.09,92183
30-Oct-14,2.18,2.26,2.15,2.19,151723
29-Oct-14,2.27,2.30,2.11,2.19,170569
28-Oct-14,2.25,2.30,2.17,2.26,103021
27-Oct-14,2.31,2.31,2.15,2.25,317671
24-Oct-14,2.11,2.29,2.07,2.25,336898
23-Oct-14,1.89,2.42,1.86,2.25,1670495
22-Oct-14,1.80,1.93,1.70,1.72,204345
21-Oct-14,1.92,2.11,1.78,1.80,170050
20-Oct-14,2.36,2.36,1.82,1.99,157604
17-Oct-14,2.47,2.49,2.27,2.39,21400
16-Oct-14,2.42,2.44,2.28,2.39,5850
15-Oct-14,2.45,2.48,2.42,2.48,4816
14-Oct-14,2.50,2.53,2.40,2.51,10533
13-Oct-14,2.50,2.56,2.47,2.50,18225
10-Oct-14,2.52,2.57,2.40,2.56,13357
9-Oct-14,2.60,2.60,2.49,2.58,21222
8-Oct-14,2.53,2.58,2.53,2.58,5022
7-Oct-14,2.59,2.59,2.47,2.49,32010
6-Oct-14,2.56,2.56,2.46,2.55,18888
3-Oct-14,2.69,2.69,2.49,2.54,26445
2-Oct-14,2.60,2.60,2.45,2.52,21850
1-Oct-14,2.52,2.58,2.44,2.50,49087
30-Sep-14,2.52,2.60,2.50,2.53,74139
29-Sep-14,2.45,2.68,2.45,2.50,55135
26-Sep-14,2.59,2.64,2.48,2.48,17668
25-Sep-14,2.69,2.70,2.48,2.48,21854
24-Sep-14,2.61,2.70,2.61,2.69,4396
23-Sep-14,2.65,2.75,2.52,2.52,24456
22-Sep-14,2.75,2.75,2.60,2.65,5649
19-Sep-14,2.71,2.79,2.69,2.69,13612
18-Sep-14,2.80,2.80,2.73,2.74,5074
17-Sep-14,2.80,2.82,2.75,2.79,21661
16-Sep-14,2.71,2.83,2.71,2.82,38945
15-Sep-14,2.71,2.81,2.71,2.75,10383
12-Sep-14,2.78,2.82,2.78,2.81,1478
11-Sep-14,2.70,2.78,2.70,2.72,5371
10-Sep-14,2.76,2.78,2.70,2.71,15616
9-Sep-14,2.85,2.85,2.71,2.82,13567
8-Sep-14,2.86,2.86,2.82,2.85,17438
5-Sep-14,2.82,2.86,2.78,2.78,23654
4-Sep-14,2.72,2.77,2.64,2.74,7555
3-Sep-14,2.65,2.76,2.64,2.64,4944
2-Sep-14,2.79,2.79,2.65,2.67,9227
29-Aug-14,2.72,2.79,2.72,2.79,10094
28-Aug-14,2.76,2.76,2.66,2.71,2920
27-Aug-14,2.73,2.75,2.69,2.73,22205
26-Aug-14,2.65,2.75,2.65,2.65,25293
25-Aug-14,2.65,2.71,2.60,2.71,14686
22-Aug-14,2.71,2.71,2.71,2.71,551
21-Aug-14,2.77,2.77,2.62,2.70,28069
20-Aug-14,2.74,2.76,2.68,2.76,4504
19-Aug-14,2.65,2.79,2.65,2.70,15718
18-Aug-14,2.64,2.70,2.60,2.63,75439
15-Aug-14,2.73,2.79,2.67,2.75,15798
14-Aug-14,2.73,2.73,2.64,2.65,6562
13-Aug-14,2.73,2.74,2.69,2.70,5604
12-Aug-14,2.73,2.74,2.61,2.66,10703
11-Aug-14,2.63,2.79,2.63,2.66,16760
8-Aug-14,2.67,2.78,2.66,2.74,26515
7-Aug-14,2.79,2.79,2.50,2.52,21432
6-Aug-14,2.63,2.77,2.63,2.65,8429
5-Aug-14,2.75,2.75,2.56,2.71,15500
4-Aug-14,2.74,2.75,2.63,2.74,2634
1-Aug-14,2.79,2.79,2.57,2.64,14814
31-Jul-14,2.64,2.66,2.61,2.66,5961
30-Jul-14,2.59,2.70,2.59,2.68,18603
29-Jul-14,2.79,2.79,2.63,2.69,24810
28-Jul-14,2.75,2.80,2.64,2.74,46050
25-Jul-14,2.72,2.78,2.67,2.75,25328
24-Jul-14,2.88,2.88,2.72,2.76,24893
23-Jul-14,2.80,2.80,2.71,2.77,37476
22-Jul-14,2.79,2.83,2.69,2.78,212792
21-Jul-14,2.73,2.80,2.65,2.69,62655
18-Jul-14,2.84,2.85,2.70,2.73,78337
17-Jul-14,2.90,2.90,2.82,2.85,6700
16-Jul-14,2.89,2.90,2.81,2.89,12850
15-Jul-14,3.02,3.02,2.75,2.88,50102
14-Jul-14,2.90,2.99,2.86,2.99,18245
11-Jul-14,2.91,2.91,2.80,2.90,12440
10-Jul-14,2.82,2.92,2.61,2.91,316427
9-Jul-14,2.76,2.88,2.75,2.84,75371
8-Jul-14,2.99,2.99,2.83,2.86,15748
7-Jul-14,3.00,3.00,2.95,2.95,2338
3-Jul-14,2.95,3.00,2.95,3.00,5600
2-Jul-14,3.00,3.00,2.96,2.99,15372
1-Jul-14,3.00,3.00,2.92,2.96,5023
30-Jun-14,2.90,3.00,2.90,2.96,4072
27-Jun-14,3.00,3.00,2.92,2.95,7589
26-Jun-14,2.81,3.00,2.76,2.91,23688
25-Jun-14,3.09,3.09,2.75,2.81,19621
24-Jun-14,3.06,3.17,3.01,3.01,46456
23-Jun-14,3.02,3.07,3.02,3.06,8568
20-Jun-14,3.12,3.26,2.98,3.03,33821
19-Jun-14,3.00,3.00,2.85,2.93,26819
18-Jun-14,2.89,3.15,2.74,2.92,55454
17-Jun-14,2.87,2.95,2.81,2.81,10303
16-Jun-14,2.87,2.92,2.81,2.92,19978
13-Jun-14,2.83,3.00,2.78,2.92,54873
12-Jun-14,2.83,2.83,2.68,2.80,16728
11-Jun-14,2.70,2.91,2.60,2.83,244828
10-Jun-14,2.69,2.70,2.58,2.69,11027
9-Jun-14,2.70,2.70,2.56,2.60,7141
6-Jun-14,2.50,2.70,2.50,2.66,46746
5-Jun-14,2.52,2.55,2.49,2.50,12381
4-Jun-14,2.55,2.61,2.45,2.47,16150
3-Jun-14,2.52,2.55,2.40,2.55,27040
2-Jun-14,2.69,2.70,2.52,2.55,11923
30-May-14,2.69,2.70,2.67,2.69,50870
29-May-14,2.68,2.70,2.60,2.60,24650
28-May-14,2.69,2.70,2.60,2.60,47151
27-May-14,2.46,2.70,2.46,2.66,85159
23-May-14,2.51,2.51,2.51,2.51,400
22-May-14,2.35,2.50,2.35,2.48,7690
21-May-14,2.48,2.55,2.35,2.35,2395
20-May-14,2.50,2.50,2.50,2.50,6100
19-May-14,2.56,2.56,2.56,2.56,1250
16-May-14,2.42,2.50,2.42,2.47,1998
15-May-14,2.43,2.50,2.40,2.50,10910
