Date,Open,High,Low,Close,Volume
31-Dec-14,2.57,2.66,2.42,2.50,97533
30-Dec-14,2.41,2.53,2.41,2.50,89931
29-Dec-14,2.51,2.59,2.41,2.42,29619
26-Dec-14,2.50,2.54,2.39,2.50,40399
24-Dec-14,2.40,2.50,2.34,2.49,47639
23-Dec-14,2.38,2.44,2.34,2.39,29975
22-Dec-14,2.42,2.44,2.36,2.41,25277
19-Dec-14,2.42,2.44,2.32,2.39,22012
18-Dec-14,2.41,2.44,2.30,2.43,25465
17-Dec-14,2.21,2.35,2.16,2.31,81555
16-Dec-14,2.25,2.34,2.21,2.25,30210
15-Dec-14,2.25,2.32,2.20,2.24,46644
12-Dec-14,2.33,2.38,2.17,2.29,75688
11-Dec-14,2.60,2.67,2.33,2.40,35063
10-Dec-14,2.53,2.65,2.53,2.60,40180
9-Dec-14,2.50,2.64,2.50,2.61,15181
8-Dec-14,2.84,2.84,2.50,2.51,21204
5-Dec-14,2.50,2.60,2.50,2.51,19423
4-Dec-14,2.61,2.63,2.50,2.50,17817
3-Dec-14,2.65,2.70,2.57,2.57,47686
2-Dec-14,2.70,2.70,2.60,2.70,12970
1-Dec-14,2.80,2.81,2.64,2.69,25109
28-Nov-14,2.72,2.88,2.69,2.84,40062
26-Nov-14,2.57,2.76,2.57,2.68,12761
25-Nov-14,2.64,2.72,2.58,2.59,9933
24-Nov-14,2.62,2.68,2.56,2.66,16851
21-Nov-14,2.72,2.80,2.63,2.65,26614
20-Nov-14,2.70,2.85,2.62,2.73,35869
19-Nov-14,2.64,2.70,2.60,2.70,24920
18-Nov-14,2.65,2.69,2.65,2.67,12955
17-Nov-14,2.70,2.70,2.63,2.70,13343
14-Nov-14,2.55,2.75,2.55,2.67,68154
13-Nov-14,2.57,2.63,2.47,2.57,51842
12-Nov-14,2.71,2.71,2.35,2.63,175843
11-Nov-14,2.75,2.80,2.69,2.70,9148
10-Nov-14,2.75,2.76,2.67,2.69,31315
7-Nov-14,2.84,2.85,2.67,2.72,55811
6-Nov-14,2.74,2.81,2.74,2.80,31630
5-Nov-14,2.81,2.81,2.73,2.74,14440
4-Nov-14,2.79,2.81,2.74,2.77,38446
3-Nov-14,2.72,2.95,2.72,2.79,28710
31-Oct-14,2.75,2.82,2.75,2.77,71363
30-Oct-14,2.75,2.77,2.72,2.75,13647
29-Oct-14,2.74,2.82,2.73,2.77,100493
28-Oct-14,2.67,2.78,2.67,2.70,60224
