Date,Open,High,Low,Close,Volume
31-Dec-14,37.85,38.34,37.11,37.22,32104
30-Dec-14,37.07,37.88,37.07,37.57,24623
29-Dec-14,36.35,37.52,36.35,37.04,24264
26-Dec-14,36.51,37.47,36.09,36.18,28664
24-Dec-14,36.93,36.93,35.92,36.35,17015
23-Dec-14,35.36,36.12,34.92,35.90,27155
22-Dec-14,35.10,35.43,34.74,35.32,67436
19-Dec-14,35.98,36.45,34.70,34.91,221426
18-Dec-14,35.93,36.42,34.96,36.08,49094
17-Dec-14,34.04,35.74,33.59,35.59,59840
16-Dec-14,34.38,34.83,31.95,34.09,77333
15-Dec-14,34.65,34.77,33.92,34.48,53298
12-Dec-14,35.92,36.00,35.01,35.11,33097
11-Dec-14,35.75,37.31,35.75,36.36,33490
10-Dec-14,36.69,37.12,36.38,36.45,80654
9-Dec-14,35.94,37.23,35.59,36.95,54673
8-Dec-14,36.18,37.14,35.79,36.19,72524
5-Dec-14,36.33,37.07,35.69,36.22,63060
4-Dec-14,36.83,37.20,36.04,36.34,94626
3-Dec-14,35.50,37.25,35.08,36.75,155694
2-Dec-14,34.65,35.50,34.21,35.38,84094
1-Dec-14,34.62,34.99,33.81,34.47,90155
28-Nov-14,35.05,35.58,34.45,34.66,34810
26-Nov-14,34.92,35.36,34.91,35.03,36823
25-Nov-14,34.55,35.38,34.17,34.79,47622
24-Nov-14,33.67,34.77,32.94,34.62,36520
21-Nov-14,34.24,34.24,33.48,33.70,22332
20-Nov-14,33.46,33.77,33.03,33.70,24317
19-Nov-14,34.51,34.51,33.36,33.50,35531
18-Nov-14,33.89,35.06,33.89,34.48,38040
17-Nov-14,34.11,34.38,33.80,33.89,25104
14-Nov-14,34.69,34.86,34.19,34.23,36040
13-Nov-14,34.26,35.15,34.26,34.79,56590
12-Nov-14,34.39,34.94,34.18,34.86,31596
11-Nov-14,34.86,34.92,34.16,34.59,43082
10-Nov-14,34.54,35.10,34.00,34.78,43330
7-Nov-14,34.92,35.23,34.32,34.45,57507
6-Nov-14,34.50,35.41,34.44,35.41,34805
5-Nov-14,34.81,34.98,33.96,34.54,49595
4-Nov-14,33.97,34.78,33.84,34.64,26688
3-Nov-14,34.29,34.50,33.84,34.19,47664
31-Oct-14,35.03,35.33,34.26,34.42,62324
30-Oct-14,32.85,34.59,32.85,34.34,33984
29-Oct-14,32.02,33.39,32.02,33.04,40964
28-Oct-14,33.00,33.63,32.77,33.13,121352
27-Oct-14,32.95,33.33,32.71,33.05,51859
24-Oct-14,33.07,33.07,32.72,32.98,27353
23-Oct-14,33.01,33.46,32.59,32.98,38152
22-Oct-14,32.99,33.16,32.57,32.65,27062
21-Oct-14,32.88,33.22,32.80,33.02,30822
20-Oct-14,32.63,32.95,32.46,32.82,54401
17-Oct-14,33.40,33.48,32.50,32.68,47812
16-Oct-14,32.83,33.65,32.70,32.88,52853
15-Oct-14,32.16,33.69,31.83,33.34,110911
14-Oct-14,33.34,33.41,32.49,32.52,47890
13-Oct-14,32.50,33.46,32.45,32.98,43913
10-Oct-14,31.87,33.07,31.47,32.65,89464
9-Oct-14,32.67,32.81,32.05,32.06,45229
8-Oct-14,32.55,32.95,32.28,32.80,86361
7-Oct-14,33.71,33.80,32.62,32.78,92021
6-Oct-14,34.31,34.32,33.80,33.85,45134
3-Oct-14,34.28,34.31,33.71,34.13,58462
2-Oct-14,34.00,34.65,33.79,34.00,38058
1-Oct-14,34.12,34.63,33.72,34.03,47497
30-Sep-14,34.44,34.86,34.02,34.05,96905
29-Sep-14,34.64,35.68,34.64,34.84,43979
26-Sep-14,34.95,35.67,28.08,35.23,35682
25-Sep-14,35.43,35.43,34.61,35.04,36163
24-Sep-14,35.52,36.02,35.30,35.45,45762
23-Sep-14,35.50,35.63,35.11,35.54,45757
22-Sep-14,35.72,36.29,35.24,35.75,48900
19-Sep-14,36.06,36.17,35.17,35.75,374051
18-Sep-14,35.12,36.02,35.12,35.90,38994
17-Sep-14,35.69,35.72,34.72,35.04,46947
16-Sep-14,35.77,35.93,35.25,35.58,31762
15-Sep-14,36.23,36.41,35.61,35.76,44177
12-Sep-14,36.98,37.24,35.53,36.11,74904
11-Sep-14,37.44,37.75,36.94,37.18,40708
10-Sep-14,37.50,37.78,37.08,37.56,30031
9-Sep-14,38.58,38.58,37.40,37.62,55236
8-Sep-14,39.26,39.32,38.53,38.77,45272
5-Sep-14,39.46,39.89,39.23,39.52,22798
4-Sep-14,40.35,40.92,39.46,39.64,22724
3-Sep-14,41.20,41.47,40.06,40.44,25834
2-Sep-14,41.11,41.26,40.53,40.96,16338
29-Aug-14,40.79,41.28,40.79,40.90,19120
28-Aug-14,40.47,41.00,40.25,40.79,39254
27-Aug-14,40.43,40.79,40.27,40.49,22510
26-Aug-14,39.94,40.65,39.73,40.50,28143
25-Aug-14,40.53,40.95,39.62,39.72,42539
22-Aug-14,40.53,41.11,40.00,40.13,20213
21-Aug-14,39.93,41.02,39.19,40.45,34336
20-Aug-14,40.56,41.41,39.80,39.92,21999
19-Aug-14,40.25,40.81,40.25,40.66,17501
18-Aug-14,40.10,40.10,39.64,40.09,29385
15-Aug-14,40.16,40.25,39.28,39.72,36823
14-Aug-14,40.10,40.28,39.72,39.80,25937
13-Aug-14,40.10,40.56,39.61,39.97,62481
12-Aug-14,41.13,41.79,40.11,40.36,44343
11-Aug-14,41.11,41.77,40.99,41.30,15869
8-Aug-14,40.25,41.46,40.25,40.76,35415
7-Aug-14,40.95,40.95,40.14,40.28,29431
6-Aug-14,39.99,41.24,39.99,40.64,21971
5-Aug-14,40.18,40.66,40.00,40.13,25323
4-Aug-14,40.15,40.92,39.79,40.57,24378
1-Aug-14,40.26,40.39,39.41,40.02,38630
31-Jul-14,41.36,41.36,40.28,40.28,37326
