Date,Open,High,Low,Close,Volume
31-Dec-14,37.13,37.32,36.55,36.61,41771
30-Dec-14,36.79,37.18,36.79,36.96,34954
29-Dec-14,36.99,37.35,36.75,36.97,59560
26-Dec-14,37.25,37.25,36.73,36.97,39456
24-Dec-14,37.26,37.39,36.41,37.13,14871
23-Dec-14,36.87,37.51,36.42,37.16,43406
22-Dec-14,36.01,36.84,36.01,36.84,30924
19-Dec-14,36.68,36.80,35.60,35.98,136662
18-Dec-14,37.37,37.37,36.07,36.78,54919
17-Dec-14,36.16,37.15,35.74,36.99,48694
16-Dec-14,35.82,36.51,35.76,36.04,51987
15-Dec-14,36.06,36.43,35.46,35.83,29523
12-Dec-14,35.61,36.18,35.49,35.86,41326
11-Dec-14,35.89,36.44,35.05,36.03,24586
10-Dec-14,36.71,36.94,35.96,36.00,33856
9-Dec-14,35.91,36.88,35.62,36.86,47065
8-Dec-14,36.35,36.68,35.96,36.21,35218
5-Dec-14,36.27,36.76,36.27,36.40,43743
4-Dec-14,36.69,36.69,36.21,36.27,20013
3-Dec-14,36.53,36.76,35.86,36.65,61580
2-Dec-14,36.25,36.60,36.20,36.40,53973
1-Dec-14,36.22,36.31,35.99,36.20,118586
28-Nov-14,36.40,36.46,35.90,36.18,35951
26-Nov-14,36.10,36.33,36.00,36.22,20114
25-Nov-14,36.15,36.24,35.68,36.20,22868
24-Nov-14,35.39,36.15,34.57,36.14,23454
21-Nov-14,36.27,36.32,35.21,35.30,29588
20-Nov-14,35.50,35.94,35.35,35.86,26864
19-Nov-14,35.77,35.77,34.87,35.51,43226
18-Nov-14,36.31,36.70,35.91,35.98,25896
17-Nov-14,36.57,37.07,36.10,36.10,29468
14-Nov-14,36.82,36.82,36.50,36.74,64268
13-Nov-14,37.32,37.32,36.74,36.77,37537
12-Nov-14,36.99,37.54,36.91,37.19,79276
11-Nov-14,37.09,37.18,36.69,37.10,40888
10-Nov-14,36.75,37.07,36.58,37.05,54306
7-Nov-14,36.88,36.88,36.26,36.76,38629
6-Nov-14,36.73,36.97,36.50,36.92,32111
5-Nov-14,36.42,36.74,36.08,36.64,27474
4-Nov-14,35.68,36.31,35.63,36.21,29675
3-Nov-14,36.04,36.28,35.81,35.86,44356
31-Oct-14,35.78,36.10,35.49,35.95,70688
