Date,Open,High,Low,Close,Volume
31-Dec-14,9.53,9.77,9.36,9.53,37734
30-Dec-14,9.26,9.53,9.26,9.48,26872
29-Dec-14,9.60,9.65,9.31,9.34,64149
26-Dec-14,9.60,9.70,9.47,9.60,51224
24-Dec-14,9.66,9.74,9.49,9.54,19708
23-Dec-14,9.67,9.75,9.40,9.70,50740
22-Dec-14,9.78,9.80,9.35,9.65,60697
19-Dec-14,9.38,9.85,9.25,9.85,207721
18-Dec-14,9.19,9.48,9.00,9.40,65118
17-Dec-14,8.59,9.06,8.56,9.05,77335
16-Dec-14,8.39,8.90,8.39,8.59,75912
15-Dec-14,8.45,8.66,8.35,8.47,98144
12-Dec-14,8.35,8.69,8.34,8.40,70258
11-Dec-14,8.26,9.08,8.26,8.47,70789
10-Dec-14,8.52,8.63,8.29,8.33,118778
9-Dec-14,8.15,8.66,8.15,8.56,79176
8-Dec-14,8.60,8.78,8.19,8.20,85983
5-Dec-14,8.79,8.94,8.51,8.60,83597
4-Dec-14,9.12,9.12,8.79,8.79,93188
3-Dec-14,9.02,9.58,9.02,9.12,60621
2-Dec-14,8.81,9.07,8.81,8.99,89577
1-Dec-14,9.35,9.36,8.79,8.81,113365
28-Nov-14,9.46,9.54,9.30,9.32,50894
26-Nov-14,9.05,9.49,9.05,9.49,75681
25-Nov-14,9.27,9.30,9.07,9.07,152273
24-Nov-14,9.28,9.43,9.19,9.26,113388
21-Nov-14,9.33,9.39,9.22,9.25,84510
20-Nov-14,9.18,9.25,9.11,9.22,146388
19-Nov-14,9.36,9.36,9.11,9.15,144337
18-Nov-14,9.57,9.64,9.22,9.34,198086
17-Nov-14,9.25,9.62,9.20,9.50,148184
14-Nov-14,9.23,9.29,9.11,9.24,100316
13-Nov-14,9.17,9.30,9.07,9.24,94919
12-Nov-14,8.97,9.17,8.91,9.15,104467
11-Nov-14,8.94,9.07,8.88,9.00,165858
10-Nov-14,8.85,8.98,8.85,8.95,118963
7-Nov-14,8.92,8.92,8.75,8.89,105042
6-Nov-14,8.90,9.03,8.86,8.90,119900
5-Nov-14,8.91,8.91,8.82,8.89,81854
4-Nov-14,8.83,8.91,8.71,8.87,168927
3-Nov-14,8.80,9.00,8.77,8.81,320519
31-Oct-14,8.84,8.85,8.65,8.80,345207
30-Oct-14,8.81,8.86,8.66,8.71,231967
29-Oct-14,8.77,8.85,8.60,8.81,376724
28-Oct-14,8.59,8.95,8.53,8.79,153717
27-Oct-14,8.49,8.59,8.45,8.52,137784
24-Oct-14,8.79,8.91,8.45,8.48,257171
23-Oct-14,9.12,9.20,8.78,8.82,231609
22-Oct-14,10.14,10.14,9.02,9.10,335731
21-Oct-14,11.15,11.15,10.30,10.36,339187
20-Oct-14,10.33,10.92,10.33,10.74,339972
17-Oct-14,10.77,10.86,10.07,10.33,382034
16-Oct-14,10.85,10.98,10.46,10.63,219880
15-Oct-14,11.05,11.84,10.80,10.89,173917
14-Oct-14,11.41,11.58,11.00,11.14,154728
13-Oct-14,10.83,11.46,10.83,11.34,113124
10-Oct-14,10.74,11.05,10.74,10.86,50912
9-Oct-14,11.01,11.01,10.81,10.81,45669
8-Oct-14,10.86,11.13,10.64,10.98,57958
7-Oct-14,10.97,10.97,10.84,10.89,35013
6-Oct-14,11.22,11.34,11.01,11.01,64103
3-Oct-14,11.19,11.30,11.16,11.23,70101
2-Oct-14,11.00,11.09,10.79,11.07,138919
1-Oct-14,11.13,11.13,10.95,10.96,92912
30-Sep-14,11.22,11.25,11.08,11.10,115731
29-Sep-14,11.20,11.26,11.17,11.19,66135
26-Sep-14,11.25,11.30,11.18,11.22,93973
25-Sep-14,11.50,11.53,11.14,11.23,109329
24-Sep-14,11.83,11.85,11.49,11.51,113468
23-Sep-14,11.94,11.99,11.82,11.84,98844
22-Sep-14,11.65,12.22,11.59,11.94,153477
19-Sep-14,11.76,11.88,11.61,11.68,159046
18-Sep-14,11.55,11.82,11.51,11.66,142359
17-Sep-14,11.61,11.82,11.60,11.62,68778
16-Sep-14,11.97,12.03,11.62,11.65,132680
15-Sep-14,12.19,12.28,11.95,11.96,105515
12-Sep-14,12.41,12.41,12.10,12.14,114761
11-Sep-14,12.35,12.45,12.27,12.36,31083
10-Sep-14,12.27,12.51,12.27,12.44,64558
9-Sep-14,12.87,12.87,12.12,12.24,172338
8-Sep-14,12.95,13.05,12.93,12.97,33714
5-Sep-14,12.91,13.09,12.90,12.92,92040
4-Sep-14,12.96,13.09,12.95,12.98,121407
3-Sep-14,12.99,13.05,12.91,12.93,41636
2-Sep-14,12.78,13.03,12.56,13.00,117765
29-Aug-14,12.87,13.08,12.68,12.78,104674
28-Aug-14,12.98,13.09,12.85,12.89,115992
27-Aug-14,12.89,13.05,12.88,12.98,27085
26-Aug-14,12.91,13.08,12.82,12.95,108842
25-Aug-14,13.05,13.05,12.91,13.00,51370
22-Aug-14,13.13,13.22,12.86,13.01,104431
21-Aug-14,13.49,13.49,13.13,13.19,47217
20-Aug-14,13.83,13.83,13.41,13.49,41974
19-Aug-14,13.95,14.00,13.80,13.86,14357
18-Aug-14,14.09,14.09,13.88,14.00,30863
15-Aug-14,14.24,14.24,13.88,13.92,33580
14-Aug-14,13.97,14.10,13.95,14.04,29911
13-Aug-14,14.02,14.07,13.97,13.99,23655
12-Aug-14,13.95,14.00,13.92,13.97,26434
11-Aug-14,14.17,14.17,13.95,14.01,49811
8-Aug-14,13.99,14.18,13.99,14.05,22995
7-Aug-14,14.19,14.19,13.91,14.02,19182
6-Aug-14,14.00,14.43,13.99,14.20,21421
5-Aug-14,14.30,14.39,13.96,14.02,63315
4-Aug-14,14.25,14.66,14.06,14.42,35193
1-Aug-14,14.27,14.27,14.01,14.22,43148
31-Jul-14,14.56,14.75,14.18,14.32,46901
30-Jul-14,14.85,14.85,14.12,14.78,21352
29-Jul-14,14.82,14.85,14.75,14.76,20100
28-Jul-14,14.77,15.00,14.50,14.79,35291
25-Jul-14,14.74,14.85,14.63,14.71,34971
24-Jul-14,15.00,15.11,14.67,14.90,35443
23-Jul-14,14.92,15.62,14.92,14.98,76009
22-Jul-14,14.81,15.34,14.80,14.81,63632
21-Jul-14,14.97,15.07,14.88,15.03,50272
18-Jul-14,15.01,15.74,14.98,15.18,53975
17-Jul-14,15.05,15.27,14.92,15.07,50994
16-Jul-14,15.02,15.21,14.64,15.10,58674
15-Jul-14,14.83,15.25,14.62,15.01,103705
14-Jul-14,15.47,15.53,15.31,15.40,30415
11-Jul-14,15.61,15.89,15.25,15.37,28640
10-Jul-14,15.82,16.84,15.60,15.68,25480
9-Jul-14,16.25,16.26,15.89,16.03,30145
8-Jul-14,16.26,16.31,15.77,16.23,35515
7-Jul-14,16.39,16.43,15.94,16.18,30911
3-Jul-14,16.62,16.62,16.33,16.50,21158
