Date,Open,High,Low,Close,Volume
31-Dec-14,3.75,3.89,3.75,3.76,16000
30-Dec-14,3.70,3.83,3.70,3.72,7412
29-Dec-14,3.70,3.75,3.67,3.71,11400
26-Dec-14,3.68,3.90,3.68,3.77,7936
24-Dec-14,3.75,3.78,3.66,3.74,4700
23-Dec-14,3.80,3.80,3.80,3.80,101
22-Dec-14,3.92,4.30,3.82,3.97,39242
19-Dec-14,3.67,3.97,3.66,3.76,4497
18-Dec-14,4.10,4.10,3.66,3.95,29840
15-Dec-14,4.10,4.10,3.80,4.10,1801
12-Dec-14,3.85,4.00,3.85,4.00,4029
11-Dec-14,4.00,4.00,3.89,3.89,2928
10-Dec-14,3.79,3.99,3.79,3.99,6331
5-Dec-14,3.73,4.00,3.73,3.99,400
3-Dec-14,3.93,3.93,3.93,3.93,200
2-Dec-14,3.82,4.00,3.64,3.90,5864
1-Dec-14,4.00,4.00,3.99,4.00,640
28-Nov-14,3.81,3.81,3.81,3.81,104
26-Nov-14,3.88,3.88,3.87,3.88,1300
24-Nov-14,3.90,3.99,3.90,3.90,3500
21-Nov-14,3.81,3.81,3.81,3.81,100
20-Nov-14,3.81,3.83,3.81,3.81,2400
18-Nov-14,3.82,4.00,3.82,4.00,600
17-Nov-14,4.01,4.01,3.90,4.00,700
14-Nov-14,3.95,4.02,3.90,4.00,4600
13-Nov-14,4.20,4.20,3.85,3.93,7647
12-Nov-14,3.78,4.02,3.78,4.02,200
6-Nov-14,4.02,4.02,4.02,4.02,100
4-Nov-14,3.93,4.05,3.73,4.04,2676
3-Nov-14,4.05,4.05,3.93,3.93,2330
31-Oct-14,3.84,4.08,3.80,4.05,5004
30-Oct-14,3.76,3.77,3.75,3.75,1780
29-Oct-14,3.75,3.75,3.75,3.75,200
21-Oct-14,3.67,3.68,3.67,3.68,800
17-Oct-14,4.08,4.08,3.80,3.82,3015
14-Oct-14,3.86,3.90,3.75,3.88,2000
13-Oct-14,3.88,3.88,3.87,3.87,370
10-Oct-14,4.10,4.10,4.07,4.07,426
9-Oct-14,3.65,4.14,3.65,4.14,9608
8-Oct-14,3.68,3.68,3.68,3.68,112
7-Oct-14,3.55,3.55,3.53,3.55,1200
6-Oct-14,3.76,3.76,3.55,3.55,282
3-Oct-14,3.65,3.65,3.65,3.65,1600
2-Oct-14,3.82,3.82,3.82,3.82,578
1-Oct-14,3.71,3.89,3.52,3.65,9709
30-Sep-14,3.76,3.90,3.76,3.90,700
29-Sep-14,3.77,3.78,3.77,3.78,300
25-Sep-14,3.90,3.90,3.73,3.76,2146
23-Sep-14,3.80,3.84,3.70,3.70,5223
22-Sep-14,3.80,3.80,3.80,3.80,956
19-Sep-14,3.82,4.17,3.80,3.80,2248
18-Sep-14,4.06,4.06,4.06,4.06,248
17-Sep-14,4.23,4.23,3.92,4.06,1307
15-Sep-14,4.22,4.24,4.08,4.24,618
11-Sep-14,4.20,4.21,3.81,4.21,661
10-Sep-14,3.86,4.20,3.86,4.10,679
9-Sep-14,3.87,4.24,3.87,4.24,1273
8-Sep-14,3.91,3.92,3.82,3.92,2334
5-Sep-14,3.85,3.86,3.85,3.86,525
4-Sep-14,3.85,3.85,3.85,3.85,400
3-Sep-14,3.87,3.97,3.81,3.85,3604
2-Sep-14,3.87,3.88,3.85,3.85,2500
29-Aug-14,3.85,3.91,3.85,3.87,2984
28-Aug-14,3.94,3.95,3.84,3.85,3121
27-Aug-14,4.10,4.10,3.95,4.05,4250
26-Aug-14,4.03,4.14,3.81,4.14,18313
25-Aug-14,4.03,4.03,4.03,4.03,100
22-Aug-14,4.04,4.04,4.03,4.03,900
21-Aug-14,4.09,4.13,4.03,4.03,3850
