Date,Open,High,Low,Close,Volume
31-Dec-14,2.13,2.22,2.13,2.22,11479
30-Dec-14,2.01,2.10,2.01,2.10,2258
29-Dec-14,2.05,2.10,1.70,2.10,61009
26-Dec-14,2.15,2.15,1.95,2.09,7094
24-Dec-14,2.09,2.11,1.95,2.11,7116
23-Dec-14,2.02,2.12,2.00,2.09,4484
22-Dec-14,2.12,2.13,2.00,2.01,24542
19-Dec-14,2.26,2.26,2.02,2.20,11216
18-Dec-14,1.95,2.65,1.95,2.20,97457
17-Dec-14,1.74,1.79,1.71,1.79,20822
16-Dec-14,1.37,1.75,1.30,1.70,33466
15-Dec-14,1.65,1.75,1.65,1.72,15728
12-Dec-14,1.49,1.75,1.36,1.50,12407
11-Dec-14,1.34,1.70,1.34,1.42,15070
10-Dec-14,1.59,1.65,1.55,1.65,11059
9-Dec-14,1.66,1.68,1.59,1.62,12832
8-Dec-14,1.53,1.53,1.33,1.39,5911
5-Dec-14,1.55,1.68,1.50,1.50,6237
4-Dec-14,1.54,1.55,1.54,1.55,7394
3-Dec-14,1.30,1.55,1.30,1.50,11017
2-Dec-14,1.33,1.42,1.24,1.26,12260
1-Dec-14,1.27,1.27,1.27,1.27,5058
28-Nov-14,1.25,1.35,1.05,1.35,2340
26-Nov-14,1.30,1.40,1.30,1.35,4597
25-Nov-14,1.30,1.31,1.30,1.31,12129
24-Nov-14,1.25,1.31,1.13,1.30,27357
21-Nov-14,1.10,1.28,1.10,1.25,7147
20-Nov-14,1.13,1.25,1.10,1.25,7047
19-Nov-14,1.13,1.20,1.12,1.20,2393
18-Nov-14,1.29,1.29,1.10,1.26,19953
17-Nov-14,1.15,1.30,1.11,1.30,1433
14-Nov-14,1.11,1.17,1.10,1.10,8481
13-Nov-14,1.12,1.12,1.11,1.12,1313
12-Nov-14,1.11,1.13,1.11,1.12,11722
11-Nov-14,1.15,1.23,1.15,1.15,15312
10-Nov-14,1.16,1.31,1.16,1.18,5807
7-Nov-14,1.19,1.20,1.19,1.20,8774
6-Nov-14,1.19,1.32,1.19,1.32,5474
5-Nov-14,1.20,1.20,1.19,1.20,7307
4-Nov-14,1.28,1.30,1.20,1.20,45282
3-Nov-14,1.28,1.30,1.28,1.29,35892
31-Oct-14,1.28,1.32,1.28,1.29,8320
30-Oct-14,1.15,1.32,1.11,1.11,29805
29-Oct-14,1.30,1.32,1.28,1.28,3971
28-Oct-14,1.03,1.31,1.03,1.31,2541
27-Oct-14,1.09,1.15,1.06,1.09,22953
24-Oct-14,1.31,1.31,1.31,1.31,2711
23-Oct-14,1.29,1.32,1.29,1.29,8194
22-Oct-14,1.25,1.25,1.10,1.10,3191
21-Oct-14,1.02,1.31,1.02,1.06,73044
20-Oct-14,1.02,1.32,1.00,1.30,11727
17-Oct-14,1.30,1.34,1.30,1.30,5796
16-Oct-14,1.32,1.32,1.00,1.30,19953
15-Oct-14,0.70,1.19,0.70,1.14,73075
14-Oct-14,0.70,0.70,0.65,0.65,2373
13-Oct-14,0.73,0.73,0.70,0.73,34268
10-Oct-14,0.70,0.82,0.70,0.73,20086
9-Oct-14,0.76,0.78,0.70,0.75,42322
8-Oct-14,0.84,0.84,0.70,0.75,533297
7-Oct-14,0.85,0.86,0.85,0.85,17085
6-Oct-14,0.85,0.87,0.85,0.85,14391
3-Oct-14,0.87,1.04,0.87,1.04,5933
2-Oct-14,0.90,0.90,0.90,0.90,2664
1-Oct-14,1.06,1.06,0.85,0.95,7207
30-Sep-14,1.06,1.06,1.02,1.03,1814
29-Sep-14,1.02,1.05,1.02,1.02,8763
26-Sep-14,1.02,1.05,1.02,1.05,26213
25-Sep-14,1.06,1.06,0.91,1.00,8537
24-Sep-14,1.14,1.15,1.10,1.10,4870
23-Sep-14,1.11,1.15,1.11,1.14,7626
22-Sep-14,1.16,1.16,1.13,1.13,19359
19-Sep-14,1.16,1.25,1.15,1.15,28606
18-Sep-14,1.29,1.33,1.20,1.20,13896
17-Sep-14,1.28,1.28,1.27,1.27,4220
16-Sep-14,1.34,1.34,1.28,1.31,598
15-Sep-14,1.28,1.35,1.27,1.28,1464
12-Sep-14,1.27,1.33,1.27,1.27,2311
11-Sep-14,1.32,1.32,1.25,1.25,2823
10-Sep-14,1.31,1.31,1.31,1.31,4770
9-Sep-14,1.25,1.25,1.25,1.25,2169
8-Sep-14,1.15,1.24,1.15,1.24,1955
5-Sep-14,1.25,1.35,1.16,1.34,5357
4-Sep-14,1.24,1.25,1.16,1.25,18630
3-Sep-14,1.35,1.42,1.23,1.23,9371
2-Sep-14,1.35,1.39,1.35,1.35,2436
29-Aug-14,1.38,1.38,1.29,1.29,1730
28-Aug-14,1.39,1.39,1.38,1.38,2925
27-Aug-14,1.38,1.38,1.38,1.38,1178
26-Aug-14,1.29,1.33,1.29,1.32,782
25-Aug-14,1.41,1.48,1.30,1.30,8811
22-Aug-14,1.26,1.58,1.26,1.55,22469
21-Aug-14,1.18,1.20,1.16,1.20,9486
20-Aug-14,1.20,1.20,1.20,1.20,3779
19-Aug-14,1.17,1.38,1.17,1.25,2163
18-Aug-14,1.20,1.27,1.19,1.27,4749
15-Aug-14,1.25,1.40,1.20,1.20,4466
14-Aug-14,1.18,1.20,1.17,1.20,7340
13-Aug-14,1.16,1.17,1.16,1.16,1029
12-Aug-14,1.15,1.50,1.15,1.18,12942
11-Aug-14,1.20,1.24,1.14,1.16,45372
8-Aug-14,1.55,1.55,1.24,1.35,3324
7-Aug-14,1.19,1.59,1.19,1.55,22363
6-Aug-14,1.21,1.28,1.14,1.19,9380
5-Aug-14,1.30,1.30,1.30,1.30,2447
4-Aug-14,1.23,1.30,1.23,1.30,3620
1-Aug-14,1.25,1.29,1.20,1.29,46112
31-Jul-14,1.25,1.35,1.25,1.26,2892
30-Jul-14,1.64,1.64,1.45,1.45,6726
29-Jul-14,1.60,1.69,1.41,1.64,7084
28-Jul-14,1.70,1.70,1.27,1.69,4653
25-Jul-14,1.50,1.75,1.50,1.75,28248
24-Jul-14,1.25,1.50,1.25,1.50,22622
23-Jul-14,1.35,1.37,1.35,1.37,662
22-Jul-14,1.27,1.53,1.26,1.49,41466
21-Jul-14,1.31,1.54,1.30,1.50,19712
18-Jul-14,1.38,1.38,1.38,1.38,1413
17-Jul-14,1.32,1.38,1.32,1.38,12003
16-Jul-14,1.40,1.43,1.16,1.37,14465
15-Jul-14,1.15,1.25,1.10,1.12,91501
14-Jul-14,1.35,1.35,1.16,1.17,1763
11-Jul-14,1.07,1.45,1.07,1.35,23538
10-Jul-14,1.00,1.07,1.00,1.01,4244
9-Jul-14,1.10,1.10,1.02,1.03,4864
8-Jul-14,1.10,1.11,1.05,1.11,25246
7-Jul-14,1.11,1.25,1.10,1.10,38323
3-Jul-14,1.11,1.16,1.11,1.16,5779
2-Jul-14,1.20,1.20,1.16,1.16,9804
1-Jul-14,1.12,1.24,1.12,1.19,42887
30-Jun-14,1.11,1.12,1.10,1.11,10368
27-Jun-14,1.16,1.20,1.08,1.11,58671
26-Jun-14,1.24,1.30,1.20,1.20,44806
25-Jun-14,1.53,1.53,1.24,1.24,36680
24-Jun-14,1.71,1.71,1.53,1.53,16080
23-Jun-14,1.59,1.60,1.59,1.60,2252
20-Jun-14,1.65,1.78,1.65,1.70,2406
19-Jun-14,1.55,1.70,1.55,1.65,6446
18-Jun-14,1.51,1.54,1.51,1.54,2208
17-Jun-14,1.65,1.65,1.61,1.65,5849
16-Jun-14,1.65,1.70,1.65,1.66,2118
13-Jun-14,1.68,1.68,1.65,1.65,9104
12-Jun-14,1.83,1.83,1.65,1.72,4443
11-Jun-14,1.82,1.84,1.71,1.83,3068
10-Jun-14,1.80,1.82,1.80,1.82,7052
9-Jun-14,1.99,2.00,1.79,1.85,13302
6-Jun-14,2.00,2.00,1.79,2.00,8527
5-Jun-14,1.92,2.01,1.78,2.01,28304
4-Jun-14,1.55,1.95,1.55,1.80,18113
3-Jun-14,1.60,1.60,1.53,1.53,10079
2-Jun-14,1.54,1.63,1.52,1.58,21574
30-May-14,1.51,1.55,1.51,1.54,5271
29-May-14,1.69,1.75,1.61,1.69,5544
28-May-14,1.87,1.94,1.54,1.68,10874
27-May-14,1.54,1.93,1.54,1.57,5124
23-May-14,1.45,1.74,1.45,1.54,1604
22-May-14,1.45,1.49,1.43,1.44,6133
21-May-14,1.41,1.45,1.41,1.45,7659
20-May-14,1.45,1.50,1.40,1.41,17442
19-May-14,1.43,1.50,1.37,1.50,9892
16-May-14,1.49,1.50,1.49,1.50,7656
15-May-14,1.50,1.50,1.37,1.49,10289
14-May-14,1.60,1.60,1.44,1.50,53713
