Date,Open,High,Low,Close,Volume
31-Dec-14,36.75,37.35,36.28,36.29,12047
30-Dec-14,36.97,37.50,36.72,36.78,10948
29-Dec-14,36.61,37.50,36.61,37.50,30787
26-Dec-14,36.61,36.93,36.42,36.65,11572
24-Dec-14,36.61,36.75,36.42,36.69,5944
23-Dec-14,36.49,36.79,35.32,36.64,18013
22-Dec-14,35.86,36.69,35.65,36.54,26225
19-Dec-14,35.54,36.10,35.28,35.91,71780
18-Dec-14,35.06,35.69,34.74,35.68,19788
17-Dec-14,34.24,34.96,33.80,34.93,24063
16-Dec-14,33.85,34.79,33.76,34.36,16384
15-Dec-14,34.22,34.50,33.75,33.76,24333
12-Dec-14,34.18,34.42,33.84,33.94,22656
11-Dec-14,34.56,34.75,34.29,34.41,14982
10-Dec-14,35.00,35.08,34.26,34.34,24155
9-Dec-14,33.94,34.99,33.74,34.98,41108
8-Dec-14,34.13,34.92,34.07,34.13,23008
5-Dec-14,34.06,34.71,34.06,34.66,26146
4-Dec-14,34.22,34.52,34.01,34.11,17242
3-Dec-14,34.40,34.73,34.24,34.35,17572
2-Dec-14,34.26,34.65,34.01,34.32,34003
1-Dec-14,34.89,35.17,34.25,34.26,36929
28-Nov-14,35.56,35.68,34.79,34.85,14182
26-Nov-14,35.19,35.60,35.04,35.41,9507
25-Nov-14,35.58,35.58,35.15,35.37,18004
24-Nov-14,35.31,35.44,35.06,35.33,18821
21-Nov-14,35.99,35.99,34.95,35.15,24276
20-Nov-14,35.21,35.59,34.95,35.55,15476
19-Nov-14,35.68,35.68,34.92,35.15,28280
18-Nov-14,35.99,36.40,35.91,35.93,20893
17-Nov-14,36.38,36.38,36.02,36.15,25133
14-Nov-14,36.71,36.71,36.13,36.13,13564
13-Nov-14,36.99,37.10,36.54,36.54,17567
12-Nov-14,36.14,36.99,35.85,36.99,16516
11-Nov-14,36.34,36.34,35.77,36.15,43392
10-Nov-14,36.61,36.62,36.07,36.15,25566
7-Nov-14,36.88,36.95,36.55,36.90,19748
6-Nov-14,36.59,36.89,36.20,36.88,18645
5-Nov-14,37.00,37.00,36.42,36.56,22686
4-Nov-14,36.61,36.95,36.38,36.83,13745
3-Nov-14,37.10,37.10,36.52,36.77,20063
31-Oct-14,36.45,37.20,36.05,37.17,43689
30-Oct-14,35.76,36.16,35.74,36.09,54408
29-Oct-14,35.72,36.00,35.24,35.86,18757
28-Oct-14,35.15,35.72,35.15,35.68,47664
27-Oct-14,34.78,35.17,34.52,35.05,12308
24-Oct-14,34.92,35.12,34.84,34.98,19391
23-Oct-14,34.84,35.00,34.34,34.81,28567
22-Oct-14,34.93,34.93,34.45,34.47,15862
21-Oct-14,35.29,35.30,34.19,34.73,59913
20-Oct-14,34.52,35.23,34.52,35.21,23987
17-Oct-14,35.41,35.41,34.35,34.52,30460
16-Oct-14,34.85,35.37,34.76,35.11,19148
15-Oct-14,34.52,35.39,33.96,35.19,36122
14-Oct-14,34.00,34.74,33.99,34.74,37430
13-Oct-14,33.25,33.99,33.19,33.82,25205
10-Oct-14,32.59,33.54,32.59,33.08,28599
9-Oct-14,33.22,33.34,32.55,32.78,23271
8-Oct-14,32.30,33.40,32.21,33.24,23881
7-Oct-14,32.29,32.80,32.25,32.43,16036
6-Oct-14,32.91,32.91,32.36,32.37,16633
3-Oct-14,32.88,33.23,32.55,32.92,33035
2-Oct-14,32.58,32.90,32.25,32.78,29193
1-Oct-14,32.63,32.90,32.22,32.46,41526
30-Sep-14,32.94,33.13,32.50,32.50,37899
29-Sep-14,32.65,33.38,32.63,33.14,23296
26-Sep-14,32.45,33.52,32.45,32.92,22211
25-Sep-14,32.90,32.90,32.25,32.43,26180
24-Sep-14,32.64,33.00,32.49,32.67,15122
23-Sep-14,32.69,33.00,32.54,32.58,25765
22-Sep-14,33.00,33.22,32.78,32.81,23874
19-Sep-14,33.40,33.59,33.03,33.10,49909
18-Sep-14,33.21,33.51,33.08,33.40,20951
17-Sep-14,33.48,33.64,33.12,33.18,17507
16-Sep-14,33.11,33.59,33.00,33.37,21426
15-Sep-14,32.95,33.19,32.24,33.01,39607
12-Sep-14,33.29,33.29,32.75,32.89,18121
11-Sep-14,33.09,33.46,33.09,33.27,25489
10-Sep-14,33.06,33.27,32.82,33.03,21384
9-Sep-14,33.43,33.49,33.00,33.07,25086
8-Sep-14,33.38,33.50,33.28,33.38,18335
5-Sep-14,33.14,33.40,33.10,33.30,25950
4-Sep-14,33.15,33.40,33.11,33.12,16438
3-Sep-14,33.10,33.22,33.00,33.08,25955
2-Sep-14,33.12,33.12,32.70,33.05,39623
29-Aug-14,32.70,32.99,32.51,32.95,31930
28-Aug-14,33.11,33.11,32.51,32.70,25578
27-Aug-14,33.00,33.46,32.96,33.41,24825
26-Aug-14,32.87,33.08,32.76,32.85,57660
25-Aug-14,33.10,33.10,32.76,32.89,23039
22-Aug-14,32.80,32.98,32.56,32.76,22419
21-Aug-14,32.91,33.09,32.51,32.79,34841
20-Aug-14,33.28,33.28,32.77,32.88,32903
19-Aug-14,33.22,33.42,33.14,33.28,20714
18-Aug-14,32.68,33.06,32.63,33.04,21543
15-Aug-14,32.90,32.97,32.35,32.61,22619
14-Aug-14,32.48,32.68,32.48,32.63,12001
13-Aug-14,32.18,32.45,32.18,32.34,16514
12-Aug-14,32.09,32.36,31.85,32.09,17440
11-Aug-14,31.92,32.48,31.88,32.11,32068
8-Aug-14,31.41,31.88,31.37,31.66,15258
7-Aug-14,31.51,31.70,31.30,31.42,9158
6-Aug-14,31.08,31.52,31.08,31.47,13642
5-Aug-14,31.75,31.84,31.00,31.18,44520
4-Aug-14,31.96,32.12,31.62,31.73,32448
1-Aug-14,32.00,32.00,31.80,31.86,19786
31-Jul-14,32.06,32.23,31.88,31.89,21157
30-Jul-14,32.43,32.43,32.04,32.15,17225
29-Jul-14,32.47,32.64,32.25,32.25,10502
28-Jul-14,32.33,32.62,32.21,32.24,14433
25-Jul-14,32.28,32.39,32.17,32.23,21235
24-Jul-14,33.13,33.17,32.50,32.51,13397
23-Jul-14,32.21,33.23,31.96,32.99,68499
22-Jul-14,32.32,32.51,31.95,32.15,16459
21-Jul-14,32.17,32.38,32.03,32.33,12669
18-Jul-14,31.80,32.55,31.80,32.46,18423
17-Jul-14,32.11,32.31,31.79,31.94,25593
16-Jul-14,32.70,32.70,32.03,32.24,25915
15-Jul-14,32.83,32.83,32.40,32.50,19414
14-Jul-14,33.00,33.00,32.60,32.70,18041
11-Jul-14,32.87,32.99,32.64,32.72,21640
10-Jul-14,32.71,33.04,32.58,32.85,20729
9-Jul-14,33.27,33.34,32.93,33.13,19652
8-Jul-14,33.12,33.32,32.77,33.21,14520
7-Jul-14,33.58,33.58,33.05,33.14,22960
3-Jul-14,33.81,33.81,33.38,33.58,12117
2-Jul-14,34.41,34.80,33.76,33.81,25625
1-Jul-14,33.93,34.74,33.76,34.45,30981
30-Jun-14,34.17,34.18,33.65,33.87,26644
27-Jun-14,33.12,34.19,33.12,34.19,80266
26-Jun-14,33.23,33.47,32.96,33.36,25538
25-Jun-14,32.93,33.45,32.93,33.33,15359
24-Jun-14,32.92,33.49,32.92,33.16,25070
23-Jun-14,32.95,33.24,32.81,33.18,23409
20-Jun-14,33.13,33.16,32.93,33.01,89745
19-Jun-14,32.85,33.00,32.75,32.91,22181
18-Jun-14,32.72,32.90,32.32,32.82,16173
17-Jun-14,32.44,32.68,32.37,32.66,18370
16-Jun-14,32.20,32.40,32.01,32.31,30009
13-Jun-14,32.50,32.65,32.10,32.18,12478
12-Jun-14,32.32,32.47,32.06,32.41,16909
11-Jun-14,32.65,32.95,32.44,32.46,18498
10-Jun-14,32.71,32.88,32.49,32.72,22972
9-Jun-14,32.43,32.90,32.32,32.85,15438
6-Jun-14,32.56,32.90,32.45,32.52,20925
5-Jun-14,31.45,32.49,31.33,32.48,24577
4-Jun-14,31.50,31.85,31.33,31.45,18151
3-Jun-14,32.08,32.08,31.55,31.63,28021
2-Jun-14,32.17,32.42,32.02,32.14,20820
30-May-14,32.20,32.37,32.00,32.07,30729
29-May-14,32.22,32.41,32.00,32.12,15777
28-May-14,32.59,32.86,32.33,32.45,19862
27-May-14,31.99,32.78,31.87,32.78,27195
23-May-14,31.75,32.00,31.49,31.97,28702
22-May-14,31.65,31.95,31.53,31.89,24747
21-May-14,31.44,31.64,31.25,31.46,25771
20-May-14,31.75,31.75,31.27,31.41,40173
19-May-14,31.64,31.93,31.36,31.79,33109
16-May-14,31.54,31.92,31.33,31.87,22607
15-May-14,31.60,31.84,31.50,31.54,22273
14-May-14,32.28,32.28,31.70,31.75,44608
13-May-14,32.79,32.85,32.28,32.30,33979
12-May-14,32.56,32.84,32.54,32.78,35528
9-May-14,31.97,32.54,31.72,32.38,26639
8-May-14,32.17,32.17,31.69,31.81,31133
7-May-14,31.75,32.36,31.50,32.21,58645
6-May-14,31.97,32.09,31.60,31.65,33564
5-May-14,31.98,32.31,31.95,32.19,17569
2-May-14,32.51,32.67,32.00,32.01,26678
1-May-14,32.43,32.67,32.28,32.58,36913
30-Apr-14,32.15,32.72,32.06,32.50,40083
29-Apr-14,32.54,32.88,32.12,32.28,22716
28-Apr-14,32.73,33.02,32.25,32.49,29946
25-Apr-14,32.89,33.24,32.61,32.68,29073
24-Apr-14,33.08,33.47,32.63,33.11,19119
