Date,Open,High,Low,Close,Volume
31-Dec-14,16.25,16.32,16.01,16.02,408794
30-Dec-14,16.23,16.38,16.19,16.26,234753
29-Dec-14,16.32,16.47,16.10,16.40,336721
26-Dec-14,16.10,16.14,16.00,16.06,143742
24-Dec-14,16.16,16.24,15.91,16.04,170744
23-Dec-14,16.02,16.24,15.98,16.09,289861
22-Dec-14,15.89,15.98,15.72,15.98,233657
19-Dec-14,16.19,16.25,15.81,15.86,1241140
18-Dec-14,15.95,16.15,15.83,16.15,462259
17-Dec-14,15.27,15.75,15.07,15.75,551436
16-Dec-14,15.01,15.46,15.01,15.23,510688
15-Dec-14,15.34,15.47,15.03,15.11,394440
12-Dec-14,15.23,15.45,15.18,15.28,354480
11-Dec-14,15.55,15.68,15.42,15.45,306461
10-Dec-14,16.09,16.12,15.44,15.45,517547
9-Dec-14,15.77,16.20,15.67,16.20,403352
8-Dec-14,16.07,16.28,15.87,15.99,390276
5-Dec-14,15.73,16.18,15.73,16.07,936203
4-Dec-14,15.59,15.76,15.50,15.71,591537
3-Dec-14,15.40,15.67,15.33,15.64,327272
2-Dec-14,15.12,15.48,15.09,15.35,463510
1-Dec-14,15.18,15.21,14.91,15.04,632089
28-Nov-14,15.61,15.62,15.12,15.17,227646
26-Nov-14,15.58,15.64,15.46,15.54,221543
25-Nov-14,15.50,15.56,15.32,15.56,206140
24-Nov-14,15.26,15.42,15.25,15.41,299955
21-Nov-14,15.54,15.63,15.16,15.19,278056
20-Nov-14,14.99,15.34,14.99,15.34,328032
19-Nov-14,15.41,15.41,15.02,15.15,268746
18-Nov-14,15.38,15.53,15.26,15.40,220969
17-Nov-14,15.51,15.59,15.34,15.37,180523
14-Nov-14,15.73,15.75,15.54,15.55,339093
13-Nov-14,15.86,15.86,15.67,15.68,393571
12-Nov-14,15.44,15.86,15.44,15.85,511766
11-Nov-14,15.59,15.74,15.45,15.54,395274
10-Nov-14,15.74,15.74,15.52,15.62,623423
7-Nov-14,15.75,15.77,15.62,15.70,345561
6-Nov-14,15.60,15.77,15.58,15.76,336046
5-Nov-14,15.55,15.62,15.41,15.58,478176
4-Nov-14,15.60,15.71,15.30,15.42,662116
3-Nov-14,15.82,15.85,15.54,15.68,476676
31-Oct-14,15.83,15.83,15.19,15.78,701786
30-Oct-14,15.35,15.68,15.21,15.50,618040
29-Oct-14,15.20,15.46,14.94,15.37,531134
28-Oct-14,14.76,15.22,14.65,15.17,423262
27-Oct-14,14.38,14.67,14.30,14.66,221770
24-Oct-14,14.51,14.55,14.35,14.53,270112
23-Oct-14,15.00,15.00,14.38,14.47,437943
22-Oct-14,14.65,14.65,14.33,14.37,586760
21-Oct-14,14.34,14.66,14.28,14.59,335491
20-Oct-14,14.16,14.40,14.13,14.25,345236
17-Oct-14,14.49,14.49,13.97,14.25,474901
16-Oct-14,13.70,14.31,13.58,14.29,679677
15-Oct-14,13.86,14.01,13.35,13.88,719796
14-Oct-14,14.05,14.35,13.93,14.14,540251
13-Oct-14,13.84,14.13,13.84,13.93,607839
10-Oct-14,13.73,14.01,13.60,13.81,555046
9-Oct-14,14.23,14.37,13.79,13.81,464491
8-Oct-14,14.00,14.29,13.90,14.27,453189
7-Oct-14,14.18,14.27,13.95,13.96,349797
6-Oct-14,14.47,14.47,14.19,14.29,563717
3-Oct-14,14.60,14.78,14.51,14.53,261948
2-Oct-14,14.27,14.53,14.07,14.41,398556
1-Oct-14,14.29,14.48,14.11,14.26,533300
30-Sep-14,14.64,14.79,14.35,14.35,524518
29-Sep-14,14.51,14.74,14.51,14.63,349285
26-Sep-14,14.62,14.70,14.53,14.67,285864
25-Sep-14,14.87,14.91,14.60,14.60,346336
24-Sep-14,14.80,15.01,14.74,14.92,350833
23-Sep-14,15.10,15.18,14.79,14.79,365476
22-Sep-14,15.34,15.40,15.10,15.11,358400
19-Sep-14,15.60,15.79,15.36,15.41,1486074
18-Sep-14,15.28,15.64,15.20,15.56,390343
17-Sep-14,15.24,15.46,15.11,15.25,385235
16-Sep-14,15.43,15.54,15.25,15.28,378126
15-Sep-14,15.67,15.70,15.46,15.50,228272
12-Sep-14,15.70,15.91,15.55,15.71,345954
11-Sep-14,15.42,15.72,15.42,15.68,262455
10-Sep-14,15.33,15.56,15.33,15.55,216269
9-Sep-14,15.51,15.51,15.23,15.31,271547
8-Sep-14,15.35,15.53,15.29,15.51,229409
5-Sep-14,15.31,15.41,15.18,15.39,305210
