Date,Open,High,Low,Close,Volume
31-Dec-14,9.89,9.89,9.57,9.61,33569
30-Dec-14,9.60,10.00,9.60,9.76,26928
29-Dec-14,9.72,9.84,9.35,9.52,6821
26-Dec-14,9.57,9.95,9.57,9.85,2105
24-Dec-14,9.10,9.27,8.25,9.27,11495
23-Dec-14,9.05,9.50,9.01,9.07,34583
22-Dec-14,9.06,9.24,8.77,9.03,27971
19-Dec-14,9.07,9.35,8.95,8.95,8207
18-Dec-14,9.66,9.66,8.83,9.05,31414
17-Dec-14,9.26,9.67,9.26,9.34,5860
16-Dec-14,9.13,9.48,8.80,9.19,21435
15-Dec-14,9.71,9.87,8.74,9.50,18571
12-Dec-14,9.52,9.70,9.50,9.65,2235
11-Dec-14,9.74,9.91,9.65,9.74,11154
10-Dec-14,9.84,10.00,9.66,9.66,19573
9-Dec-14,9.67,9.85,9.62,9.85,15972
8-Dec-14,9.48,9.90,9.48,9.76,24252
5-Dec-14,9.16,9.62,9.05,9.62,18082
4-Dec-14,9.00,9.27,8.89,9.20,42298
3-Dec-14,8.95,9.05,8.88,9.05,7541
2-Dec-14,9.05,9.07,8.37,8.90,31570
1-Dec-14,9.04,9.12,9.00,9.06,9223
28-Nov-14,9.31,9.31,9.01,9.05,13074
26-Nov-14,9.37,9.38,9.20,9.35,7276
25-Nov-14,9.29,9.30,9.04,9.29,10703
24-Nov-14,9.29,9.42,9.15,9.35,20835
21-Nov-14,9.25,9.45,9.25,9.31,18073
20-Nov-14,9.14,9.40,9.14,9.24,31693
19-Nov-14,9.23,9.23,9.02,9.04,17419
18-Nov-14,9.08,9.39,8.87,9.23,28602
17-Nov-14,9.20,9.61,8.90,9.11,19437
14-Nov-14,9.06,9.38,8.60,9.06,12657
13-Nov-14,9.06,9.41,8.60,9.04,21731
12-Nov-14,8.41,9.05,8.26,9.05,39852
11-Nov-14,8.57,9.00,8.26,8.26,19575
10-Nov-14,8.66,8.68,8.26,8.47,16918
7-Nov-14,8.66,8.78,8.38,8.50,8781
6-Nov-14,8.31,9.00,8.31,8.71,11235
5-Nov-14,8.37,8.68,8.31,8.31,8858
4-Nov-14,8.37,8.75,8.25,8.28,12698
3-Nov-14,8.96,8.96,7.54,8.02,97543
31-Oct-14,8.90,9.40,8.39,9.15,58952
30-Oct-14,8.90,8.99,8.24,8.73,56722
29-Oct-14,9.00,9.08,8.74,8.99,4618
28-Oct-14,8.74,9.34,8.03,9.05,12103
27-Oct-14,8.89,9.01,7.92,8.86,25825
24-Oct-14,9.06,9.10,8.51,8.90,19177
23-Oct-14,10.05,10.10,9.30,9.30,39273
22-Oct-14,9.05,9.38,9.00,9.19,22890
21-Oct-14,9.10,9.37,9.00,9.22,29532
20-Oct-14,9.35,9.35,8.88,9.20,17940
17-Oct-14,9.80,10.41,9.21,9.35,18462
16-Oct-14,9.16,10.10,9.00,9.31,10398
15-Oct-14,9.16,9.39,8.40,9.00,13984
14-Oct-14,9.30,9.45,8.48,9.26,26815
13-Oct-14,9.58,9.78,9.25,9.29,14370
10-Oct-14,9.76,9.83,9.56,9.56,8607
9-Oct-14,9.50,9.92,9.50,9.83,7062
8-Oct-14,10.64,10.64,9.51,9.91,60993
7-Oct-14,10.71,11.00,10.53,10.53,11735
6-Oct-14,10.71,11.04,10.50,10.61,7490
3-Oct-14,10.98,11.30,10.51,10.97,19584
2-Oct-14,10.95,10.99,10.62,10.91,7501
1-Oct-14,11.11,11.11,10.75,11.01,27283
30-Sep-14,11.13,11.45,10.90,11.22,37941
29-Sep-14,11.07,11.22,11.00,11.10,15156
26-Sep-14,11.01,11.21,11.00,11.00,4364
25-Sep-14,11.27,11.27,11.00,11.00,12038
24-Sep-14,11.34,11.39,11.01,11.15,14267
23-Sep-14,11.10,11.45,11.03,11.24,11920
