Date,Open,High,Low,Close,Volume
31-Dec-14,15.20,15.40,14.61,15.23,7316
30-Dec-14,15.33,15.80,15.20,15.36,1204
29-Dec-14,16.08,16.08,15.19,15.63,5910
26-Dec-14,15.36,15.84,15.04,15.68,4168
24-Dec-14,15.71,16.16,15.18,15.76,3780
23-Dec-14,14.22,17.12,13.92,16.48,17364
22-Dec-14,14.27,14.54,14.11,14.34,2674
19-Dec-14,14.56,14.67,14.22,14.38,5601
18-Dec-14,14.77,14.83,14.42,14.58,10521
17-Dec-14,14.78,14.92,14.40,14.87,5250
16-Dec-14,14.56,15.06,14.34,14.67,8739
15-Dec-14,15.12,15.12,14.08,14.91,12250
12-Dec-14,15.60,15.68,14.82,14.88,4082
11-Dec-14,14.08,16.96,14.08,15.60,6081
10-Dec-14,14.48,14.75,13.36,13.87,25678
9-Dec-14,15.01,15.20,14.40,15.20,7756
8-Dec-14,17.12,17.12,15.03,15.42,21592
5-Dec-14,17.44,17.44,16.73,17.12,5985
4-Dec-14,17.76,17.76,17.09,17.57,4380
3-Dec-14,17.48,17.76,16.54,17.76,20075
2-Dec-14,16.64,17.89,16.48,17.28,25696
1-Dec-14,16.48,16.96,16.14,16.35,14287
28-Nov-14,16.64,17.44,15.87,16.61,7623
26-Nov-14,16.14,17.49,15.68,17.15,21350
25-Nov-14,16.41,16.48,14.98,16.16,49519
24-Nov-14,16.00,16.32,15.20,16.22,68810
21-Nov-14,17.44,17.60,15.98,16.00,68328
20-Nov-14,14.75,17.28,14.47,16.80,63590
19-Nov-14,14.05,15.70,12.80,14.46,146433
18-Nov-14,11.84,12.80,11.84,12.32,9781
17-Nov-14,12.53,12.64,12.00,12.16,5724
14-Nov-14,12.75,12.75,11.65,12.00,10158
13-Nov-14,11.76,12.62,11.68,12.30,9960
12-Nov-14,11.44,11.84,11.16,11.82,7001
11-Nov-14,11.45,11.52,11.28,11.36,5038
10-Nov-14,11.52,11.74,11.41,11.54,5278
7-Nov-14,11.36,11.64,11.20,11.21,5266
6-Nov-14,11.68,11.84,11.20,11.40,11127
5-Nov-14,11.10,11.89,11.10,11.42,19241
4-Nov-14,10.82,10.99,10.42,10.99,1904
3-Nov-14,10.43,10.78,10.43,10.77,4664
31-Oct-14,10.40,10.69,10.17,10.30,10944
30-Oct-14,10.66,10.67,10.35,10.56,16057
29-Oct-14,11.30,11.30,10.58,10.66,2795
28-Oct-14,10.32,11.23,10.26,11.11,14581
27-Oct-14,11.57,11.57,10.30,10.72,19200
24-Oct-14,11.90,12.32,11.76,12.32,2020
23-Oct-14,12.71,12.80,12.03,12.14,4211
22-Oct-14,12.29,12.75,12.21,12.75,7933
21-Oct-14,11.59,12.32,11.33,12.32,7089
20-Oct-14,11.31,11.86,11.31,11.44,13913
17-Oct-14,10.25,11.01,10.20,10.86,13227
16-Oct-14,10.22,10.71,10.19,10.62,5165
15-Oct-14,10.58,10.71,9.92,10.32,5123
14-Oct-14,9.73,10.53,9.54,10.40,8256
13-Oct-14,9.49,9.60,9.46,9.60,3497
10-Oct-14,9.60,9.81,9.36,9.74,13833
9-Oct-14,9.60,9.82,9.12,9.54,17574
8-Oct-14,9.50,9.85,9.35,9.60,15420
7-Oct-14,9.55,9.82,9.44,9.52,5426
6-Oct-14,9.76,9.95,9.36,9.54,10425
3-Oct-14,9.48,9.87,9.44,9.60,8557
2-Oct-14,9.26,9.55,9.25,9.51,4289
1-Oct-14,9.22,9.60,9.22,9.49,2023
30-Sep-14,9.48,9.53,9.19,9.19,6200
29-Sep-14,9.57,9.84,9.25,9.51,7909
26-Sep-14,8.58,9.70,8.58,9.66,8194
25-Sep-14,8.64,9.12,8.64,8.72,1366
24-Sep-14,8.74,9.44,8.74,9.01,13188
23-Sep-14,8.50,8.50,7.99,8.32,13004
22-Sep-14,8.64,8.76,8.32,8.45,6805
19-Sep-14,8.80,9.12,8.64,9.00,6706
18-Sep-14,8.71,9.30,8.71,9.01,1419
17-Sep-14,8.99,9.12,8.64,8.71,4841
16-Sep-14,8.75,9.09,8.75,8.84,1974
15-Sep-14,9.35,9.64,9.04,9.04,475
12-Sep-14,9.60,9.60,9.44,9.44,128
11-Sep-14,9.36,9.64,9.36,9.64,1173
10-Sep-14,9.55,9.55,9.31,9.44,1575
9-Sep-14,9.06,9.60,9.06,9.44,1181
8-Sep-14,8.89,9.24,8.89,9.20,414
5-Sep-14,8.97,9.20,8.91,9.12,6756
4-Sep-14,9.04,9.04,8.92,9.02,2875
3-Sep-14,9.15,9.47,9.12,9.20,4331
2-Sep-14,8.80,9.28,8.76,9.28,9156
29-Aug-14,9.04,9.20,8.75,8.80,4544
28-Aug-14,9.17,9.17,8.80,9.04,1022
27-Aug-14,8.88,9.20,8.88,9.10,13179
26-Aug-14,9.13,9.14,8.72,9.12,11060
25-Aug-14,9.12,9.12,8.79,8.79,4471
22-Aug-14,8.87,9.28,8.84,9.12,4125
21-Aug-14,8.56,9.29,8.56,9.15,4705
20-Aug-14,9.30,9.30,8.65,8.83,11019
19-Aug-14,9.14,9.44,8.96,9.44,5262
18-Aug-14,8.93,9.49,8.92,9.28,16261
15-Aug-14,8.91,12.32,8.49,8.93,1378
14-Aug-14,8.56,9.01,8.56,8.88,4701
13-Aug-14,8.67,8.99,7.98,8.56,9310
12-Aug-14,9.17,9.17,8.25,8.72,2511
11-Aug-14,8.48,9.28,8.48,9.17,1929
8-Aug-14,8.50,8.62,8.03,8.32,8850
7-Aug-14,9.04,9.04,8.64,8.87,1323
6-Aug-14,9.10,9.12,8.70,9.12,3350
5-Aug-14,9.17,9.36,9.04,9.13,10111
4-Aug-14,9.44,9.44,9.18,9.40,2375
1-Aug-14,9.60,9.63,9.31,9.44,3822
31-Jul-14,9.52,9.77,9.52,9.60,5171
30-Jul-14,9.77,9.77,9.44,9.73,644
29-Jul-14,9.60,9.81,9.60,9.81,8404
28-Jul-14,9.76,9.81,9.55,9.60,7614
