Date,Open,High,Low,Close,Volume
31-Dec-14,1.69,1.74,1.68,1.72,202433
30-Dec-14,1.75,1.75,1.67,1.69,210097
29-Dec-14,1.74,1.76,1.71,1.75,168744
26-Dec-14,1.75,1.88,1.75,1.78,310017
24-Dec-14,1.66,1.78,1.65,1.75,233207
23-Dec-14,1.60,1.70,1.57,1.66,406993
22-Dec-14,1.66,1.74,1.58,1.63,464284
19-Dec-14,1.53,1.74,1.51,1.64,603474
18-Dec-14,1.60,1.60,1.52,1.56,240120
17-Dec-14,1.60,1.65,1.52,1.60,481667
16-Dec-14,1.65,1.65,1.56,1.58,361087
15-Dec-14,1.80,1.85,1.62,1.69,493664
12-Dec-14,1.93,1.94,1.78,1.80,480886
11-Dec-14,2.05,2.09,1.79,1.96,1574124
10-Dec-14,2.16,2.67,1.92,1.93,15704976
9-Dec-14,1.75,1.76,1.74,1.74,48749
8-Dec-14,1.83,1.83,1.66,1.76,113355
5-Dec-14,1.74,1.77,1.70,1.76,79174
4-Dec-14,1.65,1.80,1.64,1.71,321410
3-Dec-14,1.57,1.65,1.55,1.60,171155
2-Dec-14,1.48,1.55,1.47,1.54,104640
1-Dec-14,1.59,1.60,1.47,1.49,169506
28-Nov-14,1.60,1.60,1.52,1.54,21571
26-Nov-14,1.56,1.57,1.54,1.55,23219
25-Nov-14,1.45,1.59,1.45,1.57,113586
24-Nov-14,1.45,1.53,1.45,1.47,103585
21-Nov-14,1.55,1.56,1.50,1.52,33722
20-Nov-14,1.46,1.52,1.43,1.49,212113
19-Nov-14,1.52,1.53,1.45,1.45,31897
18-Nov-14,1.47,1.65,1.47,1.55,92601
17-Nov-14,1.50,1.54,1.47,1.48,55057
14-Nov-14,1.50,1.60,1.50,1.55,25992
13-Nov-14,1.54,1.62,1.50,1.53,88608
12-Nov-14,1.50,1.57,1.50,1.56,36753
11-Nov-14,1.48,1.56,1.47,1.53,37305
10-Nov-14,1.52,1.52,1.40,1.46,56426
7-Nov-14,1.53,1.58,1.53,1.57,16984
6-Nov-14,1.60,1.63,1.53,1.53,81881
5-Nov-14,1.64,1.69,1.64,1.64,29475
4-Nov-14,1.70,1.70,1.61,1.70,23155
3-Nov-14,1.76,1.76,1.71,1.75,22728
31-Oct-14,1.80,1.90,1.78,1.78,27586
30-Oct-14,1.81,1.84,1.78,1.78,78648
29-Oct-14,1.81,1.90,1.81,1.83,21216
28-Oct-14,1.83,1.87,1.79,1.83,108403
27-Oct-14,1.85,1.85,1.80,1.82,12533
24-Oct-14,1.84,1.90,1.83,1.88,12191
23-Oct-14,1.85,1.90,1.79,1.84,120965
22-Oct-14,1.89,1.91,1.84,1.84,36983
21-Oct-14,1.87,1.95,1.80,1.92,104962
20-Oct-14,1.91,1.92,1.88,1.88,20140
17-Oct-14,1.93,1.94,1.81,1.91,54107
16-Oct-14,1.86,1.96,1.86,1.92,58261
15-Oct-14,1.86,1.92,1.83,1.91,187945
14-Oct-14,1.91,1.92,1.86,1.91,97676
13-Oct-14,1.92,2.15,1.90,1.95,64211
10-Oct-14,1.96,2.00,1.86,1.95,86889
9-Oct-14,2.01,2.01,1.94,1.99,34319
8-Oct-14,2.02,2.02,2.01,2.01,46620
7-Oct-14,2.04,2.08,2.01,2.02,20484
6-Oct-14,2.08,2.11,2.05,2.05,15910
3-Oct-14,2.13,2.14,2.05,2.11,56485
2-Oct-14,2.08,2.18,2.05,2.09,56112
1-Oct-14,2.17,2.18,2.03,2.07,77012
30-Sep-14,2.18,2.20,2.12,2.19,41745
29-Sep-14,2.20,2.20,2.15,2.20,25419
26-Sep-14,2.22,2.23,2.12,2.18,65886
25-Sep-14,2.28,2.28,2.14,2.24,52970
24-Sep-14,2.27,2.32,2.19,2.30,70156
23-Sep-14,2.24,2.30,2.17,2.29,84466
22-Sep-14,2.31,2.45,2.23,2.25,600989
19-Sep-14,2.26,2.32,2.22,2.29,68486
18-Sep-14,2.30,2.35,2.21,2.28,82369
17-Sep-14,2.28,2.29,2.18,2.27,118719
16-Sep-14,2.31,2.31,2.27,2.27,76933
15-Sep-14,2.36,2.37,2.31,2.32,64782
12-Sep-14,2.37,2.37,2.31,2.35,82317
11-Sep-14,2.34,2.39,2.32,2.34,53389
