Date,Open,High,Low,Close,Volume
31-Dec-14,7.36,8.25,7.24,8.01,2973259
30-Dec-14,6.68,7.00,6.67,6.90,824562
29-Dec-14,6.49,6.93,6.25,6.67,1363140
26-Dec-14,5.94,6.71,5.92,6.14,1208729
24-Dec-14,5.57,6.14,5.57,5.87,853429
23-Dec-14,5.58,5.58,5.25,5.52,1312715
22-Dec-14,4.85,4.95,4.84,4.90,180593
19-Dec-14,4.88,4.95,4.75,4.89,245380
18-Dec-14,4.89,4.89,4.76,4.89,213084
17-Dec-14,4.56,4.80,4.55,4.80,176525
16-Dec-14,4.43,4.73,4.43,4.57,175517
15-Dec-14,4.79,4.89,4.48,4.48,255595
12-Dec-14,4.79,4.92,4.76,4.78,138349
11-Dec-14,4.81,5.00,4.81,4.84,252050
10-Dec-14,4.84,4.94,4.74,4.78,215588
9-Dec-14,4.53,4.89,4.41,4.88,344839
8-Dec-14,4.65,4.83,4.54,4.58,241245
5-Dec-14,4.57,4.72,4.55,4.66,199336
4-Dec-14,4.61,4.77,4.52,4.56,289069
3-Dec-14,4.65,4.75,4.50,4.63,236852
2-Dec-14,4.53,4.77,4.53,4.62,271763
1-Dec-14,4.65,4.68,4.48,4.51,311571
28-Nov-14,4.58,4.98,4.58,4.67,469110
26-Nov-14,4.40,4.67,4.32,4.59,412417
25-Nov-14,4.44,4.49,4.23,4.40,267118
24-Nov-14,4.11,4.43,4.10,4.42,566125
21-Nov-14,4.20,4.20,4.07,4.11,456819
20-Nov-14,4.12,4.24,4.11,4.14,279738
19-Nov-14,4.13,4.27,4.05,4.16,417523
18-Nov-14,4.17,4.27,4.11,4.16,316744
17-Nov-14,4.23,4.37,4.12,4.16,257481
14-Nov-14,4.25,4.29,4.16,4.23,224716
13-Nov-14,4.38,4.48,4.21,4.24,197775
12-Nov-14,4.38,4.46,4.26,4.36,221619
11-Nov-14,4.35,4.60,4.19,4.39,557024
10-Nov-14,4.13,4.38,4.03,4.33,284764
7-Nov-14,4.27,4.27,3.98,4.10,252267
6-Nov-14,4.12,4.30,4.07,4.25,212494
5-Nov-14,4.37,4.39,4.06,4.14,431092
4-Nov-14,3.92,4.48,3.82,4.30,1113020
3-Nov-14,3.62,3.77,3.53,3.70,239955
31-Oct-14,3.90,3.90,3.56,3.67,431093
30-Oct-14,3.66,3.85,3.55,3.80,410181
29-Oct-14,3.59,3.73,3.45,3.65,314662
28-Oct-14,3.46,3.59,3.40,3.57,224892
27-Oct-14,3.51,3.51,3.30,3.43,176063
24-Oct-14,3.46,3.50,3.37,3.50,119663
23-Oct-14,3.37,3.54,3.31,3.45,179565
22-Oct-14,3.44,3.47,3.30,3.33,169331
21-Oct-14,3.49,3.49,3.35,3.41,171539
20-Oct-14,3.28,3.49,3.27,3.47,276042
17-Oct-14,3.50,3.59,3.25,3.26,243645
16-Oct-14,3.27,3.49,3.27,3.40,206664
15-Oct-14,3.20,3.45,3.15,3.41,198834
14-Oct-14,3.33,3.41,3.18,3.27,309267
13-Oct-14,3.10,3.43,3.05,3.29,301652
10-Oct-14,3.25,3.38,3.06,3.07,248043
9-Oct-14,3.45,3.45,3.24,3.28,213345
8-Oct-14,3.43,3.48,3.18,3.45,360200
7-Oct-14,3.53,3.58,3.40,3.45,206924
6-Oct-14,3.60,3.66,3.46,3.57,249865
3-Oct-14,3.57,3.62,3.42,3.60,218413
2-Oct-14,3.43,3.54,3.40,3.51,159573
1-Oct-14,3.56,3.62,3.42,3.45,265163
30-Sep-14,3.67,3.67,3.49,3.52,528534
29-Sep-14,3.64,3.75,3.53,3.70,307291
26-Sep-14,3.62,3.72,3.51,3.70,371595
25-Sep-14,3.73,3.82,3.60,3.61,328400
24-Sep-14,3.65,3.87,3.60,3.73,256232
23-Sep-14,3.81,3.86,3.59,3.64,451714
22-Sep-14,4.07,4.10,3.81,3.81,400869
