Date,Open,High,Low,Close,Volume
31-Dec-14,2.75,2.86,2.70,2.74,752845
30-Dec-14,2.71,2.80,2.64,2.72,780450
29-Dec-14,2.59,2.73,2.54,2.70,556146
26-Dec-14,2.58,2.71,2.53,2.60,387102
24-Dec-14,2.55,2.60,2.53,2.58,275053
23-Dec-14,2.58,2.61,2.49,2.55,789375
22-Dec-14,2.47,2.61,2.41,2.59,828567
19-Dec-14,2.61,2.69,2.50,2.55,1017809
18-Dec-14,2.36,2.71,2.31,2.56,1228135
17-Dec-14,2.25,2.32,2.14,2.32,979428
16-Dec-14,2.15,2.24,2.08,2.16,733297
15-Dec-14,2.30,2.33,2.11,2.15,969969
12-Dec-14,2.22,2.30,2.20,2.29,541898
11-Dec-14,2.30,2.35,2.21,2.24,772697
10-Dec-14,2.40,2.48,2.28,2.30,531276
9-Dec-14,2.28,2.44,2.23,2.44,745044
8-Dec-14,2.39,2.40,2.27,2.33,823737
5-Dec-14,2.30,2.50,2.24,2.39,1067025
4-Dec-14,2.30,2.37,2.21,2.30,628174
3-Dec-14,2.41,2.41,2.26,2.30,1164358
2-Dec-14,2.41,2.48,2.38,2.39,561173
1-Dec-14,2.52,2.60,2.35,2.38,660266
28-Nov-14,2.57,2.57,2.51,2.51,175990
26-Nov-14,2.54,2.56,2.51,2.55,250094
25-Nov-14,2.52,2.57,2.51,2.54,248697
24-Nov-14,2.55,2.59,2.52,2.52,561327
21-Nov-14,2.61,2.64,2.53,2.55,432284
20-Nov-14,2.58,2.67,2.55,2.56,552338
19-Nov-14,2.53,2.73,2.48,2.63,753734
18-Nov-14,2.48,2.60,2.46,2.52,1916121
17-Nov-14,2.77,2.86,2.74,2.76,406896
14-Nov-14,2.77,2.88,2.73,2.79,594835
13-Nov-14,2.83,2.85,2.75,2.78,259893
12-Nov-14,2.77,2.83,2.72,2.81,441554
11-Nov-14,2.85,2.91,2.77,2.78,410599
10-Nov-14,2.87,2.90,2.77,2.85,534935
7-Nov-14,2.95,3.01,2.79,2.87,582701
6-Nov-14,3.00,3.10,2.90,2.93,544496
5-Nov-14,3.11,3.15,2.99,3.03,704544
4-Nov-14,2.96,3.20,2.95,3.05,837067
3-Nov-14,2.87,3.15,2.84,3.01,1947735
31-Oct-14,2.94,2.94,2.79,2.86,538124
30-Oct-14,2.83,2.89,2.74,2.84,595216
29-Oct-14,2.82,2.94,2.76,2.87,685030
28-Oct-14,2.69,2.86,2.65,2.83,612678
27-Oct-14,2.78,2.79,2.65,2.69,660794
24-Oct-14,2.88,2.98,2.75,2.80,817822
23-Oct-14,2.71,2.97,2.68,2.91,1571747
22-Oct-14,2.75,2.79,2.65,2.67,535925
21-Oct-14,2.72,2.87,2.66,2.76,712150
20-Oct-14,2.78,2.89,2.71,2.73,894287
17-Oct-14,2.85,3.04,2.73,2.76,1917954
16-Oct-14,2.51,2.66,2.42,2.63,755681
15-Oct-14,2.48,2.65,2.45,2.49,820450
14-Oct-14,2.52,2.68,2.50,2.55,680300
13-Oct-14,2.41,2.60,2.36,2.47,558890
10-Oct-14,2.36,2.47,2.25,2.38,805006
9-Oct-14,2.49,2.58,2.39,2.39,561768
8-Oct-14,2.46,2.63,2.37,2.51,664857
7-Oct-14,2.51,2.55,2.45,2.46,898548
6-Oct-14,2.67,2.69,2.50,2.53,667038
3-Oct-14,2.57,2.68,2.46,2.68,851498
2-Oct-14,2.42,2.55,2.36,2.51,882509
1-Oct-14,2.54,2.57,2.30,2.43,1421285
30-Sep-14,2.71,2.74,2.54,2.54,1204069
29-Sep-14,2.92,2.95,2.70,2.73,1755986
26-Sep-14,2.57,2.88,2.57,2.78,1869033
25-Sep-14,2.72,2.76,2.57,2.57,889004
