Date,Open,High,Low,Close,Volume
31-Dec-14,3.49,3.49,3.38,3.38,5943
30-Dec-14,3.32,3.45,3.32,3.39,8809
29-Dec-14,3.36,3.36,3.36,3.36,1167
26-Dec-14,3.35,3.48,3.35,3.48,202
24-Dec-14,3.38,3.38,3.36,3.37,1811
23-Dec-14,3.50,3.51,3.23,3.49,8877
22-Dec-14,3.48,3.50,3.36,3.50,11834
19-Dec-14,3.44,3.44,3.43,3.44,805
18-Dec-14,3.37,3.43,3.21,3.43,9747
17-Dec-14,3.32,3.32,3.30,3.32,1411
16-Dec-14,3.32,3.33,3.24,3.24,824
15-Dec-14,3.28,3.33,3.20,3.33,21220
12-Dec-14,3.35,3.47,3.17,3.35,18115
11-Dec-14,3.45,3.50,3.24,3.49,14379
10-Dec-14,3.45,3.67,3.45,3.45,2401
9-Dec-14,3.47,3.64,2.92,3.49,8193
8-Dec-14,3.60,3.69,3.49,3.50,27515
5-Dec-14,3.55,3.69,3.55,3.56,7400
4-Dec-14,3.58,3.65,3.55,3.55,8646
3-Dec-14,3.65,3.74,3.63,3.65,8837
2-Dec-14,3.56,3.70,3.51,3.65,14120
1-Dec-14,3.63,3.65,3.36,3.62,15416
28-Nov-14,3.68,3.70,3.67,3.68,4340
26-Nov-14,3.61,3.65,3.53,3.53,18778
25-Nov-14,3.35,3.70,3.35,3.57,28777
24-Nov-14,3.53,3.55,3.37,3.37,18083
21-Nov-14,3.45,3.50,3.40,3.48,3239
20-Nov-14,3.53,3.53,3.29,3.43,20010
19-Nov-14,3.42,3.52,3.42,3.48,46087
18-Nov-14,3.40,3.42,3.35,3.42,23153
17-Nov-14,3.35,3.36,3.30,3.33,21120
14-Nov-14,3.15,3.33,3.15,3.29,21176
13-Nov-14,3.12,3.19,3.10,3.18,1150
12-Nov-14,3.17,3.22,3.13,3.15,33476
11-Nov-14,3.19,3.22,3.10,3.13,10777
10-Nov-14,3.28,3.28,3.18,3.18,11731
7-Nov-14,3.25,3.30,3.25,3.30,18300
6-Nov-14,3.33,3.34,3.19,3.32,43123
5-Nov-14,3.40,3.40,3.32,3.35,6985
4-Nov-14,3.42,3.48,3.34,3.34,15183
3-Nov-14,3.37,3.55,3.37,3.42,23562
31-Oct-14,3.40,3.83,3.28,3.39,221245
30-Oct-14,3.24,3.25,3.10,3.10,3149
29-Oct-14,3.20,3.31,3.20,3.21,1450
28-Oct-14,3.10,3.41,3.10,3.20,5181
27-Oct-14,3.01,3.10,3.01,3.10,5454
24-Oct-14,3.09,3.09,3.05,3.05,1508
23-Oct-14,3.03,3.12,3.03,3.05,8226
22-Oct-14,3.29,3.29,3.05,3.06,11150
21-Oct-14,3.20,3.52,3.20,3.29,3667
20-Oct-14,3.10,3.34,3.01,3.20,7129
17-Oct-14,3.07,3.17,3.01,3.01,3031
16-Oct-14,3.05,3.15,3.05,3.10,4450
15-Oct-14,3.00,3.23,3.00,3.04,600
14-Oct-14,3.12,3.12,2.95,3.01,22506
13-Oct-14,3.31,3.31,3.10,3.10,9299
10-Oct-14,3.18,3.28,3.10,3.23,5968
9-Oct-14,3.13,3.26,3.10,3.12,700
8-Oct-14,3.11,3.36,3.11,3.29,740
7-Oct-14,3.34,3.34,3.16,3.17,503
6-Oct-14,3.16,3.40,3.15,3.37,915
3-Oct-14,3.18,3.26,3.18,3.25,750
2-Oct-14,3.25,3.31,3.05,3.31,15962
1-Oct-14,3.29,3.40,3.19,3.19,17545
30-Sep-14,3.26,3.35,3.02,3.29,16372
29-Sep-14,3.10,3.36,3.10,3.29,1438
26-Sep-14,3.04,3.49,3.02,3.13,15180
25-Sep-14,3.01,3.12,2.75,3.02,18542
24-Sep-14,3.35,3.35,3.07,3.07,8995
23-Sep-14,3.30,3.33,3.18,3.18,12380
22-Sep-14,3.30,3.50,3.29,3.32,30350
19-Sep-14,3.46,3.54,3.30,3.30,23590
18-Sep-14,3.53,3.53,3.45,3.50,11093
17-Sep-14,3.56,3.58,3.51,3.51,5008
16-Sep-14,3.38,3.63,3.38,3.51,15829
15-Sep-14,3.35,3.44,3.35,3.41,9987
12-Sep-14,3.40,3.44,3.35,3.35,9980
11-Sep-14,3.43,3.43,3.28,3.36,4105
10-Sep-14,3.26,3.42,3.25,3.40,10436
9-Sep-14,3.31,3.31,3.25,3.31,1957
8-Sep-14,3.21,3.38,3.21,3.32,16566
5-Sep-14,3.19,3.19,3.18,3.19,804
4-Sep-14,3.17,3.20,3.17,3.20,600
3-Sep-14,3.18,3.20,3.18,3.18,1900
2-Sep-14,3.18,3.25,3.18,3.18,1386
29-Aug-14,3.19,3.24,3.18,3.22,6549
28-Aug-14,3.19,3.25,3.17,3.21,8834
27-Aug-14,3.00,3.33,3.00,3.29,67624
26-Aug-14,3.03,3.06,2.95,3.00,51836
25-Aug-14,3.03,3.08,3.01,3.08,11820
22-Aug-14,2.97,3.10,2.97,3.04,1600
21-Aug-14,3.01,3.13,3.01,3.13,614
20-Aug-14,3.05,3.06,3.03,3.06,6068
19-Aug-14,3.10,3.10,3.05,3.10,10043
18-Aug-14,3.06,3.16,3.01,3.13,16291
15-Aug-14,3.04,3.06,3.01,3.01,14725
14-Aug-14,3.02,3.07,3.02,3.02,15513
13-Aug-14,3.02,3.02,3.02,3.02,1700
12-Aug-14,3.03,3.11,3.01,3.02,4605
11-Aug-14,2.96,3.11,2.96,3.03,13971
8-Aug-14,3.03,3.04,2.90,2.96,54867
7-Aug-14,3.04,3.04,2.99,2.99,11966
6-Aug-14,2.99,3.05,2.99,3.04,2200
5-Aug-14,2.98,3.06,2.98,2.99,4566
4-Aug-14,3.00,3.08,2.82,2.99,24558
1-Aug-14,3.05,3.11,2.81,2.93,26468
31-Jul-14,2.90,2.99,2.90,2.99,29900
30-Jul-14,2.94,2.96,2.85,2.86,2772
29-Jul-14,2.86,2.98,2.86,2.86,11002
28-Jul-14,2.95,3.01,2.86,2.95,8745
25-Jul-14,3.04,3.04,2.95,2.95,7175
24-Jul-14,3.00,3.04,3.00,3.04,24250
23-Jul-14,2.97,3.05,2.97,3.03,15635
22-Jul-14,2.97,3.08,2.93,2.96,91672
21-Jul-14,3.02,3.04,2.94,2.95,22316
18-Jul-14,2.93,3.00,2.92,2.93,7452
17-Jul-14,2.88,2.99,2.88,2.89,2249
16-Jul-14,2.80,2.98,2.75,2.89,8901
15-Jul-14,2.91,2.92,2.81,2.81,5440
14-Jul-14,2.82,2.92,2.82,2.91,2420
11-Jul-14,2.69,2.81,2.67,2.81,14105
10-Jul-14,2.96,2.96,2.79,2.81,1682
9-Jul-14,2.77,2.98,2.75,2.96,900
8-Jul-14,2.85,2.93,2.81,2.82,4306
7-Jul-14,2.90,2.93,2.79,2.81,24259
3-Jul-14,2.99,2.99,2.90,2.90,4553
2-Jul-14,2.99,3.01,2.94,2.94,7160
1-Jul-14,3.06,3.07,2.99,3.00,15021
30-Jun-14,2.94,3.04,2.94,3.01,14579
27-Jun-14,3.03,3.15,2.85,2.99,44562
26-Jun-14,2.92,2.92,2.91,2.91,2952
25-Jun-14,2.90,2.97,2.90,2.95,8310
24-Jun-14,2.90,2.99,2.90,2.92,5820
23-Jun-14,2.85,2.92,2.85,2.91,9301
20-Jun-14,2.80,2.89,2.80,2.89,5641
19-Jun-14,2.84,2.86,2.75,2.80,27350
18-Jun-14,2.69,2.79,2.69,2.79,5615
17-Jun-14,2.70,2.75,2.70,2.75,8396
16-Jun-14,2.72,2.72,2.65,2.65,3197
13-Jun-14,2.74,2.82,2.68,2.70,1817
12-Jun-14,2.75,2.79,2.70,2.77,29874
11-Jun-14,2.65,2.76,2.65,2.71,4090
10-Jun-14,2.67,2.74,2.66,2.66,5204
9-Jun-14,2.65,2.73,2.65,2.73,15882
6-Jun-14,2.67,2.70,2.62,2.66,5637
5-Jun-14,2.65,2.71,2.65,2.71,6735
4-Jun-14,2.70,2.71,2.65,2.65,1402
3-Jun-14,2.64,2.70,2.63,2.63,3553
2-Jun-14,2.67,2.73,2.60,2.63,45691
30-May-14,2.60,2.68,2.60,2.65,16726
29-May-14,2.67,2.71,2.53,2.67,60300
28-May-14,2.68,2.92,2.61,2.69,107984
27-May-14,3.00,3.00,2.57,2.75,132353
23-May-14,3.05,3.05,2.94,2.98,15372
22-May-14,3.00,3.05,3.00,3.05,24482
21-May-14,2.93,3.00,2.90,2.99,8170
20-May-14,3.01,3.01,2.87,2.99,23117
19-May-14,2.80,2.98,2.80,2.98,2653
16-May-14,2.90,2.90,2.79,2.83,7428
15-May-14,2.90,2.94,2.90,2.91,4400
14-May-14,2.87,2.94,2.85,2.90,3500
13-May-14,2.85,2.94,2.85,2.94,4621
12-May-14,2.85,2.90,2.84,2.85,1658
9-May-14,2.79,2.83,2.77,2.83,2510
8-May-14,2.76,2.91,2.76,2.76,13430
7-May-14,2.90,2.90,2.75,2.75,2865
6-May-14,2.85,2.90,2.75,2.75,3788
5-May-14,2.71,2.84,2.70,2.84,38853
2-May-14,2.63,2.82,2.57,2.75,107584
1-May-14,2.65,2.65,2.51,2.54,12464
30-Apr-14,2.69,2.73,2.60,2.60,5741
29-Apr-14,2.67,2.70,2.60,2.69,5562
28-Apr-14,2.76,2.76,2.64,2.73,33225
25-Apr-14,2.67,2.73,2.65,2.71,25910
24-Apr-14,2.62,2.79,2.60,2.66,49390
23-Apr-14,2.60,2.61,2.60,2.61,2400
22-Apr-14,2.58,2.70,2.53,2.61,32006
21-Apr-14,2.45,2.62,2.42,2.56,39706
17-Apr-14,2.31,2.54,2.31,2.39,101741
16-Apr-14,2.33,2.36,2.29,2.36,20608
15-Apr-14,2.30,2.30,2.25,2.30,403
14-Apr-14,2.30,2.32,2.29,2.29,7922
11-Apr-14,2.29,2.32,2.29,2.30,899
