Date,Open,High,Low,Close,Volume
31-Dec-14,26.99,27.30,26.62,27.12,48572
30-Dec-14,26.49,26.97,26.37,26.81,23974
29-Dec-14,26.75,26.95,26.59,26.59,44355
26-Dec-14,26.86,27.16,26.72,27.11,35658
24-Dec-14,26.60,26.87,26.45,26.81,27998
23-Dec-14,27.44,27.44,26.13,26.15,65860
22-Dec-14,27.31,27.44,26.77,27.04,40985
19-Dec-14,26.88,27.27,26.40,27.18,44502
18-Dec-14,25.90,26.47,25.90,26.44,37566
17-Dec-14,26.23,26.57,26.14,26.31,34639
16-Dec-14,26.09,26.09,25.52,25.91,92050
15-Dec-14,26.75,27.19,26.03,26.34,117604
12-Dec-14,26.28,27.59,26.08,27.02,86976
11-Dec-14,25.63,27.20,25.48,26.75,81698
10-Dec-14,26.04,26.35,25.84,25.99,77731
9-Dec-14,25.78,26.19,25.16,26.18,128520
8-Dec-14,26.00,26.94,25.94,26.60,38217
5-Dec-14,26.09,26.10,25.58,25.99,39928
4-Dec-14,26.28,26.44,25.91,26.09,19467
3-Dec-14,26.50,26.73,26.12,26.16,37695
2-Dec-14,25.48,27.04,25.42,26.47,65202
1-Dec-14,25.39,25.67,25.21,25.42,80000
28-Nov-14,25.34,25.78,25.17,25.57,19646
26-Nov-14,25.29,25.55,24.97,25.55,32770
25-Nov-14,25.56,25.67,25.16,25.51,52917
24-Nov-14,25.32,25.80,25.07,25.60,24288
21-Nov-14,25.14,25.98,25.14,25.43,98238
20-Nov-14,25.10,25.60,24.88,25.58,21697
19-Nov-14,25.10,25.49,24.70,25.38,58306
18-Nov-14,24.51,24.99,24.49,24.99,25659
17-Nov-14,24.05,24.74,24.02,24.54,44831
14-Nov-14,24.57,24.57,23.89,24.17,15627
13-Nov-14,23.84,25.34,23.80,24.75,58377
12-Nov-14,23.76,24.07,23.40,23.53,86139
11-Nov-14,23.96,24.37,23.66,24.25,34826
10-Nov-14,23.73,24.91,23.29,23.71,35632
7-Nov-14,24.39,24.39,23.20,23.74,37492
6-Nov-14,24.89,24.97,24.10,24.31,38223
5-Nov-14,24.99,25.18,24.85,25.18,131653
4-Nov-14,24.74,25.19,24.67,25.00,71721
3-Nov-14,25.63,25.63,24.96,25.28,100550
31-Oct-14,24.19,25.46,24.01,25.26,233721
30-Oct-14,24.75,25.36,24.64,25.05,78634
29-Oct-14,24.77,25.37,24.53,24.99,320811
28-Oct-14,24.85,25.79,24.82,25.50,199360
27-Oct-14,25.05,26.77,25.00,26.51,252741
24-Oct-14,25.53,27.00,24.71,27.00,177993
23-Oct-14,23.68,28.50,23.22,28.50,175095
22-Oct-14,23.20,24.00,22.20,22.90,1239722
