Date,Open,High,Low,Close,Volume
31-Dec-14,16.58,16.63,16.27,16.28,130804
30-Dec-14,16.33,16.55,16.30,16.55,120115
29-Dec-14,16.24,16.50,16.23,16.34,225090
26-Dec-14,16.18,16.32,16.13,16.20,63495
24-Dec-14,16.11,16.23,15.99,16.09,41990
23-Dec-14,16.00,16.17,15.92,16.10,173892
22-Dec-14,15.90,16.14,15.90,16.02,150076
19-Dec-14,15.95,16.07,15.80,15.98,376280
18-Dec-14,16.01,16.04,15.83,15.98,143037
17-Dec-14,15.61,16.00,15.51,15.90,155192
16-Dec-14,15.38,15.97,15.33,15.56,317891
15-Dec-14,15.51,15.74,15.44,15.44,188539
12-Dec-14,15.38,15.60,15.38,15.45,167015
11-Dec-14,15.50,15.77,15.50,15.54,118609
10-Dec-14,15.64,15.71,15.42,15.44,233017
9-Dec-14,15.18,15.69,15.18,15.68,175733
8-Dec-14,15.36,15.64,15.25,15.34,97355
5-Dec-14,15.30,15.69,15.26,15.39,177515
4-Dec-14,15.16,15.47,15.06,15.28,145047
3-Dec-14,15.17,15.36,15.00,15.20,115637
2-Dec-14,14.98,15.28,14.98,15.10,116060
1-Dec-14,15.21,15.21,14.95,14.98,117795
28-Nov-14,15.44,15.44,15.12,15.15,44592
26-Nov-14,15.45,15.46,15.29,15.40,95066
25-Nov-14,15.46,15.59,15.30,15.40,108932
24-Nov-14,15.18,15.45,15.08,15.40,173167
21-Nov-14,15.53,15.63,15.14,15.19,135597
20-Nov-14,15.13,15.39,15.06,15.38,83228
19-Nov-14,15.43,15.43,15.10,15.21,79598
18-Nov-14,15.47,15.59,15.42,15.43,138149
17-Nov-14,15.60,15.66,15.47,15.52,79557
14-Nov-14,15.83,15.83,15.59,15.60,130421
13-Nov-14,15.95,15.95,15.65,15.80,126622
12-Nov-14,15.48,15.91,15.48,15.88,109794
11-Nov-14,15.45,15.59,15.41,15.57,185574
10-Nov-14,15.45,15.51,15.35,15.47,114497
7-Nov-14,15.45,15.52,15.30,15.44,155482
6-Nov-14,15.35,15.60,15.32,15.48,164379
5-Nov-14,15.58,15.60,15.29,15.37,133581
4-Nov-14,15.45,15.60,15.20,15.44,119512
3-Nov-14,15.72,15.79,15.52,15.58,166683
31-Oct-14,15.70,15.85,15.42,15.75,260960
30-Oct-14,15.34,15.55,15.08,15.51,179771
29-Oct-14,15.38,15.50,15.26,15.36,198103
28-Oct-14,15.20,15.37,15.05,15.34,171972
27-Oct-14,15.03,15.25,14.96,15.10,132438
24-Oct-14,14.87,15.50,14.74,15.03,141849
23-Oct-14,14.66,14.86,14.54,14.63,94362
22-Oct-14,14.40,14.78,14.40,14.50,76987
21-Oct-14,14.61,14.97,14.59,14.63,60851
20-Oct-14,14.30,14.51,14.25,14.51,117490
17-Oct-14,14.80,14.81,14.30,14.31,90303
16-Oct-14,14.35,14.71,14.23,14.61,99065
15-Oct-14,14.59,14.60,14.06,14.44,183163
14-Oct-14,14.71,14.94,14.62,14.70,110125
13-Oct-14,14.27,14.75,14.21,14.57,98882
10-Oct-14,14.09,14.50,14.09,14.25,91365
9-Oct-14,14.45,14.53,14.10,14.17,165541
8-Oct-14,14.05,14.48,14.02,14.46,154230
7-Oct-14,14.20,14.20,14.03,14.05,89462
6-Oct-14,14.36,14.40,14.21,14.22,68245
3-Oct-14,14.52,14.56,14.36,14.37,68004
2-Oct-14,14.30,14.45,14.30,14.39,85111
1-Oct-14,14.37,14.50,14.25,14.25,111683
30-Sep-14,14.40,14.60,14.30,14.40,227782
29-Sep-14,14.30,14.51,14.29,14.34,100068
26-Sep-14,14.54,14.66,14.23,14.43,82341
25-Sep-14,14.55,14.68,14.47,14.53,213554
24-Sep-14,14.66,14.66,14.41,14.60,229675
23-Sep-14,14.81,14.83,14.56,14.59,93377
22-Sep-14,14.87,14.88,14.77,14.81,93718
19-Sep-14,15.05,15.19,14.86,14.93,256673
18-Sep-14,15.11,15.18,15.03,15.04,172296
17-Sep-14,15.10,15.21,15.04,15.09,126795
16-Sep-14,15.24,15.33,15.09,15.10,74044
15-Sep-14,15.40,15.40,15.19,15.23,64905
12-Sep-14,15.50,15.54,15.19,15.34,77880
11-Sep-14,15.19,15.46,15.19,15.45,70782
10-Sep-14,15.13,15.32,15.01,15.30,63561
9-Sep-14,15.33,15.38,15.09,15.15,92770
8-Sep-14,15.37,15.42,15.23,15.40,36413
5-Sep-14,15.24,15.37,15.20,15.35,52024
4-Sep-14,15.51,15.58,15.30,15.32,36279
3-Sep-14,15.71,15.71,15.37,15.43,70939
2-Sep-14,15.52,15.67,15.29,15.61,67306
29-Aug-14,15.38,15.54,15.29,15.44,58270
28-Aug-14,15.42,15.46,15.30,15.36,65683
27-Aug-14,15.57,15.57,15.43,15.47,59732
26-Aug-14,15.44,15.61,15.39,15.54,131422
25-Aug-14,15.41,15.42,15.19,15.37,119362
22-Aug-14,15.40,15.45,15.29,15.34,74017
21-Aug-14,15.23,15.45,15.12,15.38,155123
20-Aug-14,15.26,15.35,15.18,15.25,110300
19-Aug-14,15.15,15.29,15.14,15.28,137423
18-Aug-14,15.08,15.19,15.03,15.12,96289
15-Aug-14,15.21,15.23,14.81,14.98,145328
14-Aug-14,15.15,15.15,15.03,15.06,54634
13-Aug-14,15.14,15.21,15.02,15.13,58034
12-Aug-14,15.02,15.25,14.95,15.05,64759
11-Aug-14,15.10,15.20,15.05,15.11,73072
8-Aug-14,14.96,15.16,14.93,15.03,171341
7-Aug-14,15.14,15.20,14.93,14.97,71258
6-Aug-14,14.92,15.20,14.92,15.09,83868
5-Aug-14,14.92,15.07,14.88,14.99,78721
4-Aug-14,14.94,15.05,14.81,14.97,176665
1-Aug-14,15.18,15.25,14.95,15.01,123209
31-Jul-14,15.35,15.52,15.12,15.12,118922
30-Jul-14,15.47,15.67,15.37,15.45,96676
29-Jul-14,15.41,15.52,15.33,15.37,60842
28-Jul-14,15.45,15.55,15.33,15.36,154481
25-Jul-14,15.31,15.78,15.31,15.42,134926
24-Jul-14,15.45,15.58,15.20,15.49,142766
23-Jul-14,15.25,15.41,15.25,15.36,80057
22-Jul-14,15.40,15.41,15.18,15.25,72868
21-Jul-14,15.23,15.40,15.15,15.25,56837
18-Jul-14,15.17,15.41,15.16,15.36,113081
17-Jul-14,15.50,15.52,15.19,15.21,109861
16-Jul-14,15.75,15.75,15.41,15.60,152859
15-Jul-14,15.58,15.79,15.57,15.64,173466
14-Jul-14,15.63,15.80,15.58,15.66,130864
11-Jul-14,15.49,15.60,15.46,15.56,149139
10-Jul-14,15.36,15.70,15.30,15.55,243388
9-Jul-14,15.75,15.79,15.51,15.54,77098
8-Jul-14,15.80,15.80,15.61,15.68,112058
7-Jul-14,15.87,15.87,15.72,15.81,86901
3-Jul-14,15.73,15.96,15.73,15.89,42298
2-Jul-14,15.84,15.90,15.65,15.70,119228
1-Jul-14,15.80,16.22,15.80,15.88,235123
30-Jun-14,15.99,15.99,15.73,15.79,120829
27-Jun-14,15.65,16.05,15.65,15.98,298911
26-Jun-14,15.74,15.87,15.61,15.75,58746
25-Jun-14,15.66,15.77,15.60,15.75,70965
24-Jun-14,15.70,16.01,15.69,15.69,207345
23-Jun-14,15.65,15.76,15.57,15.71,154167
20-Jun-14,15.41,15.66,15.31,15.63,365059
19-Jun-14,15.50,15.50,15.29,15.32,41986
18-Jun-14,15.55,15.55,15.30,15.48,73444
17-Jun-14,15.30,15.66,15.30,15.51,99996
16-Jun-14,15.37,15.43,15.25,15.35,72846
13-Jun-14,15.39,15.49,15.29,15.40,102201
12-Jun-14,15.42,15.50,15.26,15.30,71315
11-Jun-14,15.44,15.48,15.23,15.42,116807
10-Jun-14,15.59,15.70,15.51,15.54,45334
9-Jun-14,15.64,15.76,15.38,15.72,113499
6-Jun-14,15.51,15.71,15.49,15.66,131647
5-Jun-14,15.06,15.51,14.99,15.46,92581
4-Jun-14,14.93,15.09,14.91,15.06,79394
3-Jun-14,15.03,15.15,14.85,14.96,132994
2-Jun-14,15.15,15.30,14.89,15.07,93436
30-May-14,15.33,15.42,15.10,15.12,135384
29-May-14,15.30,15.32,15.16,15.28,66441
28-May-14,15.11,15.25,15.00,15.19,112566
27-May-14,15.13,15.25,14.95,15.09,289149
23-May-14,15.00,15.08,14.98,15.05,189928
22-May-14,15.15,15.15,15.01,15.03,206355
21-May-14,15.05,15.20,14.92,15.05,338353
20-May-14,15.21,15.21,14.99,15.05,214678
19-May-14,15.05,15.30,15.03,15.18,220362
16-May-14,14.96,15.07,14.90,15.03,191303
15-May-14,15.14,15.17,14.77,15.00,215246
14-May-14,15.71,15.71,15.24,15.27,355458
13-May-14,16.05,16.05,15.70,15.74,124255
12-May-14,15.85,16.08,15.74,16.04,164167
9-May-14,15.39,15.82,15.35,15.80,97576
8-May-14,15.56,15.81,15.45,15.50,90577
7-May-14,15.67,15.70,15.53,15.62,131122
6-May-14,15.67,15.92,15.57,15.63,213170
5-May-14,15.73,15.85,15.57,15.77,137477
2-May-14,15.87,16.15,15.78,15.91,129031
1-May-14,16.30,16.30,15.90,16.03,346931
30-Apr-14,16.11,16.50,15.99,16.30,172310
29-Apr-14,16.23,16.44,16.13,16.21,213644
28-Apr-14,16.29,16.44,16.04,16.18,186824
25-Apr-14,16.38,16.50,16.15,16.28,210132
24-Apr-14,16.79,16.82,16.41,16.48,88457
23-Apr-14,16.72,16.81,16.63,16.71,104743
22-Apr-14,16.55,16.78,16.50,16.72,61762
21-Apr-14,16.64,16.68,16.47,16.53,45710
17-Apr-14,16.51,16.71,16.50,16.68,65889
16-Apr-14,16.69,16.69,16.46,16.59,57947
15-Apr-14,16.62,16.65,16.33,16.53,101948
14-Apr-14,16.68,16.82,16.44,16.59,94611
11-Apr-14,16.49,16.62,16.34,16.51,145730
10-Apr-14,16.88,16.88,16.52,16.52,92396
9-Apr-14,17.02,17.02,16.84,16.95,74866
8-Apr-14,16.81,17.13,16.81,16.95,94405
7-Apr-14,16.97,17.12,16.65,16.85,151614
4-Apr-14,17.49,17.49,16.85,16.96,106251
3-Apr-14,17.52,17.52,17.22,17.33,108825
2-Apr-14,17.45,17.50,17.22,17.48,133941
1-Apr-14,17.09,17.53,16.73,17.47,151616
31-Mar-14,16.85,17.08,16.69,16.98,168749
28-Mar-14,16.67,17.06,16.52,16.71,86890
27-Mar-14,16.99,17.09,16.59,16.69,158865
26-Mar-14,17.38,17.41,16.93,16.93,99209
25-Mar-14,17.49,17.55,17.22,17.28,91881
24-Mar-14,17.56,17.71,17.32,17.36,81984
21-Mar-14,17.76,18.23,17.26,17.48,353756
20-Mar-14,17.51,17.87,17.51,17.67,110998
19-Mar-14,17.56,17.70,17.30,17.54,54320
18-Mar-14,17.40,17.61,17.35,17.56,90907
17-Mar-14,17.21,17.40,17.07,17.32,81053
14-Mar-14,17.03,17.20,16.88,17.14,60793
13-Mar-14,17.26,17.29,16.91,17.03,101796
12-Mar-14,17.08,17.29,16.91,17.19,96315
11-Mar-14,17.35,17.35,17.00,17.15,63127
10-Mar-14,17.25,17.36,17.09,17.31,87604
7-Mar-14,17.26,17.33,16.97,17.26,121841
6-Mar-14,17.12,17.24,16.95,17.15,116908
5-Mar-14,17.10,17.38,16.77,17.11,140117
4-Mar-14,16.83,17.28,16.31,17.16,222359
3-Mar-14,16.65,16.78,16.20,16.59,78336
28-Feb-14,16.65,16.87,16.41,16.80,218562
27-Feb-14,16.50,16.63,16.33,16.59,80490
26-Feb-14,16.41,16.69,16.40,16.53,87630
25-Feb-14,16.39,16.47,16.22,16.36,89564
24-Feb-14,16.08,16.53,16.08,16.38,174939
21-Feb-14,16.05,16.21,15.95,16.11,176287
20-Feb-14,15.97,16.14,15.73,15.96,148081
19-Feb-14,16.32,16.34,15.81,15.86,107759
18-Feb-14,16.17,16.36,16.05,16.30,162853
14-Feb-14,16.04,16.18,15.87,16.14,58377
13-Feb-14,15.80,16.04,15.69,16.03,45906
12-Feb-14,15.83,16.04,15.75,15.88,145515
11-Feb-14,15.69,15.93,15.63,15.86,67704
10-Feb-14,15.63,15.92,15.46,15.65,95984
7-Feb-14,15.54,15.72,15.46,15.67,195255
6-Feb-14,15.63,15.63,15.43,15.51,151352
5-Feb-14,15.83,15.85,15.59,15.62,120459
4-Feb-14,15.98,16.04,15.79,15.88,125068
3-Feb-14,16.28,16.43,15.82,16.00,242377
31-Jan-14,16.50,16.65,16.26,16.34,179999
30-Jan-14,16.65,16.90,16.37,16.72,121494
29-Jan-14,16.69,17.45,16.51,16.57,109092
28-Jan-14,16.66,16.88,16.52,16.81,152293
27-Jan-14,16.91,17.04,16.60,16.63,105576
24-Jan-14,17.08,17.14,16.80,16.92,118099
23-Jan-14,17.25,17.34,17.04,17.15,148608
22-Jan-14,17.19,17.28,17.12,17.25,42008
21-Jan-14,16.98,17.25,16.98,17.19,73650
17-Jan-14,16.91,16.99,16.76,16.89,86729
16-Jan-14,17.13,17.13,16.84,16.88,97713
15-Jan-14,16.97,17.28,16.92,17.15,313821
14-Jan-14,16.91,17.00,16.81,16.91,99805
13-Jan-14,16.87,16.92,16.72,16.90,133562
10-Jan-14,16.61,16.89,16.55,16.88,153036
9-Jan-14,16.73,16.74,16.53,16.57,195623
8-Jan-14,16.80,16.84,16.64,16.72,135040
7-Jan-14,16.85,16.92,16.72,16.84,71740
6-Jan-14,16.78,16.85,16.62,16.75,112968
3-Jan-14,16.69,16.82,16.64,16.70,82095
2-Jan-14,16.86,16.87,16.62,16.68,58446
31-Dec-13,16.96,17.01,16.85,16.92,76307
30-Dec-13,17.03,17.03,16.92,16.94,40040
27-Dec-13,17.07,17.09,16.83,17.07,56710
26-Dec-13,17.10,17.15,16.99,16.99,67507
24-Dec-13,17.10,17.13,16.93,17.08,56828
23-Dec-13,16.91,17.10,16.80,17.06,115770
20-Dec-13,16.70,16.93,16.67,16.80,396822
19-Dec-13,16.72,16.75,16.57,16.62,52181
18-Dec-13,16.46,16.75,16.27,16.72,85474
17-Dec-13,16.55,16.55,16.26,16.48,84389
16-Dec-13,16.25,16.67,16.24,16.53,139046
13-Dec-13,16.35,16.51,16.14,16.22,97115
12-Dec-13,16.22,16.40,16.16,16.28,64003
11-Dec-13,16.29,16.38,16.08,16.24,105031
10-Dec-13,16.45,16.52,16.17,16.24,110383
9-Dec-13,16.67,16.67,16.30,16.46,133379
6-Dec-13,16.55,16.75,16.40,16.62,88822
5-Dec-13,16.25,16.38,16.14,16.37,66066
4-Dec-13,16.36,16.45,16.10,16.24,107261
3-Dec-13,16.48,16.67,16.28,16.38,57510
2-Dec-13,16.82,16.82,16.54,16.55,111055
29-Nov-13,16.86,17.03,16.76,16.82,60753
27-Nov-13,16.58,16.80,16.53,16.78,167992
26-Nov-13,16.73,16.87,16.51,16.55,225599
25-Nov-13,16.52,16.82,16.21,16.72,157398
22-Nov-13,16.45,16.56,16.22,16.49,184247
21-Nov-13,16.29,16.56,16.22,16.49,126380
20-Nov-13,16.32,16.37,16.09,16.26,205946
19-Nov-13,16.30,16.38,16.06,16.24,122286
18-Nov-13,16.33,16.48,16.09,16.24,64114
15-Nov-13,16.25,16.28,15.90,16.25,102363
14-Nov-13,16.31,16.41,16.15,16.28,56290
13-Nov-13,16.27,16.39,16.17,16.35,132443
12-Nov-13,16.29,16.42,16.14,16.34,65105
11-Nov-13,16.53,16.60,16.29,16.38,127938
8-Nov-13,16.13,16.68,16.13,16.60,90826
7-Nov-13,16.27,16.32,16.12,16.15,78337
6-Nov-13,16.36,16.40,16.28,16.39,78140
5-Nov-13,16.22,16.40,16.16,16.31,54182
4-Nov-13,16.24,16.40,16.05,16.34,109082
1-Nov-13,16.33,16.42,16.09,16.16,172308
31-Oct-13,16.47,16.51,16.32,16.38,130896
30-Oct-13,16.34,16.64,16.11,16.51,120334
29-Oct-13,16.59,16.73,16.08,16.36,163541
28-Oct-13,16.91,17.00,16.06,16.60,209452
25-Oct-13,17.07,17.13,16.90,17.12,123145
24-Oct-13,16.99,17.33,16.95,17.01,114372
23-Oct-13,16.93,17.11,16.93,16.99,95185
22-Oct-13,17.22,17.36,16.94,16.99,131056
21-Oct-13,17.34,17.35,17.14,17.14,131970
18-Oct-13,17.25,17.43,16.90,17.30,167650
17-Oct-13,16.97,17.12,16.76,17.08,111096
16-Oct-13,16.89,17.18,16.78,16.97,112999
15-Oct-13,16.82,16.91,16.78,16.81,61157
14-Oct-13,16.63,16.88,16.60,16.83,66645
11-Oct-13,16.41,16.74,16.34,16.67,151899
10-Oct-13,16.33,16.50,16.32,16.45,123691
9-Oct-13,16.11,16.31,16.09,16.16,154227
8-Oct-13,16.11,16.21,16.03,16.09,79058
7-Oct-13,16.25,16.31,16.14,16.15,90557
4-Oct-13,16.39,16.41,16.37,16.38,85702
3-Oct-13,16.56,16.58,16.42,16.44,99546
2-Oct-13,16.72,16.80,16.56,16.56,185606
1-Oct-13,16.60,16.86,16.51,16.83,71526
30-Sep-13,16.26,16.72,16.08,16.65,132545
27-Sep-13,16.38,16.59,16.08,16.41,54384
26-Sep-13,16.63,16.64,16.40,16.50,62087
25-Sep-13,16.73,16.95,15.71,16.55,115449
24-Sep-13,16.50,16.75,16.50,16.66,120759
23-Sep-13,16.71,16.76,16.48,16.52,138156
20-Sep-13,16.58,16.88,16.58,16.77,212251
19-Sep-13,16.73,16.73,16.42,16.57,77063
18-Sep-13,16.70,16.95,16.54,16.73,84010
17-Sep-13,16.54,16.74,16.38,16.73,67259
16-Sep-13,16.65,16.67,16.45,16.56,110798
13-Sep-13,16.23,16.47,16.15,16.46,78697
12-Sep-13,16.40,16.45,16.14,16.15,101713
11-Sep-13,16.46,16.48,16.35,16.37,94979
10-Sep-13,16.52,16.53,16.36,16.50,100825
9-Sep-13,16.34,16.49,16.25,16.46,119569
6-Sep-13,16.49,16.49,16.08,16.25,308666
5-Sep-13,16.19,16.47,16.15,16.42,138302
4-Sep-13,16.07,16.28,16.04,16.13,115640
3-Sep-13,16.07,16.22,15.89,16.10,191981
30-Aug-13,16.14,16.16,15.88,15.92,160409
29-Aug-13,16.03,16.20,16.02,16.14,75084
28-Aug-13,16.09,16.20,15.97,16.09,84252
27-Aug-13,16.35,16.46,16.02,16.06,268219
26-Aug-13,16.75,16.75,16.49,16.51,163293
23-Aug-13,16.69,16.80,16.40,16.76,135259
22-Aug-13,16.55,16.94,16.55,16.70,59990
21-Aug-13,16.68,16.75,16.41,16.52,86127
20-Aug-13,16.51,16.91,16.40,16.76,98144
19-Aug-13,16.73,16.73,16.52,16.53,68139
16-Aug-13,16.71,16.89,16.62,16.75,115206
15-Aug-13,16.86,16.97,16.67,16.79,165468
14-Aug-13,17.12,17.32,17.01,17.05,98173
13-Aug-13,17.40,17.40,16.78,17.16,88519
12-Aug-13,17.17,17.30,17.17,17.30,74312
9-Aug-13,17.30,17.35,17.17,17.27,63312
8-Aug-13,17.52,17.53,17.26,17.30,55600
7-Aug-13,17.44,17.54,17.39,17.46,48599
6-Aug-13,17.55,17.57,17.31,17.49,91722
5-Aug-13,17.73,17.80,17.47,17.60,152208
2-Aug-13,17.75,17.81,17.60,17.75,147441
1-Aug-13,17.64,17.80,17.56,17.78,179894
31-Jul-13,17.50,17.68,17.50,17.55,179318
30-Jul-13,17.25,17.60,17.17,17.50,282977
29-Jul-13,17.91,17.91,17.66,17.85,104624
26-Jul-13,17.90,17.92,17.50,17.90,92403
25-Jul-13,17.55,17.88,17.50,17.74,85558
24-Jul-13,17.70,17.88,17.53,17.58,81712
23-Jul-13,17.83,17.91,17.52,17.64,91361
22-Jul-13,17.56,17.86,17.35,17.77,87028
19-Jul-13,17.45,17.77,17.41,17.67,86850
18-Jul-13,17.19,17.51,16.95,17.51,80820
17-Jul-13,17.19,17.28,17.09,17.19,61373
