Date,Open,High,Low,Close,Volume
31-Dec-14,15.84,16.40,15.77,16.11,822291
30-Dec-14,15.72,15.97,15.71,15.78,280842
29-Dec-14,15.70,15.76,15.54,15.73,165035
26-Dec-14,15.58,15.80,15.40,15.68,224405
24-Dec-14,15.25,15.69,15.18,15.54,212855
23-Dec-14,16.10,16.15,15.12,15.16,660369
22-Dec-14,16.22,16.53,15.82,16.05,437280
19-Dec-14,15.72,16.28,15.48,16.24,1657687
18-Dec-14,15.51,15.82,15.36,15.72,808906
17-Dec-14,14.75,15.27,14.58,15.26,736909
16-Dec-14,14.67,15.22,14.38,14.75,779154
15-Dec-14,15.26,15.29,14.70,14.72,984390
12-Dec-14,15.21,15.35,14.74,15.15,869393
11-Dec-14,15.53,15.84,15.27,15.42,922106
10-Dec-14,16.63,16.64,15.24,15.52,1248894
9-Dec-14,15.76,16.50,15.71,16.37,1162745
8-Dec-14,16.04,16.44,15.79,15.92,629495
5-Dec-14,15.99,16.14,15.80,16.04,371625
4-Dec-14,16.05,16.08,15.72,15.92,411724
3-Dec-14,16.08,16.25,15.79,16.07,711293
2-Dec-14,15.33,16.07,15.33,16.04,1364103
1-Dec-14,15.49,15.60,15.20,15.53,901279
28-Nov-14,15.79,15.91,15.47,15.49,247947
26-Nov-14,15.57,15.77,15.45,15.74,589171
25-Nov-14,15.59,15.68,15.19,15.53,777632
24-Nov-14,15.47,15.68,15.37,15.59,893448
21-Nov-14,15.44,15.50,15.12,15.46,702800
20-Nov-14,15.11,15.32,15.03,15.17,438162
19-Nov-14,15.45,15.46,15.16,15.19,474448
18-Nov-14,15.30,15.50,15.28,15.41,1135639
17-Nov-14,15.03,15.50,14.92,15.33,1244437
14-Nov-14,14.76,15.01,14.59,15.00,1020738
13-Nov-14,14.64,14.83,14.61,14.78,928209
12-Nov-14,14.30,14.72,14.29,14.65,600646
11-Nov-14,14.58,14.58,14.17,14.42,599171
10-Nov-14,14.19,14.55,14.00,14.55,874727
7-Nov-14,14.83,14.91,14.17,14.27,1401298
6-Nov-14,15.22,15.81,14.85,14.91,1655785
5-Nov-14,15.43,15.50,14.69,14.92,857955
4-Nov-14,15.66,15.74,15.04,15.32,1082864
3-Nov-14,15.40,15.67,15.23,15.63,1492567
31-Oct-14,15.70,16.00,15.21,15.40,1167808
30-Oct-14,15.26,15.55,15.15,15.34,735453
29-Oct-14,15.50,15.64,15.19,15.30,611086
28-Oct-14,15.23,15.50,15.11,15.44,858649
27-Oct-14,15.03,15.18,14.82,15.08,685767
24-Oct-14,15.22,15.25,15.03,15.10,718904
23-Oct-14,15.12,15.70,14.97,15.22,1477266
22-Oct-14,14.86,15.07,14.71,14.88,562875
21-Oct-14,14.93,14.97,14.59,14.86,594403
20-Oct-14,14.40,14.89,14.40,14.71,492273
17-Oct-14,14.86,14.95,14.38,14.49,688801
16-Oct-14,14.08,14.85,14.07,14.62,793837
15-Oct-14,13.95,14.38,13.55,14.30,709310
14-Oct-14,14.27,14.57,13.92,14.22,601329
13-Oct-14,14.16,14.67,13.86,14.05,584216
10-Oct-14,14.11,14.67,14.02,14.13,654213
9-Oct-14,14.93,15.00,14.17,14.18,940856
8-Oct-14,14.56,14.98,14.18,14.98,847657
7-Oct-14,14.69,14.90,14.27,14.59,1147602
6-Oct-14,15.37,15.45,14.79,14.80,942570
3-Oct-14,15.43,15.44,15.20,15.35,1016758
2-Oct-14,15.16,15.40,15.04,15.23,1067268
1-Oct-14,15.14,15.27,14.68,15.16,1426381
30-Sep-14,15.22,15.49,15.10,15.19,1424257
29-Sep-14,15.00,15.32,14.82,15.22,1010722
26-Sep-14,15.12,15.30,15.01,15.21,517441
25-Sep-14,15.27,15.28,14.94,15.02,986126
24-Sep-14,14.91,15.36,14.86,15.27,923104
23-Sep-14,14.96,15.25,14.68,14.92,1078927
22-Sep-14,14.67,15.07,14.48,15.03,1098168
19-Sep-14,15.00,15.13,14.67,14.72,2122093
18-Sep-14,15.15,15.19,14.86,14.96,879722
17-Sep-14,14.91,15.14,14.77,15.03,1081495
16-Sep-14,14.31,14.95,14.25,14.91,1110496
15-Sep-14,14.53,14.61,14.08,14.32,633742
12-Sep-14,14.66,14.67,14.33,14.57,730868
11-Sep-14,14.11,14.68,14.09,14.59,2280157
10-Sep-14,14.06,14.24,13.84,14.19,1160794
9-Sep-14,13.90,14.24,13.90,14.12,1792650
8-Sep-14,13.97,14.15,13.79,13.97,1824224
5-Sep-14,13.86,14.16,13.47,13.95,2734540
4-Sep-14,13.89,14.09,13.84,13.86,3766632
3-Sep-14,14.78,14.90,13.77,13.99,4285577
2-Sep-14,15.32,15.50,15.15,15.31,966498
29-Aug-14,15.34,15.44,15.13,15.35,544693
28-Aug-14,15.44,15.47,15.07,15.27,644895
27-Aug-14,15.09,15.51,14.97,15.49,1074586
26-Aug-14,15.00,15.25,14.86,15.10,1225046
25-Aug-14,14.92,15.24,14.82,15.01,1192757
22-Aug-14,14.56,14.89,14.40,14.80,714222
21-Aug-14,14.79,14.98,14.48,14.57,615646
20-Aug-14,14.75,15.06,14.42,14.75,1406211
19-Aug-14,13.17,15.11,13.16,14.94,6382571
18-Aug-14,12.86,13.19,12.75,13.16,947502
15-Aug-14,12.48,12.74,12.24,12.73,735299
14-Aug-14,12.30,12.46,12.20,12.36,332084
13-Aug-14,12.28,12.41,12.14,12.36,430196
12-Aug-14,12.36,12.51,12.20,12.24,864823
11-Aug-14,12.04,12.64,12.04,12.39,659164
8-Aug-14,12.06,12.24,11.88,12.00,922074
7-Aug-14,11.88,12.58,11.79,11.99,1502564
6-Aug-14,11.23,11.40,10.92,11.21,1149102
5-Aug-14,10.94,11.38,10.91,11.37,952398
4-Aug-14,10.85,11.07,10.49,11.00,910988
1-Aug-14,9.99,10.81,9.85,10.80,1587478
31-Jul-14,10.82,10.92,9.93,9.95,1354387
30-Jul-14,10.81,11.30,10.81,10.95,1052820
29-Jul-14,11.11,11.26,10.69,10.69,1335374
28-Jul-14,11.53,11.69,10.99,11.04,876805
25-Jul-14,11.68,11.78,11.53,11.74,348533
24-Jul-14,11.54,11.95,11.45,11.77,701044
23-Jul-14,11.70,11.98,11.47,11.52,862891
22-Jul-14,11.50,11.92,11.50,11.73,434924
21-Jul-14,11.35,11.54,11.18,11.46,547359
18-Jul-14,11.48,11.64,11.34,11.41,766653
17-Jul-14,11.73,11.86,11.41,11.52,1114041
16-Jul-14,12.17,12.23,11.72,11.83,911932
15-Jul-14,13.07,13.07,12.09,12.09,1112314
14-Jul-14,13.14,13.26,12.97,13.08,379072
11-Jul-14,13.37,13.38,12.83,12.96,524056
10-Jul-14,13.42,13.48,13.02,13.40,679389
9-Jul-14,12.99,13.44,12.84,13.34,545995
8-Jul-14,13.26,13.35,12.87,12.99,757235
7-Jul-14,14.07,14.09,13.15,13.26,1019458
3-Jul-14,14.13,14.26,14.00,14.19,341348
2-Jul-14,14.25,14.27,13.75,14.11,1151055
1-Jul-14,13.99,14.49,13.91,14.30,8687090
30-Jun-14,13.83,14.07,13.79,13.90,2343783
27-Jun-14,13.19,13.28,13.06,13.23,368540
26-Jun-14,13.51,13.51,13.22,13.29,307464
25-Jun-14,13.03,13.55,13.00,13.53,387082
24-Jun-14,13.50,13.58,13.07,13.13,579308
23-Jun-14,13.25,13.50,13.21,13.46,680896
20-Jun-14,13.30,13.56,13.21,13.25,3357205
19-Jun-14,13.41,13.58,12.98,13.30,480635
18-Jun-14,13.06,13.49,12.83,13.35,954610
17-Jun-14,13.09,13.30,12.84,13.00,925510
16-Jun-14,13.25,13.71,12.79,13.17,809956
13-Jun-14,13.31,13.43,13.20,13.33,681494
12-Jun-14,13.11,13.42,13.01,13.21,840428
11-Jun-14,12.81,13.22,12.64,13.22,484992
10-Jun-14,12.81,12.88,12.50,12.85,456025
