Date,Open,High,Low,Close,Volume
31-Dec-14,9.19,9.45,9.12,9.29,85349
30-Dec-14,9.23,9.31,9.12,9.19,33391
29-Dec-14,9.04,9.39,9.00,9.28,91719
26-Dec-14,9.15,9.37,9.02,9.07,87142
24-Dec-14,9.01,9.18,9.01,9.15,39709
23-Dec-14,8.95,9.14,8.82,9.00,82241
22-Dec-14,8.65,8.95,8.60,8.92,89366
19-Dec-14,8.48,8.76,8.42,8.71,412504
18-Dec-14,8.42,8.57,8.27,8.51,111950
17-Dec-14,8.12,8.34,7.97,8.30,119546
16-Dec-14,7.85,8.19,7.78,8.11,165224
15-Dec-14,7.98,8.07,7.93,7.93,97854
12-Dec-14,7.86,8.04,7.80,7.90,92145
11-Dec-14,8.14,8.30,7.88,7.91,72275
10-Dec-14,8.44,8.45,8.09,8.09,98111
9-Dec-14,8.16,8.69,8.12,8.45,152254
8-Dec-14,7.84,8.30,7.84,8.26,221921
5-Dec-14,7.34,8.09,7.34,8.01,114074
4-Dec-14,7.45,7.61,7.28,7.35,99482
3-Dec-14,7.25,7.71,7.14,7.41,395226
2-Dec-14,7.26,7.50,7.19,7.25,65861
1-Dec-14,7.15,7.41,7.06,7.26,86402
28-Nov-14,7.33,7.33,7.13,7.14,43768
26-Nov-14,7.24,7.34,7.22,7.25,98767
25-Nov-14,7.50,7.53,7.22,7.22,233376
24-Nov-14,7.40,7.51,7.34,7.50,58757
21-Nov-14,7.54,7.55,7.33,7.35,60389
20-Nov-14,7.22,7.43,7.22,7.40,45645
19-Nov-14,7.39,7.39,7.15,7.23,56981
18-Nov-14,7.28,7.43,7.25,7.37,47651
17-Nov-14,7.49,7.49,7.22,7.25,64138
14-Nov-14,7.56,7.57,7.43,7.50,98019
13-Nov-14,7.57,7.62,7.48,7.54,66799
12-Nov-14,7.80,7.90,6.95,7.59,135428
11-Nov-14,7.80,7.93,7.76,7.86,49053
10-Nov-14,7.70,7.89,7.59,7.85,95033
7-Nov-14,7.88,7.97,7.62,7.72,73020
6-Nov-14,7.85,7.91,7.76,7.88,23898
5-Nov-14,7.88,7.98,7.82,7.86,31973
4-Nov-14,7.98,8.05,7.78,7.82,65989
3-Nov-14,8.26,8.35,7.96,7.97,66202
31-Oct-14,8.34,8.37,8.07,8.28,134421
30-Oct-14,7.95,8.26,7.95,8.20,129424
29-Oct-14,8.19,8.27,7.90,7.95,85863
28-Oct-14,8.03,8.36,8.03,8.19,132942
27-Oct-14,7.93,8.03,7.85,7.98,56121
24-Oct-14,7.95,8.08,7.88,8.00,58963
23-Oct-14,7.94,8.14,7.86,7.92,65115
22-Oct-14,7.96,8.01,7.74,7.87,60078
21-Oct-14,7.91,8.00,7.79,7.95,46018
20-Oct-14,7.74,7.91,7.72,7.90,73303
17-Oct-14,7.96,7.96,7.60,7.75,97412
16-Oct-14,7.76,8.09,7.75,7.82,84352
15-Oct-14,7.34,7.96,7.34,7.88,106668
14-Oct-14,7.54,7.72,7.38,7.48,100220
13-Oct-14,7.25,7.57,6.90,7.44,70511
10-Oct-14,7.36,7.52,7.25,7.26,86552
9-Oct-14,7.79,7.79,7.42,7.42,57008
8-Oct-14,7.62,7.86,7.53,7.82,69746
7-Oct-14,7.43,7.76,7.37,7.67,74267
