Date,Open,High,Low,Close,Volume
31-Dec-14,27.33,27.79,27.06,27.57,146414
30-Dec-14,27.52,27.70,27.17,27.29,64645
29-Dec-14,27.69,27.88,27.30,27.54,84424
26-Dec-14,27.67,27.90,27.31,27.74,88717
24-Dec-14,27.39,27.81,27.21,27.55,41594
23-Dec-14,27.50,27.93,27.10,27.26,119931
22-Dec-14,26.66,27.40,26.35,27.37,117367
19-Dec-14,26.66,26.91,26.20,26.65,694761
18-Dec-14,27.20,27.40,26.53,26.72,146025
17-Dec-14,26.02,26.72,25.66,26.71,160174
16-Dec-14,26.38,26.72,25.99,26.02,140975
15-Dec-14,26.52,27.07,26.15,26.37,140515
12-Dec-14,26.36,26.59,26.05,26.37,185586
11-Dec-14,27.15,27.31,26.67,26.76,164244
10-Dec-14,27.51,27.96,26.67,26.93,209788
9-Dec-14,26.90,27.83,26.25,27.71,174234
8-Dec-14,27.47,27.94,26.87,27.13,150633
5-Dec-14,27.32,27.62,27.20,27.61,192505
4-Dec-14,27.13,27.48,27.01,27.32,141123
3-Dec-14,27.03,27.59,27.00,27.03,247314
2-Dec-14,26.24,27.07,26.24,27.00,150105
1-Dec-14,26.58,26.76,26.15,26.31,173476
28-Nov-14,26.95,26.95,26.49,26.59,68652
26-Nov-14,26.27,26.99,26.06,26.81,173954
25-Nov-14,26.50,26.54,25.98,26.20,329592
24-Nov-14,26.28,26.59,26.06,26.46,167318
21-Nov-14,26.55,26.55,25.90,26.30,197177
20-Nov-14,25.58,26.36,25.47,26.11,124641
19-Nov-14,26.26,26.26,25.47,25.69,187687
18-Nov-14,25.76,26.36,25.76,26.20,175543
17-Nov-14,26.23,26.42,25.57,25.65,180525
14-Nov-14,25.86,26.39,25.51,26.34,181694
13-Nov-14,26.50,26.72,25.77,25.77,169494
12-Nov-14,25.99,26.50,25.97,26.39,156774
11-Nov-14,26.10,26.36,25.90,26.15,265762
10-Nov-14,25.85,26.25,25.82,26.04,288487
7-Nov-14,25.60,26.17,24.89,25.88,376602
6-Nov-14,26.39,26.46,25.85,26.22,409201
5-Nov-14,25.98,26.58,25.64,26.42,231030
4-Nov-14,25.86,26.03,25.62,25.86,277974
3-Nov-14,25.83,26.19,25.78,25.89,404063
31-Oct-14,25.00,26.10,24.95,25.83,400864
30-Oct-14,24.51,24.59,23.85,24.38,229136
29-Oct-14,24.51,24.59,24.01,24.58,431667
28-Oct-14,23.91,24.59,23.67,24.37,244132
