Date,Open,High,Low,Close,Volume
31-Dec-14,1.16,1.22,1.12,1.16,547529
30-Dec-14,1.13,1.17,1.12,1.13,370955
29-Dec-14,1.16,1.18,1.11,1.13,335212
26-Dec-14,1.17,1.21,1.16,1.18,237481
24-Dec-14,1.17,1.18,1.13,1.17,245494
23-Dec-14,1.23,1.23,1.13,1.16,447369
22-Dec-14,1.27,1.27,1.21,1.23,177944
19-Dec-14,1.25,1.27,1.19,1.26,289609
18-Dec-14,1.30,1.30,1.21,1.25,260016
17-Dec-14,1.26,1.33,1.23,1.23,273913
16-Dec-14,1.28,1.32,1.21,1.28,247461
15-Dec-14,1.32,1.38,1.26,1.26,199874
12-Dec-14,1.35,1.35,1.28,1.33,247970
11-Dec-14,1.12,1.39,1.11,1.34,1276290
10-Dec-14,1.08,1.14,1.02,1.11,916255
9-Dec-14,1.22,1.25,0.99,1.07,1416325
8-Dec-14,1.36,1.37,1.15,1.20,812011
5-Dec-14,1.37,1.46,1.34,1.36,297976
4-Dec-14,1.53,1.55,1.32,1.36,698000
3-Dec-14,1.56,1.56,1.53,1.53,153530
2-Dec-14,1.55,1.59,1.53,1.57,138966
1-Dec-14,1.54,1.57,1.52,1.53,174661
28-Nov-14,1.55,1.60,1.52,1.57,132398
26-Nov-14,1.57,1.57,1.53,1.55,202224
25-Nov-14,1.56,1.57,1.52,1.53,78548
24-Nov-14,1.50,1.57,1.50,1.54,132705
21-Nov-14,1.57,1.57,1.50,1.52,158702
20-Nov-14,1.58,1.58,1.51,1.53,180464
19-Nov-14,1.54,1.57,1.53,1.57,216244
18-Nov-14,1.55,1.58,1.51,1.58,221040
17-Nov-14,1.58,1.60,1.51,1.53,137855
14-Nov-14,1.54,1.58,1.51,1.58,218560
13-Nov-14,1.62,1.62,1.53,1.57,218715
12-Nov-14,1.61,1.64,1.54,1.63,265695
11-Nov-14,1.61,1.63,1.57,1.61,89751
10-Nov-14,1.60,1.64,1.56,1.59,229669
7-Nov-14,1.65,1.67,1.52,1.54,433575
6-Nov-14,1.72,1.85,1.53,1.64,1167021
5-Nov-14,1.83,1.91,1.75,1.78,321825
4-Nov-14,1.85,1.86,1.81,1.81,35857
3-Nov-14,1.84,1.88,1.81,1.82,104444
31-Oct-14,1.88,1.88,1.80,1.83,88362
30-Oct-14,1.81,1.88,1.81,1.86,70840
29-Oct-14,1.84,1.88,1.79,1.84,126796
28-Oct-14,1.87,1.92,1.85,1.87,84488
27-Oct-14,1.90,1.95,1.87,1.89,56960
24-Oct-14,1.90,1.96,1.86,1.93,143389
23-Oct-14,1.92,2.01,1.88,1.92,434250
22-Oct-14,1.95,1.95,1.85,1.88,69596
21-Oct-14,2.00,2.00,1.89,1.94,142874
20-Oct-14,1.90,1.94,1.88,1.93,248061
17-Oct-14,1.80,1.89,1.80,1.89,285782
16-Oct-14,1.67,1.80,1.60,1.78,152973
15-Oct-14,1.72,1.75,1.58,1.74,260085
14-Oct-14,1.68,1.70,1.60,1.65,73987
13-Oct-14,1.74,1.75,1.61,1.68,212845
10-Oct-14,1.74,1.78,1.74,1.76,208537
9-Oct-14,1.82,1.84,1.75,1.76,202567
8-Oct-14,1.80,1.82,1.79,1.82,243117
7-Oct-14,1.83,1.84,1.80,1.82,168394
6-Oct-14,1.85,1.89,1.79,1.83,124743
3-Oct-14,1.85,1.87,1.74,1.87,323000
2-Oct-14,1.85,1.85,1.80,1.83,94565
1-Oct-14,1.87,1.87,1.84,1.86,464215
30-Sep-14,1.80,1.85,1.77,1.84,340115
29-Sep-14,1.71,1.81,1.71,1.78,206854
26-Sep-14,1.71,1.75,1.70,1.73,293092
25-Sep-14,1.67,1.74,1.67,1.70,173620
24-Sep-14,1.69,1.72,1.66,1.69,210086
23-Sep-14,1.71,1.76,1.70,1.70,701709
22-Sep-14,1.72,1.81,1.70,1.72,311855
19-Sep-14,1.73,1.81,1.67,1.75,564224
18-Sep-14,1.75,1.76,1.69,1.72,143114
17-Sep-14,1.69,1.75,1.65,1.72,205605
16-Sep-14,1.66,1.76,1.65,1.67,280662
15-Sep-14,1.73,1.77,1.66,1.67,227329
12-Sep-14,1.68,1.77,1.64,1.75,340332
11-Sep-14,1.58,1.68,1.58,1.67,541936
10-Sep-14,1.64,1.64,1.58,1.60,539127
9-Sep-14,1.66,1.69,1.62,1.64,246327
8-Sep-14,1.69,1.71,1.67,1.68,199802
5-Sep-14,1.74,1.74,1.68,1.72,130282
4-Sep-14,1.76,1.79,1.70,1.72,259970
3-Sep-14,1.80,1.83,1.76,1.78,176648
2-Sep-14,1.83,1.86,1.78,1.80,300853
29-Aug-14,1.81,1.84,1.79,1.82,233563
28-Aug-14,1.76,1.83,1.75,1.80,251065
27-Aug-14,1.80,1.84,1.74,1.75,428757
26-Aug-14,1.84,1.86,1.79,1.79,417905
25-Aug-14,1.86,1.88,1.79,1.82,351229
22-Aug-14,1.88,1.89,1.82,1.86,295446
21-Aug-14,1.88,1.90,1.81,1.86,400984
20-Aug-14,1.75,1.88,1.72,1.87,862698
19-Aug-14,1.74,1.79,1.72,1.75,1153693
18-Aug-14,1.69,1.73,1.66,1.67,196894
