Date,Open,High,Low,Close,Volume
31-Dec-14,13.07,13.21,12.90,12.90,33361
30-Dec-14,13.27,13.27,12.96,13.02,24334
29-Dec-14,13.08,13.46,12.99,13.23,37420
26-Dec-14,13.10,13.19,13.02,13.15,20229
24-Dec-14,12.97,13.07,12.96,13.01,19874
23-Dec-14,12.99,13.07,12.88,12.94,37178
22-Dec-14,12.96,13.14,12.82,12.96,50248
19-Dec-14,13.03,13.08,12.90,13.02,93386
18-Dec-14,13.20,13.20,12.91,13.07,64187
17-Dec-14,12.69,13.13,12.69,13.02,51384
16-Dec-14,12.91,13.06,12.69,12.70,58777
15-Dec-14,12.90,13.18,12.68,12.90,78719
12-Dec-14,12.96,13.41,12.25,12.88,38814
11-Dec-14,12.98,13.42,12.98,13.14,69361
10-Dec-14,13.35,13.38,12.81,12.94,53062
9-Dec-14,12.81,13.58,12.58,13.48,45114
8-Dec-14,13.60,13.74,12.94,12.97,47018
5-Dec-14,13.15,13.69,13.15,13.60,82079
4-Dec-14,13.17,13.24,12.87,13.17,44450
3-Dec-14,12.77,13.25,12.65,13.20,135639
2-Dec-14,12.07,12.90,12.07,12.88,34156
1-Dec-14,12.16,12.46,11.93,12.30,76291
28-Nov-14,12.39,12.55,11.96,12.22,23969
26-Nov-14,12.88,12.93,12.34,12.43,54606
25-Nov-14,12.86,13.00,12.77,12.91,130196
24-Nov-14,12.41,12.87,12.40,12.79,81715
21-Nov-14,12.60,12.60,12.30,12.42,82263
20-Nov-14,12.25,12.41,12.07,12.38,82557
19-Nov-14,12.56,12.56,12.25,12.25,55420
18-Nov-14,12.61,12.78,12.22,12.62,26578
17-Nov-14,12.75,12.91,12.55,12.62,44933
14-Nov-14,12.84,12.88,12.69,12.73,44485
13-Nov-14,13.01,13.04,12.78,12.79,46690
12-Nov-14,12.88,13.15,12.87,13.04,92868
11-Nov-14,12.52,12.94,12.45,12.90,58993
10-Nov-14,12.29,12.51,12.19,12.51,73105
7-Nov-14,12.97,12.97,12.27,12.32,48792
6-Nov-14,12.91,13.03,12.83,13.01,40851
5-Nov-14,12.97,13.20,12.87,12.91,69244
4-Nov-14,12.84,13.24,12.73,12.94,102381
3-Nov-14,12.65,12.84,12.62,12.68,73890
31-Oct-14,12.58,12.80,12.43,12.65,142088
30-Oct-14,12.51,12.60,12.33,12.38,103730
29-Oct-14,12.54,12.54,12.24,12.51,103098
28-Oct-14,12.32,12.55,12.32,12.47,122781
27-Oct-14,11.98,12.31,11.88,12.29,74876
24-Oct-14,11.91,12.16,11.78,11.98,81326
23-Oct-14,11.56,11.95,11.26,11.85,60489
22-Oct-14,10.05,11.65,9.84,11.51,138579
21-Oct-14,10.70,11.04,10.70,11.03,75261
20-Oct-14,10.28,10.74,9.84,10.66,72050
17-Oct-14,10.85,11.39,10.50,10.54,42055
16-Oct-14,10.85,11.06,10.64,10.67,49789
15-Oct-14,10.36,10.90,10.27,10.84,141707
14-Oct-14,10.34,10.68,10.26,10.50,67716
13-Oct-14,10.03,10.57,10.03,10.21,92704
10-Oct-14,10.13,10.33,9.93,10.03,55737
9-Oct-14,10.60,10.83,10.20,10.20,59109
8-Oct-14,10.28,10.68,10.17,10.64,64087
7-Oct-14,10.30,10.68,10.18,10.33,127055
6-Oct-14,10.49,10.62,10.31,10.35,49887
3-Oct-14,10.87,10.93,10.48,10.50,33700
2-Oct-14,10.51,10.89,10.51,10.75,37471
1-Oct-14,10.59,10.66,10.50,10.51,66917
30-Sep-14,10.69,10.93,10.60,10.63,82130
29-Sep-14,10.95,11.02,10.62,10.70,57344
26-Sep-14,10.98,11.08,10.78,11.04,61903
25-Sep-14,11.13,11.19,10.85,10.90,62712
24-Sep-14,11.29,11.35,11.08,11.21,50830
23-Sep-14,11.45,11.61,11.21,11.30,64450
22-Sep-14,11.53,11.77,11.30,11.52,48517
19-Sep-14,11.68,11.79,11.29,11.62,116865
18-Sep-14,11.70,11.72,11.65,11.67,36116
17-Sep-14,11.65,11.76,11.55,11.59,54861
16-Sep-14,11.71,11.83,11.54,11.68,47692
15-Sep-14,11.92,11.92,11.54,11.80,52616
12-Sep-14,12.01,12.03,11.75,11.97,63461
11-Sep-14,12.00,12.11,11.95,11.97,39269
10-Sep-14,12.08,12.17,12.00,12.12,38647
9-Sep-14,12.40,12.40,12.03,12.11,49279
8-Sep-14,12.47,12.54,12.28,12.40,59509
5-Sep-14,12.19,12.55,12.19,12.44,55872
4-Sep-14,12.46,12.46,12.25,12.26,58954
3-Sep-14,12.47,12.50,12.33,12.40,57690
2-Sep-14,12.40,12.53,12.35,12.44,77445
29-Aug-14,12.25,12.39,12.24,12.34,33324
28-Aug-14,12.29,12.33,12.16,12.24,40316
27-Aug-14,12.36,12.41,12.30,12.40,59564
26-Aug-14,12.00,12.37,12.00,12.30,97610
25-Aug-14,12.00,12.09,11.85,12.04,68936
22-Aug-14,11.83,11.93,11.68,11.88,59136
21-Aug-14,11.69,11.88,11.57,11.82,37992
20-Aug-14,11.87,11.87,11.60,11.74,52937
19-Aug-14,11.88,12.05,11.88,11.91,48936
18-Aug-14,11.77,11.98,11.68,11.91,63903
15-Aug-14,11.75,11.80,11.48,11.67,103469
14-Aug-14,11.52,11.71,11.47,11.62,27560
13-Aug-14,11.54,11.71,11.31,11.51,62485
12-Aug-14,11.64,11.64,11.41,11.56,40640
11-Aug-14,11.39,11.75,11.30,11.71,111517
8-Aug-14,11.45,11.75,11.29,11.39,111975
7-Aug-14,11.54,11.64,11.39,11.46,35856
6-Aug-14,11.41,11.85,11.26,11.54,73854
5-Aug-14,11.50,11.68,11.28,11.46,62598
4-Aug-14,11.30,11.63,11.22,11.52,105586
1-Aug-14,11.33,11.55,11.10,11.20,58393
31-Jul-14,11.57,11.74,11.07,11.30,139566
30-Jul-14,12.02,12.05,11.67,11.78,88595
29-Jul-14,12.07,12.20,11.79,11.92,79855
28-Jul-14,11.98,12.23,11.35,11.99,295785
25-Jul-14,12.74,12.85,11.47,11.97,909519
24-Jul-14,10.09,10.20,9.95,9.96,246155
23-Jul-14,10.08,10.20,9.90,10.11,79016
22-Jul-14,9.65,10.08,9.62,10.03,74578
21-Jul-14,9.72,9.83,9.64,9.79,45849
18-Jul-14,9.47,9.85,9.47,9.77,44341
17-Jul-14,9.26,9.56,9.26,9.50,103079
16-Jul-14,9.45,9.61,9.29,9.36,80784
15-Jul-14,9.33,9.48,9.18,9.38,74928
14-Jul-14,9.58,9.63,9.33,9.37,99195
11-Jul-14,9.61,9.66,9.36,9.48,73909
10-Jul-14,9.46,9.72,9.37,9.63,56211
9-Jul-14,9.76,9.86,9.70,9.70,31403
8-Jul-14,9.90,9.90,9.60,9.71,59552
7-Jul-14,10.10,10.14,9.90,9.90,46980
3-Jul-14,10.18,10.19,10.01,10.16,46961
2-Jul-14,10.14,10.18,10.11,10.15,55678
1-Jul-14,10.00,10.23,10.00,10.12,81502
30-Jun-14,10.10,10.10,9.90,10.00,85393
27-Jun-14,9.84,10.14,9.80,10.14,627583
26-Jun-14,10.07,10.07,9.81,9.92,37200
25-Jun-14,9.50,10.13,9.50,10.03,113489
24-Jun-14,9.52,9.71,9.41,9.55,268605
23-Jun-14,9.79,9.79,9.48,9.55,122197
20-Jun-14,9.90,9.90,9.75,9.80,119856
19-Jun-14,10.00,10.00,9.82,9.92,42013
18-Jun-14,10.23,10.23,9.82,10.04,98191
17-Jun-14,10.19,10.30,10.10,10.24,94791
16-Jun-14,10.01,10.25,10.00,10.18,55112
13-Jun-14,10.00,10.01,9.55,9.99,90020
12-Jun-14,10.00,10.00,9.87,9.99,138015
11-Jun-14,10.08,10.08,9.91,9.99,105466
10-Jun-14,10.05,10.19,9.87,10.11,90477
9-Jun-14,9.63,10.15,9.56,10.12,120721
6-Jun-14,9.76,9.82,9.62,9.71,77152
5-Jun-14,9.35,9.76,9.28,9.69,121725
4-Jun-14,9.28,9.39,9.08,9.31,166260
3-Jun-14,9.25,9.35,9.19,9.30,150657
2-Jun-14,9.28,9.41,9.06,9.24,66531
30-May-14,9.28,9.40,9.10,9.28,123884
29-May-14,9.31,9.41,9.13,9.23,49868
28-May-14,9.41,9.53,9.23,9.27,56695
27-May-14,9.43,9.56,9.35,9.41,57657
23-May-14,9.00,9.36,8.90,9.31,178648
22-May-14,8.97,9.12,8.83,9.02,73501
21-May-14,9.00,9.14,8.86,8.97,78198
20-May-14,8.95,9.12,8.82,8.96,141685
19-May-14,8.78,9.14,8.78,9.00,96416
16-May-14,8.84,8.92,8.62,8.88,77249
15-May-14,8.80,8.99,8.61,8.82,167756
14-May-14,8.87,9.10,8.79,8.87,166575
13-May-14,9.13,9.22,8.83,8.87,192424
12-May-14,9.13,9.30,9.01,9.16,397290
9-May-14,8.80,9.10,8.71,9.01,328980
8-May-14,9.36,9.38,8.68,8.80,382308
7-May-14,9.44,10.20,9.29,9.39,1034108
6-May-14,12.71,12.87,12.54,12.73,165741
5-May-14,12.72,12.97,12.68,12.82,51131
2-May-14,12.99,13.11,12.68,12.81,63511
1-May-14,12.82,13.06,12.67,12.91,105128
30-Apr-14,12.72,12.95,12.72,12.84,84305
29-Apr-14,12.96,13.17,12.65,12.78,94757
28-Apr-14,13.15,13.47,12.68,12.93,96461
25-Apr-14,13.23,13.23,12.79,13.08,153850
24-Apr-14,13.53,13.53,13.15,13.33,62625
23-Apr-14,13.49,13.49,13.18,13.38,115141
22-Apr-14,13.21,13.57,13.04,13.50,121112
21-Apr-14,12.93,13.18,12.88,13.15,93483
17-Apr-14,12.81,13.00,12.68,12.95,58204
16-Apr-14,12.97,12.97,12.63,12.89,49522
15-Apr-14,12.79,12.96,12.35,12.81,95274
14-Apr-14,12.49,12.86,12.24,12.74,89935
11-Apr-14,12.59,12.62,12.23,12.45,119444
10-Apr-14,13.10,13.18,12.60,12.73,111734
9-Apr-14,12.84,13.12,12.78,13.10,59479
8-Apr-14,12.63,12.90,12.41,12.76,89677
7-Apr-14,12.59,12.74,12.11,12.57,147712
4-Apr-14,13.43,13.49,12.40,12.64,141121
3-Apr-14,13.82,13.82,13.32,13.37,57417
2-Apr-14,13.95,14.10,13.62,13.81,53519
1-Apr-14,13.99,14.05,13.84,13.93,97948
31-Mar-14,13.51,14.03,13.51,13.93,110546
28-Mar-14,13.64,13.90,13.38,13.43,62722
27-Mar-14,13.50,13.72,13.16,13.57,84202
26-Mar-14,14.08,14.08,13.44,13.53,145464
25-Mar-14,13.84,14.19,13.83,13.97,163249
24-Mar-14,14.06,14.10,13.30,13.69,120027
21-Mar-14,14.18,14.33,13.81,14.06,110747
20-Mar-14,14.06,14.48,13.92,14.17,82744
19-Mar-14,14.28,14.45,13.88,14.04,87441
18-Mar-14,13.93,14.29,13.93,14.27,125389
17-Mar-14,13.84,14.53,13.80,13.93,323995
14-Mar-14,13.78,14.00,13.36,13.55,196263
13-Mar-14,14.35,14.46,13.86,13.99,73038
12-Mar-14,14.27,14.47,14.11,14.40,45998
11-Mar-14,14.50,14.68,14.16,14.39,103789
10-Mar-14,15.13,15.22,14.33,14.50,133870
7-Mar-14,15.24,15.51,15.00,15.22,72522
6-Mar-14,15.61,15.61,15.07,15.19,57151
5-Mar-14,15.68,15.80,15.25,15.49,150291
4-Mar-14,14.84,15.84,14.84,15.64,400008
3-Mar-14,14.42,14.51,14.07,14.39,220422
28-Feb-14,14.90,14.98,14.51,14.61,109886
27-Feb-14,14.54,14.95,14.54,14.86,71840
26-Feb-14,14.84,15.23,14.46,14.63,118083
25-Feb-14,14.70,15.05,14.60,14.87,177827
24-Feb-14,13.82,14.69,13.80,14.63,176530
21-Feb-14,13.75,13.99,13.00,13.67,401991
20-Feb-14,13.66,14.44,13.50,14.16,143634
19-Feb-14,13.54,13.93,13.51,13.57,72613
18-Feb-14,13.75,13.96,13.55,13.63,90226
14-Feb-14,13.41,14.09,13.36,13.75,93702
