Date,Open,High,Low,Close,Volume
31-Dec-14,6.21,6.75,6.21,6.48,22067
30-Dec-14,7.02,7.11,6.33,6.33,75608
29-Dec-14,6.45,6.87,6.45,6.78,21783
26-Dec-14,6.36,6.60,6.36,6.39,21983
24-Dec-14,5.91,6.38,5.79,6.33,21710
23-Dec-14,6.00,6.45,5.88,5.88,71499
22-Dec-14,6.18,6.78,6.09,6.09,68542
19-Dec-14,6.45,6.45,6.09,6.09,37560
18-Dec-14,6.24,6.51,6.24,6.33,213026
17-Dec-14,6.15,6.51,6.15,6.27,8471
16-Dec-14,6.51,6.51,6.03,6.15,62986
15-Dec-14,6.15,6.24,6.00,6.15,19696
12-Dec-14,6.09,6.15,5.85,6.00,14071
11-Dec-14,6.15,6.18,6.03,6.06,7293
10-Dec-14,6.18,6.34,5.94,6.00,18461
9-Dec-14,6.45,6.45,6.00,6.06,6899
8-Dec-14,6.72,6.86,6.06,6.36,26514
5-Dec-14,7.05,7.05,6.72,6.72,6073
4-Dec-14,6.99,7.21,6.93,6.93,10454
3-Dec-14,6.87,7.14,6.81,6.99,11881
2-Dec-14,7.17,7.18,6.72,6.84,19206
1-Dec-14,7.68,7.68,6.96,7.17,28918
28-Nov-14,8.52,8.56,7.47,8.02,15239
26-Nov-14,8.88,8.88,8.49,8.61,4619
25-Nov-14,9.03,9.21,8.64,8.97,6796
24-Nov-14,8.94,9.21,8.94,9.00,4056
21-Nov-14,9.15,9.30,8.97,9.00,5567
20-Nov-14,9.06,9.18,8.88,9.12,5467
19-Nov-14,9.30,9.30,8.88,9.12,12021
18-Nov-14,9.24,9.33,9.09,9.24,11227
17-Nov-14,8.61,9.39,8.61,9.36,17108
14-Nov-14,8.76,9.39,8.37,9.36,6386
13-Nov-14,8.82,9.33,8.28,9.30,12596
12-Nov-14,9.60,9.60,9.03,9.39,13288
11-Nov-14,9.21,9.69,9.18,9.69,35200
10-Nov-14,9.30,9.54,8.85,9.30,61747
7-Nov-14,9.39,9.39,8.79,9.15,67823
6-Nov-14,9.48,10.02,9.15,9.33,184619
5-Nov-14,9.15,9.51,9.15,9.48,8112
4-Nov-14,9.51,9.51,9.00,9.18,36852
3-Nov-14,9.42,9.66,9.18,9.60,30819
31-Oct-14,9.60,9.66,9.24,9.42,42295
30-Oct-14,9.48,9.72,9.45,9.60,9875
29-Oct-14,9.60,9.72,9.54,9.54,19076
28-Oct-14,9.60,9.66,9.54,9.63,26122
27-Oct-14,9.81,10.22,8.58,9.54,128185
24-Oct-14,8.82,10.20,8.82,9.81,30322
23-Oct-14,10.14,10.35,10.05,10.17,78933
22-Oct-14,10.32,10.50,10.08,10.08,25309
21-Oct-14,10.38,10.56,10.38,10.47,47073
20-Oct-14,10.47,10.68,10.29,10.35,34808
17-Oct-14,10.80,11.07,10.35,10.56,53339
16-Oct-14,10.59,10.95,10.59,10.62,31196
15-Oct-14,10.74,10.89,10.56,10.65,39916
14-Oct-14,10.46,10.90,10.20,10.83,30970
13-Oct-14,10.50,10.65,10.29,10.53,12783
10-Oct-14,10.14,10.74,10.14,10.53,21144
9-Oct-14,9.48,10.35,9.48,10.22,79692
8-Oct-14,10.29,10.40,9.54,10.02,20415
7-Oct-14,10.65,10.65,9.96,10.35,14560
6-Oct-14,10.86,10.92,10.59,10.74,6660
3-Oct-14,11.10,11.46,10.83,10.88,5467
2-Oct-14,10.95,11.43,10.54,11.04,11665
1-Oct-14,11.55,11.76,11.07,11.10,5772
30-Sep-14,11.67,11.76,11.40,11.55,16285
29-Sep-14,12.33,12.48,12.00,12.15,12820
26-Sep-14,12.54,12.54,12.36,12.51,7019
25-Sep-14,12.39,12.39,12.09,12.39,5595
24-Sep-14,12.21,12.54,11.91,12.51,16658
23-Sep-14,12.42,12.42,12.06,12.21,7008
22-Sep-14,11.58,12.39,11.58,12.39,19038
19-Sep-14,11.70,11.91,11.34,11.91,10418
18-Sep-14,11.49,11.70,11.31,11.70,6704
17-Sep-14,11.24,11.61,11.24,11.55,11095
16-Sep-14,11.13,11.25,11.13,11.13,4771
15-Sep-14,11.28,11.55,11.13,11.13,5038
12-Sep-14,11.79,11.79,11.25,11.25,7347
11-Sep-14,11.37,11.82,11.31,11.82,8200
10-Sep-14,11.82,11.82,11.46,11.49,3605
9-Sep-14,11.25,12.18,11.25,11.58,28911
8-Sep-14,11.52,11.52,11.25,11.25,7395
5-Sep-14,12.24,12.24,11.49,11.55,5360
4-Sep-14,12.00,12.24,11.70,11.79,9171
3-Sep-14,12.12,12.33,12.00,12.03,11417
2-Sep-14,11.94,12.39,11.94,12.09,14743
29-Aug-14,11.43,12.21,11.40,12.00,14054
28-Aug-14,11.31,11.64,11.28,11.58,7522
27-Aug-14,11.43,11.52,11.40,11.43,3969
