Date,Open,High,Low,Close,Volume
31-Dec-14,5.55,5.55,5.42,5.46,79659
30-Dec-14,5.43,5.54,5.43,5.53,60627
29-Dec-14,5.40,5.50,5.40,5.49,69308
26-Dec-14,5.38,5.42,5.27,5.38,69407
24-Dec-14,5.27,5.38,5.20,5.33,99732
23-Dec-14,5.26,5.37,5.09,5.24,111595
22-Dec-14,5.16,5.39,4.96,5.25,210274
19-Dec-14,5.37,5.37,4.91,5.20,365794
18-Dec-14,5.20,5.48,5.16,5.38,141223
17-Dec-14,5.00,5.17,4.91,5.16,121826
16-Dec-14,5.00,5.12,4.92,5.00,117424
15-Dec-14,4.90,5.09,4.88,4.98,89843
12-Dec-14,4.84,4.96,4.81,4.89,53211
11-Dec-14,5.00,5.15,4.89,4.92,46305
10-Dec-14,5.05,5.15,4.93,4.96,117980
9-Dec-14,4.85,5.08,4.62,5.08,244768
8-Dec-14,5.01,5.09,4.91,4.91,69224
5-Dec-14,4.99,5.15,4.99,5.04,138816
4-Dec-14,5.13,5.21,4.96,5.00,157056
3-Dec-14,5.10,5.29,5.05,5.11,88469
2-Dec-14,4.92,5.16,4.92,5.11,57049
1-Dec-14,5.13,5.18,4.90,4.93,158616
28-Nov-14,5.23,5.31,5.16,5.17,49542
26-Nov-14,5.30,5.35,5.22,5.25,48726
25-Nov-14,5.29,5.39,5.18,5.31,60278
24-Nov-14,5.32,5.36,5.23,5.30,104359
21-Nov-14,5.25,5.38,4.90,5.19,161559
20-Nov-14,4.93,5.12,4.93,5.10,103575
19-Nov-14,5.01,5.02,4.90,4.92,63926
18-Nov-14,5.00,5.05,4.98,5.01,57998
17-Nov-14,5.00,5.03,4.97,4.98,54197
14-Nov-14,5.10,5.10,4.98,5.03,99437
13-Nov-14,5.16,5.18,4.89,5.05,124276
12-Nov-14,5.05,5.15,4.90,5.14,99255
11-Nov-14,5.25,5.25,5.04,5.06,73578
10-Nov-14,5.41,5.41,5.18,5.24,86067
7-Nov-14,5.39,5.41,5.17,5.30,47678
6-Nov-14,5.31,5.45,5.27,5.33,93583
5-Nov-14,5.39,5.39,5.24,5.34,79414
4-Nov-14,5.24,5.34,4.99,5.27,112329
3-Nov-14,5.28,5.37,4.95,5.22,109843
31-Oct-14,5.33,5.44,5.20,5.24,201460
30-Oct-14,4.98,5.29,4.98,5.14,208077
29-Oct-14,5.02,5.11,4.98,5.03,83857
28-Oct-14,4.82,5.07,4.78,5.00,213669
27-Oct-14,4.75,4.86,4.75,4.80,30796
24-Oct-14,4.99,5.00,4.79,4.81,75556
23-Oct-14,4.96,5.12,4.83,4.96,83844
22-Oct-14,4.92,4.99,4.88,4.90,52484
