Date,Open,High,Low,Close,Volume
31-Dec-14,1.35,1.35,1.30,1.35,64527
30-Dec-14,1.35,1.48,1.27,1.35,127207
29-Dec-14,1.51,1.61,1.25,1.32,320981
26-Dec-14,1.68,1.68,1.51,1.54,80938
24-Dec-14,1.50,1.61,1.50,1.50,43476
23-Dec-14,1.65,1.65,1.50,1.50,94873
22-Dec-14,1.50,1.70,1.50,1.56,197947
19-Dec-14,1.20,1.54,1.11,1.47,200764
18-Dec-14,1.20,1.25,1.15,1.22,115324
17-Dec-14,1.11,1.20,1.08,1.19,45857
16-Dec-14,1.22,1.24,1.08,1.12,87540
15-Dec-14,1.23,1.30,1.16,1.24,85073
12-Dec-14,1.25,1.39,1.15,1.25,81473
11-Dec-14,1.30,1.39,1.07,1.32,196490
10-Dec-14,1.48,1.64,1.17,1.29,327050
9-Dec-14,1.16,1.45,1.12,1.40,197886
8-Dec-14,1.04,1.15,1.04,1.15,125029
5-Dec-14,1.00,1.05,1.00,1.02,21127
4-Dec-14,1.00,1.05,1.00,1.00,80807
3-Dec-14,0.90,1.16,0.90,0.98,155299
2-Dec-14,0.86,0.90,0.83,0.90,26079
1-Dec-14,0.82,0.87,0.82,0.82,37948
28-Nov-14,0.80,0.89,0.80,0.81,16509
26-Nov-14,0.70,0.80,0.69,0.80,37452
25-Nov-14,0.69,0.75,0.65,0.74,54656
24-Nov-14,0.68,0.75,0.60,0.73,158536
21-Nov-14,0.56,0.69,0.56,0.67,114630
20-Nov-14,0.65,0.65,0.60,0.61,77407
19-Nov-14,0.50,0.63,0.50,0.58,72506
18-Nov-14,0.58,0.58,0.51,0.51,64330
17-Nov-14,0.60,0.65,0.57,0.57,74678
14-Nov-14,0.60,0.63,0.60,0.61,20254
13-Nov-14,0.61,0.65,0.60,0.61,19137
12-Nov-14,0.60,0.66,0.60,0.61,16927
11-Nov-14,0.57,0.68,0.57,0.68,19107
10-Nov-14,0.68,0.68,0.57,0.64,28789
7-Nov-14,0.69,0.69,0.64,0.67,12920
6-Nov-14,0.64,0.68,0.63,0.66,106125
5-Nov-14,0.65,0.65,0.60,0.63,10657
4-Nov-14,0.62,0.65,0.60,0.61,18361
3-Nov-14,0.55,0.68,0.55,0.61,103506
31-Oct-14,0.58,0.59,0.54,0.55,52829
30-Oct-14,0.63,0.63,0.56,0.58,13595
29-Oct-14,0.56,0.60,0.55,0.57,29892
28-Oct-14,0.60,0.61,0.55,0.57,46372
27-Oct-14,0.68,0.74,0.55,0.63,180445
24-Oct-14,0.70,0.72,0.68,0.72,8709
23-Oct-14,0.70,0.73,0.68,0.69,13086
22-Oct-14,0.71,0.74,0.69,0.70,61401
21-Oct-14,0.71,0.77,0.70,0.74,23559
20-Oct-14,0.69,0.80,0.69,0.71,25413
17-Oct-14,0.74,0.76,0.72,0.72,46751
16-Oct-14,0.52,0.74,0.52,0.70,93758
15-Oct-14,0.68,0.68,0.51,0.51,69298
14-Oct-14,0.71,0.74,0.68,0.73,17089
13-Oct-14,0.75,0.76,0.68,0.72,88248
10-Oct-14,0.78,0.78,0.75,0.76,33554
9-Oct-14,0.76,0.78,0.75,0.77,27094
8-Oct-14,0.75,0.79,0.69,0.76,54328
7-Oct-14,0.68,0.75,0.68,0.74,58495
6-Oct-14,0.74,0.74,0.69,0.70,43965
