Date,Open,High,Low,Close,Volume
31-Dec-14,4.80,4.87,4.80,4.85,1761
30-Dec-14,4.88,4.88,4.81,4.81,665
29-Dec-14,4.69,4.85,4.69,4.82,11110
26-Dec-14,4.76,4.78,4.60,4.64,10098
24-Dec-14,4.76,4.82,4.58,4.69,12168
23-Dec-14,4.67,4.74,4.66,4.66,3684
22-Dec-14,4.57,4.78,4.48,4.66,10534
19-Dec-14,4.80,4.80,4.57,4.58,3155
18-Dec-14,4.85,4.85,4.46,4.77,13910
17-Dec-14,4.72,4.75,4.72,4.75,302
16-Dec-14,4.55,4.75,4.41,4.59,8947
15-Dec-14,4.68,4.68,4.59,4.60,4060
12-Dec-14,4.63,4.75,4.63,4.75,3637
11-Dec-14,4.84,4.84,4.62,4.72,4601
10-Dec-14,4.71,4.84,4.71,4.84,276
9-Dec-14,4.76,4.88,4.63,4.85,19678
8-Dec-14,4.87,4.88,4.82,4.87,12079
5-Dec-14,4.85,4.86,4.60,4.76,6802
4-Dec-14,4.62,4.84,4.62,4.84,11529
3-Dec-14,4.26,4.70,4.26,4.69,49222
2-Dec-14,4.28,4.28,4.24,4.26,7723
1-Dec-14,4.27,4.30,4.22,4.28,5506
28-Nov-14,4.26,4.32,4.22,4.22,3815
26-Nov-14,4.26,4.31,4.23,4.24,5323
25-Nov-14,4.25,4.38,4.22,4.22,28278
24-Nov-14,4.26,4.36,4.23,4.26,15472
21-Nov-14,4.26,4.34,4.24,4.27,4135
20-Nov-14,4.21,4.39,4.10,4.18,68562
19-Nov-14,4.24,4.24,4.24,4.24,200
18-Nov-14,4.25,4.28,4.20,4.20,2551
17-Nov-14,4.37,4.37,4.16,4.22,11820
14-Nov-14,4.22,4.36,4.15,4.29,10329
13-Nov-14,4.29,4.50,4.19,4.22,51583
12-Nov-14,4.20,4.21,4.20,4.21,1401
11-Nov-14,4.25,4.36,4.13,4.15,2423
10-Nov-14,4.21,4.43,4.11,4.22,62185
7-Nov-14,4.42,4.47,4.12,4.12,36498
6-Nov-14,4.29,4.43,4.26,4.32,33603
5-Nov-14,4.32,4.35,4.20,4.25,6731
4-Nov-14,4.40,4.41,4.33,4.33,6599
3-Nov-14,4.25,4.41,4.25,4.40,1823
31-Oct-14,4.37,4.37,4.30,4.37,632
30-Oct-14,4.41,4.42,4.24,4.30,834
29-Oct-14,4.24,4.42,4.22,4.38,2809
28-Oct-14,4.33,4.62,4.22,4.22,8978
27-Oct-14,4.22,4.29,4.22,4.29,1754
24-Oct-14,4.22,4.48,4.22,4.22,3225
23-Oct-14,4.21,4.27,4.21,4.27,977
22-Oct-14,4.36,4.46,4.17,4.17,10408
21-Oct-14,4.33,4.50,4.33,4.41,1105
20-Oct-14,4.16,4.35,4.16,4.35,3515
17-Oct-14,4.07,4.22,4.07,4.16,5888
16-Oct-14,4.50,4.54,3.93,4.04,35287
15-Oct-14,4.60,4.82,4.48,4.66,25281
14-Oct-14,4.45,4.48,4.45,4.48,5053
13-Oct-14,4.37,4.43,4.37,4.43,3797
