Date,Open,High,Low,Close,Volume
31-Dec-14,56.60,56.75,54.78,54.90,285870
30-Dec-14,56.56,57.14,55.75,56.32,182447
29-Dec-14,57.34,57.93,56.52,56.75,169062
26-Dec-14,57.89,58.13,57.14,57.54,129075
24-Dec-14,56.30,58.45,56.30,57.80,166917
23-Dec-14,55.26,55.96,54.56,55.66,257576
22-Dec-14,54.75,55.37,54.36,55.12,157588
19-Dec-14,55.35,55.57,54.29,54.88,373204
18-Dec-14,55.71,55.92,55.03,55.45,206383
17-Dec-14,54.19,55.10,53.51,54.98,352089
16-Dec-14,55.00,55.40,54.15,54.19,288863
15-Dec-14,56.10,56.62,54.47,54.89,335307
12-Dec-14,55.62,57.16,55.05,56.09,267573
11-Dec-14,56.52,56.85,56.12,56.34,192445
10-Dec-14,56.71,57.45,56.19,56.24,195118
9-Dec-14,55.44,57.30,55.02,56.97,357447
8-Dec-14,56.74,57.58,56.10,56.14,279131
5-Dec-14,58.65,58.91,56.84,57.08,329034
4-Dec-14,59.05,59.34,58.28,58.67,167202
3-Dec-14,58.83,59.75,58.18,58.94,307536
2-Dec-14,57.36,58.73,57.18,58.68,279294
1-Dec-14,57.78,58.08,56.97,57.11,309110
28-Nov-14,57.95,59.05,57.74,58.07,288191
26-Nov-14,57.72,58.73,57.16,58.09,333135
25-Nov-14,57.40,57.98,57.13,57.57,394210
24-Nov-14,56.08,57.72,56.02,57.45,301263
21-Nov-14,56.80,56.81,55.47,55.68,202180
20-Nov-14,55.24,56.20,54.92,56.10,176945
19-Nov-14,55.93,55.93,54.26,55.48,247341
18-Nov-14,55.37,56.30,55.03,55.79,313870
17-Nov-14,55.64,56.10,55.16,55.19,203972
14-Nov-14,55.44,56.10,55.04,55.58,203059
13-Nov-14,55.92,56.49,55.46,55.53,272566
12-Nov-14,55.19,56.26,54.83,55.70,298864
11-Nov-14,55.51,55.88,55.15,55.39,251828
10-Nov-14,54.32,55.79,53.96,55.36,452871
7-Nov-14,54.10,54.47,53.50,54.22,276190
6-Nov-14,54.61,55.22,53.83,54.19,270455
5-Nov-14,55.10,55.28,53.99,54.64,327734
4-Nov-14,53.68,55.31,53.68,54.50,450194
3-Nov-14,53.92,54.48,53.50,54.09,855035
31-Oct-14,54.69,55.91,53.66,53.67,3135895
30-Oct-14,52.94,53.88,51.74,53.47,407862
29-Oct-14,52.61,53.98,52.24,53.32,383775
28-Oct-14,51.73,52.52,51.35,52.42,376574
27-Oct-14,50.76,51.99,50.46,51.73,232363
24-Oct-14,51.71,51.71,50.42,51.16,358988
23-Oct-14,49.00,52.08,48.00,51.58,497294
22-Oct-14,47.58,47.92,46.79,46.98,259954
21-Oct-14,47.35,48.57,46.90,47.52,238499
20-Oct-14,45.96,47.14,45.57,47.14,300095
17-Oct-14,46.99,47.02,45.96,46.24,210532
16-Oct-14,44.65,46.62,43.92,46.30,247800
15-Oct-14,45.10,45.92,44.59,45.39,430195
14-Oct-14,46.03,46.73,45.28,45.72,249624
13-Oct-14,45.67,46.46,44.92,45.58,257952
10-Oct-14,45.83,46.95,45.44,45.53,243398
9-Oct-14,47.89,47.89,46.07,46.14,302477
8-Oct-14,46.39,48.00,45.82,47.96,289597
7-Oct-14,46.78,48.79,46.26,46.36,233090
6-Oct-14,48.32,48.59,46.99,47.02,269317
3-Oct-14,48.07,48.42,47.94,48.28,284106
2-Oct-14,46.68,47.60,46.04,47.53,272626
1-Oct-14,47.84,47.93,46.51,46.72,252365
30-Sep-14,47.85,48.62,47.45,47.79,363062
29-Sep-14,46.89,48.02,46.75,47.94,276263
26-Sep-14,47.61,47.64,47.01,47.44,254511
25-Sep-14,49.15,49.15,47.45,47.49,228969
24-Sep-14,48.11,49.26,47.47,49.22,262152
23-Sep-14,48.21,48.70,47.89,47.94,237994
22-Sep-14,48.82,49.17,48.14,48.19,210226
19-Sep-14,49.96,50.01,48.62,49.12,441502
18-Sep-14,48.48,50.06,48.00,49.80,362388
17-Sep-14,47.92,48.65,47.80,48.18,414442
16-Sep-14,49.04,49.39,47.89,47.98,292455
15-Sep-14,49.15,49.54,48.51,49.00,282402
12-Sep-14,50.41,50.41,48.87,49.33,289624
11-Sep-14,50.98,51.04,50.27,50.52,161549
10-Sep-14,51.18,51.50,50.77,51.16,245586
9-Sep-14,51.38,51.84,50.15,51.09,370728
8-Sep-14,51.87,52.75,51.32,51.65,286205
5-Sep-14,52.48,52.60,51.67,51.95,212329
4-Sep-14,53.44,53.76,52.67,52.70,152293
3-Sep-14,54.01,54.01,52.99,53.15,217406
2-Sep-14,53.31,54.66,53.22,53.78,414809
29-Aug-14,52.21,53.82,51.51,53.30,477906
28-Aug-14,51.64,52.35,51.38,52.11,304338
27-Aug-14,51.98,52.18,51.66,52.08,209130
26-Aug-14,51.83,52.02,51.29,51.97,253118
25-Aug-14,52.19,52.56,51.50,51.55,178847
22-Aug-14,52.76,52.86,51.38,51.97,363335
21-Aug-14,53.12,53.36,52.15,52.65,184968
20-Aug-14,53.12,53.24,52.70,53.16,121555
19-Aug-14,53.16,53.52,52.69,53.43,233120
18-Aug-14,52.22,53.60,52.22,53.16,362349
15-Aug-14,52.47,52.50,50.59,51.77,266215
14-Aug-14,51.90,52.37,51.66,51.91,334433
13-Aug-14,51.64,52.00,51.18,51.91,232390
12-Aug-14,51.57,51.90,51.30,51.53,363880
11-Aug-14,51.09,51.87,50.73,51.69,304962
8-Aug-14,49.86,50.95,49.78,50.86,462106
7-Aug-14,50.62,50.73,49.82,49.89,454699
6-Aug-14,49.87,50.64,49.63,50.33,228318
5-Aug-14,50.10,50.69,49.45,50.23,233708
4-Aug-14,50.41,50.74,49.39,50.36,250445
1-Aug-14,49.80,50.53,49.44,50.34,363669
31-Jul-14,49.42,50.37,49.36,50.04,493805
30-Jul-14,50.00,50.00,47.40,49.92,529968
29-Jul-14,46.22,47.60,45.93,47.50,342569
28-Jul-14,46.30,46.35,45.30,45.96,216543
25-Jul-14,46.97,47.24,45.68,46.28,297685
24-Jul-14,48.73,48.80,47.30,47.43,132392
23-Jul-14,48.31,48.98,48.02,48.63,154190
22-Jul-14,47.79,48.77,47.70,48.31,155180
21-Jul-14,47.73,47.92,47.09,47.61,117480
18-Jul-14,47.11,48.32,46.94,48.03,173059
17-Jul-14,47.65,48.27,47.08,47.26,329418
16-Jul-14,48.31,48.85,47.46,47.90,273608
15-Jul-14,48.40,48.67,47.35,47.98,329328
14-Jul-14,47.10,48.49,46.66,48.41,303589
11-Jul-14,46.33,46.91,46.05,46.63,216520
10-Jul-14,46.72,47.01,46.24,46.43,276692
9-Jul-14,47.49,47.75,47.18,47.68,262466
8-Jul-14,48.44,48.46,47.32,47.54,165694
7-Jul-14,49.55,49.55,48.66,48.68,157851
3-Jul-14,49.08,50.32,48.78,49.79,252072
2-Jul-14,49.33,49.90,48.79,48.99,328103
1-Jul-14,48.28,50.05,48.02,49.58,325992
30-Jun-14,48.61,48.93,47.90,48.24,376274
27-Jun-14,48.07,48.79,47.99,48.65,257456
26-Jun-14,48.36,48.42,47.55,48.37,168998
25-Jun-14,47.35,48.21,46.79,48.14,179605
24-Jun-14,47.82,48.20,47.52,47.61,365070
23-Jun-14,49.20,49.20,47.76,48.12,262887
20-Jun-14,49.06,49.32,48.73,49.23,497531
19-Jun-14,48.43,48.98,48.05,48.92,285453
18-Jun-14,47.44,48.52,47.17,48.42,265892
17-Jun-14,46.58,47.41,46.51,47.19,207042
16-Jun-14,46.56,47.28,46.22,46.69,147908
13-Jun-14,47.31,47.71,46.50,46.57,268714
12-Jun-14,48.14,48.14,47.07,47.09,133092
11-Jun-14,48.28,48.86,47.95,48.11,294900
10-Jun-14,48.58,48.76,48.10,48.58,209320
9-Jun-14,49.11,49.11,48.58,48.88,199939
6-Jun-14,47.00,49.60,46.98,49.21,548956
5-Jun-14,46.67,46.81,45.93,46.76,279511
4-Jun-14,46.24,46.80,45.76,46.42,285488
3-Jun-14,46.76,47.11,45.86,46.51,195847
2-Jun-14,47.10,47.19,46.10,46.88,218661
30-May-14,47.88,48.10,46.77,47.14,318287
