Date,Open,High,Low,Close,Volume
31-Dec-14,14.29,14.90,14.29,14.67,29168
30-Dec-14,14.39,14.60,14.15,14.60,26636
29-Dec-14,13.65,14.29,13.65,14.29,26105
26-Dec-14,13.61,13.81,13.31,13.79,47017
24-Dec-14,13.70,13.94,13.64,13.93,41860
23-Dec-14,13.76,14.00,13.53,13.85,68065
22-Dec-14,13.72,14.48,13.69,13.80,130998
19-Dec-14,13.88,14.18,13.26,13.79,637614
18-Dec-14,13.89,14.30,13.75,14.00,92758
17-Dec-14,13.41,14.18,13.32,13.75,114940
16-Dec-14,13.95,14.07,12.76,13.34,133777
15-Dec-14,14.17,14.74,13.96,14.05,96967
12-Dec-14,14.15,14.28,13.83,14.03,80452
11-Dec-14,14.30,14.36,14.04,14.17,51228
10-Dec-14,14.36,14.51,14.00,14.12,67111
9-Dec-14,14.40,14.48,14.19,14.39,59310
8-Dec-14,14.50,15.10,14.38,14.53,87502
5-Dec-14,14.54,14.61,14.17,14.38,30412
4-Dec-14,14.10,14.44,13.96,14.41,46845
3-Dec-14,13.93,14.13,13.91,14.08,32402
2-Dec-14,13.78,13.94,13.70,13.78,33657
1-Dec-14,14.06,14.06,13.50,13.97,20730
28-Nov-14,14.07,14.09,13.91,14.09,16035
26-Nov-14,14.43,14.53,14.04,14.20,67944
25-Nov-14,14.33,14.90,14.14,14.54,61056
24-Nov-14,14.64,14.65,14.15,14.15,48366
21-Nov-14,14.56,14.81,14.50,14.75,37434
20-Nov-14,14.70,15.00,14.04,14.27,97526
19-Nov-14,14.93,15.00,14.15,14.48,43875
18-Nov-14,14.59,16.70,14.29,14.94,40538
17-Nov-14,13.93,14.70,13.89,13.92,20223
14-Nov-14,13.92,14.40,13.08,14.14,12261
13-Nov-14,14.47,14.74,13.93,13.93,56794
12-Nov-14,14.00,14.62,13.77,14.17,45972
11-Nov-14,14.66,14.86,13.48,14.06,98913
10-Nov-14,15.02,15.02,13.83,14.15,65829
7-Nov-14,15.00,15.45,14.29,14.62,81810
6-Nov-14,16.16,16.19,15.09,15.13,98753
5-Nov-14,17.49,17.49,15.21,15.97,26737
4-Nov-14,16.05,16.26,15.73,15.73,32588
3-Nov-14,16.09,16.35,15.82,16.18,31286
31-Oct-14,16.25,16.25,15.90,16.19,5345
30-Oct-14,15.96,16.04,15.86,15.93,9421
29-Oct-14,15.75,16.00,15.71,15.95,28787
28-Oct-14,15.90,16.45,15.78,15.92,63096
27-Oct-14,16.48,16.49,15.78,15.92,23691
24-Oct-14,16.32,16.50,16.00,16.16,9057
23-Oct-14,16.25,16.98,16.20,16.44,168361
22-Oct-14,16.39,16.70,15.85,16.08,40857
21-Oct-14,16.11,16.74,15.90,16.43,63870
20-Oct-14,15.86,17.43,15.83,16.12,118395
17-Oct-14,16.00,16.90,15.32,16.00,354488
16-Oct-14,14.35,17.00,12.02,15.80,2184497
