Date,Open,High,Low,Close,Volume
31-Dec-14,1.62,1.69,1.60,1.68,44233
30-Dec-14,1.61,1.72,1.59,1.67,57563
29-Dec-14,1.54,1.64,1.50,1.58,130143
26-Dec-14,1.56,1.69,1.53,1.69,16024
24-Dec-14,1.65,1.68,1.60,1.62,58313
23-Dec-14,1.74,1.79,1.70,1.75,37139
22-Dec-14,1.73,2.10,1.73,1.82,22907
19-Dec-14,1.73,1.73,1.61,1.66,35564
18-Dec-14,1.50,1.70,1.50,1.66,43989
17-Dec-14,1.34,1.48,1.32,1.43,30168
16-Dec-14,1.28,1.43,1.20,1.25,50396
15-Dec-14,1.35,1.37,1.30,1.34,61447
12-Dec-14,1.47,1.47,1.40,1.45,3026
11-Dec-14,1.45,1.53,1.40,1.49,21301
10-Dec-14,1.49,1.59,1.44,1.48,44025
9-Dec-14,1.53,1.60,1.53,1.55,25679
8-Dec-14,1.61,1.65,1.57,1.62,10387
5-Dec-14,1.76,1.78,1.75,1.75,1655
4-Dec-14,1.80,1.80,1.74,1.77,8620
3-Dec-14,1.83,1.88,1.79,1.84,11092
2-Dec-14,1.86,1.98,1.82,1.85,5938
1-Dec-14,1.94,2.00,1.90,1.91,11934
28-Nov-14,1.99,2.02,1.84,2.02,27327
26-Nov-14,2.06,2.07,2.00,2.00,45297
25-Nov-14,1.96,2.27,1.96,2.09,61259
24-Nov-14,1.99,2.04,1.74,1.95,51574
21-Nov-14,2.01,2.07,2.01,2.02,21535
20-Nov-14,2.01,2.07,2.00,2.00,27236
19-Nov-14,2.10,2.13,2.00,2.09,32068
18-Nov-14,2.14,2.15,1.97,2.14,74481
17-Nov-14,2.24,2.27,2.11,2.22,61874
14-Nov-14,2.29,2.40,2.27,2.31,7389
13-Nov-14,2.45,2.45,2.30,2.32,8027
12-Nov-14,2.42,2.48,2.40,2.46,12366
11-Nov-14,2.40,2.50,2.40,2.48,12519
10-Nov-14,2.50,2.53,2.40,2.40,16852
7-Nov-14,2.59,2.61,2.52,2.57,2738
6-Nov-14,2.53,2.62,2.51,2.60,15379
5-Nov-14,2.47,2.55,2.29,2.53,88043
4-Nov-14,2.48,2.51,2.48,2.50,2363
3-Nov-14,2.53,2.55,2.49,2.50,17982
31-Oct-14,2.51,2.65,2.50,2.56,27551
30-Oct-14,2.58,2.66,2.58,2.63,9546
29-Oct-14,2.63,2.68,2.52,2.65,51156
28-Oct-14,2.53,2.70,2.53,2.64,59173
27-Oct-14,2.61,2.61,2.48,2.60,15748
24-Oct-14,2.70,2.70,2.58,2.60,6225
23-Oct-14,2.59,2.71,2.54,2.67,12570
22-Oct-14,2.56,2.74,2.50,2.54,25067
21-Oct-14,2.53,2.59,2.47,2.58,59821
20-Oct-14,2.64,2.68,2.62,2.64,13869
17-Oct-14,2.73,2.76,2.70,2.76,53513
16-Oct-14,2.64,2.76,2.59,2.75,11201
15-Oct-14,2.65,2.76,2.60,2.69,8007
14-Oct-14,2.72,2.76,2.61,2.76,9617
13-Oct-14,2.82,2.88,2.58,2.76,40531
10-Oct-14,2.90,2.90,2.73,2.89,7361
9-Oct-14,2.84,2.94,2.84,2.90,3331
8-Oct-14,2.91,2.98,2.84,2.98,22484
7-Oct-14,2.76,3.02,2.75,2.94,25027
6-Oct-14,2.86,2.86,2.75,2.75,51868
3-Oct-14,2.87,3.13,2.87,3.00,14290
2-Oct-14,2.89,2.92,2.75,2.90,13101
1-Oct-14,2.96,2.97,2.86,2.93,6685
30-Sep-14,2.91,2.98,2.91,2.97,4496
29-Sep-14,3.04,3.04,2.91,3.00,33759
26-Sep-14,3.08,3.20,3.03,3.16,12246
25-Sep-14,3.08,3.13,3.03,3.10,14058
24-Sep-14,3.06,3.19,3.06,3.17,3708
23-Sep-14,3.08,3.17,3.05,3.17,15700
22-Sep-14,3.25,3.25,3.10,3.12,13005
19-Sep-14,3.16,3.43,3.06,3.35,9980
18-Sep-14,3.18,3.22,3.13,3.22,22392
17-Sep-14,3.13,3.36,3.04,3.25,68946
16-Sep-14,3.20,3.24,3.02,3.14,91474
15-Sep-14,3.40,3.40,3.19,3.25,47930
12-Sep-14,3.39,3.48,3.35,3.37,17302
11-Sep-14,3.45,3.50,3.45,3.49,11906
10-Sep-14,3.53,3.53,3.41,3.45,17055
9-Sep-14,3.61,3.64,3.51,3.56,25803
8-Sep-14,3.65,3.68,3.52,3.64,22707
5-Sep-14,3.53,3.73,3.53,3.69,28247
4-Sep-14,3.72,3.79,3.58,3.60,29759
3-Sep-14,3.83,3.83,3.71,3.74,5463
